species1,gene1,species2,gene2,cluster_id
C. glabrata,CAGL0K09570g,S. cerevisiae,gene-YNL130C,Cluster1050
C. glabrata,CAGL0K04235g,S. cerevisiae,gene-YGR043C,Cluster1051
C. glabrata,CAGL0L00847g,S. cerevisiae,gene-YIL043C,Cluster1057
C. glabrata,CAGL0H04763g,S. cerevisiae,gene-YDR432W,Cluster1059
C. glabrata,CAGL0M07832g,S. cerevisiae,gene-YJR021C,Cluster106
S. cerevisiae,gene-YHR020W,C. glabrata,CAGL0A02090g,Cluster1060
C. glabrata,CAGL0L12672g,S. cerevisiae,gene-YPL043W,Cluster1062
S. cerevisiae,gene-YPL190C,C. glabrata,CAGL0H03267g,Cluster1063
S. cerevisiae,gene-YOR039W,C. glabrata,CAGL0I00946g,Cluster1064
C. glabrata,CAGL0H05907g,S. cerevisiae,gene-YPL104W,Cluster1065
S. cerevisiae,gene-YDR145W,C. glabrata,CAGL0E01397g,Cluster1066
C. glabrata,CAGL0F01859g,S. cerevisiae,gene-YLR054C,Cluster1076
S. cerevisiae,gene-YBR194W,C. glabrata,CAGL0M05269g,Cluster1079
S. cerevisiae,gene-YBR270C,C. glabrata,CAGL0I09416g,Cluster1081
C. glabrata,CAGL0L02849g,S. cerevisiae,gene-YOR207C,Cluster1084
C. glabrata,CAGL0D02662g,S. cerevisiae,gene-YFL011W,Cluster1087
C. glabrata,CAGL0D02662g,S. cerevisiae,gene-YMR011W,Cluster1087
S. cerevisiae,gene-YFL011W,C. glabrata,CAGL0D02640g,Cluster1087
C. glabrata,CAGL0D02640g,S. cerevisiae,gene-YMR011W,Cluster1087
S. cerevisiae,gene-YEL017C-A,C. glabrata,CAGL0L08008g,Cluster1101
S. cerevisiae,gene-YEL017C-A,C. glabrata,CAGL0M03305g,Cluster1101
C. glabrata,CAGL0L08008g,S. cerevisiae,gene-YCR024C-A,Cluster1101
C. glabrata,CAGL0M03305g,S. cerevisiae,gene-YCR024C-A,Cluster1101
C. glabrata,CAGL0K01089g,S. cerevisiae,gene-YGR081C,Cluster1103
C. glabrata,CAGL0B04345g,S. cerevisiae,gene-YBR025C,Cluster1110
S. cerevisiae,gene-YLR228C,C. glabrata,CAGL0C01199g,Cluster1111
S. cerevisiae,gene-YLR228C,C. glabrata,CAGL0F07865g,Cluster1111
C. glabrata,CAGL0C01199g,S. cerevisiae,gene-YDR213W,Cluster1111
S. cerevisiae,gene-YDR213W,C. glabrata,CAGL0F07865g,Cluster1111
S. cerevisiae,gene-YDL028C,C. glabrata,CAGL0K01617g,Cluster1112
S. cerevisiae,gene-YDR263C,C. glabrata,CAGL0H08085g,Cluster1113
C. glabrata,CAGL0H08085g,S. cerevisiae,gene-YOR033C,Cluster1113
C. glabrata,CAGL0M11440g,S. cerevisiae,gene-YLR098C,Cluster1117
C. glabrata,CAGL0L07502g,S. cerevisiae,gene-YAL068C,Cluster1118
C. glabrata,CAGL0J03344g,S. cerevisiae,gene-YER082C,Cluster1121
S. cerevisiae,gene-YKL159C,C. glabrata,CAGL0E06248g,Cluster1123
C. glabrata,CAGL0A03014g,S. cerevisiae,gene-YDR376W,Cluster1131
C. glabrata,CAGL0E04686g,S. cerevisiae,gene-YDR057W,Cluster1134
S. cerevisiae,gene-YPL029W,C. glabrata,CAGL0L12386g,Cluster1135
C. glabrata,CAGL0K03355g,S. cerevisiae,gene-YMR101C,Cluster1136
C. glabrata,CAGL0H03091g,S. cerevisiae,gene-YGL091C,Cluster1137
C. glabrata,CAGL0I07975g,S. cerevisiae,gene-YOL077C,Cluster1138
S. cerevisiae,gene-YGL135W,C. glabrata,CAGL0H08976g,Cluster1139
C. glabrata,CAGL0H08976g,S. cerevisiae,gene-YPL220W,Cluster1139
C. glabrata,CAGL0G04037g,S. cerevisiae,gene-YLL032C,Cluster1140
S. cerevisiae,gene-YBR279W,C. glabrata,CAGL0B03333g,Cluster1141
C. glabrata,CAGL0J04444g,S. cerevisiae,gene-YBL023C,Cluster1142
C. glabrata,CAGL0C04279g,S. cerevisiae,gene-YBR002C,Cluster1144
C. glabrata,CAGL0C03113g,S. cerevisiae,gene-YLR270W,Cluster1146
C. glabrata,CAGL0M07612g,S. cerevisiae,gene-YMR020W,Cluster1148
C. glabrata,CAGL0C01991g,S. cerevisiae,gene-YFR046C,Cluster1151
C. glabrata,CAGL0J09284g,S. cerevisiae,gene-YDL129W,Cluster1153
C. glabrata,CAGL0D03278g,S. cerevisiae,gene-YLR021W,Cluster116
S. cerevisiae,gene-YDR120C,C. glabrata,CAGL0B01881g,Cluster1160
C. glabrata,CAGL0K12056g,S. cerevisiae,gene-YDR041W,Cluster1162
S. cerevisiae,gene-YKL067W,C. glabrata,CAGL0M13277g,Cluster1164
S. cerevisiae,gene-YGR195W,C. glabrata,CAGL0G09317g,Cluster1165
S. cerevisiae,gene-YLR106C,C. glabrata,CAGL0M11616g,Cluster1166
C. glabrata,CAGL0J05654g,S. cerevisiae,gene-YNL139C,Cluster1168
S. cerevisiae,gene-YNR049C,C. glabrata,CAGL0C03465g,Cluster1169
C. glabrata,CAGL0K00363g,S. cerevisiae,gene-YKL209C,Cluster117
S. cerevisiae,gene-YPL129W,C. glabrata,CAGL0M02739g,Cluster1170
C. glabrata,CAGL0G03267g,S. cerevisiae,gene-YBL069W,Cluster1175
S. cerevisiae,gene-YDL194W,C. glabrata,CAGL0J09020g,Cluster1176
C. glabrata,CAGL0C03443g,S. cerevisiae,gene-YNR050C,Cluster118
S. cerevisiae,gene-YER114C,C. glabrata,CAGL0G03509g,Cluster1182
S. cerevisiae,gene-YDR017C,C. glabrata,CAGL0D04378g,Cluster1185
S. cerevisiae,gene-YMR244C-A,C. glabrata,CAGL0K07315g,Cluster1187
C. glabrata,CAGL0M04455g,S. cerevisiae,gene-YLR139C,Cluster1188
C. glabrata,CAGL0L10846g,S. cerevisiae,gene-YCR047C,Cluster1189
C. glabrata,CAGL0M06017g,S. cerevisiae,gene-YBR166C,Cluster119
C. glabrata,CAGL0F05401g,S. cerevisiae,gene-YDR205W,Cluster1190
C. glabrata,CAGL0I05940g,S. cerevisiae,gene-YJL145W,Cluster1191
S. cerevisiae,gene-YOR197W,C. glabrata,CAGL0I10945g,Cluster1194
C. glabrata,CAGL0I02046g,S. cerevisiae,gene-YPR127W,Cluster1198
C. glabrata,CAGL0M11176g,S. cerevisiae,gene-YMR222C,Cluster120
S. cerevisiae,gene-YGR188C,C. glabrata,CAGL0I08899g,Cluster1205
C. glabrata,CAGL0H01001g,S. cerevisiae,gene-YPL235W,Cluster1207
C. glabrata,CAGL0K09768g,S. cerevisiae,gene-YNL137C,Cluster1208
S. cerevisiae,gene-YDR468C,C. glabrata,CAGL0K06501g,Cluster1209
C. glabrata,CAGL0G02497g,S. cerevisiae,gene-YKR095W,Cluster121
C. glabrata,CAGL0M09493g,S. cerevisiae,gene-YMR160W,Cluster1211
C. glabrata,CAGL0L08162g,S. cerevisiae,gene-YCR033W,Cluster1212
C. glabrata,CAGL0I06226g,S. cerevisiae,gene-YJL162C,Cluster1213
C. glabrata,CAGL0C02431g,S. cerevisiae,gene-YER032W,Cluster1215
C. glabrata,CAGL0E05632g,S. cerevisiae,gene-YOR348C,Cluster1217
S. cerevisiae,gene-YNL074C,C. glabrata,CAGL0F04785g,Cluster1219
S. cerevisiae,gene-YGL167C,C. glabrata,CAGL0I04312g,Cluster1223
S. cerevisiae,gene-YGL167C,C. glabrata,CAGL0J01870g,Cluster1223
C. glabrata,CAGL0J02420g,S. cerevisiae,gene-YIL021W,Cluster1224
S. cerevisiae,gene-YLR287C-A,C. glabrata,CAGL0G09713g,Cluster1229
C. glabrata,CAGL0G09713g,S. cerevisiae,gene-YOR182C,Cluster1229
C. glabrata,CAGL0J08371g,S. cerevisiae,gene-YNL279W,Cluster1232
S. cerevisiae,gene-YIL007C,C. glabrata,CAGL0C03762g,Cluster1234
S. cerevisiae,gene-YLR287C,C. glabrata,CAGL0M09757g,Cluster1235
S. cerevisiae,gene-YDR168W,C. glabrata,CAGL0E00913g,Cluster1237
S. cerevisiae,gene-YOR350C,C. glabrata,CAGL0D02222g,Cluster1238
C. glabrata,CAGL0M06787g,S. cerevisiae,gene-YNL029C,Cluster1241
C. glabrata,CAGL0M07491g,S. cerevisiae,gene-YMR025W,Cluster1242
C. glabrata,CAGL0J08008g,S. cerevisiae,gene-YNL261W,Cluster1249
C. glabrata,CAGL0K03685g,S. cerevisiae,gene-YMR123W,Cluster1250
C. glabrata,CAGL0K03157g,S. cerevisiae,gene-YHL016C,Cluster1251
C. glabrata,CAGL0D04950g,S. cerevisiae,gene-YPR139C,Cluster1252
S. cerevisiae,gene-YMR250W,C. glabrata,CAGL0H02585g,Cluster1253
C. glabrata,CAGL0J03102g,S. cerevisiae,gene-YER068W,Cluster1255
S. cerevisiae,gene-YDL142C,C. glabrata,CAGL0I03784g,Cluster1256
S. cerevisiae,gene-YMR049C,C. glabrata,CAGL0L04950g,Cluster1257
C. glabrata,CAGL0I09548g,S. cerevisiae,gene-YGL129C,Cluster1258
S. cerevisiae,gene-YNL015W,C. glabrata,CAGL0M05665g,Cluster1260
S. cerevisiae,gene-YPL061W,C. glabrata,CAGL0H05137g,Cluster1261
C. glabrata,CAGL0F07777g,S. cerevisiae,gene-YMR169C,Cluster1262
S. cerevisiae,gene-YER073W,C. glabrata,CAGL0J03212g,Cluster1263
C. glabrata,CAGL0D03212g,S. cerevisiae,gene-YLR018C,Cluster1271
C. glabrata,CAGL0I09658g,S. cerevisiae,gene-YOR304C-A,Cluster1275
S. cerevisiae,gene-YDL120W,C. glabrata,CAGL0M05643g,Cluster1281
C. glabrata,CAGL0K11066g,S. cerevisiae,gene-YJL218W,Cluster1282
S. cerevisiae,gene-YNL054W,C. glabrata,CAGL0G01342g,Cluster1283
C. glabrata,CAGL0H05731g,S. cerevisiae,gene-YPL094C,Cluster1284
S. cerevisiae,gene-YOL137W,C. glabrata,CAGL0E01507g,Cluster1285
S. cerevisiae,gene-YOR365C,C. glabrata,CAGL0M12320g,Cluster1287
S. cerevisiae,gene-YER136W,C. glabrata,CAGL0K01925g,Cluster1289
S. cerevisiae,gene-YKL186C,C. glabrata,CAGL0D00440g,Cluster1291
S. cerevisiae,gene-YGR172C,C. glabrata,CAGL0I08701g,Cluster1292
C. glabrata,CAGL0I02222g,S. cerevisiae,gene-YHR164C,Cluster1293
S. cerevisiae,gene-YJL180C,C. glabrata,CAGL0G07513g,Cluster1294
S. cerevisiae,gene-YMR059W,C. glabrata,CAGL0F06435g,Cluster1295
C. glabrata,CAGL0G03487g,S. cerevisiae,gene-YER113C,Cluster1296
S. cerevisiae,gene-YKL058W,C. glabrata,CAGL0I05434g,Cluster1297
S. cerevisiae,gene-YDR446W,C. glabrata,CAGL0K06127g,Cluster1298
C. glabrata,CAGL0I07579g,S. cerevisiae,gene-YOL097C,Cluster1299
S. cerevisiae,gene-YJR014W,C. glabrata,CAGL0B03927g,Cluster1300
S. cerevisiae,gene-YNCE0009C,C. glabrata,CAGL0L05764r,Cluster1309
C. glabrata,CAGL0K02057r,S. cerevisiae,gene-YNCI0007C,Cluster1310
S. cerevisiae,gene-YNCF0014C,C. glabrata,CAGL0L07876r,Cluster1313
S. cerevisiae,gene-YNCD0029C,C. glabrata,CAGL0D05126r,Cluster1314
S. cerevisiae,gene-YBR157C,C. glabrata,CAGL0H07469g,Cluster1318
S. cerevisiae,gene-YNCK0010W,C. glabrata,CAGL0F07205r,Cluster132
S. cerevisiae,gene-YNCK0010W,C. glabrata,CAGL0G09405r,Cluster132
C. glabrata,CAGL0F07205r,S. cerevisiae,gene-YNCJ0019C,Cluster132
C. glabrata,CAGL0G09405r,S. cerevisiae,gene-YNCJ0019C,Cluster132
S. cerevisiae,gene-YNR053C,C. glabrata,CAGL0C03369g,Cluster1324
S. cerevisiae,gene-YCL055W,C. glabrata,CAGL0B00462g,Cluster1325
S. cerevisiae,gene-YDR099W,C. glabrata,CAGL0L12056g,Cluster133
C. glabrata,CAGL0H09196g,S. cerevisiae,gene-YGL225W,Cluster1331
C. glabrata,CAGL0H09196g,S. cerevisiae,gene-YER039C,Cluster1331
C. glabrata,CAGL0J08206g,S. cerevisiae,gene-YNL271C,Cluster1332
S. cerevisiae,gene-YNR018W,C. glabrata,CAGL0M10549g,Cluster1334
C. glabrata,CAGL0E01067g,S. cerevisiae,gene-YDR161W,Cluster1335
C. glabrata,CAGL0L09383g,S. cerevisiae,gene-YGL162W,Cluster1336
S. cerevisiae,gene-YER162C,C. glabrata,CAGL0L11726g,Cluster1337
C. glabrata,CAGL0J11264g,S. cerevisiae,gene-YNL181W,Cluster1338
S. cerevisiae,gene-YIL159W,C. glabrata,CAGL0H06765g,Cluster1339
C. glabrata,CAGL0J02090g,S. cerevisiae,gene-YIL004C,Cluster1340
C. glabrata,CAGL0C02167g,S. cerevisiae,gene-YFR039C,Cluster1342
S. cerevisiae,gene-YER077C,C. glabrata,CAGL0J03278g,Cluster1344
S. cerevisiae,gene-YGR278W,C. glabrata,CAGL0G00330g,Cluster1345
S. cerevisiae,gene-YGL197W,C. glabrata,CAGL0D01782g,Cluster1346
S. cerevisiae,gene-YGL197W,C. glabrata,CAGL0K02101g,Cluster1346
C. glabrata,CAGL0D01782g,S. cerevisiae,gene-YER132C,Cluster1346
S. cerevisiae,gene-YER132C,C. glabrata,CAGL0K02101g,Cluster1346
S. cerevisiae,gene-YGL103W,C. glabrata,CAGL0J10384g,Cluster1347
S. cerevisiae,gene-YLR248W,C. glabrata,CAGL0B03509g,Cluster1348
S. cerevisiae,gene-YER129W,C. glabrata,CAGL0K02167g,Cluster1349
C. glabrata,CAGL0D02200g,S. cerevisiae,gene-YOR349W,Cluster1350
C. glabrata,CAGL0K08514g,S. cerevisiae,gene-YKL101W,Cluster1353
S. cerevisiae,gene-YGR249W,C. glabrata,CAGL0F08195g,Cluster1354
C. glabrata,CAGL0G02013g,S. cerevisiae,gene-YKR074W,Cluster1359
S. cerevisiae,gene-YIL001W,C. glabrata,CAGL0J02156g,Cluster1360
C. glabrata,CAGL0M11836g,S. cerevisiae,gene-YAL033W,Cluster1361
S. cerevisiae,gene-YNCJ0012W,C. glabrata,CAGL0G04323r,Cluster1363
S. cerevisiae,gene-YIL035C,C. glabrata,CAGL0I05192g,Cluster1367
S. cerevisiae,gene-YPL204W,C. glabrata,CAGL0H03553g,Cluster1368
S. cerevisiae,gene-YHR205W,C. glabrata,CAGL0F09075g,Cluster1369
S. cerevisiae,gene-YPL089C,C. glabrata,CAGL0M06325g,Cluster137
S. cerevisiae,gene-YPL089C,C. glabrata,CAGL0H05621g,Cluster137
C. glabrata,CAGL0M06325g,S. cerevisiae,gene-YBR182C,Cluster137
C. glabrata,CAGL0H05621g,S. cerevisiae,gene-YBR182C,Cluster137
S. cerevisiae,gene-YLL026W,C. glabrata,CAGL0G03883g,Cluster1370
S. cerevisiae,gene-YDR397C,C. glabrata,CAGL0M01474g,Cluster1372
C. glabrata,CAGL0B01903g,S. cerevisiae,gene-YDR121W,Cluster1373
S. cerevisiae,gene-YDR287W,C. glabrata,CAGL0H01089g,Cluster1374
C. glabrata,CAGL0H02893g,S. cerevisiae,gene-YBR284W,Cluster1375
C. glabrata,CAGL0L11132g,S. cerevisiae,gene-YML058W,Cluster1378
C. glabrata,CAGL0E05698g,S. cerevisiae,gene-YPL208W,Cluster1379
C. glabrata,CAGL0J07854g,S. cerevisiae,gene-YNL253W,Cluster138
S. cerevisiae,gene-YBL018C,C. glabrata,CAGL0J04334g,Cluster1383
S. cerevisiae,gene-YPL039W,C. glabrata,CAGL0L12584g,Cluster1384
C. glabrata,CAGL0M01562g,S. cerevisiae,gene-YDR391C,Cluster1385
S. cerevisiae,gene-YHR042W,C. glabrata,CAGL0D04114g,Cluster1386
C. glabrata,CAGL0M02255g,S. cerevisiae,gene-YPL152W,Cluster1387
S. cerevisiae,gene-YPR122W,C. glabrata,CAGL0D04686g,Cluster139
S. cerevisiae,gene-YNCO0002W,C. glabrata,CAGL0C04070r,Cluster14
S. cerevisiae,gene-YNCJ0001C,C. glabrata,CAGL0C04070r,Cluster14
S. cerevisiae,gene-YDR267C,C. glabrata,CAGL0M08646g,Cluster140
S. cerevisiae,gene-YGL008C,C. glabrata,CAGL0A00495g,Cluster1407
S. cerevisiae,gene-YDR167W,C. glabrata,CAGL0E00935g,Cluster1410
S. cerevisiae,gene-YBR036C,C. glabrata,CAGL0I04774g,Cluster1416
S. cerevisiae,gene-YBR129C,C. glabrata,CAGL0C00605g,Cluster1419
S. cerevisiae,gene-YPL181W,C. glabrata,CAGL0C01485g,Cluster1425
C. glabrata,CAGL0M10285g,S. cerevisiae,gene-YKL005C,Cluster1426
S. cerevisiae,gene-YNL097C,C. glabrata,CAGL0G06556g,Cluster1427
C. glabrata,CAGL0L10384g,S. cerevisiae,gene-YOR064C,Cluster1428
C. glabrata,CAGL0H02035g,S. cerevisiae,gene-YHR090C,Cluster1429
S. cerevisiae,gene-YEL056W,C. glabrata,CAGL0B03575g,Cluster143
S. cerevisiae,gene-YPL138C,C. glabrata,CAGL0M02585g,Cluster1431
C. glabrata,CAGL0L03091g,S. cerevisiae,gene-YKR029C,Cluster1432
C. glabrata,CAGL0M11880g,S. cerevisiae,gene-YCR044C,Cluster1433
S. cerevisiae,gene-YKL163W,C. glabrata,CAGL0M08514g,Cluster1434
C. glabrata,CAGL0M08514g,S. cerevisiae,gene-YJL160C,Cluster1434
S. cerevisiae,gene-YHR056C,C. glabrata,CAGL0D03850g,Cluster1438
S. cerevisiae,gene-YNL119W,C. glabrata,CAGL0L04026g,Cluster1439
S. cerevisiae,gene-YHR034C,C. glabrata,CAGL0D03916g,Cluster144
S. cerevisiae,gene-YNR008W,C. glabrata,CAGL0I05786g,Cluster1443
S. cerevisiae,gene-YIL130W,C. glabrata,CAGL0G08844g,Cluster1444
S. cerevisiae,gene-YIL130W,C. glabrata,CAGL0F02519g,Cluster1444
C. glabrata,CAGL0G08844g,S. cerevisiae,gene-YJL206C,Cluster1444
C. glabrata,CAGL0F02519g,S. cerevisiae,gene-YJL206C,Cluster1444
C. glabrata,CAGL0K05841g,S. cerevisiae,gene-YLR256W,Cluster1446
S. cerevisiae,gene-YLR256W,C. glabrata,CAGL0B03421g,Cluster1446
C. glabrata,CAGL0A02816g,S. cerevisiae,gene-YDR368W,Cluster1447
C. glabrata,CAGL0A02816g,S. cerevisiae,gene-YOR120W,Cluster1447
S. cerevisiae,gene-YDR368W,C. glabrata,CAGL0I01100g,Cluster1447
S. cerevisiae,gene-YOR120W,C. glabrata,CAGL0I01100g,Cluster1447
S. cerevisiae,gene-YGL252C,C. glabrata,CAGL0A04785g,Cluster1448
S. cerevisiae,gene-YGL115W,C. glabrata,CAGL0F07315g,Cluster145
C. glabrata,CAGL0M06897g,S. cerevisiae,gene-YNL024C,Cluster1455
C. glabrata,CAGL0J08778g,S. cerevisiae,gene-YLR208W,Cluster1465
S. cerevisiae,gene-YDR030C,C. glabrata,CAGL0K11836g,Cluster1466
C. glabrata,CAGL0H03619g,S. cerevisiae,gene-YNL011C,Cluster1467
C. glabrata,CAGL0K11902g,S. cerevisiae,gene-YDR034C,Cluster1468
C. glabrata,CAGL0G00704g,S. cerevisiae,gene-YAR003W,Cluster1469
C. glabrata,CAGL0M06875g,S. cerevisiae,gene-YNL025C,Cluster1471
C. glabrata,CAGL0H05775g,S. cerevisiae,gene-YPL097W,Cluster1472
S. cerevisiae,gene-YOR067C,C. glabrata,CAGL0L10450g,Cluster1473
C. glabrata,CAGL0F05357g,S. cerevisiae,gene-YDR207C,Cluster1476
S. cerevisiae,gene-YDR153C,C. glabrata,CAGL0E01199g,Cluster1479
S. cerevisiae,gene-YLL038C,C. glabrata,CAGL0E03806g,Cluster1481
S. cerevisiae,gene-YML118W,C. glabrata,CAGL0B02387g,Cluster1482
S. cerevisiae,gene-YOL042W,C. glabrata,CAGL0F01001g,Cluster1483
S. cerevisiae,gene-YNL199C,C. glabrata,CAGL0G05379g,Cluster149
C. glabrata,CAGL0G04301r,S. cerevisiae,gene-YNCB0007W,Cluster1492
C. glabrata,CAGL0J11220g,S. cerevisiae,gene-YNL178W,Cluster1495
S. cerevisiae,gene-YGL025C,C. glabrata,CAGL0A01325g,Cluster150
C. glabrata,CAGL0K07271g,S. cerevisiae,gene-YML006C,Cluster1508
C. glabrata,CAGL0D04796g,S. cerevisiae,gene-YPR131C,Cluster1509
C. glabrata,CAGL0K02739g,S. cerevisiae,gene-YHL003C,Cluster1511
C. glabrata,CAGL0I04136g,S. cerevisiae,gene-YGL226W,Cluster1514
C. glabrata,CAGL0C03806r,S. cerevisiae,gene-YNCM0033C,Cluster1520
C. glabrata,CAGL0M12232g,S. cerevisiae,gene-YAL046C,Cluster1525
C. glabrata,CAGL0D01320g,S. cerevisiae,gene-YPR073C,Cluster1528
C. glabrata,CAGL0I09064g,S. cerevisiae,gene-YFR028C,Cluster1529
S. cerevisiae,gene-YFL004W,C. glabrata,CAGL0F02145g,Cluster1530
S. cerevisiae,gene-YPL019C,C. glabrata,CAGL0F02145g,Cluster1530
S. cerevisiae,gene-YBR262C,C. glabrata,CAGL0I09262g,Cluster1531
C. glabrata,CAGL0H06347g,S. cerevisiae,gene-YAL013W,Cluster1532
S. cerevisiae,gene-YJL003W,C. glabrata,CAGL0D03102g,Cluster1533
S. cerevisiae,gene-YHR137W,C. glabrata,CAGL0G06028g,Cluster1534
S. cerevisiae,gene-YOR126C,C. glabrata,CAGL0K10296g,Cluster1535
S. cerevisiae,gene-YCR087C-A,C. glabrata,CAGL0E00517g,Cluster1536
C. glabrata,CAGL0L05038g,S. cerevisiae,gene-YKL074C,Cluster1537
S. cerevisiae,gene-YGL210W,C. glabrata,CAGL0K09394g,Cluster1538
S. cerevisiae,gene-YKR018C,C. glabrata,CAGL0G03245g,Cluster1541
S. cerevisiae,gene-YPL075W,C. glabrata,CAGL0H05379g,Cluster1544
S. cerevisiae,gene-YBR139W,C. glabrata,CAGL0M13651g,Cluster1545
S. cerevisiae,gene-YPL023C,C. glabrata,CAGL0J09504g,Cluster1549
C. glabrata,CAGL0M11220g,S. cerevisiae,gene-YMR224C,Cluster1550
C. glabrata,CAGL0B03597g,S. cerevisiae,gene-YEL058W,Cluster1553
C. glabrata,CAGL0I03410g,S. cerevisiae,gene-YDL164C,Cluster1554
S. cerevisiae,gene-YBR140C,C. glabrata,CAGL0M09999g,Cluster1555
C. glabrata,CAGL0J09922g,S. cerevisiae,gene-YNL066W,Cluster1557
C. glabrata,CAGL0J09922g,S. cerevisiae,gene-YIL123W,Cluster1557
S. cerevisiae,gene-YNL066W,C. glabrata,CAGL0G08668g,Cluster1557
S. cerevisiae,gene-YIL123W,C. glabrata,CAGL0G08668g,Cluster1557
C. glabrata,CAGL0F01155g,S. cerevisiae,gene-YOL034W,Cluster156
S. cerevisiae,gene-YML059C,C. glabrata,CAGL0L11154g,Cluster1561
S. cerevisiae,gene-YDR075W,C. glabrata,CAGL0K10208g,Cluster1562
C. glabrata,CAGL0K01331g,S. cerevisiae,gene-YDL047W,Cluster1563
S. cerevisiae,gene-YHR154W,C. glabrata,CAGL0I01958g,Cluster1566
S. cerevisiae,gene-YOR011W,C. glabrata,CAGL0F01419g,Cluster1569
S. cerevisiae,gene-YOL033W,C. glabrata,CAGL0F01133g,Cluster157
S. cerevisiae,gene-YDR119W-A,C. glabrata,CAGL0B01875g,Cluster1570
S. cerevisiae,gene-YDR518W,C. glabrata,CAGL0H01727g,Cluster1572
C. glabrata,CAGL0A02431g,S. cerevisiae,gene-YDR349C,Cluster1573
S. cerevisiae,gene-YNL075W,C. glabrata,CAGL0J10252g,Cluster1574
C. glabrata,CAGL0F02167g,S. cerevisiae,gene-YFL003C,Cluster158
C. glabrata,CAGL0M09867g,S. cerevisiae,gene-YLR408C,Cluster1587
C. glabrata,CAGL0L09603g,S. cerevisiae,gene-YIR010W,Cluster1589
C. glabrata,CAGL0F05335g,S. cerevisiae,gene-YDR208W,Cluster159
C. glabrata,CAGL0L09108g,S. cerevisiae,gene-YPR002W,Cluster1593
C. glabrata,CAGL0K08162g,S. cerevisiae,gene-YKR067W,Cluster1597
S. cerevisiae,gene-YIR013C,C. glabrata,CAGL0I00902g,Cluster1599
C. glabrata,CAGL0L06776g,S. cerevisiae,gene-YLR013W,Cluster1600
S. cerevisiae,gene-YOL072W,C. glabrata,CAGL0I08063g,Cluster1601
S. cerevisiae,gene-YCR067C,C. glabrata,CAGL0J03564g,Cluster1603
S. cerevisiae,gene-YBL011W,C. glabrata,CAGL0E02849g,Cluster1604
S. cerevisiae,gene-YPL021W,C. glabrata,CAGL0D03608g,Cluster1605
S. cerevisiae,gene-YCR018C,C. glabrata,CAGL0D03608g,Cluster1605
S. cerevisiae,gene-YFL021W,C. glabrata,CAGL0K07634g,Cluster1606
S. cerevisiae,gene-YLR238W,C. glabrata,CAGL0G08426g,Cluster1608
C. glabrata,CAGL0K05049g,S. cerevisiae,gene-YNL221C,Cluster1613
S. cerevisiae,gene-YKR023W,C. glabrata,CAGL0L03069g,Cluster1615
S. cerevisiae,gene-YOR359W,C. glabrata,CAGL0K09922g,Cluster1616
S. cerevisiae,gene-YKL007W,C. glabrata,CAGL0K02783g,Cluster1617
C. glabrata,CAGL0A03905g,S. cerevisiae,gene-YLR205C,Cluster1618
S. cerevisiae,gene-YMR262W,C. glabrata,CAGL0H02365g,Cluster1619
C. glabrata,CAGL0J10494g,S. cerevisiae,gene-YDR441C,Cluster1620
C. glabrata,CAGL0J10494g,S. cerevisiae,gene-YML022W,Cluster1620
