species1,gene1,species2,gene2,cluster_id
C. albicans,orf19.498,K. lactis,gene:KLLA0_A11660g,Cluster1208
K. lactis,gene:KLLA0_E03543g,C. albicans,orf19.3898,Cluster1209
C. albicans,orf19.4683,K. lactis,gene:KLLA0_A00594g,Cluster121
C. albicans,orf19.5241,K. lactis,gene:KLLA0_C03564g,Cluster1212
C. albicans,orf19.7089,K. lactis,gene:KLLA0_A03157g,Cluster1223
C. albicans,orf19.1248,K. lactis,gene:KLLA0_D16170g,Cluster1224
C. albicans,orf19.4375.1,K. lactis,gene:KLLA0_C04809g,Cluster1229
K. lactis,gene:KLLA0_C01936g,C. albicans,orf19.669,Cluster1232
K. lactis,gene:KLLA0_D14135g,C. albicans,orf19.2301,Cluster1234
C. albicans,orf19.6597,K. lactis,gene:KLLA0_C04796g,Cluster1235
C. albicans,orf19.5531,K. lactis,gene:KLLA0_D17226g,Cluster1237
C. albicans,orf19.2369,K. lactis,gene:KLLA0_C02607g,Cluster1249
C. albicans,orf19.2378,K. lactis,gene:KLLA0_F17567g,Cluster1250
K. lactis,gene:KLLA0_C17468g,C. albicans,orf19.781,Cluster1251
K. lactis,gene:KLLA0_B11000g,C. albicans,orf19.1043,Cluster1252
K. lactis,gene:KLLA0_C14432g,C. albicans,orf19.1153,Cluster1253
K. lactis,gene:KLLA0_E18503g,C. albicans,orf19.4658,Cluster1254
K. lactis,gene:KLLA0_C08041g,C. albicans,orf19.2379,Cluster1255
C. albicans,orf19.6100,K. lactis,gene:KLLA0_F05027g,Cluster1256
K. lactis,gene:KLLA0_F26653g,C. albicans,orf19.1047,Cluster1257
K. lactis,gene:KLLA0_B02222g,C. albicans,orf19.3480,Cluster1258
C. albicans,orf19.1413,K. lactis,gene:KLLA0_E08845g,Cluster1281
C. albicans,orf19.7437,K. lactis,gene:KLLA0_D08811g,Cluster1282
C. albicans,orf19.1409,K. lactis,gene:KLLA0_F03575g,Cluster1283
K. lactis,gene:KLLA0_E24157g,C. albicans,orf19.3031,Cluster1284
K. lactis,gene:KLLA0_E07063g,C. albicans,orf19.7490,Cluster1285
K. lactis,gene:KLLA0_C14949g,C. albicans,orf19.4090,Cluster1286
K. lactis,gene:KLLA0_A03355g,C. albicans,orf19.2198,Cluster1287
C. albicans,orf19.7261,K. lactis,gene:KLLA0_F09185g,Cluster1289
C. albicans,orf19.4592,K. lactis,gene:KLLA0_E02641g,Cluster1290
C. albicans,orf19.5342.1,K. lactis,gene:KLLA0_B02629g,Cluster1291
C. albicans,orf19.3951,K. lactis,gene:KLLA0_F15015g,Cluster1292
K. lactis,gene:KLLA0_A05324g,C. albicans,orf19.1192,Cluster1293
K. lactis,gene:KLLA0_A06259g,C. albicans,orf19.3686,Cluster1294
C. albicans,orf19.4464,K. lactis,gene:KLLA0_F26334g,Cluster1295
C. albicans,orf19.3228,K. lactis,gene:KLLA0_E20835g,Cluster1296
C. albicans,orf19.4625,K. lactis,gene:KLLA0_C12815g,Cluster1297
C. albicans,orf19.2332,K. lactis,gene:KLLA0_B01452g,Cluster1298
C. albicans,orf19.5226,K. lactis,gene:KLLA0_B07733g,Cluster1299
K. lactis,gene:KLLA0_F21934g,C. albicans,orf19.4164,Cluster1300
K. lactis,gene:KLLA0_C18843g,C. albicans,orf19.5732,Cluster1324
C. albicans,orf19.3736,K. lactis,gene:KLLA0_C00693g,Cluster1325
K. lactis,gene:KLLA0_A01364g,C. albicans,orf19.1232,Cluster1331
K. lactis,gene:KLLA0_C02321g,C. albicans,orf19.4927,Cluster1332
C. albicans,orf19.1691,K. lactis,gene:KLLA0_F06006g,Cluster1334
K. lactis,gene:KLLA0_F06006g,C. albicans,orf19.409,Cluster1334
C. albicans,orf19.4963,K. lactis,gene:KLLA0_D16852g,Cluster1335
K. lactis,gene:KLLA0_F14465g,C. albicans,orf19.6722,Cluster1337
K. lactis,gene:KLLA0_D08349g,C. albicans,orf19.6233,Cluster1338
C. albicans,orf19.7537,K. lactis,gene:KLLA0_F10912g,Cluster1339
C. albicans,orf19.1386,K. lactis,gene:KLLA0_D13992g,Cluster1340
K. lactis,gene:KLLA0_C07689g,C. albicans,orf19.1772,Cluster1344
K. lactis,gene:KLLA0_C14025g,C. albicans,orf19.1771,Cluster1345
C. albicans,orf19.6760,K. lactis,gene:KLLA0_F12452g,Cluster1346
K. lactis,gene:KLLA0_F06831g,C. albicans,orf19.2864.1,Cluster1347
K. lactis,gene:KLLA0_F12188g,C. albicans,orf19.2268,Cluster1348
C. albicans,orf19.3840,K. lactis,gene:KLLA0_D09328g,Cluster1349
C. albicans,orf19.2510,K. lactis,gene:KLLA0_F23463g,Cluster1350
K. lactis,gene:KLLA0_F13552g,C. albicans,orf19.4308,Cluster1353
C. albicans,orf19.3969,K. lactis,gene:KLLA0_A05368g,Cluster1354
K. lactis,gene:KLLA0_F16401g,C. albicans,orf19.3528,Cluster1359
C. albicans,orf19.7010,K. lactis,gene:KLLA0_D13838g,Cluster1360
K. lactis,gene:KLLA0_F02453g,C. albicans,orf19.275,Cluster1361
K. lactis,gene:KLLA0_E04247g,C. albicans,orf19.7652,Cluster1367
K. lactis,gene:KLLA0_D03168g,C. albicans,orf19.3476,Cluster1368
K. lactis,gene:KLLA0_B03586g,C. albicans,orf19.829,Cluster1369
K. lactis,gene:KLLA0_E24025g,C. albicans,orf19.4662,Cluster137
K. lactis,gene:KLLA0_F18194g,C. albicans,orf19.6387,Cluster1370
C. albicans,orf19.5825,K. lactis,gene:KLLA0_C06611g,Cluster1372
C. albicans,orf19.2088,K. lactis,gene:KLLA0_F19426g,Cluster1373
K. lactis,gene:KLLA0_B05423g,C. albicans,orf19.5642,Cluster1378
C. albicans,orf19.7326,K. lactis,gene:KLLA0_B02354g,Cluster1379
C. albicans,orf19.587,K. lactis,gene:KLLA0_C02849g,Cluster138
C. albicans,orf19.2672,K. lactis,gene:KLLA0_D08712g,Cluster1386
C. albicans,orf19.6933,K. lactis,gene:KLLA0_F11187g,Cluster1387
K. lactis,gene:KLLA0_C18909g,C. albicans,orf19.5677,Cluster1388
C. albicans,orf19.4293,K. lactis,gene:KLLA0_E21781g,Cluster140
C. albicans,orf19.5383,K. lactis,gene:KLLA0_A09031g,Cluster1407
C. albicans,orf19.3242,K. lactis,gene:KLLA0_D17204g,Cluster1410
C. albicans,orf19.4245,K. lactis,gene:KLLA0_D09064g,Cluster1419
C. albicans,orf19.386,K. lactis,gene:KLLA0_D01551g,Cluster1421
C. albicans,orf19.5617,K. lactis,gene:KLLA0_E18811g,Cluster1425
K. lactis,gene:KLLA0_C13409g,C. albicans,orf19.1759,Cluster1427
C. albicans,orf19.3625,K. lactis,gene:KLLA0_F16533g,Cluster1428
C. albicans,orf19.878,K. lactis,gene:KLLA0_A06974g,Cluster1429
K. lactis,gene:KLLA0_D00814g,C. albicans,orf19.2146,Cluster143
C. albicans,orf19.2476,K. lactis,gene:KLLA0_C16203g,Cluster1430
C. albicans,orf19.3018,K. lactis,gene:KLLA0_D07260g,Cluster1431
C. albicans,orf19.7221,K. lactis,gene:KLLA0_F02882g,Cluster1432
C. albicans,orf19.4240,K. lactis,gene:KLLA0_C02101g,Cluster1433
C. albicans,orf19.555,K. lactis,gene:KLLA0_B07447g,Cluster1434
C. albicans,orf19.654,K. lactis,gene:KLLA0_B07447g,Cluster1434
C. albicans,orf19.6680,K. lactis,gene:KLLA0_E13993g,Cluster1437
C. albicans,orf19.4568,K. lactis,gene:KLLA0_E13993g,Cluster1437
K. lactis,gene:KLLA0_C18953g,C. albicans,orf19.4573,Cluster1438
K. lactis,gene:KLLA0_F24002g,C. albicans,orf19.4399,Cluster1439
K. lactis,gene:KLLA0_C10318g,C. albicans,orf19.7646,Cluster144
C. albicans,orf19.2172,K. lactis,gene:KLLA0_F02728g,Cluster1440
C. albicans,orf19.6018,K. lactis,gene:KLLA0_F06380g,Cluster1443
K. lactis,gene:KLLA0_F04609g,C. albicans,orf19.166,Cluster1444
K. lactis,gene:KLLA0_C03201g,C. albicans,orf19.166,Cluster1444
C. albicans,orf19.7374,K. lactis,gene:KLLA0_F22880g,Cluster1445
K. lactis,gene:KLLA0_F22990g,C. albicans,orf19.6182,Cluster1446
C. albicans,orf19.6758,K. lactis,gene:KLLA0_B14707g,Cluster1447
C. albicans,orf19.6758,K. lactis,gene:KLLA0_D10109g,Cluster1447
C. albicans,orf19.6757,K. lactis,gene:KLLA0_B14707g,Cluster1447
C. albicans,orf19.6757,K. lactis,gene:KLLA0_D10109g,Cluster1447
C. albicans,orf19.5768,K. lactis,gene:KLLA0_F10769g,Cluster145
K. lactis,gene:KLLA0_D12650g,C. albicans,orf19.1822,Cluster1459
K. lactis,gene:KLLA0_F00572g,C. albicans,orf19.4251,Cluster1461
K. lactis,gene:KLLA0_A09119g,C. albicans,orf19.4767,Cluster1463
C. albicans,orf19.316,K. lactis,gene:KLLA0_C16643g,Cluster1465
K. lactis,gene:KLLA0_F12276g,C. albicans,orf19.6905,Cluster1467
C. albicans,orf19.4778,K. lactis,gene:KLLA0_F04213g,Cluster1468
K. lactis,gene:KLLA0_A08800g,C. albicans,orf19.5388,Cluster1469
C. albicans,orf19.109,K. lactis,gene:KLLA0_E24267g,Cluster1472
K. lactis,gene:KLLA0_F16621g,C. albicans,orf19.1659,Cluster1473
C. albicans,orf19.2745,K. lactis,gene:KLLA0_F20680g,Cluster1476
K. lactis,gene:KLLA0_C16489g,C. albicans,orf19.1168,Cluster1478
K. lactis,gene:KLLA0_F10373g,C. albicans,orf19.7381,Cluster1480
K. lactis,gene:KLLA0_D08305g,C. albicans,orf19.6312,Cluster1495
C. albicans,orf19.6246,K. lactis,gene:KLLA0_B11275g,Cluster1509
C. albicans,orf19.6585,K. lactis,gene:KLLA0_A03553g,Cluster1525
C. albicans,orf19.5104,K. lactis,gene:KLLA0_B09174g,Cluster1528
K. lactis,gene:KLLA0_B06622g,C. albicans,orf19.4192,Cluster1529
K. lactis,gene:KLLA0_E12101g,C. albicans,orf19.4381,Cluster1530
C. albicans,orf19.6132,K. lactis,gene:KLLA0_F02079g,Cluster1531
C. albicans,orf19.808,K. lactis,gene:KLLA0_F07821g,Cluster1532
C. albicans,orf19.7665,K. lactis,gene:KLLA0_F13024g,Cluster1533
C. albicans,orf19.1237,K. lactis,gene:KLLA0_D11110g,Cluster1534
K. lactis,gene:KLLA0_E02509g,C. albicans,orf19.7667,Cluster1535
C. albicans,orf19.7664,K. lactis,gene:KLLA0_F10219g,Cluster1536
K. lactis,gene:KLLA0_F26433g,C. albicans,orf19.5828,Cluster1537
C. albicans,orf19.5321,K. lactis,gene:KLLA0_D12188g,Cluster1549
K. lactis,gene:KLLA0_C06930g,C. albicans,orf19.6915,Cluster1550
K. lactis,gene:KLLA0_D00858g,C. albicans,orf19.5013,Cluster1553
C. albicans,orf19.2417,K. lactis,gene:KLLA0_F07997g,Cluster156
K. lactis,gene:KLLA0_B05225g,C. albicans,orf19.6396,Cluster1561
C. albicans,orf19.4378,K. lactis,gene:KLLA0_E10055g,Cluster1562
K. lactis,gene:KLLA0_D03652g,C. albicans,orf19.5200,Cluster1563
K. lactis,gene:KLLA0_F07975g,C. albicans,orf19.2415,Cluster157
C. albicans,orf19.603,K. lactis,gene:KLLA0_E07833g,Cluster1574
K. lactis,gene:KLLA0_F11022g,C. albicans,orf19.2579,Cluster158
K. lactis,gene:KLLA0_A04301g,C. albicans,orf19.3153,Cluster159
K. lactis,gene:KLLA0_F16104g,C. albicans,orf19.5815,Cluster1597
K. lactis,gene:KLLA0_F17116g,C. albicans,orf19.1577,Cluster1599
K. lactis,gene:KLLA0_D03674g,C. albicans,orf19.5276,Cluster1601
K. lactis,gene:KLLA0_B10538g,C. albicans,orf19.1289,Cluster1604
K. lactis,gene:KLLA0_F09757g,C. albicans,orf19.4869,Cluster1605
C. albicans,orf19.1275,K. lactis,gene:KLLA0_A01342g,Cluster1606
C. albicans,orf19.1382,K. lactis,gene:KLLA0_D13926g,Cluster161
C. albicans,orf19.2404,K. lactis,gene:KLLA0_D19448g,Cluster1613
K. lactis,gene:KLLA0_F08393g,C. albicans,orf19.3670,Cluster1614
C. albicans,orf19.2391,K. lactis,gene:KLLA0_F13882g,Cluster1615
C. albicans,orf19.2973,K. lactis,gene:KLLA0_A03641g,Cluster1616
K. lactis,gene:KLLA0_B13453g,C. albicans,orf19.3235,Cluster1617
K. lactis,gene:KLLA0_D12474g,C. albicans,orf19.6073,Cluster1618
C. albicans,orf19.6744,K. lactis,gene:KLLA0_E11243g,Cluster1619
K. lactis,gene:KLLA0_E00551g,C. albicans,orf19.5854,Cluster162
C. albicans,orf19.1448,K. lactis,gene:KLLA0_B01309g,Cluster1620
K. lactis,gene:KLLA0_E02619g,C. albicans,orf19.4593.1,Cluster1621
C. albicans,orf19.7425,K. lactis,gene:KLLA0_B01265g,Cluster1622
K. lactis,gene:KLLA0_B08305g,C. albicans,orf19.1574,Cluster1623
K. lactis,gene:KLLA0_E00507g,C. albicans,orf19.321,Cluster1631
K. lactis,gene:KLLA0_C04389g,C. albicans,orf19.3138,Cluster1635
C. albicans,orf19.59,K. lactis,gene:KLLA0_F01727g,Cluster1636
C. albicans,orf19.6197,K. lactis,gene:KLLA0_C16599g,Cluster1637
C. albicans,orf19.2111,K. lactis,gene:KLLA0_C18194g,Cluster1638
C. albicans,orf19.7152,K. lactis,gene:KLLA0_F01815g,Cluster1639
K. lactis,gene:KLLA0_E18679g,C. albicans,orf19.2115,Cluster164
C. albicans,orf19.672,K. lactis,gene:KLLA0_C15433g,Cluster1640
K. lactis,gene:KLLA0_F15752g,C. albicans,orf19.7635,Cluster1641
K. lactis,gene:KLLA0_F10505g,C. albicans,orf19.6831,Cluster1642
C. albicans,orf19.6652,K. lactis,gene:KLLA0_A05203g,Cluster1643
K. lactis,gene:KLLA0_C15499g,C. albicans,orf19.4870,Cluster1644
C. albicans,orf19.3962,K. lactis,gene:KLLA0_A09669g,Cluster1645
K. lactis,gene:KLLA0_F23716g,C. albicans,orf19.171,Cluster1646
K. lactis,gene:KLLA0_F16555g,C. albicans,orf19.3527,Cluster1648
K. lactis,gene:KLLA0_B03135g,C. albicans,orf19.3536,Cluster165
C. albicans,orf19.4676,K. lactis,gene:KLLA0_C12639g,Cluster1650
C. albicans,orf19.7388,K. lactis,gene:KLLA0_E15313g,Cluster1651
C. albicans,orf19.4723,K. lactis,gene:KLLA0_E13377g,Cluster1652
C. albicans,orf19.5024,K. lactis,gene:KLLA0_A09339g,Cluster166
K. lactis,gene:KLLA0_B11968g,C. albicans,orf19.5777,Cluster1668
C. albicans,orf19.285,K. lactis,gene:KLLA0_F27907g,Cluster167
K. lactis,gene:KLLA0_A00550g,C. albicans,orf19.4680,Cluster1672
K. lactis,gene:KLLA0_F04774g,C. albicans,orf19.6562,Cluster1675
K. lactis,gene:KLLA0_A02453g,C. albicans,orf19.2351,Cluster1676
K. lactis,gene:KLLA0_F08569g,C. albicans,orf19.4199,Cluster1678
C. albicans,orf19.5058,K. lactis,gene:KLLA0_E15775g,Cluster168
C. albicans,orf19.6972,K. lactis,gene:KLLA0_E15775g,Cluster168
K. lactis,gene:KLLA0_D04752g,C. albicans,orf19.2343,Cluster1681
C. albicans,orf19.1635,K. lactis,gene:KLLA0_A01903g,Cluster1682
K. lactis,gene:KLLA0_D11924g,C. albicans,orf19.1154,Cluster1683
K. lactis,gene:KLLA0_F07579g,C. albicans,orf19.5105,Cluster1684
K. lactis,gene:KLLA0_E04379g,C. albicans,orf19.7558,Cluster1695
K. lactis,gene:KLLA0_E21275g,C. albicans,orf19.2326,Cluster1696
K. lactis,gene:KLLA0_F17094g,C. albicans,orf19.2926,Cluster1698
K. lactis,gene:KLLA0_D09889g,C. albicans,orf19.4159,Cluster17
C. albicans,orf19.3231,K. lactis,gene:KLLA0_E20857g,Cluster1700
K. lactis,gene:KLLA0_B05995g,C. albicans,orf19.5573,Cluster1701
C. albicans,orf19.6092,K. lactis,gene:KLLA0_E15511g,Cluster1702
C. albicans,orf19.1721,K. lactis,gene:KLLA0_F04037g,Cluster1703
C. albicans,orf19.3203,K. lactis,gene:KLLA0_C03300g,Cluster1704
K. lactis,gene:KLLA0_E24509g,C. albicans,orf19.3140.1,Cluster1705
C. albicans,orf19.3058,K. lactis,gene:KLLA0_C02761g,Cluster1706
C. albicans,orf19.6867,K. lactis,gene:KLLA0_B04796g,Cluster1707
C. albicans,orf19.1034,K. lactis,gene:KLLA0_B04796g,Cluster1707
K. lactis,gene:KLLA0_C05786g,C. albicans,orf19.1429,Cluster1708
K. lactis,gene:KLLA0_D04796g,C. albicans,orf19.1833,Cluster1709
K. lactis,gene:KLLA0_D12980g,C. albicans,orf19.7593,Cluster171
K. lactis,gene:KLLA0_C09757g,C. albicans,orf19.489,Cluster1710
K. lactis,gene:KLLA0_F20900g,C. albicans,orf19.6489,Cluster1711
C. albicans,orf19.3414,K. lactis,gene:KLLA0_A08184g,Cluster1712
C. albicans,orf19.2365,K. lactis,gene:KLLA0_C02585g,Cluster1724
K. lactis,gene:KLLA0_B13948g,C. albicans,orf19.2290,Cluster1727
K. lactis,gene:KLLA0_F12034g,C. albicans,orf19.2129,Cluster1729
K. lactis,gene:KLLA0_E02289g,C. albicans,orf19.5076,Cluster1730
K. lactis,gene:KLLA0_F08459g,C. albicans,orf19.3185,Cluster1732
C. albicans,orf19.3182,K. lactis,gene:KLLA0_C02805g,Cluster1734
C. albicans,orf19.319,K. lactis,gene:KLLA0_C10901g,Cluster1735
K. lactis,gene:KLLA0_E16589g,C. albicans,orf19.4185,Cluster1736
K. lactis,gene:KLLA0_A07513g,C. albicans,orf19.3183,Cluster1737
C. albicans,orf19.5992,K. lactis,gene:KLLA0_A03421g,Cluster1746
K. lactis,gene:KLLA0_F00330g,C. albicans,orf19.366,Cluster1747
K. lactis,gene:KLLA0_C18315g,C. albicans,orf19.7492,Cluster1758
K. lactis,gene:KLLA0_A09823g,C. albicans,orf19.3949,Cluster176
K. lactis,gene:KLLA0_E09615g,C. albicans,orf19.1457,Cluster1761
C. albicans,orf19.4894,K. lactis,gene:KLLA0_D13442g,Cluster1763
K. lactis,gene:KLLA0_C07579g,C. albicans,orf19.3312,Cluster1764
C. albicans,orf19.1617,K. lactis,gene:KLLA0_C11165g,Cluster1766
K. lactis,gene:KLLA0_F07293g,C. albicans,orf19.3061,Cluster1767
C. albicans,orf19.2209,K. lactis,gene:KLLA0_C13772g,Cluster1768
C. albicans,orf19.7413,K. lactis,gene:KLLA0_A11462g,Cluster177
K. lactis,gene:KLLA0_E06931g,C. albicans,orf19.1210,Cluster1775
K. lactis,gene:KLLA0_D10615g,C. albicans,orf19.3218,Cluster1777
C. albicans,orf19.4909.1,K. lactis,gene:KLLA0_D07832g,Cluster1778
C. albicans,orf19.2458,K. lactis,gene:KLLA0_E22045g,Cluster1779
C. albicans,orf19.2185,K. lactis,gene:KLLA0_F10593g,Cluster1780
C. albicans,orf19.5420,K. lactis,gene:KLLA0_A02035g,Cluster1781
C. albicans,orf19.729.1,K. lactis,gene:KLLA0_D05819g,Cluster1784
K. lactis,gene:KLLA0_B06237g,C. albicans,orf19.7063,Cluster1785
K. lactis,gene:KLLA0_E20923g,C. albicans,orf19.6457,Cluster1786
C. albicans,orf19.794,K. lactis,gene:KLLA0_D11814g,Cluster1787
K. lactis,gene:KLLA0_E00903g,C. albicans,orf19.2771,Cluster1788
C. albicans,orf19.2771,K. lactis,gene:KLLA0_F00814g,Cluster1788
K. lactis,gene:KLLA0_E06469g,C. albicans,orf19.5897,Cluster1789
C. albicans,orf19.4593,K. lactis,gene:KLLA0_E02597g,Cluster1795
C. albicans,orf19.6936,K. lactis,gene:KLLA0_F11143g,Cluster1798
C. albicans,orf19.4985,K. lactis,gene:KLLA0_E19185g,Cluster180
C. albicans,orf19.5996.1,K. lactis,gene:KLLA0_A07194g,Cluster1801
K. lactis,gene:KLLA0_A04961g,C. albicans,orf19.7498,Cluster1803
C. albicans,orf19.7387,K. lactis,gene:KLLA0_E23937g,Cluster1804
C. albicans,orf19.4882,K. lactis,gene:KLLA0_A05951g,Cluster1805
C. albicans,orf19.4879.2,K. lactis,gene:KLLA0_D13508g,Cluster1807
K. lactis,gene:KLLA0_F07249g,C. albicans,orf19.3116,Cluster1809
C. albicans,orf19.1214,K. lactis,gene:KLLA0_E06887g,Cluster1811
C. albicans,orf19.6659,K. lactis,gene:KLLA0_A11770g,Cluster1813
K. lactis,gene:KLLA0_A10813g,C. albicans,orf19.3195,Cluster1815
C. albicans,orf19.7566,K. lactis,gene:KLLA0_C01606g,Cluster1819
C. albicans,orf19.989,K. lactis,gene:KLLA0_B11473g,Cluster182
C. albicans,orf19.2445,K. lactis,gene:KLLA0_B14685g,Cluster1821
C. albicans,orf19.4679,K. lactis,gene:KLLA0_C15873g,Cluster1823
K. lactis,gene:KLLA0_E16281g,C. albicans,orf19.2942,Cluster1825
C. albicans,orf19.4456,K. lactis,gene:KLLA0_B06776g,Cluster1826
K. lactis,gene:KLLA0_C00737g,C. albicans,orf19.76,Cluster1837
C. albicans,orf19.1290,K. lactis,gene:KLLA0_E09769g,Cluster1838
K. lactis,gene:KLLA0_F20570g,C. albicans,orf19.6929,Cluster1839
K. lactis,gene:KLLA0_F16643g,C. albicans,orf19.2867,Cluster184
K. lactis,gene:KLLA0_F18414g,C. albicans,orf19.6751,Cluster1840
C. albicans,orf19.7364,K. lactis,gene:KLLA0_B14619g,Cluster1841
C. albicans,orf19.7601,K. lactis,gene:KLLA0_B01980g,Cluster1842
