cluster_id,original_id,species
Cluster87,CAGL0L11352g,C_glabrata
Cluster87,gene-YML069W,S_cerevisiae
Cluster87,gene:KLLA0_B04906g,K_lactis
Cluster88,orf19.524,C_albicans
Cluster88,gene:KLLA0_F12606g,K_lactis
Cluster88,CAGL0K02013g,C_glabrata
Cluster89,orf19.3206,C_albicans
Cluster89,gene-YJL111W,S_cerevisiae
Cluster89,CAGL0G04367g,C_glabrata
Cluster90,orf19.5987,C_albicans
Cluster90,gene:KLLA0_C12903g,K_lactis
Cluster90,CAGL0E01925g,C_glabrata
Cluster90,gene-YOL124C,S_cerevisiae
Cluster91,orf19.4349,C_albicans
Cluster91,gene-YOL070C,S_cerevisiae
Cluster91,CAGL0I08107g,C_glabrata
Cluster91,gene:KLLA0_E13421g,K_lactis
Cluster92,gene:KLLA0_E13509g,K_lactis
Cluster92,CAGL0K02321g,C_glabrata
Cluster92,gene-YPR023C,S_cerevisiae
Cluster92,orf19.2660,C_albicans
Cluster93,orf19.2278,C_albicans
Cluster93,CAGL0K00451g,C_glabrata
Cluster93,gene-YKL206C,S_cerevisiae
Cluster93,gene:KLLA0_B14102g,K_lactis
Cluster94,gene-YLR450W,S_cerevisiae
Cluster94,gene:KLLA0_B04642g,K_lactis
Cluster94,gene-YML075C,S_cerevisiae
Cluster94,CAGL0L11506g,C_glabrata
Cluster94,orf19.1031,C_albicans
Cluster95,gene:KLLA0_F18502g,K_lactis
Cluster95,CAGL0L07458g,C_glabrata
Cluster95,gene-YBR065C,S_cerevisiae
Cluster95,orf19.5364,C_albicans
Cluster96,tS(GCU)1,unknown
Cluster96,tS(GCU)2,unknown
Cluster96,CAGL0H01991r,C_glabrata
Cluster96,CAGL0M01012r,C_glabrata
Cluster96,gene-YNCF0009C,S_cerevisiae
Cluster96,gene-YNCO0008W,S_cerevisiae
Cluster97,orf19.281,C_albicans
Cluster97,gene:KLLA0_C03278g,K_lactis
Cluster97,orf19.295,C_albicans
Cluster98,gene:KLLA0_E05919g,K_lactis
Cluster98,gene-YBL050W,S_cerevisiae
Cluster98,CAGL0F04653g,C_glabrata
Cluster98,orf19.2518,C_albicans
Cluster99,gene:KLLA0_A10769g,K_lactis
Cluster99,gene-YFR011C,S_cerevisiae
Cluster99,CAGL0K10516g,C_glabrata
Cluster99,orf19.6062.3,C_albicans
Cluster100,gene:KLLA0_D16302g,K_lactis
Cluster100,CAGL0I10472g,C_glabrata
Cluster100,gene-YGR132C,S_cerevisiae
Cluster100,orf19.357,C_albicans
Cluster101,gene:KLLA0_D13134g,K_lactis
Cluster101,gene-YHR076W,S_cerevisiae
Cluster101,orf19.5661,C_albicans
Cluster102,orf19.3838,C_albicans
Cluster102,gene-YAL003W,S_cerevisiae
Cluster102,CAGL0F08547g,C_glabrata
Cluster103,orf19.6679,C_albicans
Cluster103,gene:KLLA0_B12980g,K_lactis
Cluster103,orf19.4789,C_albicans
Cluster104,orf19.7009,C_albicans
Cluster105,orf19.5079.1,C_albicans
Cluster106,CAGL0M07832g,C_glabrata
Cluster106,gene-YJR021C,S_cerevisiae
Cluster107,gene-YGR018C,S_cerevisiae
Cluster108,CAGL0A04532r,C_glabrata
Cluster109,CAGL0F08767g,C_glabrata
Cluster110,CAGL0F08591g,C_glabrata
Cluster111,CAGL0B01589g,C_glabrata
Cluster112,gene-YMR158C-A,S_cerevisiae
Cluster113,gene-YLR154C-H,S_cerevisiae
Cluster114,CAGL0A03051g,C_glabrata
Cluster115,gene-YNCE0008C,S_cerevisiae
Cluster116,orf19.5227,C_albicans
Cluster116,gene:KLLA0_F15554g,K_lactis
Cluster116,CAGL0D03278g,C_glabrata
Cluster116,gene-YLR021W,S_cerevisiae
Cluster117,orf19.7440,C_albicans
Cluster117,CAGL0K00363g,C_glabrata
Cluster117,gene-YKL209C,S_cerevisiae
Cluster117,gene:KLLA0_B14256g,K_lactis
Cluster118,orf19.7448,C_albicans
Cluster118,gene:KLLA0_C18744g,K_lactis
Cluster118,CAGL0C03443g,C_glabrata
Cluster118,gene-YNR050C,S_cerevisiae
Cluster119,CAGL0M06017g,C_glabrata
Cluster119,gene-YBR166C,S_cerevisiae
Cluster119,gene:KLLA0_E24729g,K_lactis
Cluster119,orf19.4605,C_albicans
Cluster120,orf19.3921,C_albicans
Cluster120,gene:KLLA0_C06996g,K_lactis
Cluster120,CAGL0M11176g,C_glabrata
Cluster120,gene-YMR222C,S_cerevisiae
Cluster121,orf19.4683,C_albicans
Cluster121,gene:KLLA0_A00594g,K_lactis
Cluster121,CAGL0G02497g,C_glabrata
Cluster121,gene-YKR095W,S_cerevisiae
Cluster122,orf19.1956,C_albicans
Cluster123,gene-YNL097C-B,S_cerevisiae
Cluster124,CAGL0B00715g,C_glabrata
Cluster125,gene-YJR108W,S_cerevisiae
Cluster126,gene-YBR201C-A,S_cerevisiae
Cluster127,gene-YNCG0015C,S_cerevisiae
Cluster128,gene-YHR050W-A,S_cerevisiae
Cluster129,orf19.5077,C_albicans
Cluster130,CaalfMp05,unknown
Cluster130,CaglfMp10,unknown
Cluster130,gene-Q0130,unknown
Cluster131,gene-YBR107C,S_cerevisiae
Cluster132,gene-YNCK0010W,S_cerevisiae
Cluster132,CAGL0F07205r,C_glabrata
Cluster132,CAGL0G09405r,C_glabrata
Cluster132,gene-YNCJ0019C,S_cerevisiae
Cluster133,orf19.3014,C_albicans
Cluster133,gene-YDR099W,S_cerevisiae
Cluster133,CAGL0L12056g,C_glabrata
Cluster134,orf19.6661,C_albicans
Cluster135,orf19.4899,C_albicans
Cluster136,orf19.2046,C_albicans
Cluster137,gene-YPL089C,S_cerevisiae
Cluster137,CAGL0M06325g,C_glabrata
Cluster137,CAGL0H05621g,C_glabrata
Cluster137,gene-YBR182C,S_cerevisiae
Cluster137,gene:KLLA0_E24025g,K_lactis
Cluster137,orf19.4662,C_albicans
Cluster138,orf19.587,C_albicans
Cluster138,gene:KLLA0_C02849g,K_lactis
Cluster138,CAGL0J07854g,C_glabrata
Cluster138,gene-YNL253W,S_cerevisiae
Cluster139,gene:KLLA0_D15631g,K_lactis
Cluster139,gene-YPR122W,S_cerevisiae
Cluster139,CAGL0D04686g,C_glabrata
Cluster140,orf19.4293,C_albicans
Cluster140,gene:KLLA0_E21781g,K_lactis
Cluster140,gene-YDR267C,S_cerevisiae
Cluster140,CAGL0M08646g,C_glabrata
Cluster141,orf19.1704,C_albicans
Cluster142,orf19.450,C_albicans
Cluster143,gene-YEL056W,S_cerevisiae
Cluster143,CAGL0B03575g,C_glabrata
Cluster143,gene:KLLA0_D00814g,K_lactis
Cluster143,orf19.2146,C_albicans
Cluster144,gene:KLLA0_C10318g,K_lactis
Cluster144,gene-YHR034C,S_cerevisiae
Cluster144,CAGL0D03916g,C_glabrata
Cluster144,orf19.7646,C_albicans
Cluster145,orf19.5768,C_albicans
Cluster145,gene:KLLA0_F10769g,K_lactis
Cluster145,gene-YGL115W,S_cerevisiae
Cluster145,CAGL0F07315g,C_glabrata
Cluster146,gene:KLLA0_D07524g,K_lactis
Cluster147,gene-YFL020C,S_cerevisiae
Cluster148,gene:KLLA0_D07579g,K_lactis
Cluster149,gene-YNL199C,S_cerevisiae
Cluster149,CAGL0G05379g,C_glabrata
Cluster149,gene:KLLA0_F20790g,K_lactis
Cluster150,gene-YGL025C,S_cerevisiae
Cluster150,CAGL0A01325g,C_glabrata
Cluster151,CAGL0M05819g,C_glabrata
Cluster152,gene-YLR037C,S_cerevisiae
Cluster153,gene-YAR020C,S_cerevisiae
Cluster154,gene-YJR150C,S_cerevisiae
Cluster155,gene:KLLA0_D07612g,K_lactis
Cluster156,orf19.2417,C_albicans
Cluster156,gene:KLLA0_F07997g,K_lactis
Cluster156,CAGL0F01155g,C_glabrata
Cluster156,gene-YOL034W,S_cerevisiae
Cluster157,gene-YOL033W,S_cerevisiae
Cluster157,CAGL0F01133g,C_glabrata
Cluster157,gene:KLLA0_F07975g,K_lactis
Cluster157,orf19.2415,C_albicans
Cluster158,gene:KLLA0_F11022g,K_lactis
Cluster158,CAGL0F02167g,C_glabrata
Cluster158,gene-YFL003C,S_cerevisiae
Cluster158,orf19.2579,C_albicans
Cluster159,CAGL0F05335g,C_glabrata
Cluster159,gene-YDR208W,S_cerevisiae
Cluster159,gene:KLLA0_A04301g,K_lactis
Cluster159,orf19.3153,C_albicans
Cluster160,CAGL0G04279g,C_glabrata
Cluster161,orf19.1382,C_albicans
Cluster161,gene-YEL004W,S_cerevisiae
Cluster161,gene:KLLA0_D13926g,K_lactis
Cluster162,gene-YLL046C,S_cerevisiae
Cluster162,gene:KLLA0_E00551g,K_lactis
Cluster162,orf19.5854,C_albicans
Cluster163,orf19.5257,C_albicans
Cluster163,CAGL0L04554g,C_glabrata
Cluster163,gene-YLR260W,S_cerevisiae
Cluster164,gene:KLLA0_E18679g,K_lactis
Cluster164,CAGL0K02937g,C_glabrata
Cluster164,gene-YKL027W,S_cerevisiae
Cluster164,orf19.2115,C_albicans
Cluster165,gene:KLLA0_B03135g,K_lactis
Cluster165,orf19.3536,C_albicans
Cluster166,orf19.5024,C_albicans
Cluster166,gene:KLLA0_A09339g,K_lactis
Cluster166,gene-YHR183W,S_cerevisiae
Cluster167,orf19.285,C_albicans
Cluster167,CAGL0G06094g,C_glabrata
Cluster167,gene-YNL157W,S_cerevisiae
Cluster167,gene-YHR132W-A,S_cerevisiae
Cluster167,gene:KLLA0_F27907g,K_lactis
Cluster168,orf19.5058,C_albicans
Cluster168,orf19.6972,C_albicans
Cluster168,CAGL0L06534g,C_glabrata
Cluster168,gene-YGR229C,S_cerevisiae
Cluster168,gene:KLLA0_E15775g,K_lactis
Cluster169,orf19.2478.1,C_albicans
Cluster169,gene-YGL076C,S_cerevisiae
Cluster170,gene:KLLA0_D15565g,K_lactis
Cluster170,CAGL0D04642g,C_glabrata
Cluster170,gene-YPR120C,S_cerevisiae
Cluster171,gene:KLLA0_D12980g,K_lactis
Cluster171,gene-YDR321W,S_cerevisiae
Cluster171,CAGL0H07051g,C_glabrata
Cluster171,orf19.7593,C_albicans
Cluster172,orf19.3565,C_albicans
Cluster173,orf19.3563,C_albicans
Cluster174,gene-YFL059W,S_cerevisiae
Cluster174,gene:KLLA0_A00374g,K_lactis
Cluster175,gene:KLLA0_B12496g,K_lactis
Cluster175,gene-YMR111C,S_cerevisiae
Cluster176,CAGL0G00528g,C_glabrata
Cluster176,gene-YGR270W,S_cerevisiae
Cluster176,gene:KLLA0_A09823g,K_lactis
Cluster176,orf19.3949,C_albicans
Cluster177,orf19.7413,C_albicans
Cluster177,gene-YEL019C,S_cerevisiae
Cluster177,CAGL0M03267g,C_glabrata
Cluster177,gene:KLLA0_A11462g,K_lactis
Cluster178,gene:KLLA0_A02431g,K_lactis
Cluster179,orf19.7499,C_albicans
Cluster179,gene-YLR328W,S_cerevisiae
Cluster179,gene-YGR010W,S_cerevisiae
Cluster179,CAGL0A01023g,C_glabrata
Cluster180,orf19.4985,C_albicans
Cluster180,CAGL0H03223g,C_glabrata
Cluster180,gene-YPL189W,S_cerevisiae
Cluster180,gene-YGL084C,S_cerevisiae
Cluster180,gene:KLLA0_E19185g,K_lactis
Cluster181,orf19.5288.1,C_albicans
Cluster182,orf19.989,C_albicans
Cluster182,CAGL0D05412g,C_glabrata
Cluster182,gene-YBR251W,S_cerevisiae
Cluster182,gene:KLLA0_B11473g,K_lactis
Cluster183,gene-YMR096W,S_cerevisiae
Cluster184,gene:KLLA0_F16643g,K_lactis
Cluster184,CAGL0L10472g,C_glabrata
Cluster184,gene-YOR069W,S_cerevisiae
Cluster184,orf19.2867,C_albicans
Cluster185,orf19.6422,C_albicans
Cluster185,CAGL0I06116g,C_glabrata
Cluster185,gene-YJL156C,S_cerevisiae
Cluster185,gene:KLLA0_B07491g,K_lactis
Cluster186,orf19.6231,C_albicans
Cluster186,gene-YNL185C,S_cerevisiae
Cluster186,CAGL0J11330g,C_glabrata
Cluster186,gene:KLLA0_D08437g,K_lactis
Cluster187,CAGL0I09328g,C_glabrata
Cluster187,gene-YBR265W,S_cerevisiae
Cluster187,gene:KLLA0_F01749g,K_lactis
Cluster187,orf19.6131,C_albicans
Cluster188,CAGL0K08800g,C_glabrata
Cluster188,gene-YMR009W,S_cerevisiae
Cluster188,gene:KLLA0_D14487g,K_lactis
Cluster188,orf19.2306,C_albicans
Cluster189,gene:KLLA0_D13904g,K_lactis
Cluster189,gene-YEL003W,S_cerevisiae
Cluster189,CAGL0L02387g,C_glabrata
Cluster189,orf19.2305,C_albicans
Cluster190,orf19.172,C_albicans
Cluster190,CAGL0L03872g,C_glabrata
Cluster190,gene-YNL113W,S_cerevisiae
Cluster190,gene:KLLA0_F23760g,K_lactis
Cluster191,orf19.7217,C_albicans
Cluster191,gene-YDR012W,S_cerevisiae
Cluster191,CAGL0B04257g,C_glabrata
Cluster191,gene:KLLA0_B07139g,K_lactis
Cluster191,gene-YBR031W,S_cerevisiae
Cluster192,orf19.4200,C_albicans
Cluster193,CAGL0I08987g,C_glabrata
Cluster193,gene-YHR018C,S_cerevisiae
Cluster193,gene:KLLA0_A08404g,K_lactis
Cluster193,orf19.6689,C_albicans
Cluster194,gene-YIL164C,S_cerevisiae
Cluster195,orf19.2309,C_albicans
Cluster195,gene:KLLA0_D14531g,K_lactis
Cluster195,gene-YOR017W,S_cerevisiae
Cluster195,CAGL0F01331g,C_glabrata
Cluster196,orf19.458.1,C_albicans
Cluster197,orf19.420,C_albicans
Cluster198,orf19.6282,C_albicans
Cluster199,CAGL0E03267g,C_glabrata
Cluster199,gene-YGR161C,S_cerevisiae
Cluster199,gene:KLLA0_C11539g,K_lactis
Cluster199,orf19.7504,C_albicans
Cluster200,gene:KLLA0_E10429g,K_lactis
Cluster200,CAGL0J04400g,C_glabrata
Cluster200,gene-YBL021C,S_cerevisiae
Cluster200,orf19.4647,C_albicans
Cluster200,orf19.517,C_albicans
Cluster201,orf19.733,C_albicans
Cluster202,orf19.3946,C_albicans
Cluster202,gene:KLLA0_B08019g,K_lactis
Cluster202,gene-YGR062C,S_cerevisiae
Cluster202,CAGL0K04521g,C_glabrata
Cluster203,gene-YJL037W,S_cerevisiae
Cluster204,gene-YFL019C,S_cerevisiae
Cluster205,CAGL0I01078g,C_glabrata
Cluster206,gene-YMR007W,S_cerevisiae
Cluster207,orf19.1400,C_albicans
Cluster208,orf19.2910,C_albicans
Cluster209,gene-YLR036C,S_cerevisiae
Cluster210,CAGL0I06457g,C_glabrata
Cluster211,CAGL0A04631g,C_glabrata
Cluster211,gene-YBL081W,S_cerevisiae
Cluster211,gene:KLLA0_E20681g,K_lactis
Cluster212,orf19.2903,C_albicans
Cluster213,gene-YAL029C,S_cerevisiae
Cluster213,CAGL0G06336g,C_glabrata
Cluster214,orf19.2974,C_albicans
Cluster214,CAGL0D03498g,C_glabrata
Cluster214,gene-YKL196C,S_cerevisiae
Cluster214,gene:KLLA0_D02684g,K_lactis
Cluster215,gene-YJL001W,S_cerevisiae
Cluster215,CAGL0D03058g,C_glabrata
Cluster215,gene:KLLA0_F12936g,K_lactis
Cluster215,orf19.6991,C_albicans
Cluster216,orf19.1083,C_albicans
Cluster216,gene:KLLA0_F17215g,K_lactis
Cluster216,CAGL0K03883g,C_glabrata
Cluster216,gene-YMR132C,S_cerevisiae
Cluster217,gene-YPL027W,S_cerevisiae
Cluster218,gene:KLLA0_E16567g,K_lactis
Cluster218,gene-YJR017C,S_cerevisiae
Cluster218,CAGL0B04037g,C_glabrata
Cluster218,orf19.5196,C_albicans
Cluster219,CAGL0G01276g,C_glabrata
Cluster220,gene-YIL153W,S_cerevisiae
Cluster220,CAGL0H06655g,C_glabrata
Cluster220,gene:KLLA0_A00462g,K_lactis
Cluster220,orf19.6792,C_albicans
Cluster221,gene:KLLA0_B02134g,K_lactis
Cluster221,gene-YPL214C,S_cerevisiae
Cluster221,CAGL0E05808g,C_glabrata
Cluster221,orf19.277,C_albicans
Cluster222,gene:KLLA0_D15939g,K_lactis
Cluster222,gene-YIL016W,S_cerevisiae
Cluster222,CAGL0J02310g,C_glabrata
Cluster223,gene:KLLA0_B04587g,K_lactis
Cluster223,gene-YJR125C,S_cerevisiae
Cluster223,CAGL0H04323g,C_glabrata
Cluster224,orf19.4796,C_albicans
Cluster225,orf19.1406,C_albicans
Cluster226,CAGL0L08316g,C_glabrata
Cluster226,gene-YIL139C,S_cerevisiae
Cluster226,gene:KLLA0_C11341g,K_lactis
Cluster227,orf19.537,C_albicans
Cluster228,gene:KLLA0_E23497g,K_lactis
Cluster228,gene-YPL077C,S_cerevisiae
Cluster228,CAGL0H05423g,C_glabrata
Cluster228,gene-YBR197C,S_cerevisiae
Cluster228,CAGL0M05313g,C_glabrata
Cluster229,orf19.4721,C_albicans
Cluster230,gene-YDL044C,S_cerevisiae
Cluster230,CAGL0K01419g,C_glabrata
Cluster230,gene:KLLA0_E13399g,K_lactis
Cluster231,CAGL0M06963g,C_glabrata
Cluster232,gene-YDR311W,S_cerevisiae
Cluster232,CAGL0J10934g,C_glabrata
Cluster232,gene:KLLA0_C14630g,K_lactis
Cluster232,orf19.5297,C_albicans
Cluster233,CaalfMp08.3,unknown
Cluster233,gene-Q0065,unknown
Cluster234,CAGL0H10340g,C_glabrata
Cluster235,gene:KLLA0_E18393g,K_lactis
Cluster236,gene:KLLA0_F10934g,K_lactis
Cluster236,CAGL0L02563g,C_glabrata
Cluster236,gene-YKR100C,S_cerevisiae
Cluster237,gene-YIL158W,S_cerevisiae
Cluster238,orf19.3826,C_albicans
Cluster239,orf19.4984,C_albicans
Cluster240,gene-YMR243C,S_cerevisiae
Cluster240,CAGL0K07392g,C_glabrata
Cluster240,gene:KLLA0_F08723g,K_lactis
Cluster241,gene-YDL130W-A,S_cerevisiae
Cluster241,gene-YDL181W,S_cerevisiae
Cluster241,CAGL0J06380g,C_glabrata
Cluster241,CAGL0J09262g,C_glabrata
Cluster242,gene:KLLA0_F06116g,K_lactis
Cluster243,gene-YCL001W-B,S_cerevisiae
Cluster244,orf19.6185,C_albicans
Cluster245,orf19.1541,C_albicans
Cluster246,gene-YBR090C,S_cerevisiae
Cluster247,gene-YHR054C-B,S_cerevisiae
Cluster248,CAGL0H04147g,C_glabrata
Cluster249,gene:KLLA0_F23551g,K_lactis
Cluster249,CAGL0B04631g,C_glabrata
Cluster249,gene-YOR109W,S_cerevisiae
Cluster250,orf19.1652,C_albicans
Cluster251,CAGL0M12386g,C_glabrata
Cluster251,gene-YIL051C,S_cerevisiae
Cluster251,gene:KLLA0_C08349g,K_lactis
Cluster252,gene-Q0115,unknown
Cluster253,gene-YPL198W,S_cerevisiae
Cluster253,gene:KLLA0_D03410g,K_lactis
Cluster254,gene-YLR157C,S_cerevisiae
Cluster255,orf19.5723,C_albicans
Cluster256,orf19.1523,C_albicans
Cluster257,orf19.857,C_albicans
Cluster258,gene:KLLA0_B10824g,K_lactis
Cluster258,gene-YLR456W,S_cerevisiae
Cluster258,CAGL0H00286g,C_glabrata
Cluster259,gene-YHR136C,S_cerevisiae
Cluster260,gene-YMR247W-A,S_cerevisiae
Cluster261,gene-YDR313C,S_cerevisiae
Cluster261,CAGL0H07315g,C_glabrata
Cluster261,gene:KLLA0_C14542g,K_lactis
Cluster261,orf19.7547,C_albicans
Cluster262,gene-YER025W,S_cerevisiae
Cluster262,CAGL0I08327g,C_glabrata
Cluster262,gene:KLLA0_D10571g,K_lactis
Cluster262,orf19.4223,C_albicans
Cluster263,gene:KLLA0_C15851g,K_lactis
Cluster263,gene-YPR089W,S_cerevisiae
Cluster263,CAGL0K08008g,C_glabrata
Cluster263,orf19.757,C_albicans
Cluster264,gene:KLLA0_E22595g,K_lactis
Cluster264,CAGL0I03168g,C_glabrata
Cluster264,gene-YEL023C,S_cerevisiae
Cluster264,orf19.5894,C_albicans
Cluster265,gene:KLLA0_A00781g,K_lactis
