cluster_id,genes,gene_list,size,species_count
Cluster77,gene:KLLA0_B03718g,['gene:KLLA0_B03718g'],1,1
Cluster78,gene:KLLA0_A09097g gene-YGL014W CAGL0A00473g orf19.5381,"['gene:KLLA0_A09097g', 'gene-YGL014W', 'CAGL0A00473g', 'orf19.5381']",4,4
Cluster79,CAGL0L05962g gene-YGL178W gene:KLLA0_E13597g orf19.4991,"['CAGL0L05962g', 'gene-YGL178W', 'gene:KLLA0_E13597g', 'orf19.4991']",4,4
Cluster80,orf19.7618 CAGL0K09460g gene-YOR145C gene:KLLA0_C06446g,"['orf19.7618', 'CAGL0K09460g', 'gene-YOR145C', 'gene:KLLA0_C06446g']",4,4
Cluster81,orf19.6434 gene:KLLA0_E05017g gene-YDL065C CAGL0D00792g,"['orf19.6434', 'gene:KLLA0_E05017g', 'gene-YDL065C', 'CAGL0D00792g']",4,4
Cluster82,CAGL0J05566g gene-YNL085W gene:KLLA0_C13926g orf19.2664,"['CAGL0J05566g', 'gene-YNL085W', 'gene:KLLA0_C13926g', 'orf19.2664']",4,4
Cluster83,orf19.2178.1 CAGL0L05626g gene-YJL127C-B,"['orf19.2178.1', 'CAGL0L05626g', 'gene-YJL127C-B']",3,3
Cluster84,orf19.5965 CAGL0J09108g gene-YDL190C gene:KLLA0_F05269g,"['orf19.5965', 'CAGL0J09108g', 'gene-YDL190C', 'gene:KLLA0_F05269g']",4,4
Cluster85,orf19.3902 gene-YDL218W CAGL0G05632g gene:KLLA0_D08646g,"['orf19.3902', 'gene-YDL218W', 'CAGL0G05632g', 'gene:KLLA0_D08646g']",4,4
Cluster86,orf19.3169 gene:KLLA0_C09504g CAGL0C02805g gene-YOR262W,"['orf19.3169', 'gene:KLLA0_C09504g', 'CAGL0C02805g', 'gene-YOR262W']",4,4
Cluster87,orf19.1560 CAGL0L11352g gene-YML069W gene:KLLA0_B04906g,"['orf19.1560', 'CAGL0L11352g', 'gene-YML069W', 'gene:KLLA0_B04906g']",4,4
Cluster88,orf19.524 gene:KLLA0_F12606g CAGL0K02013g,"['orf19.524', 'gene:KLLA0_F12606g', 'CAGL0K02013g']",3,3
Cluster89,orf19.3206 gene-YJL111W CAGL0G04367g,"['orf19.3206', 'gene-YJL111W', 'CAGL0G04367g']",3,3
Cluster90,orf19.5987 gene:KLLA0_C12903g CAGL0E01925g gene-YOL124C,"['orf19.5987', 'gene:KLLA0_C12903g', 'CAGL0E01925g', 'gene-YOL124C']",4,4
Cluster91,orf19.4349 gene-YOL070C CAGL0I08107g gene:KLLA0_E13421g,"['orf19.4349', 'gene-YOL070C', 'CAGL0I08107g', 'gene:KLLA0_E13421g']",4,4
Cluster92,gene:KLLA0_E13509g CAGL0K02321g gene-YPR023C orf19.2660,"['gene:KLLA0_E13509g', 'CAGL0K02321g', 'gene-YPR023C', 'orf19.2660']",4,4
Cluster93,orf19.2278 CAGL0K00451g gene-YKL206C gene:KLLA0_B14102g,"['orf19.2278', 'CAGL0K00451g', 'gene-YKL206C', 'gene:KLLA0_B14102g']",4,4
Cluster94,gene-YLR450W gene:KLLA0_B04642g gene-YML075C CAGL0L11506g orf19.1031,"['gene-YLR450W', 'gene:KLLA0_B04642g', 'gene-YML075C', 'CAGL0L11506g', 'orf19.1031']",5,4
Cluster95,gene:KLLA0_F18502g CAGL0L07458g gene-YBR065C orf19.5364,"['gene:KLLA0_F18502g', 'CAGL0L07458g', 'gene-YBR065C', 'orf19.5364']",4,4
Cluster96,tS(GCU)1 tS(GCU)2 CAGL0H01991r CAGL0M01012r gene-YNCF0009C gene-YNCO0008W,"['tS(GCU)1', 'tS(GCU)2', 'CAGL0H01991r', 'CAGL0M01012r', 'gene-YNCF0009C', 'gene-YNCO0008W']",6,2
Cluster97,orf19.281 gene:KLLA0_C03278g orf19.295,"['orf19.281', 'gene:KLLA0_C03278g', 'orf19.295']",3,2
Cluster98,gene:KLLA0_E05919g gene-YBL050W CAGL0F04653g orf19.2518,"['gene:KLLA0_E05919g', 'gene-YBL050W', 'CAGL0F04653g', 'orf19.2518']",4,4
Cluster99,gene:KLLA0_A10769g gene-YFR011C CAGL0K10516g orf19.6062.3,"['gene:KLLA0_A10769g', 'gene-YFR011C', 'CAGL0K10516g', 'orf19.6062.3']",4,4
Cluster100,gene:KLLA0_D16302g CAGL0I10472g gene-YGR132C orf19.357,"['gene:KLLA0_D16302g', 'CAGL0I10472g', 'gene-YGR132C', 'orf19.357']",4,4
Cluster101,gene:KLLA0_D13134g gene-YHR076W orf19.5661,"['gene:KLLA0_D13134g', 'gene-YHR076W', 'orf19.5661']",3,3
Cluster102,orf19.3838 gene-YAL003W CAGL0F08547g,"['orf19.3838', 'gene-YAL003W', 'CAGL0F08547g']",3,3
Cluster103,orf19.6679 gene:KLLA0_B12980g orf19.4789,"['orf19.6679', 'gene:KLLA0_B12980g', 'orf19.4789']",3,2
Cluster104,orf19.7009,['orf19.7009'],1,1
Cluster105,orf19.5079.1,['orf19.5079.1'],1,1
Cluster106,CAGL0M07832g gene-YJR021C,"['CAGL0M07832g', 'gene-YJR021C']",2,2
Cluster107,gene-YGR018C,['gene-YGR018C'],1,1
Cluster108,CAGL0A04532r,['CAGL0A04532r'],1,1
Cluster109,CAGL0F08767g,['CAGL0F08767g'],1,1
Cluster110,CAGL0F08591g,['CAGL0F08591g'],1,1
Cluster111,CAGL0B01589g,['CAGL0B01589g'],1,1
Cluster112,gene-YMR158C-A,['gene-YMR158C-A'],1,1
Cluster113,gene-YLR154C-H,['gene-YLR154C-H'],1,1
Cluster114,CAGL0A03051g,['CAGL0A03051g'],1,1
Cluster115,gene-YNCE0008C,['gene-YNCE0008C'],1,1
Cluster116,orf19.5227 gene:KLLA0_F15554g CAGL0D03278g gene-YLR021W,"['orf19.5227', 'gene:KLLA0_F15554g', 'CAGL0D03278g', 'gene-YLR021W']",4,4
Cluster117,orf19.7440 CAGL0K00363g gene-YKL209C gene:KLLA0_B14256g,"['orf19.7440', 'CAGL0K00363g', 'gene-YKL209C', 'gene:KLLA0_B14256g']",4,4
Cluster118,orf19.7448 gene:KLLA0_C18744g CAGL0C03443g gene-YNR050C,"['orf19.7448', 'gene:KLLA0_C18744g', 'CAGL0C03443g', 'gene-YNR050C']",4,4
Cluster119,CAGL0M06017g gene-YBR166C gene:KLLA0_E24729g orf19.4605,"['CAGL0M06017g', 'gene-YBR166C', 'gene:KLLA0_E24729g', 'orf19.4605']",4,4
Cluster120,orf19.3921 gene:KLLA0_C06996g CAGL0M11176g gene-YMR222C,"['orf19.3921', 'gene:KLLA0_C06996g', 'CAGL0M11176g', 'gene-YMR222C']",4,4
Cluster121,orf19.4683 gene:KLLA0_A00594g CAGL0G02497g gene-YKR095W,"['orf19.4683', 'gene:KLLA0_A00594g', 'CAGL0G02497g', 'gene-YKR095W']",4,4
Cluster122,orf19.1956,['orf19.1956'],1,1
Cluster123,gene-YNL097C-B,['gene-YNL097C-B'],1,1
Cluster124,CAGL0B00715g,['CAGL0B00715g'],1,1
Cluster125,gene-YJR108W,['gene-YJR108W'],1,1
Cluster126,gene-YBR201C-A,['gene-YBR201C-A'],1,1
Cluster127,gene-YNCG0015C,['gene-YNCG0015C'],1,1
Cluster128,gene-YHR050W-A,['gene-YHR050W-A'],1,1
Cluster129,orf19.5077,['orf19.5077'],1,1
Cluster130,CaalfMp05 CaglfMp10 gene-Q0130,"['CaalfMp05', 'CaglfMp10', 'gene-Q0130']",3,0
Cluster131,gene-YBR107C,['gene-YBR107C'],1,1
Cluster132,gene-YNCK0010W CAGL0F07205r CAGL0G09405r gene-YNCJ0019C,"['gene-YNCK0010W', 'CAGL0F07205r', 'CAGL0G09405r', 'gene-YNCJ0019C']",4,2
Cluster133,orf19.3014 gene-YDR099W CAGL0L12056g,"['orf19.3014', 'gene-YDR099W', 'CAGL0L12056g']",3,3
Cluster134,orf19.6661,['orf19.6661'],1,1
Cluster135,orf19.4899,['orf19.4899'],1,1
Cluster136,orf19.2046,['orf19.2046'],1,1
Cluster137,gene-YPL089C CAGL0M06325g CAGL0H05621g gene-YBR182C gene:KLLA0_E24025g orf19.4662,"['gene-YPL089C', 'CAGL0M06325g', 'CAGL0H05621g', 'gene-YBR182C', 'gene:KLLA0_E24025g', 'orf19.4662']",6,4
Cluster138,orf19.587 gene:KLLA0_C02849g CAGL0J07854g gene-YNL253W,"['orf19.587', 'gene:KLLA0_C02849g', 'CAGL0J07854g', 'gene-YNL253W']",4,4
Cluster139,gene:KLLA0_D15631g gene-YPR122W CAGL0D04686g,"['gene:KLLA0_D15631g', 'gene-YPR122W', 'CAGL0D04686g']",3,3
Cluster140,orf19.4293 gene:KLLA0_E21781g gene-YDR267C CAGL0M08646g,"['orf19.4293', 'gene:KLLA0_E21781g', 'gene-YDR267C', 'CAGL0M08646g']",4,4
Cluster141,orf19.1704,['orf19.1704'],1,1
Cluster142,orf19.450,['orf19.450'],1,1
Cluster143,gene-YEL056W CAGL0B03575g gene:KLLA0_D00814g orf19.2146,"['gene-YEL056W', 'CAGL0B03575g', 'gene:KLLA0_D00814g', 'orf19.2146']",4,4
Cluster144,gene:KLLA0_C10318g gene-YHR034C CAGL0D03916g orf19.7646,"['gene:KLLA0_C10318g', 'gene-YHR034C', 'CAGL0D03916g', 'orf19.7646']",4,4
Cluster145,orf19.5768 gene:KLLA0_F10769g gene-YGL115W CAGL0F07315g,"['orf19.5768', 'gene:KLLA0_F10769g', 'gene-YGL115W', 'CAGL0F07315g']",4,4
Cluster146,gene:KLLA0_D07524g,['gene:KLLA0_D07524g'],1,1
Cluster147,gene-YFL020C,['gene-YFL020C'],1,1
Cluster148,gene:KLLA0_D07579g,['gene:KLLA0_D07579g'],1,1
Cluster149,gene-YNL199C CAGL0G05379g gene:KLLA0_F20790g,"['gene-YNL199C', 'CAGL0G05379g', 'gene:KLLA0_F20790g']",3,3
Cluster150,gene-YGL025C CAGL0A01325g,"['gene-YGL025C', 'CAGL0A01325g']",2,2
Cluster151,CAGL0M05819g,['CAGL0M05819g'],1,1
Cluster152,gene-YLR037C,['gene-YLR037C'],1,1
Cluster153,gene-YAR020C,['gene-YAR020C'],1,1
Cluster154,gene-YJR150C,['gene-YJR150C'],1,1
Cluster155,gene:KLLA0_D07612g,['gene:KLLA0_D07612g'],1,1
Cluster156,orf19.2417 gene:KLLA0_F07997g CAGL0F01155g gene-YOL034W,"['orf19.2417', 'gene:KLLA0_F07997g', 'CAGL0F01155g', 'gene-YOL034W']",4,4
Cluster157,gene-YOL033W CAGL0F01133g gene:KLLA0_F07975g orf19.2415,"['gene-YOL033W', 'CAGL0F01133g', 'gene:KLLA0_F07975g', 'orf19.2415']",4,4
Cluster158,gene:KLLA0_F11022g CAGL0F02167g gene-YFL003C orf19.2579,"['gene:KLLA0_F11022g', 'CAGL0F02167g', 'gene-YFL003C', 'orf19.2579']",4,4
Cluster159,CAGL0F05335g gene-YDR208W gene:KLLA0_A04301g orf19.3153,"['CAGL0F05335g', 'gene-YDR208W', 'gene:KLLA0_A04301g', 'orf19.3153']",4,4
Cluster160,CAGL0G04279g,['CAGL0G04279g'],1,1
Cluster161,orf19.1382 gene-YEL004W gene:KLLA0_D13926g,"['orf19.1382', 'gene-YEL004W', 'gene:KLLA0_D13926g']",3,3
Cluster162,gene-YLL046C gene:KLLA0_E00551g orf19.5854,"['gene-YLL046C', 'gene:KLLA0_E00551g', 'orf19.5854']",3,3
Cluster163,orf19.5257 CAGL0L04554g gene-YLR260W,"['orf19.5257', 'CAGL0L04554g', 'gene-YLR260W']",3,3
Cluster164,gene:KLLA0_E18679g CAGL0K02937g gene-YKL027W orf19.2115,"['gene:KLLA0_E18679g', 'CAGL0K02937g', 'gene-YKL027W', 'orf19.2115']",4,4
Cluster165,gene:KLLA0_B03135g orf19.3536,"['gene:KLLA0_B03135g', 'orf19.3536']",2,2
Cluster166,orf19.5024 gene:KLLA0_A09339g gene-YHR183W,"['orf19.5024', 'gene:KLLA0_A09339g', 'gene-YHR183W']",3,3
Cluster167,orf19.285 CAGL0G06094g gene-YNL157W gene-YHR132W-A gene:KLLA0_F27907g,"['orf19.285', 'CAGL0G06094g', 'gene-YNL157W', 'gene-YHR132W-A', 'gene:KLLA0_F27907g']",5,4
Cluster168,orf19.5058 orf19.6972 CAGL0L06534g gene-YGR229C gene:KLLA0_E15775g,"['orf19.5058', 'orf19.6972', 'CAGL0L06534g', 'gene-YGR229C', 'gene:KLLA0_E15775g']",5,4
Cluster169,orf19.2478.1 gene-YGL076C,"['orf19.2478.1', 'gene-YGL076C']",2,2
Cluster170,gene:KLLA0_D15565g CAGL0D04642g gene-YPR120C,"['gene:KLLA0_D15565g', 'CAGL0D04642g', 'gene-YPR120C']",3,3
Cluster171,gene:KLLA0_D12980g gene-YDR321W CAGL0H07051g orf19.7593,"['gene:KLLA0_D12980g', 'gene-YDR321W', 'CAGL0H07051g', 'orf19.7593']",4,4
Cluster172,orf19.3565,['orf19.3565'],1,1
Cluster173,orf19.3563,['orf19.3563'],1,1
Cluster174,gene-YFL059W gene:KLLA0_A00374g,"['gene-YFL059W', 'gene:KLLA0_A00374g']",2,2
Cluster175,gene:KLLA0_B12496g gene-YMR111C,"['gene:KLLA0_B12496g', 'gene-YMR111C']",2,2
Cluster176,CAGL0G00528g gene-YGR270W gene:KLLA0_A09823g orf19.3949,"['CAGL0G00528g', 'gene-YGR270W', 'gene:KLLA0_A09823g', 'orf19.3949']",4,4
Cluster177,orf19.7413 gene-YEL019C CAGL0M03267g gene:KLLA0_A11462g,"['orf19.7413', 'gene-YEL019C', 'CAGL0M03267g', 'gene:KLLA0_A11462g']",4,4
Cluster178,gene:KLLA0_A02431g,['gene:KLLA0_A02431g'],1,1
Cluster179,orf19.7499 gene-YLR328W gene-YGR010W CAGL0A01023g,"['orf19.7499', 'gene-YLR328W', 'gene-YGR010W', 'CAGL0A01023g']",4,3
Cluster180,orf19.4985 CAGL0H03223g gene-YPL189W gene-YGL084C gene:KLLA0_E19185g,"['orf19.4985', 'CAGL0H03223g', 'gene-YPL189W', 'gene-YGL084C', 'gene:KLLA0_E19185g']",5,4
Cluster181,orf19.5288.1,['orf19.5288.1'],1,1
Cluster182,orf19.989 CAGL0D05412g gene-YBR251W gene:KLLA0_B11473g,"['orf19.989', 'CAGL0D05412g', 'gene-YBR251W', 'gene:KLLA0_B11473g']",4,4
Cluster183,gene-YMR096W,['gene-YMR096W'],1,1
Cluster184,gene:KLLA0_F16643g CAGL0L10472g gene-YOR069W orf19.2867,"['gene:KLLA0_F16643g', 'CAGL0L10472g', 'gene-YOR069W', 'orf19.2867']",4,4
Cluster185,orf19.6422 CAGL0I06116g gene-YJL156C gene:KLLA0_B07491g,"['orf19.6422', 'CAGL0I06116g', 'gene-YJL156C', 'gene:KLLA0_B07491g']",4,4
Cluster186,orf19.6231 gene-YNL185C CAGL0J11330g gene:KLLA0_D08437g,"['orf19.6231', 'gene-YNL185C', 'CAGL0J11330g', 'gene:KLLA0_D08437g']",4,4
Cluster187,CAGL0I09328g gene-YBR265W gene:KLLA0_F01749g orf19.6131,"['CAGL0I09328g', 'gene-YBR265W', 'gene:KLLA0_F01749g', 'orf19.6131']",4,4
Cluster188,CAGL0K08800g gene-YMR009W gene:KLLA0_D14487g orf19.2306,"['CAGL0K08800g', 'gene-YMR009W', 'gene:KLLA0_D14487g', 'orf19.2306']",4,4
Cluster189,gene:KLLA0_D13904g gene-YEL003W CAGL0L02387g orf19.2305,"['gene:KLLA0_D13904g', 'gene-YEL003W', 'CAGL0L02387g', 'orf19.2305']",4,4
Cluster190,orf19.172 CAGL0L03872g gene-YNL113W gene:KLLA0_F23760g,"['orf19.172', 'CAGL0L03872g', 'gene-YNL113W', 'gene:KLLA0_F23760g']",4,4
Cluster191,orf19.7217 gene-YDR012W CAGL0B04257g gene:KLLA0_B07139g gene-YBR031W,"['orf19.7217', 'gene-YDR012W', 'CAGL0B04257g', 'gene:KLLA0_B07139g', 'gene-YBR031W']",5,4
Cluster192,orf19.4200,['orf19.4200'],1,1
Cluster193,CAGL0I08987g gene-YHR018C gene:KLLA0_A08404g orf19.6689,"['CAGL0I08987g', 'gene-YHR018C', 'gene:KLLA0_A08404g', 'orf19.6689']",4,4
Cluster194,gene-YIL164C,['gene-YIL164C'],1,1
Cluster195,orf19.2309 gene:KLLA0_D14531g gene-YOR017W CAGL0F01331g,"['orf19.2309', 'gene:KLLA0_D14531g', 'gene-YOR017W', 'CAGL0F01331g']",4,4
Cluster196,orf19.458.1,['orf19.458.1'],1,1
Cluster197,orf19.420,['orf19.420'],1,1
Cluster198,orf19.6282,['orf19.6282'],1,1
Cluster199,CAGL0E03267g gene-YGR161C gene:KLLA0_C11539g orf19.7504,"['CAGL0E03267g', 'gene-YGR161C', 'gene:KLLA0_C11539g', 'orf19.7504']",4,4
Cluster200,gene:KLLA0_E10429g CAGL0J04400g gene-YBL021C orf19.4647 orf19.517,"['gene:KLLA0_E10429g', 'CAGL0J04400g', 'gene-YBL021C', 'orf19.4647', 'orf19.517']",5,4
Cluster201,orf19.733,['orf19.733'],1,1
Cluster202,orf19.3946 gene:KLLA0_B08019g gene-YGR062C CAGL0K04521g,"['orf19.3946', 'gene:KLLA0_B08019g', 'gene-YGR062C', 'CAGL0K04521g']",4,4
Cluster203,gene-YJL037W,['gene-YJL037W'],1,1
Cluster204,gene-YFL019C,['gene-YFL019C'],1,1
Cluster205,CAGL0I01078g,['CAGL0I01078g'],1,1
Cluster206,gene-YMR007W,['gene-YMR007W'],1,1
Cluster207,orf19.1400,['orf19.1400'],1,1
Cluster208,orf19.2910,['orf19.2910'],1,1
Cluster209,gene-YLR036C,['gene-YLR036C'],1,1
Cluster210,CAGL0I06457g,['CAGL0I06457g'],1,1
Cluster211,CAGL0A04631g gene-YBL081W gene:KLLA0_E20681g,"['CAGL0A04631g', 'gene-YBL081W', 'gene:KLLA0_E20681g']",3,3
Cluster212,orf19.2903,['orf19.2903'],1,1
Cluster213,gene-YAL029C CAGL0G06336g,"['gene-YAL029C', 'CAGL0G06336g']",2,2
Cluster214,orf19.2974 CAGL0D03498g gene-YKL196C gene:KLLA0_D02684g,"['orf19.2974', 'CAGL0D03498g', 'gene-YKL196C', 'gene:KLLA0_D02684g']",4,4
Cluster215,gene-YJL001W CAGL0D03058g gene:KLLA0_F12936g orf19.6991,"['gene-YJL001W', 'CAGL0D03058g', 'gene:KLLA0_F12936g', 'orf19.6991']",4,4
Cluster216,orf19.1083 gene:KLLA0_F17215g CAGL0K03883g gene-YMR132C,"['orf19.1083', 'gene:KLLA0_F17215g', 'CAGL0K03883g', 'gene-YMR132C']",4,4
Cluster217,gene-YPL027W,['gene-YPL027W'],1,1
Cluster218,gene:KLLA0_E16567g gene-YJR017C CAGL0B04037g orf19.5196,"['gene:KLLA0_E16567g', 'gene-YJR017C', 'CAGL0B04037g', 'orf19.5196']",4,4
Cluster219,CAGL0G01276g,['CAGL0G01276g'],1,1
Cluster220,gene-YIL153W CAGL0H06655g gene:KLLA0_A00462g orf19.6792,"['gene-YIL153W', 'CAGL0H06655g', 'gene:KLLA0_A00462g', 'orf19.6792']",4,4
Cluster221,gene:KLLA0_B02134g gene-YPL214C CAGL0E05808g orf19.277,"['gene:KLLA0_B02134g', 'gene-YPL214C', 'CAGL0E05808g', 'orf19.277']",4,4
Cluster222,gene:KLLA0_D15939g gene-YIL016W CAGL0J02310g,"['gene:KLLA0_D15939g', 'gene-YIL016W', 'CAGL0J02310g']",3,3
Cluster223,gene:KLLA0_B04587g gene-YJR125C CAGL0H04323g,"['gene:KLLA0_B04587g', 'gene-YJR125C', 'CAGL0H04323g']",3,3
Cluster224,orf19.4796,['orf19.4796'],1,1
Cluster225,orf19.1406,['orf19.1406'],1,1
Cluster226,CAGL0L08316g gene-YIL139C gene:KLLA0_C11341g,"['CAGL0L08316g', 'gene-YIL139C', 'gene:KLLA0_C11341g']",3,3
Cluster227,orf19.537,['orf19.537'],1,1
Cluster228,gene:KLLA0_E23497g gene-YPL077C CAGL0H05423g gene-YBR197C CAGL0M05313g,"['gene:KLLA0_E23497g', 'gene-YPL077C', 'CAGL0H05423g', 'gene-YBR197C', 'CAGL0M05313g']",5,3
Cluster229,orf19.4721,['orf19.4721'],1,1
Cluster230,gene-YDL044C CAGL0K01419g gene:KLLA0_E13399g,"['gene-YDL044C', 'CAGL0K01419g', 'gene:KLLA0_E13399g']",3,3
