species1,gene1,species2,gene2,source,pillar_id,gene_pair
K. lactis,KLLA0F00814g,C. albicans,orf19.2771,CGOB/YGOB_bridge,-1,"('KLLA0F00814g', 'orf19.2771')"
C. albicans,orf19.2469,K. lactis,KLLA0D10307g,CGOB/YGOB_bridge,-1,"('orf19.2469', 'KLLA0D10307g')"
K. lactis,KLLA0D10307g,C. albicans,orf19.2469,CGOB/YGOB_bridge,-1,"('KLLA0D10307g', 'orf19.2469')"
C. albicans,orf19.3010.1,K. lactis,KLLA0C14454g,CGOB/YGOB_bridge,-1,"('orf19.3010.1', 'KLLA0C14454g')"
K. lactis,KLLA0C14454g,C. albicans,orf19.3010.1,CGOB/YGOB_bridge,-1,"('KLLA0C14454g', 'orf19.3010.1')"
C. albicans,orf19.1642,K. lactis,KLLA0E14257g,CGOB/YGOB_bridge,-1,"('orf19.1642', 'KLLA0E14257g')"
K. lactis,KLLA0E14257g,C. albicans,orf19.1642,CGOB/YGOB_bridge,-1,"('KLLA0E14257g', 'orf19.1642')"
C. albicans,orf19.4340.1,K. lactis,KLLA0E04929g,CGOB/YGOB_bridge,-1,"('orf19.4340.1', 'KLLA0E04929g')"
K. lactis,KLLA0E04929g,C. albicans,orf19.4340.1,CGOB/YGOB_bridge,-1,"('KLLA0E04929g', 'orf19.4340.1')"
C. albicans,orf19.1082.1,K. lactis,KLLA0F17281g,CGOB/YGOB_bridge,-1,"('orf19.1082.1', 'KLLA0F17281g')"
K. lactis,KLLA0F17281g,C. albicans,orf19.1082.1,CGOB/YGOB_bridge,-1,"('KLLA0F17281g', 'orf19.1082.1')"
C. albicans,orf19.6376,K. lactis,KLLA0C13706g,CGOB/YGOB_bridge,-1,"('orf19.6376', 'KLLA0C13706g')"
K. lactis,KLLA0C13706g,C. albicans,orf19.6376,CGOB/YGOB_bridge,-1,"('KLLA0C13706g', 'orf19.6376')"
C. albicans,orf19.7546,K. lactis,KLLA0C14608g,CGOB/YGOB_bridge,-1,"('orf19.7546', 'KLLA0C14608g')"
K. lactis,KLLA0C14608g,C. albicans,orf19.7546,CGOB/YGOB_bridge,-1,"('KLLA0C14608g', 'orf19.7546')"
C. albicans,orf19.5660.1,K. lactis,KLLA0D13112g,CGOB/YGOB_bridge,-1,"('orf19.5660.1', 'KLLA0D13112g')"
K. lactis,KLLA0D13112g,C. albicans,orf19.5660.1,CGOB/YGOB_bridge,-1,"('KLLA0D13112g', 'orf19.5660.1')"
C. albicans,orf19.2587,K. lactis,KLLA0B00385g,CGOB/YGOB_bridge,-1,"('orf19.2587', 'KLLA0B00385g')"
K. lactis,KLLA0B00385g,C. albicans,orf19.2587,CGOB/YGOB_bridge,-1,"('KLLA0B00385g', 'orf19.2587')"
C. albicans,orf19.4145,K. lactis,KLLA0F22990g,CGOB/YGOB_bridge,-1,"('orf19.4145', 'KLLA0F22990g')"
K. lactis,KLLA0F22990g,C. albicans,orf19.4145,CGOB/YGOB_bridge,-1,"('KLLA0F22990g', 'orf19.4145')"
C. albicans,orf19.3256,K. lactis,KLLA0A00638g,CGOB/YGOB_bridge,-1,"('orf19.3256', 'KLLA0A00638g')"
K. lactis,KLLA0A00638g,C. albicans,orf19.3256,CGOB/YGOB_bridge,-1,"('KLLA0A00638g', 'orf19.3256')"
C. albicans,orf19.2598,K. lactis,KLLA0F02541g,CGOB/YGOB_bridge,-1,"('orf19.2598', 'KLLA0F02541g')"
K. lactis,KLLA0F02541g,C. albicans,orf19.2598,CGOB/YGOB_bridge,-1,"('KLLA0F02541g', 'orf19.2598')"
C. albicans,orf19.3052,K. lactis,KLLA0D05313g,CGOB/YGOB_bridge,-1,"('orf19.3052', 'KLLA0D05313g')"
K. lactis,KLLA0D05313g,C. albicans,orf19.3052,CGOB/YGOB_bridge,-1,"('KLLA0D05313g', 'orf19.3052')"
C. albicans,orf19.3822,K. lactis,KLLA0D01639g,CGOB/YGOB_bridge,-1,"('orf19.3822', 'KLLA0D01639g')"
K. lactis,KLLA0D01639g,C. albicans,orf19.3822,CGOB/YGOB_bridge,-1,"('KLLA0D01639g', 'orf19.3822')"
C. albicans,orf19.417,K. lactis,KLLA0A09383g,CGOB/YGOB_bridge,-1,"('orf19.417', 'KLLA0A09383g')"
K. lactis,KLLA0A09383g,C. albicans,orf19.417,CGOB/YGOB_bridge,-1,"('KLLA0A09383g', 'orf19.417')"
C. albicans,orf19.2257,K. lactis,KLLA0C09086g,CGOB/YGOB_bridge,-1,"('orf19.2257', 'KLLA0C09086g')"
K. lactis,KLLA0C09086g,C. albicans,orf19.2257,CGOB/YGOB_bridge,-1,"('KLLA0C09086g', 'orf19.2257')"
C. albicans,orf19.7383,K. lactis,KLLA0E12849g,CGOB/YGOB_bridge,-1,"('orf19.7383', 'KLLA0E12849g')"
K. lactis,KLLA0E12849g,C. albicans,orf19.7383,CGOB/YGOB_bridge,-1,"('KLLA0E12849g', 'orf19.7383')"
C. albicans,orf19.2749,K. lactis,KLLA0F19965g,CGOB/YGOB_bridge,-1,"('orf19.2749', 'KLLA0F19965g')"
K. lactis,KLLA0F19965g,C. albicans,orf19.2749,CGOB/YGOB_bridge,-1,"('KLLA0F19965g', 'orf19.2749')"
C. albicans,orf19.385,K. lactis,KLLA0D12738g,CGOB/YGOB_bridge,-1,"('orf19.385', 'KLLA0D12738g')"
K. lactis,KLLA0D12738g,C. albicans,orf19.385,CGOB/YGOB_bridge,-1,"('KLLA0D12738g', 'orf19.385')"
C. albicans,orf19.3342,K. lactis,KLLA0E03169g,CGOB/YGOB_bridge,-1,"('orf19.3342', 'KLLA0E03169g')"
K. lactis,KLLA0E03169g,C. albicans,orf19.3342,CGOB/YGOB_bridge,-1,"('KLLA0E03169g', 'orf19.3342')"
C. albicans,orf19.773,K. lactis,KLLA0F13266g,CGOB/YGOB_bridge,-1,"('orf19.773', 'KLLA0F13266g')"
K. lactis,KLLA0F13266g,C. albicans,orf19.773,CGOB/YGOB_bridge,-1,"('KLLA0F13266g', 'orf19.773')"
C. albicans,orf19.2444,K. lactis,KLLA0D07854g,CGOB/YGOB_bridge,-1,"('orf19.2444', 'KLLA0D07854g')"
K. lactis,KLLA0D07854g,C. albicans,orf19.2444,CGOB/YGOB_bridge,-1,"('KLLA0D07854g', 'orf19.2444')"
C. albicans,orf19.886,K. lactis,KLLA0D13398g,CGOB/YGOB_bridge,-1,"('orf19.886', 'KLLA0D13398g')"
K. lactis,KLLA0D13398g,C. albicans,orf19.886,CGOB/YGOB_bridge,-1,"('KLLA0D13398g', 'orf19.886')"
C. albicans,orf19.5142,K. lactis,KLLA0D07458g,CGOB/YGOB_bridge,-1,"('orf19.5142', 'KLLA0D07458g')"
K. lactis,KLLA0D07458g,C. albicans,orf19.5142,CGOB/YGOB_bridge,-1,"('KLLA0D07458g', 'orf19.5142')"
C. albicans,orf19.1170,K. lactis,KLLA0B08481g,CGOB/YGOB_bridge,-1,"('orf19.1170', 'KLLA0B08481g')"
K. lactis,KLLA0B08481g,C. albicans,orf19.1170,CGOB/YGOB_bridge,-1,"('KLLA0B08481g', 'orf19.1170')"
C. albicans,orf19.7349,K. lactis,KLLA0E20263g,CGOB/YGOB_bridge,-1,"('orf19.7349', 'KLLA0E20263g')"
K. lactis,KLLA0E20263g,C. albicans,orf19.7349,CGOB/YGOB_bridge,-1,"('KLLA0E20263g', 'orf19.7349')"
C. albicans,orf19.3031,K. lactis,KLLA0E24157g,CGOB/YGOB_bridge,-1,"('orf19.3031', 'KLLA0E24157g')"
K. lactis,KLLA0E24157g,C. albicans,orf19.3031,CGOB/YGOB_bridge,-1,"('KLLA0E24157g', 'orf19.3031')"
C. albicans,orf19.2383,K. lactis,KLLA0B12672g,CGOB/YGOB_bridge,-1,"('orf19.2383', 'KLLA0B12672g')"
K. lactis,KLLA0B12672g,C. albicans,orf19.2383,CGOB/YGOB_bridge,-1,"('KLLA0B12672g', 'orf19.2383')"
C. albicans,orf19.488,K. lactis,KLLA0C09801g,CGOB/YGOB_bridge,-1,"('orf19.488', 'KLLA0C09801g')"
K. lactis,KLLA0C09801g,C. albicans,orf19.488,CGOB/YGOB_bridge,-1,"('KLLA0C09801g', 'orf19.488')"
C. albicans,orf19.4788,K. lactis,KLLA0C07997g,CGOB/YGOB_bridge,-1,"('orf19.4788', 'KLLA0C07997g')"
K. lactis,KLLA0C07997g,C. albicans,orf19.4788,CGOB/YGOB_bridge,-1,"('KLLA0C07997g', 'orf19.4788')"
C. albicans,orf19.6356,K. lactis,KLLA0F04191g,CGOB/YGOB_bridge,-1,"('orf19.6356', 'KLLA0F04191g')"
K. lactis,KLLA0F04191g,C. albicans,orf19.6356,CGOB/YGOB_bridge,-1,"('KLLA0F04191g', 'orf19.6356')"
C. albicans,orf19.2501,K. lactis,KLLA0B01914g,CGOB/YGOB_bridge,-1,"('orf19.2501', 'KLLA0B01914g')"
K. lactis,KLLA0B01914g,C. albicans,orf19.2501,CGOB/YGOB_bridge,-1,"('KLLA0B01914g', 'orf19.2501')"
C. albicans,orf19.4157,K. lactis,KLLA0D18909g,CGOB/YGOB_bridge,-1,"('orf19.4157', 'KLLA0D18909g')"
K. lactis,KLLA0D18909g,C. albicans,orf19.4157,CGOB/YGOB_bridge,-1,"('KLLA0D18909g', 'orf19.4157')"
C. albicans,orf19.3340,K. lactis,KLLA0E03609g,CGOB/YGOB_bridge,-1,"('orf19.3340', 'KLLA0E03609g')"
K. lactis,KLLA0E03609g,C. albicans,orf19.3340,CGOB/YGOB_bridge,-1,"('KLLA0E03609g', 'orf19.3340')"
C. albicans,orf19.5591,K. lactis,KLLA0D10890g,CGOB/YGOB_bridge,-1,"('orf19.5591', 'KLLA0D10890g')"
K. lactis,KLLA0D10890g,C. albicans,orf19.5591,CGOB/YGOB_bridge,-1,"('KLLA0D10890g', 'orf19.5591')"
C. albicans,orf19.7150,K. lactis,KLLA0F18524g,CGOB/YGOB_bridge,-1,"('orf19.7150', 'KLLA0F18524g')"
K. lactis,KLLA0F18524g,C. albicans,orf19.7150,CGOB/YGOB_bridge,-1,"('KLLA0F18524g', 'orf19.7150')"
C. albicans,orf19.6821,K. lactis,KLLA0D16324g,CGOB/YGOB_bridge,-1,"('orf19.6821', 'KLLA0D16324g')"
K. lactis,KLLA0D16324g,C. albicans,orf19.6821,CGOB/YGOB_bridge,-1,"('KLLA0D16324g', 'orf19.6821')"
C. albicans,orf19.2411,K. lactis,KLLA0F07777g,CGOB/YGOB_bridge,-1,"('orf19.2411', 'KLLA0F07777g')"
K. lactis,KLLA0F07777g,C. albicans,orf19.2411,CGOB/YGOB_bridge,-1,"('KLLA0F07777g', 'orf19.2411')"
C. albicans,orf19.5412,K. lactis,KLLA0A02849g,CGOB/YGOB_bridge,-1,"('orf19.5412', 'KLLA0A02849g')"
K. lactis,KLLA0A02849g,C. albicans,orf19.5412,CGOB/YGOB_bridge,-1,"('KLLA0A02849g', 'orf19.5412')"
C. albicans,orf19.1591,K. lactis,KLLA0D12056g,CGOB/YGOB_bridge,-1,"('orf19.1591', 'KLLA0D12056g')"
K. lactis,KLLA0D12056g,C. albicans,orf19.1591,CGOB/YGOB_bridge,-1,"('KLLA0D12056g', 'orf19.1591')"
C. albicans,orf19.6459,K. lactis,KLLA0C10835g,CGOB/YGOB_bridge,-1,"('orf19.6459', 'KLLA0C10835g')"
K. lactis,KLLA0C10835g,C. albicans,orf19.6459,CGOB/YGOB_bridge,-1,"('KLLA0C10835g', 'orf19.6459')"
C. albicans,orf19.1988,K. lactis,KLLA0F19822g,CGOB/YGOB_bridge,-1,"('orf19.1988', 'KLLA0F19822g')"
K. lactis,KLLA0F19822g,C. albicans,orf19.1988,CGOB/YGOB_bridge,-1,"('KLLA0F19822g', 'orf19.1988')"
C. albicans,orf19.7588,K. lactis,KLLA0F08503g,CGOB/YGOB_bridge,-1,"('orf19.7588', 'KLLA0F08503g')"
K. lactis,KLLA0F08503g,C. albicans,orf19.7588,CGOB/YGOB_bridge,-1,"('KLLA0F08503g', 'orf19.7588')"
C. albicans,orf19.4150,K. lactis,KLLA0E17733g,CGOB/YGOB_bridge,-1,"('orf19.4150', 'KLLA0E17733g')"
K. lactis,KLLA0E17733g,C. albicans,orf19.4150,CGOB/YGOB_bridge,-1,"('KLLA0E17733g', 'orf19.4150')"
C. albicans,orf19.4799,K. lactis,KLLA0C07304g,CGOB/YGOB_bridge,-1,"('orf19.4799', 'KLLA0C07304g')"
K. lactis,KLLA0C07304g,C. albicans,orf19.4799,CGOB/YGOB_bridge,-1,"('KLLA0C07304g', 'orf19.4799')"
C. albicans,orf19.6305,K. lactis,KLLA0F16775g,CGOB/YGOB_bridge,-1,"('orf19.6305', 'KLLA0F16775g')"
K. lactis,KLLA0F16775g,C. albicans,orf19.6305,CGOB/YGOB_bridge,-1,"('KLLA0F16775g', 'orf19.6305')"
C. albicans,orf19.1084,K. lactis,KLLA0C18612g,CGOB/YGOB_bridge,-1,"('orf19.1084', 'KLLA0C18612g')"
K. lactis,KLLA0C18612g,C. albicans,orf19.1084,CGOB/YGOB_bridge,-1,"('KLLA0C18612g', 'orf19.1084')"
C. albicans,orf19.7144,K. lactis,KLLA0A07799g,CGOB/YGOB_bridge,-1,"('orf19.7144', 'KLLA0A07799g')"
K. lactis,KLLA0A07799g,C. albicans,orf19.7144,CGOB/YGOB_bridge,-1,"('KLLA0A07799g', 'orf19.7144')"
C. albicans,orf19.4630,K. lactis,KLLA0F24882g,CGOB/YGOB_bridge,-1,"('orf19.4630', 'KLLA0F24882g')"
K. lactis,KLLA0F24882g,C. albicans,orf19.4630,CGOB/YGOB_bridge,-1,"('KLLA0F24882g', 'orf19.4630')"
C. albicans,orf19.2286,K. lactis,KLLA0B14080g,CGOB/YGOB_bridge,-1,"('orf19.2286', 'KLLA0B14080g')"
K. lactis,KLLA0B14080g,C. albicans,orf19.2286,CGOB/YGOB_bridge,-1,"('KLLA0B14080g', 'orf19.2286')"
C. albicans,orf19.5073,K. lactis,KLLA0B03377g,CGOB/YGOB_bridge,-1,"('orf19.5073', 'KLLA0B03377g')"
K. lactis,KLLA0B03377g,C. albicans,orf19.5073,CGOB/YGOB_bridge,-1,"('KLLA0B03377g', 'orf19.5073')"
C. albicans,orf19.2489,K. lactis,KLLA0E20769g,CGOB/YGOB_bridge,-1,"('orf19.2489', 'KLLA0E20769g')"
K. lactis,KLLA0E20769g,C. albicans,orf19.2489,CGOB/YGOB_bridge,-1,"('KLLA0E20769g', 'orf19.2489')"
C. albicans,orf19.6601.1,K. lactis,KLLA0D12298g,CGOB/YGOB_bridge,-1,"('orf19.6601.1', 'KLLA0D12298g')"
K. lactis,KLLA0D12298g,C. albicans,orf19.6601.1,CGOB/YGOB_bridge,-1,"('KLLA0D12298g', 'orf19.6601.1')"
C. albicans,orf19.1622,K. lactis,KLLA0D13244g,CGOB/YGOB_bridge,-1,"('orf19.1622', 'KLLA0D13244g')"
K. lactis,KLLA0D13244g,C. albicans,orf19.1622,CGOB/YGOB_bridge,-1,"('KLLA0D13244g', 'orf19.1622')"
C. albicans,orf19.4301,K. lactis,KLLA0C16093g,CGOB/YGOB_bridge,-1,"('orf19.4301', 'KLLA0C16093g')"
K. lactis,KLLA0C16093g,C. albicans,orf19.4301,CGOB/YGOB_bridge,-1,"('KLLA0C16093g', 'orf19.4301')"
C. albicans,orf19.4835,K. lactis,KLLA0C09262g,CGOB/YGOB_bridge,-1,"('orf19.4835', 'KLLA0C09262g')"
K. lactis,KLLA0C09262g,C. albicans,orf19.4835,CGOB/YGOB_bridge,-1,"('KLLA0C09262g', 'orf19.4835')"
C. albicans,orf19.2488,K. lactis,KLLA0A10659g,CGOB/YGOB_bridge,-1,"('orf19.2488', 'KLLA0A10659g')"
K. lactis,KLLA0A10659g,C. albicans,orf19.2488,CGOB/YGOB_bridge,-1,"('KLLA0A10659g', 'orf19.2488')"
C. albicans,orf19.7019,K. lactis,KLLA0B01540g,CGOB/YGOB_bridge,-1,"('orf19.7019', 'KLLA0B01540g')"
K. lactis,KLLA0B01540g,C. albicans,orf19.7019,CGOB/YGOB_bridge,-1,"('KLLA0B01540g', 'orf19.7019')"
C. albicans,orf19.5823,K. lactis,KLLA0D01155g,CGOB/YGOB_bridge,-1,"('orf19.5823', 'KLLA0D01155g')"
K. lactis,KLLA0D01155g,C. albicans,orf19.5823,CGOB/YGOB_bridge,-1,"('KLLA0D01155g', 'orf19.5823')"
C. albicans,orf19.3537,K. lactis,KLLA0F25938g,CGOB/YGOB_bridge,-1,"('orf19.3537', 'KLLA0F25938g')"
K. lactis,KLLA0F25938g,C. albicans,orf19.3537,CGOB/YGOB_bridge,-1,"('KLLA0F25938g', 'orf19.3537')"
C. albicans,orf19.1265,K. lactis,KLLA0C07128g,CGOB/YGOB_bridge,-1,"('orf19.1265', 'KLLA0C07128g')"
K. lactis,KLLA0C07128g,C. albicans,orf19.1265,CGOB/YGOB_bridge,-1,"('KLLA0C07128g', 'orf19.1265')"
C. albicans,orf19.3273,K. lactis,KLLA0C08932g,CGOB/YGOB_bridge,-1,"('orf19.3273', 'KLLA0C08932g')"
K. lactis,KLLA0C08932g,C. albicans,orf19.3273,CGOB/YGOB_bridge,-1,"('KLLA0C08932g', 'orf19.3273')"
C. albicans,orf19.3552,K. lactis,KLLA0A07909g,CGOB/YGOB_bridge,-1,"('orf19.3552', 'KLLA0A07909g')"
K. lactis,KLLA0A07909g,C. albicans,orf19.3552,CGOB/YGOB_bridge,-1,"('KLLA0A07909g', 'orf19.3552')"
C. albicans,orf19.4587,K. lactis,KLLA0F15433g,CGOB/YGOB_bridge,-1,"('orf19.4587', 'KLLA0F15433g')"
K. lactis,KLLA0F15433g,C. albicans,orf19.4587,CGOB/YGOB_bridge,-1,"('KLLA0F15433g', 'orf19.4587')"
C. albicans,orf19.4808,K. lactis,KLLA0E11067g,CGOB/YGOB_bridge,-1,"('orf19.4808', 'KLLA0E11067g')"
K. lactis,KLLA0E11067g,C. albicans,orf19.4808,CGOB/YGOB_bridge,-1,"('KLLA0E11067g', 'orf19.4808')"
C. albicans,orf19.4378,K. lactis,KLLA0E10055g,CGOB/YGOB_bridge,-1,"('orf19.4378', 'KLLA0E10055g')"
K. lactis,KLLA0E10055g,C. albicans,orf19.4378,CGOB/YGOB_bridge,-1,"('KLLA0E10055g', 'orf19.4378')"
C. albicans,orf19.5908,K. lactis,KLLA0E12497g,CGOB/YGOB_bridge,-1,"('orf19.5908', 'KLLA0E12497g')"
K. lactis,KLLA0E12497g,C. albicans,orf19.5908,CGOB/YGOB_bridge,-1,"('KLLA0E12497g', 'orf19.5908')"
C. albicans,orf19.3055,K. lactis,KLLA0D10802g,CGOB/YGOB_bridge,-1,"('orf19.3055', 'KLLA0D10802g')"
K. lactis,KLLA0D10802g,C. albicans,orf19.3055,CGOB/YGOB_bridge,-1,"('KLLA0D10802g', 'orf19.3055')"
C. albicans,orf19.5943.1,K. lactis,Klac_YGOB_STM1,CGOB/YGOB_bridge,-1,"('orf19.5943.1', 'Klac_YGOB_STM1')"
K. lactis,Klac_YGOB_STM1,C. albicans,orf19.5943.1,CGOB/YGOB_bridge,-1,"('Klac_YGOB_STM1', 'orf19.5943.1')"
C. albicans,orf19.645.1,K. lactis,KLLA0E06271g,CGOB/YGOB_bridge,-1,"('orf19.645.1', 'KLLA0E06271g')"
K. lactis,KLLA0E06271g,C. albicans,orf19.645.1,CGOB/YGOB_bridge,-1,"('KLLA0E06271g', 'orf19.645.1')"
C. albicans,orf19.2112,K. lactis,KLLA0C18172g,CGOB/YGOB_bridge,-1,"('orf19.2112', 'KLLA0C18172g')"
K. lactis,KLLA0C18172g,C. albicans,orf19.2112,CGOB/YGOB_bridge,-1,"('KLLA0C18172g', 'orf19.2112')"
C. albicans,orf19.1047,K. lactis,KLLA0F26653g,CGOB/YGOB_bridge,-1,"('orf19.1047', 'KLLA0F26653g')"
K. lactis,KLLA0F26653g,C. albicans,orf19.1047,CGOB/YGOB_bridge,-1,"('KLLA0F26653g', 'orf19.1047')"
C. albicans,orf19.5016,K. lactis,KLLA0A03575g,CGOB/YGOB_bridge,-1,"('orf19.5016', 'KLLA0A03575g')"
K. lactis,KLLA0A03575g,C. albicans,orf19.5016,CGOB/YGOB_bridge,-1,"('KLLA0A03575g', 'orf19.5016')"
C. albicans,orf19.5965,K. lactis,KLLA0F05269g,CGOB/YGOB_bridge,-1,"('orf19.5965', 'KLLA0F05269g')"
K. lactis,KLLA0F05269g,C. albicans,orf19.5965,CGOB/YGOB_bridge,-1,"('KLLA0F05269g', 'orf19.5965')"
C. albicans,orf19.6461,K. lactis,KLLA0C15015g,CGOB/YGOB_bridge,-1,"('orf19.6461', 'KLLA0C15015g')"
K. lactis,KLLA0C15015g,C. albicans,orf19.6461,CGOB/YGOB_bridge,-1,"('KLLA0C15015g', 'orf19.6461')"
C. albicans,orf19.4705,K. lactis,KLLA0C17688g,CGOB/YGOB_bridge,-1,"('orf19.4705', 'KLLA0C17688g')"
K. lactis,KLLA0C17688g,C. albicans,orf19.4705,CGOB/YGOB_bridge,-1,"('KLLA0C17688g', 'orf19.4705')"
C. albicans,orf19.538,K. lactis,KLLA0E23475g,CGOB/YGOB_bridge,-1,"('orf19.538', 'KLLA0E23475g')"
K. lactis,KLLA0E23475g,C. albicans,orf19.538,CGOB/YGOB_bridge,-1,"('KLLA0E23475g', 'orf19.538')"
C. albicans,orf19.7343,K. lactis,KLLA0E04819g,CGOB/YGOB_bridge,-1,"('orf19.7343', 'KLLA0E04819g')"
K. lactis,KLLA0E04819g,C. albicans,orf19.7343,CGOB/YGOB_bridge,-1,"('KLLA0E04819g', 'orf19.7343')"
C. albicans,orf19.4064,K. lactis,KLLA0F01705g,CGOB/YGOB_bridge,-1,"('orf19.4064', 'KLLA0F01705g')"
K. lactis,KLLA0F01705g,C. albicans,orf19.4064,CGOB/YGOB_bridge,-1,"('KLLA0F01705g', 'orf19.4064')"
C. albicans,orf19.7043.1,K. lactis,KLLA0B05643g,CGOB/YGOB_bridge,-1,"('orf19.7043.1', 'KLLA0B05643g')"
K. lactis,KLLA0B05643g,C. albicans,orf19.7043.1,CGOB/YGOB_bridge,-1,"('KLLA0B05643g', 'orf19.7043.1')"
C. albicans,orf19.5071,K. lactis,KLLA0D12364g,CGOB/YGOB_bridge,-1,"('orf19.5071', 'KLLA0D12364g')"
K. lactis,KLLA0D12364g,C. albicans,orf19.5071,CGOB/YGOB_bridge,-1,"('KLLA0D12364g', 'orf19.5071')"
C. albicans,orf19.2014,K. lactis,KLLA0E04181g,CGOB/YGOB_bridge,-1,"('orf19.2014', 'KLLA0E04181g')"
K. lactis,KLLA0E04181g,C. albicans,orf19.2014,CGOB/YGOB_bridge,-1,"('KLLA0E04181g', 'orf19.2014')"
C. albicans,orf19.4033,K. lactis,KLLA0B11638g,CGOB/YGOB_bridge,-1,"('orf19.4033', 'KLLA0B11638g')"
K. lactis,KLLA0B11638g,C. albicans,orf19.4033,CGOB/YGOB_bridge,-1,"('KLLA0B11638g', 'orf19.4033')"
C. albicans,orf19.4252,K. lactis,KLLA0A09625g,CGOB/YGOB_bridge,-1,"('orf19.4252', 'KLLA0A09625g')"
K. lactis,KLLA0A09625g,C. albicans,orf19.4252,CGOB/YGOB_bridge,-1,"('KLLA0A09625g', 'orf19.4252')"
C. albicans,orf19.1923,K. lactis,KLLA0B12738g,CGOB/YGOB_bridge,-1,"('orf19.1923', 'KLLA0B12738g')"
K. lactis,KLLA0B12738g,C. albicans,orf19.1923,CGOB/YGOB_bridge,-1,"('KLLA0B12738g', 'orf19.1923')"
C. albicans,orf19.5377,K. lactis,KLLA0F09119g,CGOB/YGOB_bridge,-1,"('orf19.5377', 'KLLA0F09119g')"
K. lactis,KLLA0F09119g,C. albicans,orf19.5377,CGOB/YGOB_bridge,-1,"('KLLA0F09119g', 'orf19.5377')"
C. albicans,orf19.1672,K. lactis,KLLA0F04884g,CGOB/YGOB_bridge,-1,"('orf19.1672', 'KLLA0F04884g')"
K. lactis,KLLA0F04884g,C. albicans,orf19.1672,CGOB/YGOB_bridge,-1,"('KLLA0F04884g', 'orf19.1672')"
C. albicans,orf19.6013,K. lactis,KLLA0B13024g,CGOB/YGOB_bridge,-1,"('orf19.6013', 'KLLA0B13024g')"
K. lactis,KLLA0B13024g,C. albicans,orf19.6013,CGOB/YGOB_bridge,-1,"('KLLA0B13024g', 'orf19.6013')"
C. albicans,orf19.1647,K. lactis,KLLA0F25058g,CGOB/YGOB_bridge,-1,"('orf19.1647', 'KLLA0F25058g')"
K. lactis,KLLA0F25058g,C. albicans,orf19.1647,CGOB/YGOB_bridge,-1,"('KLLA0F25058g', 'orf19.1647')"
C. albicans,orf19.1467,K. lactis,KLLA0F09075g,CGOB/YGOB_bridge,-1,"('orf19.1467', 'KLLA0F09075g')"
K. lactis,KLLA0F09075g,C. albicans,orf19.1467,CGOB/YGOB_bridge,-1,"('KLLA0F09075g', 'orf19.1467')"
C. albicans,orf19.7492,K. lactis,KLLA0C18315g,CGOB/YGOB_bridge,-1,"('orf19.7492', 'KLLA0C18315g')"
