species1,gene1,species2,gene2,source,pillar_id,gene_pair
K. lactis,KLLA0D18216g,C. glabrata,CAGL0F05775g,YGOB,67,"('KLLA0D18216g', 'CAGL0F05775g')"
C. glabrata,CAGL0F05753g,K. lactis,KLLA0D18238g,YGOB,70,"('CAGL0F05753g', 'KLLA0D18238g')"
K. lactis,KLLA0D18238g,C. glabrata,CAGL0F05753g,YGOB,70,"('KLLA0D18238g', 'CAGL0F05753g')"
C. glabrata,CAGL0F05731g,K. lactis,KLLA0D18282g,YGOB,73,"('CAGL0F05731g', 'KLLA0D18282g')"
K. lactis,KLLA0D18282g,C. glabrata,CAGL0F05731g,YGOB,73,"('KLLA0D18282g', 'CAGL0F05731g')"
C. glabrata,CAGL0F05709g,K. lactis,KLLA0D18326g,YGOB,80,"('CAGL0F05709g', 'KLLA0D18326g')"
K. lactis,KLLA0D18326g,C. glabrata,CAGL0F05709g,YGOB,80,"('KLLA0D18326g', 'CAGL0F05709g')"
C. glabrata,CAGL0G08195g,K. lactis,KLLA0D18348g,YGOB,86,"('CAGL0G08195g', 'KLLA0D18348g')"
K. lactis,KLLA0D18348g,C. glabrata,CAGL0G08195g,YGOB,86,"('KLLA0D18348g', 'CAGL0G08195g')"
C. glabrata,CAGL0F05687g,K. lactis,KLLA0D18392g,YGOB,93,"('CAGL0F05687g', 'KLLA0D18392g')"
K. lactis,KLLA0D18392g,C. glabrata,CAGL0F05687g,YGOB,93,"('KLLA0D18392g', 'CAGL0F05687g')"
C. glabrata,CAGL0M09449g,K. lactis,KLLA0E06557g,YGOB,102,"('CAGL0M09449g', 'KLLA0E06557g')"
K. lactis,KLLA0E06557g,C. glabrata,CAGL0M09449g,YGOB,102,"('KLLA0E06557g', 'CAGL0M09449g')"
C. glabrata,CAGL0G08272g,K. lactis,KLLA0D18458g,YGOB,103,"('CAGL0G08272g', 'KLLA0D18458g')"
K. lactis,KLLA0D18458g,C. glabrata,CAGL0G08272g,YGOB,103,"('KLLA0D18458g', 'CAGL0G08272g')"
C. glabrata,CAGL0F05665g,K. lactis,KLLA0D18480g,YGOB,113,"('CAGL0F05665g', 'KLLA0D18480g')"
K. lactis,KLLA0D18480g,C. glabrata,CAGL0F05665g,YGOB,113,"('KLLA0D18480g', 'CAGL0F05665g')"
C. glabrata,CAGL0F05643g,K. lactis,KLLA0D18502g,YGOB,118,"('CAGL0F05643g', 'KLLA0D18502g')"
K. lactis,KLLA0D18502g,C. glabrata,CAGL0F05643g,YGOB,118,"('KLLA0D18502g', 'CAGL0F05643g')"
C. glabrata,CAGL0F05621g,K. lactis,KLLA0D18535g,YGOB,123,"('CAGL0F05621g', 'KLLA0D18535g')"
K. lactis,KLLA0D18535g,C. glabrata,CAGL0F05621g,YGOB,123,"('KLLA0D18535g', 'CAGL0F05621g')"
C. glabrata,CAGL0F05599g,K. lactis,Klac_YGOB_Anc_8.398,YGOB,128,"('CAGL0F05599g', 'Klac_YGOB_Anc_8.398')"
K. lactis,Klac_YGOB_Anc_8.398,C. glabrata,CAGL0F05599g,YGOB,128,"('Klac_YGOB_Anc_8.398', 'CAGL0F05599g')"
C. glabrata,CAGL0L09845g,K. lactis,KLLA0E08031g,YGOB,133,"('CAGL0L09845g', 'KLLA0E08031g')"
K. lactis,KLLA0E08031g,C. glabrata,CAGL0L09845g,YGOB,133,"('KLLA0E08031g', 'CAGL0L09845g')"
C. glabrata,CAGL0F05577g,K. lactis,KLLA0D18667g,YGOB,137,"('CAGL0F05577g', 'KLLA0D18667g')"
K. lactis,KLLA0D18667g,C. glabrata,CAGL0F05577g,YGOB,137,"('KLLA0D18667g', 'CAGL0F05577g')"
C. glabrata,CAGL0G08382g,K. lactis,KLLA0D18689g,YGOB,145,"('CAGL0G08382g', 'KLLA0D18689g')"
K. lactis,KLLA0D18689g,C. glabrata,CAGL0G08382g,YGOB,145,"('KLLA0D18689g', 'CAGL0G08382g')"
C. glabrata,CAGL0F05555g,K. lactis,KLLA0D18711g,YGOB,150,"('CAGL0F05555g', 'KLLA0D18711g')"
K. lactis,KLLA0D18711g,C. glabrata,CAGL0F05555g,YGOB,150,"('KLLA0D18711g', 'CAGL0F05555g')"
C. glabrata,CAGL0F05533g,K. lactis,KLLA0D18733g,YGOB,154,"('CAGL0F05533g', 'KLLA0D18733g')"
K. lactis,KLLA0D18733g,C. glabrata,CAGL0F05533g,YGOB,154,"('KLLA0D18733g', 'CAGL0F05533g')"
C. glabrata,CAGL0F05511g,K. lactis,KLLA0D18755g,YGOB,162,"('CAGL0F05511g', 'KLLA0D18755g')"
K. lactis,KLLA0D18755g,C. glabrata,CAGL0F05511g,YGOB,162,"('KLLA0D18755g', 'CAGL0F05511g')"
C. glabrata,CAGL0M09581g,K. lactis,KLLA0E06667g,YGOB,171,"('CAGL0M09581g', 'KLLA0E06667g')"
K. lactis,KLLA0E06667g,C. glabrata,CAGL0M09581g,YGOB,171,"('KLLA0E06667g', 'CAGL0M09581g')"
C. glabrata,CAGL0F05489g,K. lactis,KLLA0D18799g,YGOB,177,"('CAGL0F05489g', 'KLLA0D18799g')"
K. lactis,KLLA0D18799g,C. glabrata,CAGL0F05489g,YGOB,177,"('KLLA0D18799g', 'CAGL0F05489g')"
C. glabrata,CAGL0F05467g,K. lactis,KLLA0D18821g,YGOB,183,"('CAGL0F05467g', 'KLLA0D18821g')"
K. lactis,KLLA0D18821g,C. glabrata,CAGL0F05467g,YGOB,183,"('KLLA0D18821g', 'CAGL0F05467g')"
C. glabrata,CAGL0F05445g,K. lactis,KLLA0D18843g,YGOB,184,"('CAGL0F05445g', 'KLLA0D18843g')"
K. lactis,KLLA0D18843g,C. glabrata,CAGL0F05445g,YGOB,184,"('KLLA0D18843g', 'CAGL0F05445g')"
C. glabrata,CAGL0F05423g,K. lactis,KLLA0D18865g,YGOB,185,"('CAGL0F05423g', 'KLLA0D18865g')"
K. lactis,KLLA0D18865g,C. glabrata,CAGL0F05423g,YGOB,185,"('KLLA0D18865g', 'CAGL0F05423g')"
C. glabrata,CAGL0F05401g,K. lactis,KLLA0F20746g,YGOB,188,"('CAGL0F05401g', 'KLLA0F20746g')"
K. lactis,KLLA0F20746g,C. glabrata,CAGL0F05401g,YGOB,188,"('KLLA0F20746g', 'CAGL0F05401g')"
C. glabrata,CAGL0F05379g,K. lactis,KLLA0F20702g,YGOB,189,"('CAGL0F05379g', 'KLLA0F20702g')"
K. lactis,KLLA0F20702g,C. glabrata,CAGL0F05379g,YGOB,189,"('KLLA0F20702g', 'CAGL0F05379g')"
C. glabrata,CAGL0F05357g,K. lactis,KLLA0F20680g,YGOB,190,"('CAGL0F05357g', 'KLLA0F20680g')"
K. lactis,KLLA0F20680g,C. glabrata,CAGL0F05357g,YGOB,190,"('KLLA0F20680g', 'CAGL0F05357g')"
C. glabrata,CAGL0F05335g,K. lactis,KLLA0A04301g,YGOB,191,"('CAGL0F05335g', 'KLLA0A04301g')"
K. lactis,KLLA0A04301g,C. glabrata,CAGL0F05335g,YGOB,191,"('KLLA0A04301g', 'CAGL0F05335g')"
C. glabrata,CAGL0F05329g,K. lactis,Klac_YGOB_Anc_8.419,YGOB,192,"('CAGL0F05329g', 'Klac_YGOB_Anc_8.419')"
K. lactis,Klac_YGOB_Anc_8.419,C. glabrata,CAGL0F05329g,YGOB,192,"('Klac_YGOB_Anc_8.419', 'CAGL0F05329g')"
C. glabrata,CAGL0C01221g,K. lactis,KLLA0A04235g,YGOB,194,"('CAGL0C01221g', 'KLLA0A04235g')"
K. lactis,KLLA0A04235g,C. glabrata,CAGL0C01221g,YGOB,194,"('KLLA0A04235g', 'CAGL0C01221g')"
C. glabrata,CAGL0F07887g,K. lactis,KLLA0A04191g,YGOB,195,"('CAGL0F07887g', 'KLLA0A04191g')"
K. lactis,KLLA0A04191g,C. glabrata,CAGL0F07887g,YGOB,195,"('KLLA0A04191g', 'CAGL0F07887g')"
C. glabrata,CAGL0C01199g,K. lactis,KLLA0A04169g,YGOB,196,"('CAGL0C01199g', 'KLLA0A04169g')"
K. lactis,KLLA0A04169g,C. glabrata,CAGL0C01199g,YGOB,196,"('KLLA0A04169g', 'CAGL0C01199g')"
C. glabrata,CAGL0E04906g,K. lactis,KLLA0A04147g,YGOB,197,"('CAGL0E04906g', 'KLLA0A04147g')"
K. lactis,KLLA0A04147g,C. glabrata,CAGL0E04906g,YGOB,197,"('KLLA0A04147g', 'CAGL0E04906g')"
C. glabrata,CAGL0E04884g,K. lactis,KLLA0F13046g,YGOB,198,"('CAGL0E04884g', 'KLLA0F13046g')"
K. lactis,KLLA0F13046g,C. glabrata,CAGL0E04884g,YGOB,198,"('KLLA0F13046g', 'CAGL0E04884g')"
C. glabrata,CAGL0E04862g,K. lactis,KLLA0F13068g,YGOB,199,"('CAGL0E04862g', 'KLLA0F13068g')"
K. lactis,KLLA0F13068g,C. glabrata,CAGL0E04862g,YGOB,199,"('KLLA0F13068g', 'CAGL0E04862g')"
C. glabrata,CAGL0F00275g,K. lactis,KLLA0B14344g,YGOB,200,"('CAGL0F00275g', 'KLLA0B14344g')"
K. lactis,KLLA0B14344g,C. glabrata,CAGL0F00275g,YGOB,200,"('KLLA0B14344g', 'CAGL0F00275g')"
C. glabrata,CAGL0E04818g,K. lactis,KLLA0F13156g,YGOB,201,"('CAGL0E04818g', 'KLLA0F13156g')"
K. lactis,KLLA0F13156g,C. glabrata,CAGL0E04818g,YGOB,201,"('KLLA0F13156g', 'CAGL0E04818g')"
C. glabrata,CAGL0E04796g,K. lactis,KLLA0F13178g,YGOB,202,"('CAGL0E04796g', 'KLLA0F13178g')"
K. lactis,KLLA0F13178g,C. glabrata,CAGL0E04796g,YGOB,202,"('KLLA0F13178g', 'CAGL0E04796g')"
C. glabrata,CAGL0E04774g,K. lactis,KLLA0F13200g,YGOB,203,"('CAGL0E04774g', 'KLLA0F13200g')"
K. lactis,KLLA0F13200g,C. glabrata,CAGL0E04774g,YGOB,203,"('KLLA0F13200g', 'CAGL0E04774g')"
C. glabrata,CAGL0M09559g,K. lactis,KLLA0E06733g,YGOB,204,"('CAGL0M09559g', 'KLLA0E06733g')"
K. lactis,KLLA0E06733g,C. glabrata,CAGL0M09559g,YGOB,204,"('KLLA0E06733g', 'CAGL0M09559g')"
C. glabrata,CAGL0C00759g,K. lactis,KLLA0F13222g,YGOB,205,"('CAGL0C00759g', 'KLLA0F13222g')"
K. lactis,KLLA0F13222g,C. glabrata,CAGL0C00759g,YGOB,205,"('KLLA0F13222g', 'CAGL0C00759g')"
C. glabrata,CAGL0K11462g,K. lactis,KLLA0F13310g,YGOB,206,"('CAGL0K11462g', 'KLLA0F13310g')"
K. lactis,KLLA0F13310g,C. glabrata,CAGL0K11462g,YGOB,206,"('KLLA0F13310g', 'CAGL0K11462g')"
C. glabrata,CAGL0K11440g,K. lactis,KLLA0F13332g,YGOB,207,"('CAGL0K11440g', 'KLLA0F13332g')"
K. lactis,KLLA0F13332g,C. glabrata,CAGL0K11440g,YGOB,207,"('KLLA0F13332g', 'CAGL0K11440g')"
C. glabrata,CAGL0K11418g,K. lactis,KLLA0F13376g,YGOB,208,"('CAGL0K11418g', 'KLLA0F13376g')"
K. lactis,KLLA0F13376g,C. glabrata,CAGL0K11418g,YGOB,208,"('KLLA0F13376g', 'CAGL0K11418g')"
C. glabrata,CAGL0K11396g,K. lactis,KLLA0F13398g,YGOB,209,"('CAGL0K11396g', 'KLLA0F13398g')"
K. lactis,KLLA0F13398g,C. glabrata,CAGL0K11396g,YGOB,209,"('KLLA0F13398g', 'CAGL0K11396g')"
C. glabrata,CAGL0K11374g,K. lactis,KLLA0F13442g,YGOB,210,"('CAGL0K11374g', 'KLLA0F13442g')"
K. lactis,KLLA0F13442g,C. glabrata,CAGL0K11374g,YGOB,210,"('KLLA0F13442g', 'CAGL0K11374g')"
C. glabrata,CAGL0K11363g,K. lactis,KLLA0C14971g,YGOB,211,"('CAGL0K11363g', 'KLLA0C14971g')"
K. lactis,KLLA0C14971g,C. glabrata,CAGL0K11363g,YGOB,211,"('KLLA0C14971g', 'CAGL0K11363g')"
C. glabrata,CAGL0K11341g,K. lactis,KLLA0C15015g,YGOB,212,"('CAGL0K11341g', 'KLLA0C15015g')"
K. lactis,KLLA0C15015g,C. glabrata,CAGL0K11341g,YGOB,212,"('KLLA0C15015g', 'CAGL0K11341g')"
C. glabrata,CAGL0B02607g,K. lactis,KLLA0C15059g,YGOB,213,"('CAGL0B02607g', 'KLLA0C15059g')"
K. lactis,KLLA0C15059g,C. glabrata,CAGL0B02607g,YGOB,213,"('KLLA0C15059g', 'CAGL0B02607g')"
C. glabrata,CAGL0K10978g,K. lactis,KLLA0C15125g,YGOB,214,"('CAGL0K10978g', 'KLLA0C15125g')"
K. lactis,KLLA0C15125g,C. glabrata,CAGL0K10978g,YGOB,214,"('KLLA0C15125g', 'CAGL0K10978g')"
C. glabrata,CAGL0M09537g,K. lactis,KLLA0E06777g,YGOB,215,"('CAGL0M09537g', 'KLLA0E06777g')"
K. lactis,KLLA0E06777g,C. glabrata,CAGL0M09537g,YGOB,215,"('KLLA0E06777g', 'CAGL0M09537g')"
C. glabrata,CAGL0K11000g,K. lactis,KLLA0C15169g,YGOB,216,"('CAGL0K11000g', 'KLLA0C15169g')"
K. lactis,KLLA0C15169g,C. glabrata,CAGL0K11000g,YGOB,216,"('KLLA0C15169g', 'CAGL0K11000g')"
C. glabrata,CAGL0K11022g,K. lactis,KLLA0C15213g,YGOB,217,"('CAGL0K11022g', 'KLLA0C15213g')"
K. lactis,KLLA0C15213g,C. glabrata,CAGL0K11022g,YGOB,217,"('KLLA0C15213g', 'CAGL0K11022g')"
C. glabrata,CAGL0K11044g,K. lactis,KLLA0C15257g,YGOB,218,"('CAGL0K11044g', 'KLLA0C15257g')"
K. lactis,KLLA0C15257g,C. glabrata,CAGL0K11044g,YGOB,218,"('KLLA0C15257g', 'CAGL0K11044g')"
C. glabrata,CAGL0K11088g,K. lactis,KLLA0C15279g,YGOB,219,"('CAGL0K11088g', 'KLLA0C15279g')"
K. lactis,KLLA0C15279g,C. glabrata,CAGL0K11088g,YGOB,219,"('KLLA0C15279g', 'CAGL0K11088g')"
C. glabrata,CAGL0K11110g,K. lactis,KLLA0C15301g,YGOB,220,"('CAGL0K11110g', 'KLLA0C15301g')"
K. lactis,KLLA0C15301g,C. glabrata,CAGL0K11110g,YGOB,220,"('KLLA0C15301g', 'CAGL0K11110g')"
C. glabrata,CAGL0K11132g,K. lactis,KLLA0C15323g,YGOB,221,"('CAGL0K11132g', 'KLLA0C15323g')"
K. lactis,KLLA0C15323g,C. glabrata,CAGL0K11132g,YGOB,221,"('KLLA0C15323g', 'CAGL0K11132g')"
C. glabrata,CAGL0K11198g,K. lactis,KLLA0C15433g,YGOB,223,"('CAGL0K11198g', 'KLLA0C15433g')"
K. lactis,KLLA0C15433g,C. glabrata,CAGL0K11198g,YGOB,223,"('KLLA0C15433g', 'CAGL0K11198g')"
C. glabrata,CAGL0K11209g,K. lactis,KLLA0C15455g,YGOB,224,"('CAGL0K11209g', 'KLLA0C15455g')"
K. lactis,KLLA0C15455g,C. glabrata,CAGL0K11209g,YGOB,224,"('KLLA0C15455g', 'CAGL0K11209g')"
C. glabrata,CAGL0K11231g,K. lactis,KLLA0C15477g,YGOB,225,"('CAGL0K11231g', 'KLLA0C15477g')"
K. lactis,KLLA0C15477g,C. glabrata,CAGL0K11231g,YGOB,225,"('KLLA0C15477g', 'CAGL0K11231g')"
C. glabrata,CAGL0M09515g,K. lactis,KLLA0E06821g,YGOB,226,"('CAGL0M09515g', 'KLLA0E06821g')"
K. lactis,KLLA0E06821g,C. glabrata,CAGL0M09515g,YGOB,226,"('KLLA0E06821g', 'CAGL0M09515g')"
C. glabrata,CAGL0K11253g,K. lactis,KLLA0D12144g,YGOB,227,"('CAGL0K11253g', 'KLLA0D12144g')"
K. lactis,KLLA0D12144g,C. glabrata,CAGL0K11253g,YGOB,227,"('KLLA0D12144g', 'CAGL0K11253g')"
C. glabrata,CAGL0I05390g,K. lactis,KLLA0D12100g,YGOB,228,"('CAGL0I05390g', 'KLLA0D12100g')"
K. lactis,KLLA0D12100g,C. glabrata,CAGL0I05390g,YGOB,228,"('KLLA0D12100g', 'CAGL0I05390g')"
C. glabrata,CAGL0K11297g,K. lactis,KLLA0D12078g,YGOB,229,"('CAGL0K11297g', 'KLLA0D12078g')"
K. lactis,KLLA0D12078g,C. glabrata,CAGL0K11297g,YGOB,229,"('KLLA0D12078g', 'CAGL0K11297g')"
C. glabrata,CAGL0K11319g,K. lactis,KLLA0D11968g,YGOB,230,"('CAGL0K11319g', 'KLLA0D11968g')"
K. lactis,KLLA0D11968g,C. glabrata,CAGL0K11319g,YGOB,230,"('KLLA0D11968g', 'CAGL0K11319g')"
C. glabrata,CAGL0L12452g,K. lactis,KLLA0D11946g,YGOB,231,"('CAGL0L12452g', 'KLLA0D11946g')"
K. lactis,KLLA0D11946g,C. glabrata,CAGL0L12452g,YGOB,231,"('KLLA0D11946g', 'CAGL0L12452g')"
C. glabrata,CAGL0L12540g,K. lactis,KLLA0D11924g,YGOB,232,"('CAGL0L12540g', 'KLLA0D11924g')"
K. lactis,KLLA0D11924g,C. glabrata,CAGL0L12540g,YGOB,232,"('KLLA0D11924g', 'CAGL0L12540g')"
C. glabrata,CAGL0L12562g,K. lactis,KLLA0D11902g,YGOB,233,"('CAGL0L12562g', 'KLLA0D11902g')"
K. lactis,KLLA0D11902g,C. glabrata,CAGL0L12562g,YGOB,233,"('KLLA0D11902g', 'CAGL0L12562g')"
C. glabrata,CAGL0B02673g,K. lactis,KLLA0D11770g,YGOB,234,"('CAGL0B02673g', 'KLLA0D11770g')"
K. lactis,KLLA0D11770g,C. glabrata,CAGL0B02673g,YGOB,234,"('KLLA0D11770g', 'CAGL0B02673g')"
C. glabrata,CAGL0B02695g,K. lactis,KLLA0D11704g,YGOB,235,"('CAGL0B02695g', 'KLLA0D11704g')"
K. lactis,KLLA0D11704g,C. glabrata,CAGL0B02695g,YGOB,235,"('KLLA0D11704g', 'CAGL0B02695g')"
C. glabrata,CAGL0K10868g,K. lactis,KLLA0D11660g,YGOB,236,"('CAGL0K10868g', 'KLLA0D11660g')"
K. lactis,KLLA0D11660g,C. glabrata,CAGL0K10868g,YGOB,236,"('KLLA0D11660g', 'CAGL0K10868g')"
C. glabrata,CAGL0H04521g,K. lactis,KLLA0E06843g,YGOB,237,"('CAGL0H04521g', 'KLLA0E06843g')"
K. lactis,KLLA0E06843g,C. glabrata,CAGL0H04521g,YGOB,237,"('KLLA0E06843g', 'CAGL0H04521g')"
C. glabrata,CAGL0M08844g,K. lactis,KLLA0A07084g,YGOB,238,"('CAGL0M08844g', 'KLLA0A07084g')"
K. lactis,KLLA0A07084g,C. glabrata,CAGL0M08844g,YGOB,238,"('KLLA0A07084g', 'CAGL0M08844g')"
C. glabrata,CAGL0M08822g,K. lactis,KLLA0E16897g,YGOB,239,"('CAGL0M08822g', 'KLLA0E16897g')"
K. lactis,KLLA0E16897g,C. glabrata,CAGL0M08822g,YGOB,239,"('KLLA0E16897g', 'CAGL0M08822g')"
C. glabrata,CAGL0M08778g,K. lactis,KLLA0E16853g,YGOB,241,"('CAGL0M08778g', 'KLLA0E16853g')"
K. lactis,KLLA0E16853g,C. glabrata,CAGL0M08778g,YGOB,241,"('KLLA0E16853g', 'CAGL0M08778g')"
C. glabrata,CAGL0M08734g,K. lactis,KLLA0E16787g,YGOB,243,"('CAGL0M08734g', 'KLLA0E16787g')"
K. lactis,KLLA0E16787g,C. glabrata,CAGL0M08734g,YGOB,243,"('KLLA0E16787g', 'CAGL0M08734g')"
C. glabrata,CAGL0H08085g,K. lactis,KLLA0E16743g,YGOB,244,"('CAGL0H08085g', 'KLLA0E16743g')"
K. lactis,KLLA0E16743g,C. glabrata,CAGL0H08085g,YGOB,244,"('KLLA0E16743g', 'CAGL0H08085g')"
C. glabrata,CAGL0M08712g,K. lactis,KLLA0E16721g,YGOB,245,"('CAGL0M08712g', 'KLLA0E16721g')"
K. lactis,KLLA0E16721g,C. glabrata,CAGL0M08712g,YGOB,245,"('KLLA0E16721g', 'CAGL0M08712g')"
C. glabrata,CAGL0M08690g,K. lactis,KLLA0E16677g,YGOB,246,"('CAGL0M08690g', 'KLLA0E16677g')"
K. lactis,KLLA0E16677g,C. glabrata,CAGL0M08690g,YGOB,246,"('KLLA0E16677g', 'CAGL0M08690g')"
C. glabrata,CAGL0M08668g,K. lactis,KLLA0E16655g,YGOB,247,"('CAGL0M08668g', 'KLLA0E16655g')"
K. lactis,KLLA0E16655g,C. glabrata,CAGL0M08668g,YGOB,247,"('KLLA0E16655g', 'CAGL0M08668g')"
C. glabrata,CAGL0G03663g,K. lactis,KLLA0E06865g,YGOB,248,"('CAGL0G03663g', 'KLLA0E06865g')"
K. lactis,KLLA0E06865g,C. glabrata,CAGL0G03663g,YGOB,248,"('KLLA0E06865g', 'CAGL0G03663g')"
C. glabrata,CAGL0M08646g,K. lactis,KLLA0E21781g,YGOB,249,"('CAGL0M08646g', 'KLLA0E21781g')"
K. lactis,KLLA0E21781g,C. glabrata,CAGL0M08646g,YGOB,249,"('KLLA0E21781g', 'CAGL0M08646g')"
C. glabrata,CAGL0M08624g,K. lactis,KLLA0E21825g,YGOB,250,"('CAGL0M08624g', 'KLLA0E21825g')"
K. lactis,KLLA0E21825g,C. glabrata,CAGL0M08624g,YGOB,250,"('KLLA0E21825g', 'CAGL0M08624g')"
C. glabrata,CAGL0I00924g,K. lactis,KLLA0F16016g,YGOB,251,"('CAGL0I00924g', 'KLLA0F16016g')"
K. lactis,KLLA0F16016g,C. glabrata,CAGL0I00924g,YGOB,251,"('KLLA0F16016g', 'CAGL0I00924g')"
C. glabrata,CAGL0L09933g,K. lactis,KLLA0F15994g,YGOB,252,"('CAGL0L09933g', 'KLLA0F15994g')"
K. lactis,KLLA0F15994g,C. glabrata,CAGL0L09933g,YGOB,252,"('KLLA0F15994g', 'CAGL0L09933g')"
