species1,gene1,species2,gene2,source,pillar_id,gene_pair
C. albicans,orf19.2598,C. glabrata,CAGL0E05346g,CGOB/YGOB_bridge,-1,"('orf19.2598', 'CAGL0E05346g')"
C. glabrata,CAGL0E05346g,C. albicans,orf19.2598,CGOB/YGOB_bridge,-1,"('CAGL0E05346g', 'orf19.2598')"
C. albicans,orf19.3052,C. glabrata,CAGL0K12672g,CGOB/YGOB_bridge,-1,"('orf19.3052', 'CAGL0K12672g')"
C. glabrata,CAGL0K12672g,C. albicans,orf19.3052,CGOB/YGOB_bridge,-1,"('CAGL0K12672g', 'orf19.3052')"
C. albicans,orf19.3822,C. glabrata,CAGL0F03399g,CGOB/YGOB_bridge,-1,"('orf19.3822', 'CAGL0F03399g')"
C. glabrata,CAGL0F03399g,C. albicans,orf19.3822,CGOB/YGOB_bridge,-1,"('CAGL0F03399g', 'orf19.3822')"
C. albicans,orf19.417,C. glabrata,CAGL0F08305g,CGOB/YGOB_bridge,-1,"('orf19.417', 'CAGL0F08305g')"
C. glabrata,CAGL0F08305g,C. albicans,orf19.417,CGOB/YGOB_bridge,-1,"('CAGL0F08305g', 'orf19.417')"
C. albicans,orf19.2257,C. glabrata,CAGL0M10615g,CGOB/YGOB_bridge,-1,"('orf19.2257', 'CAGL0M10615g')"
C. glabrata,CAGL0M10615g,C. albicans,orf19.2257,CGOB/YGOB_bridge,-1,"('CAGL0M10615g', 'orf19.2257')"
C. albicans,orf19.7383,C. glabrata,CAGL0L12804g,CGOB/YGOB_bridge,-1,"('orf19.7383', 'CAGL0L12804g')"
C. glabrata,CAGL0L12804g,C. albicans,orf19.7383,CGOB/YGOB_bridge,-1,"('CAGL0L12804g', 'orf19.7383')"
C. albicans,orf19.2749,C. glabrata,CAGL0L06446g,CGOB/YGOB_bridge,-1,"('orf19.2749', 'CAGL0L06446g')"
C. glabrata,CAGL0L06446g,C. albicans,orf19.2749,CGOB/YGOB_bridge,-1,"('CAGL0L06446g', 'orf19.2749')"
C. albicans,orf19.385,C. glabrata,CAGL0L00429g,CGOB/YGOB_bridge,-1,"('orf19.385', 'CAGL0L00429g')"
C. glabrata,CAGL0L00429g,C. albicans,orf19.385,CGOB/YGOB_bridge,-1,"('CAGL0L00429g', 'orf19.385')"
C. albicans,orf19.3342,C. glabrata,CAGL0I07205g,CGOB/YGOB_bridge,-1,"('orf19.3342', 'CAGL0I07205g')"
C. glabrata,CAGL0I07205g,C. albicans,orf19.3342,CGOB/YGOB_bridge,-1,"('CAGL0I07205g', 'orf19.3342')"
C. albicans,orf19.773,C. glabrata,CAGL0C00715g,CGOB/YGOB_bridge,-1,"('orf19.773', 'CAGL0C00715g')"
C. glabrata,CAGL0C00715g,C. albicans,orf19.773,CGOB/YGOB_bridge,-1,"('CAGL0C00715g', 'orf19.773')"
C. albicans,orf19.2444,C. glabrata,CAGL0G05918g,CGOB/YGOB_bridge,-1,"('orf19.2444', 'CAGL0G05918g')"
C. glabrata,CAGL0G05918g,C. albicans,orf19.2444,CGOB/YGOB_bridge,-1,"('CAGL0G05918g', 'orf19.2444')"
C. albicans,orf19.886,C. glabrata,CAGL0J01892g,CGOB/YGOB_bridge,-1,"('orf19.886', 'CAGL0J01892g')"
C. glabrata,CAGL0J01892g,C. albicans,orf19.886,CGOB/YGOB_bridge,-1,"('CAGL0J01892g', 'orf19.886')"
C. albicans,orf19.5142,C. glabrata,CAGL0J03894g,CGOB/YGOB_bridge,-1,"('orf19.5142', 'CAGL0J03894g')"
C. glabrata,CAGL0J03894g,C. albicans,orf19.5142,CGOB/YGOB_bridge,-1,"('CAGL0J03894g', 'orf19.5142')"
C. albicans,orf19.1170,C. glabrata,CAGL0K12232g,CGOB/YGOB_bridge,-1,"('orf19.1170', 'CAGL0K12232g')"
C. glabrata,CAGL0K12232g,C. albicans,orf19.1170,CGOB/YGOB_bridge,-1,"('CAGL0K12232g', 'orf19.1170')"
C. albicans,orf19.7349,C. glabrata,CAGL0A04411g,CGOB/YGOB_bridge,-1,"('orf19.7349', 'CAGL0A04411g')"
C. glabrata,CAGL0A04411g,C. albicans,orf19.7349,CGOB/YGOB_bridge,-1,"('CAGL0A04411g', 'orf19.7349')"
C. albicans,orf19.3031,C. glabrata,CAGL0H05731g,CGOB/YGOB_bridge,-1,"('orf19.3031', 'CAGL0H05731g')"
C. glabrata,CAGL0H05731g,C. albicans,orf19.3031,CGOB/YGOB_bridge,-1,"('CAGL0H05731g', 'orf19.3031')"
C. albicans,orf19.2383,C. glabrata,CAGL0K03443g,CGOB/YGOB_bridge,-1,"('orf19.2383', 'CAGL0K03443g')"
C. glabrata,CAGL0K03443g,C. albicans,orf19.2383,CGOB/YGOB_bridge,-1,"('CAGL0K03443g', 'orf19.2383')"
C. albicans,orf19.488,C. glabrata,CAGL0F03531g,CGOB/YGOB_bridge,-1,"('orf19.488', 'CAGL0F03531g')"
C. glabrata,CAGL0F03531g,C. albicans,orf19.488,CGOB/YGOB_bridge,-1,"('CAGL0F03531g', 'orf19.488')"
C. albicans,orf19.4788,C. glabrata,CAGL0J03124g,CGOB/YGOB_bridge,-1,"('orf19.4788', 'CAGL0J03124g')"
C. glabrata,CAGL0J03124g,C. albicans,orf19.4788,CGOB/YGOB_bridge,-1,"('CAGL0J03124g', 'orf19.4788')"
C. albicans,orf19.6356,C. glabrata,CAGL0H10098g,CGOB/YGOB_bridge,-1,"('orf19.6356', 'CAGL0H10098g')"
C. glabrata,CAGL0H10098g,C. albicans,orf19.6356,CGOB/YGOB_bridge,-1,"('CAGL0H10098g', 'orf19.6356')"
C. albicans,orf19.2501,C. glabrata,CAGL0E05940g,CGOB/YGOB_bridge,-1,"('orf19.2501', 'CAGL0E05940g')"
C. glabrata,CAGL0E05940g,C. albicans,orf19.2501,CGOB/YGOB_bridge,-1,"('CAGL0E05940g', 'orf19.2501')"
C. albicans,orf19.4157,C. glabrata,CAGL0H08063g,CGOB/YGOB_bridge,-1,"('orf19.4157', 'CAGL0H08063g')"
C. glabrata,CAGL0H08063g,C. albicans,orf19.4157,CGOB/YGOB_bridge,-1,"('CAGL0H08063g', 'orf19.4157')"
C. albicans,orf19.3340,C. glabrata,CAGL0E04356g,CGOB/YGOB_bridge,-1,"('orf19.3340', 'CAGL0E04356g')"
C. glabrata,CAGL0E04356g,C. albicans,orf19.3340,CGOB/YGOB_bridge,-1,"('CAGL0E04356g', 'orf19.3340')"
C. albicans,orf19.5591,C. glabrata,CAGL0C04983g,CGOB/YGOB_bridge,-1,"('orf19.5591', 'CAGL0C04983g')"
C. glabrata,CAGL0C04983g,C. albicans,orf19.5591,CGOB/YGOB_bridge,-1,"('CAGL0C04983g', 'orf19.5591')"
C. albicans,orf19.7219,C. glabrata,CAGL0I06743g,CGOB/YGOB_bridge,-1,"('orf19.7219', 'CAGL0I06743g')"
C. glabrata,CAGL0I06743g,C. albicans,orf19.7219,CGOB/YGOB_bridge,-1,"('CAGL0I06743g', 'orf19.7219')"
C. albicans,orf19.6821,C. glabrata,CAGL0M04235g,CGOB/YGOB_bridge,-1,"('orf19.6821', 'CAGL0M04235g')"
C. glabrata,CAGL0M04235g,C. albicans,orf19.6821,CGOB/YGOB_bridge,-1,"('CAGL0M04235g', 'orf19.6821')"
C. albicans,orf19.7150,C. glabrata,CAGL0K12078g,CGOB/YGOB_bridge,-1,"('orf19.7150', 'CAGL0K12078g')"
C. glabrata,CAGL0K12078g,C. albicans,orf19.7150,CGOB/YGOB_bridge,-1,"('CAGL0K12078g', 'orf19.7150')"
C. albicans,orf19.2411,C. glabrata,CAGL0H06325g,CGOB/YGOB_bridge,-1,"('orf19.2411', 'CAGL0H06325g')"
C. glabrata,CAGL0H06325g,C. albicans,orf19.2411,CGOB/YGOB_bridge,-1,"('CAGL0H06325g', 'orf19.2411')"
C. albicans,orf19.5412,C. glabrata,CAGL0L02255g,CGOB/YGOB_bridge,-1,"('orf19.5412', 'CAGL0L02255g')"
C. glabrata,CAGL0L02255g,C. albicans,orf19.5412,CGOB/YGOB_bridge,-1,"('CAGL0L02255g', 'orf19.5412')"
C. albicans,orf19.1591,C. glabrata,CAGL0L12364g,CGOB/YGOB_bridge,-1,"('orf19.1591', 'CAGL0L12364g')"
C. glabrata,CAGL0L12364g,C. albicans,orf19.1591,CGOB/YGOB_bridge,-1,"('CAGL0L12364g', 'orf19.1591')"
C. albicans,orf19.6459,C. glabrata,CAGL0H01177g,CGOB/YGOB_bridge,-1,"('orf19.6459', 'CAGL0H01177g')"
C. glabrata,CAGL0H01177g,C. albicans,orf19.6459,CGOB/YGOB_bridge,-1,"('CAGL0H01177g', 'orf19.6459')"
C. albicans,orf19.1988,C. glabrata,CAGL0M11550g,CGOB/YGOB_bridge,-1,"('orf19.1988', 'CAGL0M11550g')"
C. glabrata,CAGL0M11550g,C. albicans,orf19.1988,CGOB/YGOB_bridge,-1,"('CAGL0M11550g', 'orf19.1988')"
C. albicans,orf19.7588,C. glabrata,CAGL0I09680g,CGOB/YGOB_bridge,-1,"('orf19.7588', 'CAGL0I09680g')"
C. glabrata,CAGL0I09680g,C. albicans,orf19.7588,CGOB/YGOB_bridge,-1,"('CAGL0I09680g', 'orf19.7588')"
C. albicans,orf19.4150,C. glabrata,CAGL0I04554g,CGOB/YGOB_bridge,-1,"('orf19.4150', 'CAGL0I04554g')"
C. glabrata,CAGL0I04554g,C. albicans,orf19.4150,CGOB/YGOB_bridge,-1,"('CAGL0I04554g', 'orf19.4150')"
C. albicans,orf19.4799,C. glabrata,CAGL0F03751g,CGOB/YGOB_bridge,-1,"('orf19.4799', 'CAGL0F03751g')"
C. glabrata,CAGL0F03751g,C. albicans,orf19.4799,CGOB/YGOB_bridge,-1,"('CAGL0F03751g', 'orf19.4799')"
C. albicans,orf19.6305,C. glabrata,CAGL0I01342g,CGOB/YGOB_bridge,-1,"('orf19.6305', 'CAGL0I01342g')"
C. glabrata,CAGL0I01342g,C. albicans,orf19.6305,CGOB/YGOB_bridge,-1,"('CAGL0I01342g', 'orf19.6305')"
C. albicans,orf19.1084,C. glabrata,CAGL0E00451g,CGOB/YGOB_bridge,-1,"('orf19.1084', 'CAGL0E00451g')"
C. glabrata,CAGL0E00451g,C. albicans,orf19.1084,CGOB/YGOB_bridge,-1,"('CAGL0E00451g', 'orf19.1084')"
C. albicans,orf19.7144,C. glabrata,CAGL0G02255g,CGOB/YGOB_bridge,-1,"('orf19.7144', 'CAGL0G02255g')"
C. glabrata,CAGL0G02255g,C. albicans,orf19.7144,CGOB/YGOB_bridge,-1,"('CAGL0G02255g', 'orf19.7144')"
C. albicans,orf19.4630,C. glabrata,CAGL0I09592g,CGOB/YGOB_bridge,-1,"('orf19.4630', 'CAGL0I09592g')"
C. glabrata,CAGL0I09592g,C. albicans,orf19.4630,CGOB/YGOB_bridge,-1,"('CAGL0I09592g', 'orf19.4630')"
C. albicans,orf19.2286,C. glabrata,CAGL0F00407g,CGOB/YGOB_bridge,-1,"('orf19.2286', 'CAGL0F00407g')"
C. glabrata,CAGL0F00407g,C. albicans,orf19.2286,CGOB/YGOB_bridge,-1,"('CAGL0F00407g', 'orf19.2286')"
C. albicans,orf19.5073,C. glabrata,CAGL0G09955g,CGOB/YGOB_bridge,-1,"('orf19.5073', 'CAGL0G09955g')"
C. glabrata,CAGL0G09955g,C. albicans,orf19.5073,CGOB/YGOB_bridge,-1,"('CAGL0G09955g', 'orf19.5073')"
C. albicans,orf19.2489,C. glabrata,CAGL0G03443g,CGOB/YGOB_bridge,-1,"('orf19.2489', 'CAGL0G03443g')"
C. glabrata,CAGL0G03443g,C. albicans,orf19.2489,CGOB/YGOB_bridge,-1,"('CAGL0G03443g', 'orf19.2489')"
C. albicans,orf19.6601.1,C. glabrata,CAGL0A03971g,CGOB/YGOB_bridge,-1,"('orf19.6601.1', 'CAGL0A03971g')"
C. glabrata,CAGL0A03971g,C. albicans,orf19.6601.1,CGOB/YGOB_bridge,-1,"('CAGL0A03971g', 'orf19.6601.1')"
C. albicans,orf19.1622,C. glabrata,CAGL0M01408g,CGOB/YGOB_bridge,-1,"('orf19.1622', 'CAGL0M01408g')"
C. glabrata,CAGL0M01408g,C. albicans,orf19.1622,CGOB/YGOB_bridge,-1,"('CAGL0M01408g', 'orf19.1622')"
C. albicans,orf19.4301,C. glabrata,CAGL0D03652g,CGOB/YGOB_bridge,-1,"('orf19.4301', 'CAGL0D03652g')"
C. glabrata,CAGL0D03652g,C. albicans,orf19.4301,CGOB/YGOB_bridge,-1,"('CAGL0D03652g', 'orf19.4301')"
C. albicans,orf19.4835,C. glabrata,CAGL0J03344g,CGOB/YGOB_bridge,-1,"('orf19.4835', 'CAGL0J03344g')"
C. glabrata,CAGL0J03344g,C. albicans,orf19.4835,CGOB/YGOB_bridge,-1,"('CAGL0J03344g', 'orf19.4835')"
C. albicans,orf19.2488,C. glabrata,CAGL0M06567g,CGOB/YGOB_bridge,-1,"('orf19.2488', 'CAGL0M06567g')"
C. glabrata,CAGL0M06567g,C. albicans,orf19.2488,CGOB/YGOB_bridge,-1,"('CAGL0M06567g', 'orf19.2488')"
C. albicans,orf19.7019,C. glabrata,CAGL0G07205g,CGOB/YGOB_bridge,-1,"('orf19.7019', 'CAGL0G07205g')"
C. glabrata,CAGL0G07205g,C. albicans,orf19.7019,CGOB/YGOB_bridge,-1,"('CAGL0G07205g', 'orf19.7019')"
C. albicans,orf19.5823,C. glabrata,CAGL0E02739g,CGOB/YGOB_bridge,-1,"('orf19.5823', 'CAGL0E02739g')"
C. glabrata,CAGL0E02739g,C. albicans,orf19.5823,CGOB/YGOB_bridge,-1,"('CAGL0E02739g', 'orf19.5823')"
C. albicans,orf19.3537,C. glabrata,CAGL0L05258g,CGOB/YGOB_bridge,-1,"('orf19.3537', 'CAGL0L05258g')"
C. glabrata,CAGL0L05258g,C. albicans,orf19.3537,CGOB/YGOB_bridge,-1,"('CAGL0L05258g', 'orf19.3537')"
C. albicans,orf19.1265,C. glabrata,CAGL0F03949g,CGOB/YGOB_bridge,-1,"('orf19.1265', 'CAGL0F03949g')"
C. glabrata,CAGL0F03949g,C. albicans,orf19.1265,CGOB/YGOB_bridge,-1,"('CAGL0F03949g', 'orf19.1265')"
C. albicans,orf19.3273,C. glabrata,CAGL0K09262g,CGOB/YGOB_bridge,-1,"('orf19.3273', 'CAGL0K09262g')"
C. glabrata,CAGL0K09262g,C. albicans,orf19.3273,CGOB/YGOB_bridge,-1,"('CAGL0K09262g', 'orf19.3273')"
C. albicans,orf19.3552,C. glabrata,CAGL0G02211g,CGOB/YGOB_bridge,-1,"('orf19.3552', 'CAGL0G02211g')"
C. glabrata,CAGL0G02211g,C. albicans,orf19.3552,CGOB/YGOB_bridge,-1,"('CAGL0G02211g', 'orf19.3552')"
C. albicans,orf19.4587,C. glabrata,CAGL0D05500g,CGOB/YGOB_bridge,-1,"('orf19.4587', 'CAGL0D05500g')"
C. glabrata,CAGL0D05500g,C. albicans,orf19.4587,CGOB/YGOB_bridge,-1,"('CAGL0D05500g', 'orf19.4587')"
C. albicans,orf19.4808,C. glabrata,CAGL0J06534g,CGOB/YGOB_bridge,-1,"('orf19.4808', 'CAGL0J06534g')"
C. glabrata,CAGL0J06534g,C. albicans,orf19.4808,CGOB/YGOB_bridge,-1,"('CAGL0J06534g', 'orf19.4808')"
C. albicans,orf19.4378,C. glabrata,CAGL0K10208g,CGOB/YGOB_bridge,-1,"('orf19.4378', 'CAGL0K10208g')"
C. glabrata,CAGL0K10208g,C. albicans,orf19.4378,CGOB/YGOB_bridge,-1,"('CAGL0K10208g', 'orf19.4378')"
C. albicans,orf19.5908,C. glabrata,CAGL0F04081g,CGOB/YGOB_bridge,-1,"('orf19.5908', 'CAGL0F04081g')"
C. glabrata,CAGL0F04081g,C. albicans,orf19.5908,CGOB/YGOB_bridge,-1,"('CAGL0F04081g', 'orf19.5908')"
C. albicans,orf19.3055,C. glabrata,CAGL0I08261g,CGOB/YGOB_bridge,-1,"('orf19.3055', 'CAGL0I08261g')"
C. glabrata,CAGL0I08261g,C. albicans,orf19.3055,CGOB/YGOB_bridge,-1,"('CAGL0I08261g', 'orf19.3055')"
C. albicans,orf19.5943.1,C. glabrata,CAGL0E00869g,CGOB/YGOB_bridge,-1,"('orf19.5943.1', 'CAGL0E00869g')"
C. glabrata,CAGL0E00869g,C. albicans,orf19.5943.1,CGOB/YGOB_bridge,-1,"('CAGL0E00869g', 'orf19.5943.1')"
C. albicans,orf19.645.1,C. glabrata,CAGL0K05379g,CGOB/YGOB_bridge,-1,"('orf19.645.1', 'CAGL0K05379g')"
C. glabrata,CAGL0K05379g,C. albicans,orf19.645.1,CGOB/YGOB_bridge,-1,"('CAGL0K05379g', 'orf19.645.1')"
C. albicans,orf19.2112,C. glabrata,CAGL0F08701g,CGOB/YGOB_bridge,-1,"('orf19.2112', 'CAGL0F08701g')"
C. glabrata,CAGL0F08701g,C. albicans,orf19.2112,CGOB/YGOB_bridge,-1,"('CAGL0F08701g', 'orf19.2112')"
C. albicans,orf19.1047,C. glabrata,CAGL0L04950g,CGOB/YGOB_bridge,-1,"('orf19.1047', 'CAGL0L04950g')"
C. glabrata,CAGL0L04950g,C. albicans,orf19.1047,CGOB/YGOB_bridge,-1,"('CAGL0L04950g', 'orf19.1047')"
C. albicans,orf19.5016,C. glabrata,CAGL0M12210g,CGOB/YGOB_bridge,-1,"('orf19.5016', 'CAGL0M12210g')"
C. glabrata,CAGL0M12210g,C. albicans,orf19.5016,CGOB/YGOB_bridge,-1,"('CAGL0M12210g', 'orf19.5016')"
C. albicans,orf19.5965,C. glabrata,CAGL0J09108g,CGOB/YGOB_bridge,-1,"('orf19.5965', 'CAGL0J09108g')"
C. glabrata,CAGL0J09108g,C. albicans,orf19.5965,CGOB/YGOB_bridge,-1,"('CAGL0J09108g', 'orf19.5965')"
C. albicans,orf19.6461,C. glabrata,CAGL0K11341g,CGOB/YGOB_bridge,-1,"('orf19.6461', 'CAGL0K11341g')"
C. glabrata,CAGL0K11341g,C. albicans,orf19.6461,CGOB/YGOB_bridge,-1,"('CAGL0K11341g', 'orf19.6461')"
C. albicans,orf19.4705,C. glabrata,CAGL0L11858g,CGOB/YGOB_bridge,-1,"('orf19.4705', 'CAGL0L11858g')"
C. glabrata,CAGL0L11858g,C. albicans,orf19.4705,CGOB/YGOB_bridge,-1,"('CAGL0L11858g', 'orf19.4705')"
C. albicans,orf19.538,C. glabrata,CAGL0H05401g,CGOB/YGOB_bridge,-1,"('orf19.538', 'CAGL0H05401g')"
C. glabrata,CAGL0H05401g,C. albicans,orf19.538,CGOB/YGOB_bridge,-1,"('CAGL0H05401g', 'orf19.538')"
C. albicans,orf19.7343,C. glabrata,CAGL0G09845g,CGOB/YGOB_bridge,-1,"('orf19.7343', 'CAGL0G09845g')"
C. glabrata,CAGL0G09845g,C. albicans,orf19.7343,CGOB/YGOB_bridge,-1,"('CAGL0G09845g', 'orf19.7343')"
C. albicans,orf19.4064,C. glabrata,CAGL0J05236g,CGOB/YGOB_bridge,-1,"('orf19.4064', 'CAGL0J05236g')"
C. glabrata,CAGL0J05236g,C. albicans,orf19.4064,CGOB/YGOB_bridge,-1,"('CAGL0J05236g', 'orf19.4064')"
C. albicans,orf19.7043.1,C. glabrata,CAGL0K04125g,CGOB/YGOB_bridge,-1,"('orf19.7043.1', 'CAGL0K04125g')"
C. glabrata,CAGL0K04125g,C. albicans,orf19.7043.1,CGOB/YGOB_bridge,-1,"('CAGL0K04125g', 'orf19.7043.1')"
C. albicans,orf19.5071,C. glabrata,CAGL0I03344g,CGOB/YGOB_bridge,-1,"('orf19.5071', 'CAGL0I03344g')"
C. glabrata,CAGL0I03344g,C. albicans,orf19.5071,CGOB/YGOB_bridge,-1,"('CAGL0I03344g', 'orf19.5071')"
C. albicans,orf19.2014,C. glabrata,CAGL0I05236g,CGOB/YGOB_bridge,-1,"('orf19.2014', 'CAGL0I05236g')"
C. glabrata,CAGL0I05236g,C. albicans,orf19.2014,CGOB/YGOB_bridge,-1,"('CAGL0I05236g', 'orf19.2014')"
C. albicans,orf19.4033,C. glabrata,CAGL0H09526g,CGOB/YGOB_bridge,-1,"('orf19.4033', 'CAGL0H09526g')"
C. glabrata,CAGL0H09526g,C. albicans,orf19.4033,CGOB/YGOB_bridge,-1,"('CAGL0H09526g', 'orf19.4033')"
C. albicans,orf19.4252,C. glabrata,CAGL0F08415g,CGOB/YGOB_bridge,-1,"('orf19.4252', 'CAGL0F08415g')"
C. glabrata,CAGL0F08415g,C. albicans,orf19.4252,CGOB/YGOB_bridge,-1,"('CAGL0F08415g', 'orf19.4252')"
C. albicans,orf19.1923,C. glabrata,CAGL0M05203g,CGOB/YGOB_bridge,-1,"('orf19.1923', 'CAGL0M05203g')"
C. glabrata,CAGL0M05203g,C. albicans,orf19.1923,CGOB/YGOB_bridge,-1,"('CAGL0M05203g', 'orf19.1923')"
C. albicans,orf19.5377,C. glabrata,CAGL0A03322g,CGOB/YGOB_bridge,-1,"('orf19.5377', 'CAGL0A03322g')"
C. glabrata,CAGL0A03322g,C. albicans,orf19.5377,CGOB/YGOB_bridge,-1,"('CAGL0A03322g', 'orf19.5377')"
C. albicans,orf19.1672,C. glabrata,CAGL0I03718g,CGOB/YGOB_bridge,-1,"('orf19.1672', 'CAGL0I03718g')"
C. glabrata,CAGL0I03718g,C. albicans,orf19.1672,CGOB/YGOB_bridge,-1,"('CAGL0I03718g', 'orf19.1672')"
C. albicans,orf19.6013,C. glabrata,CAGL0M04939g,CGOB/YGOB_bridge,-1,"('orf19.6013', 'CAGL0M04939g')"
C. glabrata,CAGL0M04939g,C. albicans,orf19.6013,CGOB/YGOB_bridge,-1,"('CAGL0M04939g', 'orf19.6013')"
C. albicans,orf19.1647,C. glabrata,CAGL0A03806g,CGOB/YGOB_bridge,-1,"('orf19.1647', 'CAGL0A03806g')"
C. glabrata,CAGL0A03806g,C. albicans,orf19.1647,CGOB/YGOB_bridge,-1,"('CAGL0A03806g', 'orf19.1647')"
