species1,gene1,species2,gene2,source,pillar_id,gene_pair
C. albicans,orf19.2324,S. cerevisiae,YHR111W,CGOB,422,"('orf19.2324', 'YHR111W')"
S. cerevisiae,YHR111W,C. albicans,orf19.2324,CGOB,422,"('YHR111W', 'orf19.2324')"
C. albicans,orf19.2322.3,S. cerevisiae,YHR110W,CGOB,433,"('orf19.2322.3', 'YHR110W')"
S. cerevisiae,YHR110W,C. albicans,orf19.2322.3,CGOB,433,"('YHR110W', 'orf19.2322.3')"
C. albicans,orf19.3297,S. cerevisiae,YGR215W,CGOB,444,"('orf19.3297', 'YGR215W')"
S. cerevisiae,YGR215W,C. albicans,orf19.3297,CGOB,444,"('YGR215W', 'orf19.3297')"
C. albicans,orf19.2320,S. cerevisiae,YOR119C,CGOB,445,"('orf19.2320', 'YOR119C')"
S. cerevisiae,YOR119C,C. albicans,orf19.2320,CGOB,445,"('YOR119C', 'orf19.2320')"
C. albicans,orf19.2318.1,S. cerevisiae,YDR367W,CGOB,456,"('orf19.2318.1', 'YDR367W')"
S. cerevisiae,YDR367W,C. albicans,orf19.2318.1,CGOB,456,"('YDR367W', 'orf19.2318.1')"
C. albicans,orf19.2319,S. cerevisiae,YDR365C,CGOB,467,"('orf19.2319', 'YDR365C')"
S. cerevisiae,YDR365C,C. albicans,orf19.2319,CGOB,467,"('YDR365C', 'orf19.2319')"
C. albicans,orf19.2315,S. cerevisiae,YBL103C,CGOB,489,"('orf19.2315', 'YBL103C')"
S. cerevisiae,YBL103C,C. albicans,orf19.2315,CGOB,489,"('YBL103C', 'orf19.2315')"
C. albicans,orf19.2314,S. cerevisiae,YGL029W,CGOB,500,"('orf19.2314', 'YGL029W')"
S. cerevisiae,YGL029W,C. albicans,orf19.2314,CGOB,500,"('YGL029W', 'orf19.2314')"
C. albicans,orf19.2313,S. cerevisiae,YBR168W,CGOB,511,"('orf19.2313', 'YBR168W')"
S. cerevisiae,YBR168W,C. albicans,orf19.2313,CGOB,511,"('YBR168W', 'orf19.2313')"
C. albicans,orf19.2310.1,S. cerevisiae,YFR032C-A,CGOB,544,"('orf19.2310.1', 'YFR032C-A')"
S. cerevisiae,YFR032C-A,C. albicans,orf19.2310.1,CGOB,544,"('YFR032C-A', 'orf19.2310.1')"
C. albicans,orf19.3298,S. cerevisiae,YGR217W,CGOB,555,"('orf19.3298', 'YGR217W')"
S. cerevisiae,YGR217W,C. albicans,orf19.3298,CGOB,555,"('YGR217W', 'orf19.3298')"
C. albicans,orf19.2310,S. cerevisiae,YFR032C,CGOB,556,"('orf19.2310', 'YFR032C')"
S. cerevisiae,YFR032C,C. albicans,orf19.2310,CGOB,556,"('YFR032C', 'orf19.2310')"
C. albicans,orf19.2309.2,S. cerevisiae,YFR031C-A,CGOB,567,"('orf19.2309.2', 'YFR031C-A')"
S. cerevisiae,YFR031C-A,C. albicans,orf19.2309.2,CGOB,567,"('YFR031C-A', 'orf19.2309.2')"
C. albicans,orf19.2309,S. cerevisiae,YOR017W,CGOB,578,"('orf19.2309', 'YOR017W')"
S. cerevisiae,YOR017W,C. albicans,orf19.2309,CGOB,578,"('YOR017W', 'orf19.2309')"
C. albicans,orf19.2308,S. cerevisiae,YOL136C,CGOB,589,"('orf19.2308', 'YOL136C')"
S. cerevisiae,YOL136C,C. albicans,orf19.2308,CGOB,589,"('YOL136C', 'orf19.2308')"
C. albicans,orf19.2307,S. cerevisiae,YNL317W,CGOB,600,"('orf19.2307', 'YNL317W')"
S. cerevisiae,YNL317W,C. albicans,orf19.2307,CGOB,600,"('YNL317W', 'orf19.2307')"
C. albicans,orf19.2306,S. cerevisiae,YMR009W,CGOB,611,"('orf19.2306', 'YMR009W')"
S. cerevisiae,YMR009W,C. albicans,orf19.2306,CGOB,611,"('YMR009W', 'orf19.2306')"
C. albicans,orf19.2305,S. cerevisiae,YEL003W,CGOB,622,"('orf19.2305', 'YEL003W')"
S. cerevisiae,YEL003W,C. albicans,orf19.2305,CGOB,622,"('YEL003W', 'orf19.2305')"
C. albicans,orf19.2303,S. cerevisiae,YGR075C,CGOB,644,"('orf19.2303', 'YGR075C')"
S. cerevisiae,YGR075C,C. albicans,orf19.2303,CGOB,644,"('YGR075C', 'orf19.2303')"
C. albicans,orf19.2302,S. cerevisiae,YBR036C,CGOB,655,"('orf19.2302', 'YBR036C')"
S. cerevisiae,YBR036C,C. albicans,orf19.2302,CGOB,655,"('YBR036C', 'orf19.2302')"
C. albicans,orf19.3300,S. cerevisiae,YGR211W,CGOB,666,"('orf19.3300', 'YGR211W')"
S. cerevisiae,YGR211W,C. albicans,orf19.3300,CGOB,666,"('YGR211W', 'orf19.3300')"
C. albicans,orf19.2301,S. cerevisiae,YIL007C,CGOB,667,"('orf19.2301', 'YIL007C')"
S. cerevisiae,YIL007C,C. albicans,orf19.2301,CGOB,667,"('YIL007C', 'orf19.2301')"
C. albicans,orf19.2299,S. cerevisiae,YIL008W,CGOB,678,"('orf19.2299', 'YIL008W')"
S. cerevisiae,YIL008W,C. albicans,orf19.2299,CGOB,678,"('YIL008W', 'orf19.2299')"
C. albicans,orf19.2298,S. cerevisiae,YEL002C,CGOB,689,"('orf19.2298', 'YEL002C')"
S. cerevisiae,YEL002C,C. albicans,orf19.2298,CGOB,689,"('YEL002C', 'orf19.2298')"
C. albicans,orf19.2297,S. cerevisiae,YPL051W,CGOB,700,"('orf19.2297', 'YPL051W')"
S. cerevisiae,YPL051W,C. albicans,orf19.2297,CGOB,700,"('YPL051W', 'orf19.2297')"
C. albicans,orf19.680,S. cerevisiae,YPL063W,CGOB,733,"('orf19.680', 'YPL063W')"
S. cerevisiae,YPL063W,C. albicans,orf19.680,CGOB,733,"('YPL063W', 'orf19.680')"
C. albicans,orf19.677,S. cerevisiae,YER026C,CGOB,755,"('orf19.677', 'YER026C')"
S. cerevisiae,YER026C,C. albicans,orf19.677,CGOB,755,"('YER026C', 'orf19.677')"
C. albicans,orf19.676,S. cerevisiae,YER016W,CGOB,766,"('orf19.676', 'YER016W')"
S. cerevisiae,YER016W,C. albicans,orf19.676,CGOB,766,"('YER016W', 'orf19.676')"
C. albicans,orf19.3301,S. cerevisiae,YIL046W,CGOB,777,"('orf19.3301', 'YIL046W')"
S. cerevisiae,YIL046W,C. albicans,orf19.3301,CGOB,777,"('YIL046W', 'orf19.3301')"
C. albicans,orf19.674,S. cerevisiae,YDL209C,CGOB,800,"('orf19.674', 'YDL209C')"
S. cerevisiae,YDL209C,C. albicans,orf19.674,CGOB,800,"('YDL209C', 'orf19.674')"
C. albicans,orf19.672,S. cerevisiae,YDR243C,CGOB,822,"('orf19.672', 'YDR243C')"
S. cerevisiae,YDR243C,C. albicans,orf19.672,CGOB,822,"('YDR243C', 'orf19.672')"
C. albicans,orf19.671,S. cerevisiae,YDR505C,CGOB,833,"('orf19.671', 'YDR505C')"
S. cerevisiae,YDR505C,C. albicans,orf19.671,CGOB,833,"('YDR505C', 'orf19.671')"
C. albicans,orf19.670,S. cerevisiae,YDR510W,CGOB,855,"('orf19.670', 'YDR510W')"
S. cerevisiae,YDR510W,C. albicans,orf19.670,CGOB,855,"('YDR510W', 'orf19.670')"
C. albicans,orf19.669,S. cerevisiae,YNL279W,CGOB,866,"('orf19.669', 'YNL279W')"
S. cerevisiae,YNL279W,C. albicans,orf19.669,CGOB,866,"('YNL279W', 'orf19.669')"
C. albicans,orf19.668,S. cerevisiae,YLR183C,CGOB,877,"('orf19.668', 'YLR183C')"
S. cerevisiae,YLR183C,C. albicans,orf19.668,CGOB,877,"('YLR183C', 'orf19.668')"
C. albicans,orf19.667.1,S. cerevisiae,YDR500C,CGOB,889,"('orf19.667.1', 'YDR500C')"
S. cerevisiae,YDR500C,C. albicans,orf19.667.1,CGOB,889,"('YDR500C', 'orf19.667.1')"
C. albicans,orf19.666,S. cerevisiae,YDR499W,CGOB,900,"('orf19.666', 'YDR499W')"
S. cerevisiae,YDR499W,C. albicans,orf19.666,CGOB,900,"('YDR499W', 'orf19.666')"
C. albicans,orf19.665,S. cerevisiae,YLR186W,CGOB,911,"('orf19.665', 'YLR186W')"
S. cerevisiae,YLR186W,C. albicans,orf19.665,CGOB,911,"('YLR186W', 'orf19.665')"
C. albicans,orf19.663,S. cerevisiae,YDR507C,CGOB,933,"('orf19.663', 'YDR507C')"
S. cerevisiae,YDR507C,C. albicans,orf19.663,CGOB,933,"('YDR507C', 'orf19.663')"
C. albicans,orf19.661,S. cerevisiae,YCL059C,CGOB,954,"('orf19.661', 'YCL059C')"
S. cerevisiae,YCL059C,C. albicans,orf19.661,CGOB,954,"('YCL059C', 'orf19.661')"
C. albicans,orf19.658,S. cerevisiae,YCL061C,CGOB,976,"('orf19.658', 'YCL061C')"
S. cerevisiae,YCL061C,C. albicans,orf19.658,CGOB,976,"('YCL061C', 'orf19.658')"
C. albicans,orf19.657,S. cerevisiae,YDR502C,CGOB,987,"('orf19.657', 'YDR502C')"
S. cerevisiae,YDR502C,C. albicans,orf19.657,CGOB,987,"('YDR502C', 'orf19.657')"
C. albicans,orf19.3303,S. cerevisiae,YOL141W,CGOB,998,"('orf19.3303', 'YOL141W')"
S. cerevisiae,YOL141W,C. albicans,orf19.3303,CGOB,998,"('YOL141W', 'orf19.3303')"
C. albicans,orf19.655,S. cerevisiae,YML123C,CGOB,1010,"('orf19.655', 'YML123C')"
S. cerevisiae,YML123C,C. albicans,orf19.655,CGOB,1010,"('YML123C', 'orf19.655')"
C. albicans,orf19.1170,S. cerevisiae,YPR060C,CGOB,1032,"('orf19.1170', 'YPR060C')"
S. cerevisiae,YPR060C,C. albicans,orf19.1170,CGOB,1032,"('YPR060C', 'orf19.1170')"
C. albicans,orf19.1169,S. cerevisiae,YPR061C,CGOB,1043,"('orf19.1169', 'YPR061C')"
S. cerevisiae,YPR061C,C. albicans,orf19.1169,CGOB,1043,"('YPR061C', 'orf19.1169')"
C. albicans,orf19.1167,S. cerevisiae,YLL057C,CGOB,1065,"('orf19.1167', 'YLL057C')"
S. cerevisiae,YLL057C,C. albicans,orf19.1167,CGOB,1065,"('YLL057C', 'orf19.1167')"
C. albicans,orf19.1166,S. cerevisiae,YBL047C,CGOB,1076,"('orf19.1166', 'YBL047C')"
S. cerevisiae,YBL047C,C. albicans,orf19.1166,CGOB,1076,"('YBL047C', 'orf19.1166')"
C. albicans,orf19.1164,S. cerevisiae,YHR089C,CGOB,1087,"('orf19.1164', 'YHR089C')"
S. cerevisiae,YHR089C,C. albicans,orf19.1164,CGOB,1087,"('YHR089C', 'orf19.1164')"
C. albicans,orf19.1163,S. cerevisiae,YDR336W,CGOB,1098,"('orf19.1163', 'YDR336W')"
S. cerevisiae,YDR336W,C. albicans,orf19.1163,CGOB,1098,"('YDR336W', 'orf19.1163')"
C. albicans,orf19.6100,S. cerevisiae,YDL142C,CGOB,1109,"('orf19.6100', 'YDL142C')"
S. cerevisiae,YDL142C,C. albicans,orf19.6100,CGOB,1109,"('YDL142C', 'orf19.6100')"
C. albicans,orf19.3304,S. cerevisiae,YOL142W,CGOB,1110,"('orf19.3304', 'YOL142W')"
S. cerevisiae,YOL142W,C. albicans,orf19.3304,CGOB,1110,"('YOL142W', 'orf19.3304')"
C. albicans,orf19.1162.1,S. cerevisiae,YJR112W-A,CGOB,1111,"('orf19.1162.1', 'YJR112W-A')"
S. cerevisiae,YJR112W-A,C. albicans,orf19.1162.1,CGOB,1111,"('YJR112W-A', 'orf19.1162.1')"
C. albicans,orf19.1161,S. cerevisiae,YKR031C,CGOB,1133,"('orf19.1161', 'YKR031C')"
S. cerevisiae,YKR031C,C. albicans,orf19.1161,CGOB,1133,"('YKR031C', 'orf19.1161')"
C. albicans,orf19.1160,S. cerevisiae,YHR181W,CGOB,1144,"('orf19.1160', 'YHR181W')"
S. cerevisiae,YHR181W,C. albicans,orf19.1160,CGOB,1144,"('YHR181W', 'orf19.1160')"
C. albicans,orf19.1158,S. cerevisiae,YDR319C,CGOB,1166,"('orf19.1158', 'YDR319C')"
S. cerevisiae,YDR319C,C. albicans,orf19.1158,CGOB,1166,"('YDR319C', 'orf19.1158')"
C. albicans,orf19.1156,S. cerevisiae,YCL027W,CGOB,1177,"('orf19.1156', 'YCL027W')"
S. cerevisiae,YCL027W,C. albicans,orf19.1156,CGOB,1177,"('YCL027W', 'orf19.1156')"
C. albicans,orf19.1155,S. cerevisiae,YDR503C,CGOB,1188,"('orf19.1155', 'YDR503C')"
S. cerevisiae,YDR503C,C. albicans,orf19.1155,CGOB,1188,"('YDR503C', 'orf19.1155')"
C. albicans,orf19.1154,S. cerevisiae,YPL037C,CGOB,1199,"('orf19.1154', 'YPL037C')"
S. cerevisiae,YPL037C,C. albicans,orf19.1154,CGOB,1199,"('YPL037C', 'orf19.1154')"
C. albicans,orf19.1153,S. cerevisiae,YMR250W,CGOB,1210,"('orf19.1153', 'YMR250W')"
S. cerevisiae,YMR250W,C. albicans,orf19.1153,CGOB,1210,"('YMR250W', 'orf19.1153')"
C. albicans,orf19.1142,S. cerevisiae,YNL101W,CGOB,1310,"('orf19.1142', 'YNL101W')"
S. cerevisiae,YNL101W,C. albicans,orf19.1142,CGOB,1310,"('YNL101W', 'orf19.1142')"
C. albicans,orf19.3306,S. cerevisiae,YIL072W,CGOB,1332,"('orf19.3306', 'YIL072W')"
S. cerevisiae,YIL072W,C. albicans,orf19.3306,CGOB,1332,"('YIL072W', 'orf19.3306')"
C. albicans,orf19.1139,S. cerevisiae,YPL032C,CGOB,1333,"('orf19.1139', 'YPL032C')"
S. cerevisiae,YPL032C,C. albicans,orf19.1139,CGOB,1333,"('YPL032C', 'orf19.1139')"
C. albicans,orf19.1137,S. cerevisiae,YJR057W,CGOB,1344,"('orf19.1137', 'YJR057W')"
S. cerevisiae,YJR057W,C. albicans,orf19.1137,CGOB,1344,"('YJR057W', 'orf19.1137')"
C. albicans,orf19.1136,S. cerevisiae,YJR058C,CGOB,1355,"('orf19.1136', 'YJR058C')"
S. cerevisiae,YJR058C,C. albicans,orf19.1136,CGOB,1355,"('YJR058C', 'orf19.1136')"
C. albicans,orf19.1135,S. cerevisiae,YMR284W,CGOB,1366,"('orf19.1135', 'YMR284W')"
S. cerevisiae,YMR284W,C. albicans,orf19.1135,CGOB,1366,"('YMR284W', 'orf19.1135')"
C. albicans,orf19.5281,S. cerevisiae,YJL080C,CGOB,1388,"('orf19.5281', 'YJL080C')"
S. cerevisiae,YJL080C,C. albicans,orf19.5281,CGOB,1388,"('YJL080C', 'orf19.5281')"
C. albicans,orf19.5280,S. cerevisiae,YGR055W,CGOB,1399,"('orf19.5280', 'YGR055W')"
S. cerevisiae,YGR055W,C. albicans,orf19.5280,CGOB,1399,"('YGR055W', 'orf19.5280')"
C. albicans,orf19.5279,S. cerevisiae,YPR100W,CGOB,1410,"('orf19.5279', 'YPR100W')"
S. cerevisiae,YPR100W,C. albicans,orf19.5279,CGOB,1410,"('YPR100W', 'orf19.5279')"
C. albicans,orf19.5278,S. cerevisiae,YJR111C,CGOB,1421,"('orf19.5278', 'YJR111C')"
S. cerevisiae,YJR111C,C. albicans,orf19.5278,CGOB,1421,"('YJR111C', 'orf19.5278')"
C. albicans,orf19.5277,S. cerevisiae,YGR072W,CGOB,1432,"('orf19.5277', 'YGR072W')"
S. cerevisiae,YGR072W,C. albicans,orf19.5277,CGOB,1432,"('YGR072W', 'orf19.5277')"
C. albicans,orf19.3307,S. cerevisiae,YHR176W,CGOB,1443,"('orf19.3307', 'YHR176W')"
S. cerevisiae,YHR176W,C. albicans,orf19.3307,CGOB,1443,"('YHR176W', 'orf19.3307')"
C. albicans,orf19.5276,S. cerevisiae,YOL072W,CGOB,1444,"('orf19.5276', 'YOL072W')"
S. cerevisiae,YOL072W,C. albicans,orf19.5276,CGOB,1444,"('YOL072W', 'orf19.5276')"
C. albicans,orf19.5275,S. cerevisiae,YLR181C,CGOB,1455,"('orf19.5275', 'YLR181C')"
S. cerevisiae,YLR181C,C. albicans,orf19.5275,CGOB,1455,"('YLR181C', 'orf19.5275')"
C. albicans,orf19.5274,S. cerevisiae,YLR187W,CGOB,1466,"('orf19.5274', 'YLR187W')"
S. cerevisiae,YLR187W,C. albicans,orf19.5274,CGOB,1466,"('YLR187W', 'orf19.5274')"
C. albicans,orf19.5269.1,S. cerevisiae,YPR170W-B,CGOB,1499,"('orf19.5269.1', 'YPR170W-B')"
S. cerevisiae,YPR170W-B,C. albicans,orf19.5269.1,CGOB,1499,"('YPR170W-B', 'orf19.5269.1')"
C. albicans,orf19.5268,S. cerevisiae,YPR168W,CGOB,1521,"('orf19.5268', 'YPR168W')"
S. cerevisiae,YPR168W,C. albicans,orf19.5268,CGOB,1521,"('YPR168W', 'orf19.5268')"
C. albicans,orf19.3308,S. cerevisiae,YHR178W,CGOB,1554,"('orf19.3308', 'YHR178W')"
S. cerevisiae,YHR178W,C. albicans,orf19.3308,CGOB,1554,"('YHR178W', 'orf19.3308')"
C. albicans,orf19.5265,S. cerevisiae,YKL079W,CGOB,1555,"('orf19.5265', 'YKL079W')"
S. cerevisiae,YKL079W,C. albicans,orf19.5265,CGOB,1555,"('YKL079W', 'orf19.5265')"
C. albicans,orf19.5263,S. cerevisiae,YER081W,CGOB,1577,"('orf19.5263', 'YER081W')"
S. cerevisiae,YER081W,C. albicans,orf19.5263,CGOB,1577,"('YER081W', 'orf19.5263')"
C. albicans,orf19.5260,S. cerevisiae,YIL075C,CGOB,1599,"('orf19.5260', 'YIL075C')"
S. cerevisiae,YIL075C,C. albicans,orf19.5260,CGOB,1599,"('YIL075C', 'orf19.5260')"
C. albicans,orf19.5257,S. cerevisiae,YOR171C,CGOB,1632,"('orf19.5257', 'YOR171C')"
S. cerevisiae,YOR171C,C. albicans,orf19.5257,CGOB,1632,"('YOR171C', 'orf19.5257')"
C. albicans,orf19.5255,S. cerevisiae,YKL188C,CGOB,1654,"('orf19.5255', 'YKL188C')"
S. cerevisiae,YKL188C,C. albicans,orf19.5255,CGOB,1654,"('YKL188C', 'orf19.5255')"
C. albicans,orf19.5248,S. cerevisiae,YNR049C,CGOB,1721,"('orf19.5248', 'YNR049C')"
S. cerevisiae,YNR049C,C. albicans,orf19.5248,CGOB,1721,"('YNR049C', 'orf19.5248')"
C. albicans,orf19.5247,S. cerevisiae,YCR095C,CGOB,1732,"('orf19.5247', 'YCR095C')"
S. cerevisiae,YCR095C,C. albicans,orf19.5247,CGOB,1732,"('YCR095C', 'orf19.5247')"
C. albicans,orf19.5244,S. cerevisiae,YKL165C,CGOB,1765,"('orf19.5244', 'YKL165C')"
S. cerevisiae,YKL165C,C. albicans,orf19.5244,CGOB,1765,"('YKL165C', 'orf19.5244')"
C. albicans,orf19.5243,S. cerevisiae,YKL211C,CGOB,1777,"('orf19.5243', 'YKL211C')"
S. cerevisiae,YKL211C,C. albicans,orf19.5243,CGOB,1777,"('YKL211C', 'orf19.5243')"
C. albicans,orf19.5242,S. cerevisiae,YJL194W,CGOB,1788,"('orf19.5242', 'YJL194W')"
S. cerevisiae,YJL194W,C. albicans,orf19.5242,CGOB,1788,"('YJL194W', 'orf19.5242')"
C. albicans,orf19.5241,S. cerevisiae,YCR033W,CGOB,1799,"('orf19.5241', 'YCR033W')"
S. cerevisiae,YCR033W,C. albicans,orf19.5241,CGOB,1799,"('YCR033W', 'orf19.5241')"
C. albicans,orf19.5239,S. cerevisiae,YNL040W,CGOB,1810,"('orf19.5239', 'YNL040W')"
S. cerevisiae,YNL040W,C. albicans,orf19.5239,CGOB,1810,"('YNL040W', 'orf19.5239')"
C. albicans,orf19.5237,S. cerevisiae,YKL119C,CGOB,1832,"('orf19.5237', 'YKL119C')"
S. cerevisiae,YKL119C,C. albicans,orf19.5237,CGOB,1832,"('YKL119C', 'orf19.5237')"
C. albicans,orf19.5236,S. cerevisiae,YMR101C,CGOB,1843,"('orf19.5236', 'YMR101C')"
S. cerevisiae,YMR101C,C. albicans,orf19.5236,CGOB,1843,"('YMR101C', 'orf19.5236')"
C. albicans,orf19.5235,S. cerevisiae,YKR006C,CGOB,1854,"('orf19.5235', 'YKR006C')"
S. cerevisiae,YKR006C,C. albicans,orf19.5235,CGOB,1854,"('YKR006C', 'orf19.5235')"
C. albicans,orf19.5232,S. cerevisiae,YOL077C,CGOB,1888,"('orf19.5232', 'YOL077C')"
S. cerevisiae,YOL077C,C. albicans,orf19.5232,CGOB,1888,"('YOL077C', 'orf19.5232')"
C. albicans,orf19.5231.2,S. cerevisiae,YOL077W-A,CGOB,1899,"('orf19.5231.2', 'YOL077W-A')"
S. cerevisiae,YOL077W-A,C. albicans,orf19.5231.2,CGOB,1899,"('YOL077W-A', 'orf19.5231.2')"
C. albicans,orf19.5230,S. cerevisiae,YBR146W,CGOB,1921,"('orf19.5230', 'YBR146W')"
S. cerevisiae,YBR146W,C. albicans,orf19.5230,CGOB,1921,"('YBR146W', 'orf19.5230')"
C. albicans,orf19.5229,S. cerevisiae,YOL021C,CGOB,1932,"('orf19.5229', 'YOL021C')"
S. cerevisiae,YOL021C,C. albicans,orf19.5229,CGOB,1932,"('YOL021C', 'orf19.5229')"
C. albicans,orf19.5228,S. cerevisiae,YDR487C,CGOB,1943,"('orf19.5228', 'YDR487C')"
S. cerevisiae,YDR487C,C. albicans,orf19.5228,CGOB,1943,"('YDR487C', 'orf19.5228')"
C. albicans,orf19.5227,S. cerevisiae,YLR021W,CGOB,1954,"('orf19.5227', 'YLR021W')"
S. cerevisiae,YLR021W,C. albicans,orf19.5227,CGOB,1954,"('YLR021W', 'orf19.5227')"
C. albicans,orf19.5226,S. cerevisiae,YOL097C,CGOB,1965,"('orf19.5226', 'YOL097C')"
S. cerevisiae,YOL097C,C. albicans,orf19.5226,CGOB,1965,"('YOL097C', 'orf19.5226')"
C. albicans,orf19.5225.2,S. cerevisiae,YHR010W,CGOB,1976,"('orf19.5225.2', 'YHR010W')"
