root_000008;70	CAGL0F09141g	97.143	100	3.64e-45	137
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.822	85	0.0	1158
root_000179;6968	CAGL0I10246g	99.282	85	0.0	1139
root_000179;6968	CAGL0I10246g	97.853	85	0.0	1123
root_000179;6968	CAGL0I10246g	99.815	85	0.0	1116
root_000179;6968	CAGL0I10246g	98.269	85	0.0	1043
root_000179;6968	CAGL0I10246g	99.602	85	0.0	1030
root_000179;6968	CAGL0I10246g	99.602	85	0.0	1030
root_000179;6968	CAGL0I10246g	99.602	85	0.0	1030
root_000179;6968	CAGL0I10246g	91.697	85	0.0	1009
root_000179;6968	CAGL0I10246g	95.957	85	0.0	924
root_000179;6968	CAGL0I10246g	82.679	85	0.0	920
root_000179;6968	CAGL0I10246g	88.931	85	7.33e-145	511
root_000179;6968	CAGL0I10246g	91.736	85	4.07e-141	499
root_000179;6968	CAGL0I10246g	91.736	85	4.07e-141	499
root_000179;6968	CAGL0I10246g	91.736	85	4.07e-141	499
root_000179;6968	CAGL0I10246g	91.736	85	4.07e-141	499
root_000179;6968	CAGL0I10246g	91.736	85	4.07e-141	499
root_000179;6968	CAGL0I10246g	91.736	85	4.07e-141	499
root_000179;6968	CAGL0I10246g	91.736	85	4.07e-141	499
root_000179;6968	CAGL0I10246g	91.736	85	4.07e-141	499
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.628	85	5.75e-125	445
root_000179;6968	CAGL0I10246g	94.681	85	4.04e-94	343
root_000179;6968	CAGL0I10246g	95.082	85	8.06e-92	335
root_000179;6968	CAGL0I10246g	91.892	85	1.07e-90	332
root_000179;6968	CAGL0I10200g	64.427	21	0.0	1177
root_000179;6968	CAGL0I10200g	63.708	21	0.0	1135
root_000179;6968	CAGL0I10200g	63.825	21	0.0	1113
root_000179;6968	CAGL0I10200g	65.233	21	0.0	745
root_000179;6968	CAGL0I10200g	65.233	21	0.0	745
root_000179;6968	CAGL0I10200g	65.233	21	0.0	745
root_000179;6968	CAGL0I10200g	65.054	21	0.0	739
root_000179;6968	CAGL0I10200g	63.509	21	0.0	728
root_000179;6968	CAGL0I10200g	64.401	21	0.0	726
root_000179;6968	CAGL0I10200g	65.000	21	0.0	713
root_000179;6968	CAGL0I10200g	60.748	21	0.0	634
root_000179;6968	CAGL0I10200g	63.326	21	2.96e-178	595
root_000179;6968	CAGL0I10200g	51.756	21	1.26e-114	403
root_000179;6968	CAGL0I10200g	60.000	21	2.32e-16	85.5
root_000179;6968	CAGL0I10147g	62.914	21	0.0	1155
root_000179;6968	CAGL0I10147g	62.914	21	0.0	1155
root_000179;6968	CAGL0I10147g	62.914	21	0.0	1155
root_000179;6968	CAGL0I10147g	62.914	21	0.0	1155
root_000179;6968	CAGL0I10147g	62.914	21	0.0	1155
root_000179;6968	CAGL0I10147g	62.804	21	0.0	1152
root_000179;6968	CAGL0I10147g	62.804	21	0.0	1152
root_000179;6968	CAGL0I10147g	62.804	21	0.0	1152
root_000179;6968	CAGL0I10147g	62.804	21	0.0	1151
root_000179;6968	CAGL0I10147g	62.804	21	0.0	1151
root_000179;6968	CAGL0I10147g	62.804	21	0.0	1151
root_000179;6968	CAGL0I10147g	62.804	21	0.0	1151
root_000179;6968	CAGL0I10147g	62.804	21	0.0	1151
root_000179;6968	CAGL0I10147g	62.804	21	0.0	1151
root_000179;6968	CAGL0I10147g	62.804	21	0.0	1151
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1149
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1149
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1149
root_000179;6968	CAGL0I10147g	62.804	21	0.0	1148
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1148
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1148
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1148
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1146
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1146
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1146
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1146
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1146
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1146
root_000179;6968	CAGL0I10147g	62.693	21	0.0	1145
root_000179;6968	CAGL0I10147g	62.583	21	0.0	1145
root_000179;6968	CAGL0I10147g	62.583	21	0.0	1144
root_000179;6968	CAGL0I10147g	62.583	21	0.0	1144
root_000179;6968	CAGL0I10147g	62.583	21	0.0	1144
root_000179;6968	CAGL0I10147g	62.156	21	0.0	1140
root_000179;6968	CAGL0I10147g	62.472	21	0.0	1136
root_000179;6968	CAGL0I10147g	62.252	21	0.0	1127
root_000179;6968	CAGL0I10147g	62.031	21	0.0	1118
root_000179;6968	CAGL0I10147g	61.810	21	0.0	1108
root_000179;6968	CAGL0I10147g	61.589	21	0.0	1100
root_000179;6968	CAGL0I10147g	61.369	21	0.0	1090
root_000179;6968	CAGL0I10147g	60.683	21	0.0	1084
root_000179;6968	CAGL0I10147g	61.148	21	0.0	1082
root_000179;6968	CAGL0I10147g	61.148	21	0.0	1082
root_000179;6968	CAGL0I10147g	60.197	21	0.0	1077
root_000179;6968	CAGL0I10147g	61.038	21	0.0	1075
root_000179;6968	CAGL0I10147g	61.038	21	0.0	1075
root_000179;6968	CAGL0I10147g	61.038	21	0.0	1075
root_000179;6968	CAGL0I10147g	61.038	21	0.0	1075
root_000179;6968	CAGL0I10147g	61.038	21	0.0	1075
root_000179;6968	CAGL0I10147g	61.038	21	0.0	1075
root_000179;6968	CAGL0I10147g	61.038	21	0.0	1075
root_000179;6968	CAGL0I10147g	61.038	21	0.0	1075
root_000179;6968	CAGL0I10147g	61.038	21	0.0	1075
root_000179;6968	CAGL0I10147g	61.038	21	0.0	1075
root_000179;6968	CAGL0I10147g	61.038	21	0.0	1075
root_000179;6968	CAGL0I10147g	60.352	21	0.0	1060
root_000179;6968	CAGL0I10147g	59.137	21	0.0	1004
root_000179;6968	CAGL0I10147g	57.819	21	0.0	995
root_000179;6968	CAGL0I10147g	53.376	21	0.0	885
root_000179;6968	CAGL0I10147g	63.280	21	0.0	729
root_000179;6968	CAGL0I10147g	63.280	21	0.0	729
root_000179;6968	CAGL0I10147g	63.102	21	0.0	726
root_000179;6968	CAGL0I10147g	63.102	21	0.0	726
root_000179;6968	CAGL0I10147g	63.102	21	0.0	726
root_000179;6968	CAGL0I10147g	63.102	21	0.0	726
root_000179;6968	CAGL0I10147g	63.102	21	0.0	726
root_000179;6968	CAGL0I10147g	63.102	21	0.0	726
root_000179;6968	CAGL0I10147g	63.102	21	0.0	726
root_000179;6968	CAGL0I10147g	63.102	21	0.0	726
root_000179;6968	CAGL0I10147g	63.102	21	0.0	725
root_000179;6968	CAGL0I10147g	63.102	21	0.0	725
root_000179;6968	CAGL0I10147g	63.102	21	0.0	725
root_000179;6968	CAGL0I10147g	62.923	21	0.0	724
root_000179;6968	CAGL0I10147g	62.923	21	0.0	724
root_000179;6968	CAGL0I10147g	62.923	21	0.0	724
root_000179;6968	CAGL0I10147g	62.923	21	0.0	724
root_000179;6968	CAGL0I10147g	62.923	21	0.0	722
root_000179;6968	CAGL0I10147g	62.923	21	0.0	722
root_000179;6968	CAGL0I10147g	62.923	21	0.0	722
root_000179;6968	CAGL0I10147g	62.923	21	0.0	722
root_000179;6968	CAGL0I10147g	62.923	21	0.0	722
root_000179;6968	CAGL0I10147g	62.923	21	0.0	722
root_000179;6968	CAGL0I10147g	62.923	21	0.0	722
root_000179;6968	CAGL0I10147g	62.923	21	0.0	722
root_000179;6968	CAGL0I10147g	62.923	21	0.0	722
root_000179;6968	CAGL0I10147g	62.923	21	0.0	722
root_000179;6968	CAGL0I10147g	62.923	21	0.0	722
root_000179;6968	CAGL0I10147g	62.923	21	0.0	719
root_000179;6968	CAGL0I10147g	62.923	21	0.0	719
root_000179;6968	CAGL0I10147g	62.923	21	0.0	719
root_000179;6968	CAGL0I10147g	62.923	21	0.0	719
root_000179;6968	CAGL0I10147g	62.923	21	0.0	719
root_000179;6968	CAGL0I10147g	62.745	21	0.0	717
root_000179;6968	CAGL0I10147g	62.745	21	0.0	717
root_000179;6968	CAGL0I10147g	62.745	21	0.0	716
root_000179;6968	CAGL0I10147g	62.389	21	0.0	716
root_000179;6968	CAGL0I10147g	62.389	21	0.0	707
root_000179;6968	CAGL0I10147g	62.032	21	0.0	698
root_000179;6968	CAGL0I10147g	61.676	21	0.0	689
root_000179;6968	CAGL0I10147g	61.319	21	0.0	680
root_000179;6968	CAGL0I10147g	61.319	21	0.0	680
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	61.141	21	0.0	674
root_000179;6968	CAGL0I10147g	60.000	21	0.0	660
root_000179;6968	CAGL0I10147g	59.043	21	0.0	650
root_000179;6968	CAGL0I10147g	57.942	21	1.24e-174	610
root_000179;6968	CAGL0I10147g	57.036	21	1.34e-163	573
root_000179;6968	CAGL0I10147g	51.096	21	2.83e-150	529
root_000179;6968	CAGL0I10147g	47.575	21	2.17e-115	414
root_000179;6968	CAGL0I10147g	52.650	21	2.30e-67	254
root_000179;6968	CAGL0G00099g	62.177	21	0.0	1030
root_000179;6968	CAGL0G00099g	58.713	21	0.0	907
root_000179;6968	CAGL0G00099g	62.724	21	0.0	657
root_000179;6968	CAGL0G00099g	62.724	21	0.0	657
root_000179;6968	CAGL0G00099g	62.724	21	0.0	657
root_000179;6968	CAGL0G00099g	61.484	21	0.0	644
root_000179;6968	CAGL0G00099g	62.136	21	1.15e-170	596
root_000179;6968	CAGL0G00099g	46.690	21	4.27e-105	379
root_000179;6968	CAGL0G00099g	35.165	21	3.78e-32	138
root_000179;6968	CAGL0G00099g	33.569	21	6.49e-18	90.9
root_000179;6968	CAGL0I00209g	61.461	21	0.0	1024
root_000179;6968	CAGL0I00209g	60.982	21	0.0	926
root_000179;6968	CAGL0I00209g	62.007	21	0.0	654
root_000179;6968	CAGL0I00209g	61.649	21	0.0	652
root_000179;6968	CAGL0I00209g	61.649	21	0.0	652
root_000179;6968	CAGL0I00209g	60.284	21	0.0	637
root_000179;6968	CAGL0I00209g	61.047	21	5.79e-173	590
root_000179;6968	CAGL0I00209g	46.735	21	2.48e-167	573
root_000179;6968	CAGL0I00209g	40.854	21	2.82e-135	473
root_000179;6968	CAGL0I00209g	45.068	21	5.08e-105	377
root_000179;6968	CAGL0I00209g	40.067	21	2.40e-97	352
root_000179;6968	CAGL0I00209g	37.859	21	1.24e-47	189
root_000179;6968	CAGL0I00209g	28.597	21	5.86e-17	87.8
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1005
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1005
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1005
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1005
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1005
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1005
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1005
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1005
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1005
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1005
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1005
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1004
root_000179;6968	CAGL0L09911g	62.031	21	0.0	1004
root_000179;6968	CAGL0L09911g	61.233	21	0.0	1001
root_000179;6968	CAGL0L09911g	62.081	21	0.0	993
root_000179;6968	CAGL0L09911g	58.590	21	0.0	934
root_000179;6968	CAGL0L09911g	51.580	21	0.0	845
root_000179;6968	CAGL0L09911g	55.205	21	0.0	769
root_000179;6968	CAGL0L09911g	48.191	21	0.0	707
root_000179;6968	CAGL0L09911g	62.254	21	0.0	634
root_000179;6968	CAGL0L09911g	62.254	21	0.0	634
root_000179;6968	CAGL0L09911g	62.254	21	0.0	634
root_000179;6968	CAGL0L09911g	62.254	21	0.0	634
root_000179;6968	CAGL0L09911g	62.254	21	0.0	634
root_000179;6968	CAGL0L09911g	62.254	21	0.0	634
root_000179;6968	CAGL0L09911g	62.254	21	0.0	634
root_000179;6968	CAGL0L09911g	62.254	21	0.0	633
root_000179;6968	CAGL0L09911g	62.254	21	0.0	633
root_000179;6968	CAGL0L09911g	62.254	21	0.0	633
root_000179;6968	CAGL0L09911g	62.254	21	0.0	633
root_000179;6968	CAGL0L09911g	62.254	21	0.0	633
root_000179;6968	CAGL0L09911g	62.254	21	0.0	633
root_000179;6968	CAGL0L09911g	62.254	21	0.0	633
root_000179;6968	CAGL0L09911g	62.254	21	0.0	633
root_000179;6968	CAGL0L09911g	62.254	21	0.0	633
root_000179;6968	CAGL0L09911g	62.254	21	0.0	633
root_000179;6968	CAGL0L09911g	62.500	21	9.96e-179	620
root_000179;6968	CAGL0L09911g	55.312	21	1.31e-164	574
root_000179;6968	CAGL0L09911g	51.433	21	6.20e-144	507
root_000179;6968	CAGL0L09911g	44.349	21	8.78e-113	404
root_000179;6968	CAGL0L09911g	50.891	21	4.67e-110	395
root_000179;6968	CAGL0L09911g	37.937	21	3.58e-71	267
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.993	21	0.0	1003
root_000179;6968	CAGL0C00253g	57.426	21	0.0	994
root_000179;6968	CAGL0C00253g	58.174	21	0.0	989
root_000179;6968	CAGL0C00253g	55.373	21	0.0	934
root_000179;6968	CAGL0C00253g	53.929	21	0.0	825
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.602	21	0.0	632
root_000179;6968	CAGL0C00253g	58.659	21	2.25e-176	612
root_000179;6968	CAGL0C00253g	56.080	21	4.25e-166	579
root_000179;6968	CAGL0C00253g	51.941	21	8.31e-142	499
root_000179;6968	CAGL0C00253g	48.043	21	2.46e-63	241
root_000179;6968	CAGL0E00231g	60.860	21	0.0	1000
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.038	21	0.0	994
root_000179;6968	CAGL0E00231g	61.261	21	0.0	983
root_000179;6968	CAGL0E00231g	57.067	21	0.0	936
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	61.290	21	1.25e-179	625
root_000179;6968	CAGL0E00231g	60.000	21	1.34e-176	615
root_000179;6968	CAGL0E00231g	56.588	21	5.86e-168	587
root_000179;6968	CAGL0E00231g	54.144	21	6.46e-142	501
root_000179;6968	CAGL0E00231g	34.718	21	1.35e-69	262
root_000179;6968	CAGL0E00231g	32.264	21	1.17e-26	120
root_000179;6968	CAGL0E01661g	57.993	21	0.0	995
root_000179;6968	CAGL0E01661g	57.993	21	0.0	995
root_000179;6968	CAGL0E01661g	57.993	21	0.0	994
root_000179;6968	CAGL0E01661g	57.377	21	0.0	989
root_000179;6968	CAGL0E01661g	57.018	21	0.0	976
root_000179;6968	CAGL0E01661g	54.012	21	0.0	788
root_000179;6968	CAGL0E01661g	58.602	21	0.0	627
root_000179;6968	CAGL0E01661g	58.602	21	0.0	627
root_000179;6968	CAGL0E01661g	58.602	21	0.0	627
root_000179;6968	CAGL0E01661g	58.602	21	0.0	627
root_000179;6968	CAGL0E01661g	58.602	21	0.0	627
root_000179;6968	CAGL0E01661g	58.602	21	0.0	627
root_000179;6968	CAGL0E01661g	58.602	21	0.0	626
root_000179;6968	CAGL0E01661g	57.699	21	0.0	621
root_000179;6968	CAGL0E01661g	56.530	21	2.62e-157	544
root_000179;6968	CAGL0E01661g	52.292	21	3.34e-150	522
