cluster_id,gene_id,species,homology_class,ohnolog_partner,ohnolog_evidence,outgroup_orthologs
Cluster5696,CAGL0F05863g,C_glabrata,ohnolog,CAGL0A03784g,WGD_2:1_pattern,"{'C_albicans': 'orf19.4022', 'K_lactis': 'gene:KLLA0_F25080g'}"
Cluster5696,CAGL0A03784g,C_glabrata,ohnolog,CAGL0F05863g,WGD_2:1_pattern,"{'C_albicans': 'orf19.4022', 'K_lactis': 'gene:KLLA0_F25080g'}"
Cluster4261,gene-YOR226C,S_cerevisiae,ohnolog,gene-YPL135W,WGD_2:1_pattern,"{'C_albicans': 'orf19.6548', 'K_lactis': 'gene:KLLA0_D07161g'}"
Cluster4261,gene-YPL135W,S_cerevisiae,ohnolog,gene-YOR226C,WGD_2:1_pattern,"{'C_albicans': 'orf19.6548', 'K_lactis': 'gene:KLLA0_D07161g'}"
Cluster4261,CAGL0J04048g,C_glabrata,ohnolog,CAGL0M02629g,WGD_2:1_pattern,"{'C_albicans': 'orf19.6548', 'K_lactis': 'gene:KLLA0_D07161g'}"
Cluster4261,CAGL0M02629g,C_glabrata,ohnolog,CAGL0J04048g,WGD_2:1_pattern,"{'C_albicans': 'orf19.6548', 'K_lactis': 'gene:KLLA0_D07161g'}"
Cluster1857,gene-YLR108C,S_cerevisiae,ohnolog,gene-YDR132C,WGD_2:1_pattern,"{'C_albicans': 'orf19.2749', 'K_lactis': 'gene:KLLA0_F19965g'}"
Cluster1857,gene-YDR132C,S_cerevisiae,ohnolog,gene-YLR108C,WGD_2:1_pattern,"{'C_albicans': 'orf19.2749', 'K_lactis': 'gene:KLLA0_F19965g'}"
Cluster1857,CAGL0M11682g,C_glabrata,ohnolog,CAGL0L06446g,WGD_2:1_pattern,"{'C_albicans': 'orf19.2749', 'K_lactis': 'gene:KLLA0_F19965g'}"
Cluster1857,CAGL0L06446g,C_glabrata,ohnolog,CAGL0M11682g,WGD_2:1_pattern,"{'C_albicans': 'orf19.2749', 'K_lactis': 'gene:KLLA0_F19965g'}"
Cluster7299,gene-YLR210W,S_cerevisiae,ohnolog,gene-YDL155W,WGD_2:1_pattern,"{'C_albicans': 'orf19.7186', 'K_lactis': 'gene:KLLA0_C16445g'}"
Cluster7299,gene-YDL155W,S_cerevisiae,ohnolog,gene-YLR210W,WGD_2:1_pattern,"{'C_albicans': 'orf19.7186', 'K_lactis': 'gene:KLLA0_C16445g'}"
Cluster7299,CAGL0J08822g,C_glabrata,ohnolog,CAGL0I03564g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7186', 'K_lactis': 'gene:KLLA0_C16445g'}"
Cluster7299,CAGL0I03564g,C_glabrata,ohnolog,CAGL0J08822g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7186', 'K_lactis': 'gene:KLLA0_C16445g'}"
Cluster7339,gene-YBR216C,S_cerevisiae,ohnolog,gene-YGL060W,WGD_2:1_pattern,"{'C_albicans': 'orf19.5034', 'K_lactis': 'gene:KLLA0_C05698g'}"
Cluster7339,gene-YGL060W,S_cerevisiae,ohnolog,gene-YBR216C,WGD_2:1_pattern,"{'C_albicans': 'orf19.5034', 'K_lactis': 'gene:KLLA0_C05698g'}"
Cluster7339,CAGL0K06743g,C_glabrata,ohnolog,CAGL0F06985g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5034', 'K_lactis': 'gene:KLLA0_C05698g'}"
Cluster7339,CAGL0F06985g,C_glabrata,ohnolog,CAGL0K06743g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5034', 'K_lactis': 'gene:KLLA0_C05698g'}"
Cluster1682,gene-YEL054C,S_cerevisiae,ohnolog,gene-YDR418W,WGD_2:1_pattern,"{'C_albicans': 'orf19.1635', 'K_lactis': 'gene:KLLA0_A01903g'}"
Cluster1682,gene-YDR418W,S_cerevisiae,ohnolog,gene-YEL054C,WGD_2:1_pattern,"{'C_albicans': 'orf19.1635', 'K_lactis': 'gene:KLLA0_A01903g'}"
Cluster9054,gene-YMR318C,S_cerevisiae,ohnolog,gene-YCR105W,WGD_2:1_pattern,"{'C_albicans': 'orf19.5517', 'K_lactis': 'gene:KLLA0_E19889g'}"
Cluster9054,gene-YCR105W,S_cerevisiae,ohnolog,gene-YMR318C,WGD_2:1_pattern,"{'C_albicans': 'orf19.5517', 'K_lactis': 'gene:KLLA0_E19889g'}"
Cluster9054,CAGL0H06853g,C_glabrata,ohnolog,CAGL0M14047g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5517', 'K_lactis': 'gene:KLLA0_E19889g'}"
Cluster9054,CAGL0M14047g,C_glabrata,ohnolog,CAGL0H06853g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5517', 'K_lactis': 'gene:KLLA0_E19889g'}"
Cluster837,gene-YOR047C,S_cerevisiae,ohnolog,gene-YDR277C,WGD_2:1_pattern,"{'C_albicans': 'orf19.6173', 'K_lactis': 'gene:KLLA0_F15928g'}"
Cluster837,gene-YDR277C,S_cerevisiae,ohnolog,gene-YOR047C,WGD_2:1_pattern,"{'C_albicans': 'orf19.6173', 'K_lactis': 'gene:KLLA0_F15928g'}"
Cluster4199,CAGL0H03949g,C_glabrata,ohnolog,CAGL0B04675g,WGD_2:1_pattern,"{'C_albicans': 'orf19.2419', 'K_lactis': 'gene:KLLA0_A08646g'}"
Cluster4199,CAGL0B04675g,C_glabrata,ohnolog,CAGL0H03949g,WGD_2:1_pattern,"{'C_albicans': 'orf19.2419', 'K_lactis': 'gene:KLLA0_A08646g'}"
Cluster8216,gene-YLR371W,S_cerevisiae,ohnolog,gene-YGR070W,WGD_2:1_pattern,"{'C_albicans': 'orf19.906', 'K_lactis': 'gene:KLLA0_B07799g'}"
Cluster8216,gene-YGR070W,S_cerevisiae,ohnolog,gene-YLR371W,WGD_2:1_pattern,"{'C_albicans': 'orf19.906', 'K_lactis': 'gene:KLLA0_B07799g'}"
Cluster8865,gene-YOR054C,S_cerevisiae,ohnolog,gene-YKR072C,WGD_2:1_pattern,"{'C_albicans': 'orf19.7378', 'K_lactis': 'gene:KLLA0_F16258g'}"
Cluster8865,gene-YKR072C,S_cerevisiae,ohnolog,gene-YOR054C,WGD_2:1_pattern,"{'C_albicans': 'orf19.7378', 'K_lactis': 'gene:KLLA0_F16258g'}"
Cluster8865,CAGL0G01969g,C_glabrata,ohnolog,CAGL0L10208g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7378', 'K_lactis': 'gene:KLLA0_F16258g'}"
Cluster8865,CAGL0L10208g,C_glabrata,ohnolog,CAGL0G01969g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7378', 'K_lactis': 'gene:KLLA0_F16258g'}"
Cluster8035,gene-YBL027W,S_cerevisiae,ohnolog,gene-YBR084C-A,WGD_2:1_pattern,"{'C_albicans': 'orf19.5904', 'K_lactis': 'gene:KLLA0_E12453g'}"
Cluster8035,gene-YBR084C-A,S_cerevisiae,ohnolog,gene-YBL027W,WGD_2:1_pattern,"{'C_albicans': 'orf19.5904', 'K_lactis': 'gene:KLLA0_E12453g'}"
Cluster3364,gene-YMR273C,S_cerevisiae,ohnolog,gene-YML109W,WGD_2:1_pattern,"{'C_albicans': 'orf19.3823', 'K_lactis': 'gene:KLLA0_D01683g'}"
Cluster3364,gene-YML109W,S_cerevisiae,ohnolog,gene-YMR273C,WGD_2:1_pattern,"{'C_albicans': 'orf19.3823', 'K_lactis': 'gene:KLLA0_D01683g'}"
Cluster3364,CAGL0F03421g,C_glabrata,ohnolog,CAGL0J06688g,WGD_2:1_pattern,"{'C_albicans': 'orf19.3823', 'K_lactis': 'gene:KLLA0_D01683g'}"
Cluster3364,CAGL0J06688g,C_glabrata,ohnolog,CAGL0F03421g,WGD_2:1_pattern,"{'C_albicans': 'orf19.3823', 'K_lactis': 'gene:KLLA0_D01683g'}"
Cluster581,gene-YDL182W,S_cerevisiae,ohnolog,gene-YDL131W,WGD_2:1_pattern,"{'C_albicans': 'orf19.4506', 'K_lactis': 'gene:KLLA0_F05489g'}"
Cluster581,gene-YDL131W,S_cerevisiae,ohnolog,gene-YDL182W,WGD_2:1_pattern,"{'C_albicans': 'orf19.4506', 'K_lactis': 'gene:KLLA0_F05489g'}"
Cluster581,CAGL0J06402g,C_glabrata,ohnolog,CAGL0J09240g,WGD_2:1_pattern,"{'C_albicans': 'orf19.4506', 'K_lactis': 'gene:KLLA0_F05489g'}"
Cluster581,CAGL0J09240g,C_glabrata,ohnolog,CAGL0J06402g,WGD_2:1_pattern,"{'C_albicans': 'orf19.4506', 'K_lactis': 'gene:KLLA0_F05489g'}"
Cluster4435,CAGL0F03707g,C_glabrata,ohnolog,CAGL0C02893g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5408', 'K_lactis': 'gene:KLLA0_C07535g'}"
Cluster4435,CAGL0C02893g,C_glabrata,ohnolog,CAGL0F03707g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5408', 'K_lactis': 'gene:KLLA0_C07535g'}"
Cluster6317,gene-YML028W,S_cerevisiae,ohnolog,gene-YDR453C,WGD_2:1_pattern,"{'C_albicans': 'orf19.7417', 'K_lactis': 'gene:KLLA0_B01628g'}"
Cluster6317,gene-YDR453C,S_cerevisiae,ohnolog,gene-YML028W,WGD_2:1_pattern,"{'C_albicans': 'orf19.7417', 'K_lactis': 'gene:KLLA0_B01628g'}"
Cluster6317,CAGL0K06259g,C_glabrata,ohnolog,CAGL0G07271g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7417', 'K_lactis': 'gene:KLLA0_B01628g'}"
Cluster6317,CAGL0G07271g,C_glabrata,ohnolog,CAGL0K06259g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7417', 'K_lactis': 'gene:KLLA0_B01628g'}"
Cluster9506,gene-YDL192W,S_cerevisiae,ohnolog,gene-YDL137W,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_F05225g'}
Cluster9506,gene-YDL137W,S_cerevisiae,ohnolog,gene-YDL192W,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_F05225g'}
Cluster9506,CAGL0I03916g,C_glabrata,ohnolog,CAGL0J09064g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_F05225g'}
Cluster9506,CAGL0J09064g,C_glabrata,ohnolog,CAGL0I03916g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_F05225g'}
Cluster8863,CAGL0F00715g,C_glabrata,ohnolog,CAGL0G06248g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5500', 'K_lactis': 'gene:KLLA0_A04037g'}"
Cluster8863,CAGL0G06248g,C_glabrata,ohnolog,CAGL0F00715g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5500', 'K_lactis': 'gene:KLLA0_A04037g'}"
Cluster9216,CAGL0H01529g,C_glabrata,ohnolog,CAGL0J03520g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7421', 'K_lactis': 'gene:KLLA0_C08635g'}"
Cluster9216,CAGL0J03520g,C_glabrata,ohnolog,CAGL0H01529g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7421', 'K_lactis': 'gene:KLLA0_C08635g'}"
Cluster7224,gene-YDR345C,S_cerevisiae,ohnolog,gene-YHR092C,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_D13310g'}
Cluster7224,gene-YHR092C,S_cerevisiae,ohnolog,gene-YDR345C,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_D13310g'}
Cluster7224,CAGL0A02321g,C_glabrata,ohnolog,CAGL0A01804g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_D13310g'}
Cluster7224,CAGL0A01804g,C_glabrata,ohnolog,CAGL0A02321g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_D13310g'}
Cluster5386,gene-YBR066C,S_cerevisiae,ohnolog,gene-YDR043C,WGD_2:1_pattern,"{'C_albicans': 'orf19.7150', 'K_lactis': 'gene:KLLA0_F18524g'}"
Cluster5386,gene-YDR043C,S_cerevisiae,ohnolog,gene-YBR066C,WGD_2:1_pattern,"{'C_albicans': 'orf19.7150', 'K_lactis': 'gene:KLLA0_F18524g'}"
Cluster5386,CAGL0K12078g,C_glabrata,ohnolog,CAGL0L07480g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7150', 'K_lactis': 'gene:KLLA0_F18524g'}"
Cluster5386,CAGL0L07480g,C_glabrata,ohnolog,CAGL0K12078g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7150', 'K_lactis': 'gene:KLLA0_F18524g'}"
Cluster8915,gene-YCR040W,S_cerevisiae,ohnolog,gene-YCL066W,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_C00352g'}
Cluster8915,gene-YCL066W,S_cerevisiae,ohnolog,gene-YCR040W,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_C00352g'}
Cluster8915,CAGL0B00242g,C_glabrata,ohnolog,CAGL0B01243g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_C00352g'}
Cluster8915,CAGL0B01243g,C_glabrata,ohnolog,CAGL0B00242g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_C00352g'}
Cluster3256,gene-YPR114W,S_cerevisiae,ohnolog,gene-YJR116W,WGD_2:1_pattern,{'C_albicans': 'orf19.3051'}
Cluster3256,gene-YJR116W,S_cerevisiae,ohnolog,gene-YPR114W,WGD_2:1_pattern,{'C_albicans': 'orf19.3051'}
Cluster3256,CAGL0B04191g,C_glabrata,ohnolog,CAGL0H00572g,WGD_2:1_pattern,{'C_albicans': 'orf19.3051'}
Cluster3256,CAGL0H00572g,C_glabrata,ohnolog,CAGL0B04191g,WGD_2:1_pattern,{'C_albicans': 'orf19.3051'}
Cluster2309,gene-YOR133W,S_cerevisiae,ohnolog,gene-YDR385W,WGD_2:1_pattern,"{'C_albicans': 'orf19.5788', 'K_lactis': 'gene:KLLA0_E02993g'}"
Cluster2309,gene-YDR385W,S_cerevisiae,ohnolog,gene-YOR133W,WGD_2:1_pattern,"{'C_albicans': 'orf19.5788', 'K_lactis': 'gene:KLLA0_E02993g'}"
Cluster6459,gene-YLR249W,S_cerevisiae,ohnolog,gene-YNL014W,WGD_2:1_pattern,"{'C_albicans': 'orf19.4152', 'K_lactis': 'gene:KLLA0_F12210g'}"
Cluster6459,gene-YNL014W,S_cerevisiae,ohnolog,gene-YLR249W,WGD_2:1_pattern,"{'C_albicans': 'orf19.4152', 'K_lactis': 'gene:KLLA0_F12210g'}"
Cluster7067,gene-YDL188C,S_cerevisiae,ohnolog,gene-YDL134C,WGD_2:1_pattern,"{'C_albicans': 'orf19.1683', 'K_lactis': 'gene:KLLA0_F05357g'}"
Cluster7067,gene-YDL134C,S_cerevisiae,ohnolog,gene-YDL188C,WGD_2:1_pattern,"{'C_albicans': 'orf19.1683', 'K_lactis': 'gene:KLLA0_F05357g'}"
Cluster6644,gene-YER081W,S_cerevisiae,ohnolog,gene-YIL074C,WGD_2:1_pattern,"{'C_albicans': 'orf19.5263', 'K_lactis': 'gene:KLLA0_C09306g'}"
Cluster6644,gene-YIL074C,S_cerevisiae,ohnolog,gene-YER081W,WGD_2:1_pattern,"{'C_albicans': 'orf19.5263', 'K_lactis': 'gene:KLLA0_C09306g'}"
Cluster7702,gene-YHR208W,S_cerevisiae,ohnolog,gene-YJR148W,WGD_2:1_pattern,"{'C_albicans': 'orf19.6994', 'K_lactis': 'gene:KLLA0_A10307g'}"
Cluster7702,gene-YJR148W,S_cerevisiae,ohnolog,gene-YHR208W,WGD_2:1_pattern,"{'C_albicans': 'orf19.6994', 'K_lactis': 'gene:KLLA0_A10307g'}"
Cluster7702,CAGL0M00176g,C_glabrata,ohnolog,CAGL0F09207g,WGD_2:1_pattern,"{'C_albicans': 'orf19.6994', 'K_lactis': 'gene:KLLA0_A10307g'}"
Cluster7702,CAGL0F09207g,C_glabrata,ohnolog,CAGL0M00176g,WGD_2:1_pattern,"{'C_albicans': 'orf19.6994', 'K_lactis': 'gene:KLLA0_A10307g'}"
Cluster3006,gene-YDR222W,S_cerevisiae,ohnolog,gene-YLR225C,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_F13200g'}
Cluster3006,gene-YLR225C,S_cerevisiae,ohnolog,gene-YDR222W,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_F13200g'}
Cluster7068,gene-YGR279C,S_cerevisiae,ohnolog,gene-YMR305C,WGD_2:1_pattern,"{'C_albicans': 'orf19.1779', 'K_lactis': 'gene:KLLA0_C14047g'}"
Cluster7068,gene-YMR305C,S_cerevisiae,ohnolog,gene-YGR279C,WGD_2:1_pattern,"{'C_albicans': 'orf19.1779', 'K_lactis': 'gene:KLLA0_C14047g'}"
Cluster7068,CAGL0G00308g,C_glabrata,ohnolog,CAGL0M13805g,WGD_2:1_pattern,"{'C_albicans': 'orf19.1779', 'K_lactis': 'gene:KLLA0_C14047g'}"
Cluster7068,CAGL0M13805g,C_glabrata,ohnolog,CAGL0G00308g,WGD_2:1_pattern,"{'C_albicans': 'orf19.1779', 'K_lactis': 'gene:KLLA0_C14047g'}"
Cluster4730,gene-YHR117W,S_cerevisiae,ohnolog,gene-YNL121C,WGD_2:1_pattern,"{'C_albicans': 'orf19.3700', 'K_lactis': 'gene:KLLA0_F24046g'}"
Cluster4730,gene-YNL121C,S_cerevisiae,ohnolog,gene-YHR117W,WGD_2:1_pattern,"{'C_albicans': 'orf19.3700', 'K_lactis': 'gene:KLLA0_F24046g'}"
Cluster4730,CAGL0L12936g,C_glabrata,ohnolog,CAGL0L04048g,WGD_2:1_pattern,"{'C_albicans': 'orf19.3700', 'K_lactis': 'gene:KLLA0_F24046g'}"
Cluster4730,CAGL0L04048g,C_glabrata,ohnolog,CAGL0L12936g,WGD_2:1_pattern,"{'C_albicans': 'orf19.3700', 'K_lactis': 'gene:KLLA0_F24046g'}"
Cluster8645,gene-YDR463W,S_cerevisiae,ohnolog,gene-YHR006W,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_F10109g'}
Cluster8645,gene-YHR006W,S_cerevisiae,ohnolog,gene-YDR463W,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_F10109g'}
Cluster8645,CAGL0K06413g,C_glabrata,ohnolog,CAGL0E04312g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_F10109g'}
Cluster8645,CAGL0E04312g,C_glabrata,ohnolog,CAGL0K06413g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_F10109g'}
Cluster5887,gene-YNL283C,S_cerevisiae,ohnolog,gene-YHL028W,WGD_2:1_pattern,{'C_albicans': 'orf19.7251'}
Cluster5887,gene-YHL028W,S_cerevisiae,ohnolog,gene-YNL283C,WGD_2:1_pattern,{'C_albicans': 'orf19.7251'}
Cluster2267,gene-YNL154C,S_cerevisiae,ohnolog,gene-YHR135C,WGD_2:1_pattern,"{'C_albicans': 'orf19.7001', 'K_lactis': 'gene:KLLA0_D11044g'}"
Cluster2267,gene-YHR135C,S_cerevisiae,ohnolog,gene-YNL154C,WGD_2:1_pattern,"{'C_albicans': 'orf19.7001', 'K_lactis': 'gene:KLLA0_D11044g'}"
Cluster2267,CAGL0G06138g,C_glabrata,ohnolog,CAGL0J05940g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7001', 'K_lactis': 'gene:KLLA0_D11044g'}"
Cluster2267,CAGL0J05940g,C_glabrata,ohnolog,CAGL0G06138g,WGD_2:1_pattern,"{'C_albicans': 'orf19.7001', 'K_lactis': 'gene:KLLA0_D11044g'}"
Cluster839,CAGL0H03751g,C_glabrata,ohnolog,CAGL0B04895g,WGD_2:1_pattern,"{'C_albicans': 'orf19.3865', 'K_lactis': 'gene:KLLA0_D04862g'}"
Cluster839,CAGL0B04895g,C_glabrata,ohnolog,CAGL0H03751g,WGD_2:1_pattern,"{'C_albicans': 'orf19.3865', 'K_lactis': 'gene:KLLA0_D04862g'}"
Cluster8778,gene-YGL147C,S_cerevisiae,ohnolog,gene-YNL067W,WGD_2:1_pattern,{'C_albicans': 'orf19.236'}
Cluster8778,gene-YNL067W,S_cerevisiae,ohnolog,gene-YGL147C,WGD_2:1_pattern,{'C_albicans': 'orf19.236'}
Cluster8778,CAGL0E04994g,C_glabrata,ohnolog,CAGL0G08734g,WGD_2:1_pattern,{'C_albicans': 'orf19.236'}
Cluster8778,CAGL0G08734g,C_glabrata,ohnolog,CAGL0E04994g,WGD_2:1_pattern,{'C_albicans': 'orf19.236'}
Cluster3922,gene-YMR198W,S_cerevisiae,ohnolog,gene-YPL253C,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_B10329g'}
Cluster3922,gene-YPL253C,S_cerevisiae,ohnolog,gene-YMR198W,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_B10329g'}
Cluster3922,CAGL0L10626g,C_glabrata,ohnolog,CAGL0H00638g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_B10329g'}
Cluster3922,CAGL0H00638g,C_glabrata,ohnolog,CAGL0L10626g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_B10329g'}
Cluster2966,CAGL0H03971g,C_glabrata,ohnolog,CAGL0B03685g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5285', 'K_lactis': 'gene:KLLA0_F12782g'}"
Cluster2966,CAGL0B03685g,C_glabrata,ohnolog,CAGL0H03971g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5285', 'K_lactis': 'gene:KLLA0_F12782g'}"
Cluster5792,gene-YAL034C,S_cerevisiae,ohnolog,gene-YOR338W,WGD_2:1_pattern,"{'C_albicans': 'orf19.1363', 'K_lactis': 'gene:KLLA0_F02365g'}"
Cluster5792,gene-YOR338W,S_cerevisiae,ohnolog,gene-YAL034C,WGD_2:1_pattern,"{'C_albicans': 'orf19.1363', 'K_lactis': 'gene:KLLA0_F02365g'}"
Cluster5792,CAGL0M11902g,C_glabrata,ohnolog,CAGL0E05456g,WGD_2:1_pattern,"{'C_albicans': 'orf19.1363', 'K_lactis': 'gene:KLLA0_F02365g'}"
Cluster5792,CAGL0E05456g,C_glabrata,ohnolog,CAGL0M11902g,WGD_2:1_pattern,"{'C_albicans': 'orf19.1363', 'K_lactis': 'gene:KLLA0_F02365g'}"
Cluster4900,gene-YNCG0046W,S_cerevisiae,ohnolog,gene-YNCH0015W,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_D14762g'}
Cluster4900,gene-YNCH0015W,S_cerevisiae,ohnolog,gene-YNCG0046W,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_D14762g'}
Cluster7791,gene-YKL148C,S_cerevisiae,ohnolog,gene-YJL045W,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_D04444g'}
Cluster7791,gene-YJL045W,S_cerevisiae,ohnolog,gene-YKL148C,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_D04444g'}
Cluster1684,CAGL0F00803g,C_glabrata,ohnolog,CAGL0H06215g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5105', 'K_lactis': 'gene:KLLA0_F07579g'}"
Cluster1684,CAGL0H06215g,C_glabrata,ohnolog,CAGL0F00803g,WGD_2:1_pattern,"{'C_albicans': 'orf19.5105', 'K_lactis': 'gene:KLLA0_F07579g'}"
Cluster2671,gene-YOR237W,S_cerevisiae,ohnolog,gene-YPL145C,WGD_2:1_pattern,"{'C_albicans': 'orf19.6883', 'K_lactis': 'gene:KLLA0_D07480g'}"
Cluster2671,gene-YPL145C,S_cerevisiae,ohnolog,gene-YOR237W,WGD_2:1_pattern,"{'C_albicans': 'orf19.6883', 'K_lactis': 'gene:KLLA0_D07480g'}"
Cluster2671,CAGL0J03916g,C_glabrata,ohnolog,CAGL0M02431g,WGD_2:1_pattern,"{'C_albicans': 'orf19.6883', 'K_lactis': 'gene:KLLA0_D07480g'}"
Cluster2671,CAGL0M02431g,C_glabrata,ohnolog,CAGL0J03916g,WGD_2:1_pattern,"{'C_albicans': 'orf19.6883', 'K_lactis': 'gene:KLLA0_D07480g'}"
Cluster1664,CAGL0K04609g,C_glabrata,ohnolog,CAGL0K04565g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_B07953g'}
Cluster1664,CAGL0K04565g,C_glabrata,ohnolog,CAGL0K04609g,WGD_2:1_pattern,{'K_lactis': 'gene:KLLA0_B07953g'}
Cluster3806,gene-YOR339C,S_cerevisiae,ohnolog,gene-YGR133W,WGD_2:1_pattern,"{'C_albicans': 'orf19.4041', 'K_lactis': 'gene:KLLA0_E04027g'}"
Cluster3806,gene-YGR133W,S_cerevisiae,ohnolog,gene-YOR339C,WGD_2:1_pattern,"{'C_albicans': 'orf19.4041', 'K_lactis': 'gene:KLLA0_E04027g'}"
Cluster6519,CAGL0H00242g,C_glabrata,ohnolog,CAGL0G09911g,WGD_2:1_pattern,"{'C_albicans': 'orf19.6558', 'K_lactis': 'gene:KLLA0_E04885g'}"
Cluster6519,CAGL0G09911g,C_glabrata,ohnolog,CAGL0H00242g,WGD_2:1_pattern,"{'C_albicans': 'orf19.6558', 'K_lactis': 'gene:KLLA0_E04885g'}"
Cluster7051,CAGL0I09086g,C_glabrata,ohnolog,CAGL0I09108g,WGD_2:1_pattern,{'C_albicans': 'orf19.4337'}
Cluster7051,CAGL0I09108g,C_glabrata,ohnolog,CAGL0I09086g,WGD_2:1_pattern,{'C_albicans': 'orf19.4337'}
Cluster714,gene-YDR458C,S_cerevisiae,ohnolog,gene-YML034W,WGD_2:1_pattern,"{'C_albicans': 'orf19.5569', 'K_lactis': 'gene:KLLA0_B01826g'}"
Cluster714,gene-YML034W,S_cerevisiae,ohnolog,gene-YDR458C,WGD_2:1_pattern,"{'C_albicans': 'orf19.5569', 'K_lactis': 'gene:KLLA0_B01826g'}"
