cluster_id,gene_id,species,homology_class
Cluster1060,orf19.6701,C_albicans,pure_ortholog
Cluster1060,gene:KLLA0_A08448g,K_lactis,pure_ortholog
Cluster1060,gene-YHR020W,S_cerevisiae,pure_ortholog
Cluster1060,CAGL0A02090g,C_glabrata,pure_ortholog
Cluster1062,gene:KLLA0_D11792g,K_lactis,pure_ortholog
Cluster1062,CAGL0L12672g,C_glabrata,pure_ortholog
Cluster1062,gene-YPL043W,S_cerevisiae,pure_ortholog
Cluster1062,orf19.5198,C_albicans,pure_ortholog
Cluster1063,gene-YPL190C,S_cerevisiae,pure_ortholog
Cluster1063,CAGL0H03267g,C_glabrata,pure_ortholog
Cluster1063,gene:KLLA0_E19229g,K_lactis,pure_ortholog
Cluster1063,orf19.5530,C_albicans,pure_ortholog
Cluster1064,orf19.4297,C_albicans,pure_ortholog
Cluster1064,gene-YOR039W,S_cerevisiae,pure_ortholog
Cluster1064,CAGL0I00946g,C_glabrata,pure_ortholog
Cluster1064,gene:KLLA0_E21869g,K_lactis,pure_ortholog
Cluster1065,CAGL0H05907g,C_glabrata,pure_ortholog
Cluster1065,gene-YPL104W,S_cerevisiae,pure_ortholog
Cluster1065,gene:KLLA0_E24465g,K_lactis,pure_ortholog
Cluster1065,orf19.4478,C_albicans,pure_ortholog
Cluster1084,orf19.5847,C_albicans,pure_ortholog
Cluster1084,gene:KLLA0_F01078g,K_lactis,pure_ortholog
Cluster1084,CAGL0L02849g,C_glabrata,pure_ortholog
Cluster1084,gene-YOR207C,S_cerevisiae,pure_ortholog
Cluster1110,orf19.754,C_albicans,pure_ortholog
Cluster1110,gene:KLLA0_D03608g,K_lactis,pure_ortholog
Cluster1110,CAGL0B04345g,C_glabrata,pure_ortholog
Cluster1110,gene-YBR025C,S_cerevisiae,pure_ortholog
Cluster1112,orf19.7293,C_albicans,pure_ortholog
Cluster1112,gene-YDL028C,S_cerevisiae,pure_ortholog
Cluster1112,CAGL0K01617g,C_glabrata,pure_ortholog
Cluster1112,gene:KLLA0_C03828g,K_lactis,pure_ortholog
Cluster1117,CAGL0M11440g,C_glabrata,pure_ortholog
Cluster1117,gene-YLR098C,S_cerevisiae,pure_ortholog
Cluster1117,gene:KLLA0_F19602g,K_lactis,pure_ortholog
Cluster1117,orf19.6985,C_albicans,pure_ortholog
Cluster1121,orf19.4835,C_albicans,pure_ortholog
Cluster1121,gene:KLLA0_C09262g,K_lactis,pure_ortholog
Cluster1121,CAGL0J03344g,C_glabrata,pure_ortholog
Cluster1121,gene-YER082C,S_cerevisiae,pure_ortholog
Cluster1131,orf19.3521,C_albicans,pure_ortholog
Cluster1131,gene:KLLA0_E02531g,K_lactis,pure_ortholog
Cluster1131,CAGL0A03014g,C_glabrata,pure_ortholog
Cluster1131,gene-YDR376W,S_cerevisiae,pure_ortholog
Cluster1134,gene:KLLA0_E12607g,K_lactis,pure_ortholog
Cluster1134,CAGL0E04686g,C_glabrata,pure_ortholog
Cluster1134,gene-YDR057W,S_cerevisiae,pure_ortholog
Cluster1134,orf19.7578,C_albicans,pure_ortholog
Cluster1135,orf19.4519,C_albicans,pure_ortholog
Cluster1135,gene:KLLA0_D12034g,K_lactis,pure_ortholog
Cluster1135,gene-YPL029W,S_cerevisiae,pure_ortholog
Cluster1135,CAGL0L12386g,C_glabrata,pure_ortholog
Cluster1136,orf19.5236,C_albicans,pure_ortholog
Cluster1136,gene:KLLA0_B12848g,K_lactis,pure_ortholog
Cluster1136,CAGL0K03355g,C_glabrata,pure_ortholog
Cluster1136,gene-YMR101C,S_cerevisiae,pure_ortholog
Cluster1137,orf19.747,C_albicans,pure_ortholog
Cluster1137,gene:KLLA0_E18987g,K_lactis,pure_ortholog
Cluster1137,CAGL0H03091g,C_glabrata,pure_ortholog
Cluster1137,gene-YGL091C,S_cerevisiae,pure_ortholog
Cluster1138,orf19.5232,C_albicans,pure_ortholog
Cluster1138,CAGL0I07975g,C_glabrata,pure_ortholog
Cluster1138,gene-YOL077C,S_cerevisiae,pure_ortholog
Cluster1138,gene:KLLA0_E17799g,K_lactis,pure_ortholog
Cluster1140,CAGL0G04037g,C_glabrata,pure_ortholog
Cluster1140,gene-YLL032C,S_cerevisiae,pure_ortholog
Cluster1140,gene:KLLA0_E00881g,K_lactis,pure_ortholog
Cluster1140,orf19.6008,C_albicans,pure_ortholog
Cluster1141,orf19.3613,C_albicans,pure_ortholog
Cluster1141,gene:KLLA0_F01925g,K_lactis,pure_ortholog
Cluster1141,gene-YBR279W,S_cerevisiae,pure_ortholog
Cluster1141,CAGL0B03333g,C_glabrata,pure_ortholog
Cluster1142,CAGL0J04444g,C_glabrata,pure_ortholog
Cluster1142,gene-YBL023C,S_cerevisiae,pure_ortholog
Cluster1142,gene:KLLA0_F12584g,K_lactis,pure_ortholog
Cluster1142,orf19.4354,C_albicans,pure_ortholog
Cluster1144,orf19.4028,C_albicans,pure_ortholog
Cluster1144,gene:KLLA0_E17205g,K_lactis,pure_ortholog
Cluster1144,CAGL0C04279g,C_glabrata,pure_ortholog
Cluster1144,gene-YBR002C,S_cerevisiae,pure_ortholog
Cluster1146,orf19.6901,C_albicans,pure_ortholog
Cluster1146,gene:KLLA0_F20229g,K_lactis,pure_ortholog
Cluster1146,CAGL0C03113g,C_glabrata,pure_ortholog
Cluster1146,gene-YLR270W,S_cerevisiae,pure_ortholog
Cluster116,orf19.5227,C_albicans,pure_ortholog
Cluster116,gene:KLLA0_F15554g,K_lactis,pure_ortholog
Cluster116,CAGL0D03278g,C_glabrata,pure_ortholog
Cluster116,gene-YLR021W,S_cerevisiae,pure_ortholog
Cluster1160,orf19.3265,C_albicans,pure_ortholog
Cluster1160,gene:KLLA0_F19404g,K_lactis,pure_ortholog
Cluster1160,gene-YDR120C,S_cerevisiae,pure_ortholog
Cluster1160,CAGL0B01881g,C_glabrata,pure_ortholog
Cluster1162,gene:KLLA0_F18436g,K_lactis,pure_ortholog
Cluster1162,CAGL0K12056g,C_glabrata,pure_ortholog
Cluster1162,gene-YDR041W,S_cerevisiae,pure_ortholog
Cluster1162,orf19.6752,C_albicans,pure_ortholog
Cluster1164,gene-YKL067W,S_cerevisiae,pure_ortholog
Cluster1164,CAGL0M13277g,C_glabrata,pure_ortholog
Cluster1164,gene:KLLA0_D03696g,K_lactis,pure_ortholog
Cluster1164,orf19.4311,C_albicans,pure_ortholog
Cluster1165,gene:KLLA0_D09625g,K_lactis,pure_ortholog
Cluster1165,gene-YGR195W,S_cerevisiae,pure_ortholog
Cluster1165,CAGL0G09317g,C_glabrata,pure_ortholog
Cluster1165,orf19.4582,C_albicans,pure_ortholog
Cluster1166,gene:KLLA0_F19888g,K_lactis,pure_ortholog
Cluster1166,gene-YLR106C,S_cerevisiae,pure_ortholog
Cluster1166,CAGL0M11616g,C_glabrata,pure_ortholog
Cluster1166,orf19.4697,C_albicans,pure_ortholog
Cluster1168,CAGL0J05654g,C_glabrata,pure_ortholog
Cluster1168,gene-YNL139C,S_cerevisiae,pure_ortholog
Cluster1168,gene:KLLA0_A11594g,K_lactis,pure_ortholog
Cluster1168,orf19.4123,C_albicans,pure_ortholog
Cluster1169,gene:KLLA0_C18722g,K_lactis,pure_ortholog
Cluster1169,gene-YNR049C,S_cerevisiae,pure_ortholog
Cluster1169,CAGL0C03465g,C_glabrata,pure_ortholog
Cluster1169,orf19.5248,C_albicans,pure_ortholog
Cluster117,orf19.7440,C_albicans,pure_ortholog
Cluster117,CAGL0K00363g,C_glabrata,pure_ortholog
Cluster117,gene-YKL209C,S_cerevisiae,pure_ortholog
Cluster117,gene:KLLA0_B14256g,K_lactis,pure_ortholog
Cluster1170,gene:KLLA0_D06831g,K_lactis,pure_ortholog
Cluster1170,gene-YPL129W,S_cerevisiae,pure_ortholog
Cluster1170,CAGL0M02739g,C_glabrata,pure_ortholog
Cluster1170,orf19.798,C_albicans,pure_ortholog
Cluster118,orf19.7448,C_albicans,pure_ortholog
Cluster118,gene:KLLA0_C18744g,K_lactis,pure_ortholog
Cluster118,CAGL0C03443g,C_glabrata,pure_ortholog
Cluster118,gene-YNR050C,S_cerevisiae,pure_ortholog
Cluster1185,orf19.1007,C_albicans,pure_ortholog
Cluster1185,gene-YDR017C,S_cerevisiae,pure_ortholog
Cluster1185,CAGL0D04378g,C_glabrata,pure_ortholog
Cluster1185,gene:KLLA0_B06952g,K_lactis,pure_ortholog
Cluster1187,orf19.7603,C_albicans,pure_ortholog
Cluster1187,gene:KLLA0_F08767g,K_lactis,pure_ortholog
Cluster1187,gene-YMR244C-A,S_cerevisiae,pure_ortholog
Cluster1187,CAGL0K07315g,C_glabrata,pure_ortholog
Cluster1188,orf19.4273,C_albicans,pure_ortholog
Cluster1188,CAGL0M04455g,C_glabrata,pure_ortholog
Cluster1188,gene-YLR139C,S_cerevisiae,pure_ortholog
Cluster1188,gene:KLLA0_D16918g,K_lactis,pure_ortholog
Cluster1189,orf19.1966,C_albicans,pure_ortholog
Cluster1189,CAGL0L10846g,C_glabrata,pure_ortholog
Cluster1189,gene-YCR047C,S_cerevisiae,pure_ortholog
Cluster1189,gene:KLLA0_F05962g,K_lactis,pure_ortholog
Cluster119,CAGL0M06017g,C_glabrata,pure_ortholog
Cluster119,gene-YBR166C,S_cerevisiae,pure_ortholog
Cluster119,gene:KLLA0_E24729g,K_lactis,pure_ortholog
Cluster119,orf19.4605,C_albicans,pure_ortholog
Cluster1190,orf19.3132,C_albicans,pure_ortholog
Cluster1190,gene:KLLA0_F20746g,K_lactis,pure_ortholog
Cluster1190,CAGL0F05401g,C_glabrata,pure_ortholog
Cluster1190,gene-YDR205W,S_cerevisiae,pure_ortholog
Cluster1191,gene:KLLA0_A05885g,K_lactis,pure_ortholog
Cluster1191,CAGL0I05940g,C_glabrata,pure_ortholog
Cluster1191,gene-YJL145W,S_cerevisiae,pure_ortholog
Cluster1191,orf19.4897,C_albicans,pure_ortholog
Cluster1194,gene-YOR197W,S_cerevisiae,pure_ortholog
Cluster1194,CAGL0I10945g,C_glabrata,pure_ortholog
Cluster1194,gene:KLLA0_F00880g,K_lactis,pure_ortholog
Cluster1194,orf19.5995,C_albicans,pure_ortholog
Cluster120,orf19.3921,C_albicans,pure_ortholog
Cluster120,gene:KLLA0_C06996g,K_lactis,pure_ortholog
Cluster120,CAGL0M11176g,C_glabrata,pure_ortholog
Cluster120,gene-YMR222C,S_cerevisiae,pure_ortholog
Cluster1205,gene:KLLA0_F22605g,K_lactis,pure_ortholog
Cluster1205,gene-YGR188C,S_cerevisiae,pure_ortholog
Cluster1205,CAGL0I08899g,C_glabrata,pure_ortholog
Cluster1205,orf19.2678,C_albicans,pure_ortholog
Cluster1207,orf19.6539,C_albicans,pure_ortholog
Cluster1207,gene:KLLA0_C15895g,K_lactis,pure_ortholog
Cluster1207,CAGL0H01001g,C_glabrata,pure_ortholog
Cluster1207,gene-YPL235W,S_cerevisiae,pure_ortholog
Cluster1208,orf19.498,C_albicans,pure_ortholog
Cluster1208,CAGL0K09768g,C_glabrata,pure_ortholog
Cluster1208,gene-YNL137C,S_cerevisiae,pure_ortholog
Cluster1208,gene:KLLA0_A11660g,K_lactis,pure_ortholog
Cluster1209,gene:KLLA0_E03543g,K_lactis,pure_ortholog
Cluster1209,gene-YDR468C,S_cerevisiae,pure_ortholog
Cluster1209,CAGL0K06501g,C_glabrata,pure_ortholog
Cluster1209,orf19.3898,C_albicans,pure_ortholog
Cluster121,orf19.4683,C_albicans,pure_ortholog
Cluster121,gene:KLLA0_A00594g,K_lactis,pure_ortholog
Cluster121,CAGL0G02497g,C_glabrata,pure_ortholog
Cluster121,gene-YKR095W,S_cerevisiae,pure_ortholog
Cluster1212,orf19.5241,C_albicans,pure_ortholog
Cluster1212,gene:KLLA0_C03564g,K_lactis,pure_ortholog
Cluster1212,CAGL0L08162g,C_glabrata,pure_ortholog
Cluster1212,gene-YCR033W,S_cerevisiae,pure_ortholog
Cluster1224,orf19.1248,C_albicans,pure_ortholog
Cluster1224,CAGL0J02420g,C_glabrata,pure_ortholog
Cluster1224,gene-YIL021W,S_cerevisiae,pure_ortholog
Cluster1224,gene:KLLA0_D16170g,K_lactis,pure_ortholog
Cluster1232,CAGL0J08371g,C_glabrata,pure_ortholog
Cluster1232,gene-YNL279W,S_cerevisiae,pure_ortholog
Cluster1232,gene:KLLA0_C01936g,K_lactis,pure_ortholog
Cluster1232,orf19.669,C_albicans,pure_ortholog
Cluster1234,gene:KLLA0_D14135g,K_lactis,pure_ortholog
Cluster1234,gene-YIL007C,S_cerevisiae,pure_ortholog
Cluster1234,CAGL0C03762g,C_glabrata,pure_ortholog
Cluster1234,orf19.2301,C_albicans,pure_ortholog
Cluster1235,orf19.6597,C_albicans,pure_ortholog
Cluster1235,gene-YLR287C,S_cerevisiae,pure_ortholog
Cluster1235,CAGL0M09757g,C_glabrata,pure_ortholog
Cluster1235,gene:KLLA0_C04796g,K_lactis,pure_ortholog
Cluster1237,orf19.5531,C_albicans,pure_ortholog
Cluster1237,gene-YDR168W,S_cerevisiae,pure_ortholog
Cluster1237,CAGL0E00913g,C_glabrata,pure_ortholog
Cluster1237,gene:KLLA0_D17226g,K_lactis,pure_ortholog
Cluster1249,orf19.2369,C_albicans,pure_ortholog
Cluster1249,gene:KLLA0_C02607g,K_lactis,pure_ortholog
Cluster1249,CAGL0J08008g,C_glabrata,pure_ortholog
Cluster1249,gene-YNL261W,S_cerevisiae,pure_ortholog
Cluster1250,orf19.2378,C_albicans,pure_ortholog
Cluster1250,gene:KLLA0_F17567g,K_lactis,pure_ortholog
Cluster1250,CAGL0K03685g,C_glabrata,pure_ortholog
Cluster1250,gene-YMR123W,S_cerevisiae,pure_ortholog
Cluster1251,gene:KLLA0_C17468g,K_lactis,pure_ortholog
Cluster1251,CAGL0K03157g,C_glabrata,pure_ortholog
Cluster1251,gene-YHL016C,S_cerevisiae,pure_ortholog
Cluster1251,orf19.781,C_albicans,pure_ortholog
Cluster1252,gene:KLLA0_B11000g,K_lactis,pure_ortholog
Cluster1252,CAGL0D04950g,C_glabrata,pure_ortholog
Cluster1252,gene-YPR139C,S_cerevisiae,pure_ortholog
Cluster1252,orf19.1043,C_albicans,pure_ortholog
Cluster1253,gene-YMR250W,S_cerevisiae,pure_ortholog
Cluster1253,CAGL0H02585g,C_glabrata,pure_ortholog
Cluster1253,gene:KLLA0_C14432g,K_lactis,pure_ortholog
Cluster1253,orf19.1153,C_albicans,pure_ortholog
Cluster1255,gene:KLLA0_C08041g,K_lactis,pure_ortholog
Cluster1255,CAGL0J03102g,C_glabrata,pure_ortholog
Cluster1255,gene-YER068W,S_cerevisiae,pure_ortholog
Cluster1255,orf19.2379,C_albicans,pure_ortholog
Cluster1256,orf19.6100,C_albicans,pure_ortholog
Cluster1256,gene:KLLA0_F05027g,K_lactis,pure_ortholog
Cluster1256,gene-YDL142C,S_cerevisiae,pure_ortholog
Cluster1256,CAGL0I03784g,C_glabrata,pure_ortholog
Cluster1257,gene:KLLA0_F26653g,K_lactis,pure_ortholog
Cluster1257,gene-YMR049C,S_cerevisiae,pure_ortholog
Cluster1257,CAGL0L04950g,C_glabrata,pure_ortholog
Cluster1257,orf19.1047,C_albicans,pure_ortholog
Cluster1258,gene:KLLA0_B02222g,K_lactis,pure_ortholog
Cluster1258,CAGL0I09548g,C_glabrata,pure_ortholog
Cluster1258,gene-YGL129C,S_cerevisiae,pure_ortholog
Cluster1258,orf19.3480,C_albicans,pure_ortholog
Cluster1281,orf19.1413,C_albicans,pure_ortholog
Cluster1281,gene-YDL120W,S_cerevisiae,pure_ortholog
Cluster1281,CAGL0M05643g,C_glabrata,pure_ortholog
Cluster1281,gene:KLLA0_E08845g,K_lactis,pure_ortholog
Cluster1282,orf19.7437,C_albicans,pure_ortholog
Cluster1282,gene:KLLA0_D08811g,K_lactis,pure_ortholog
Cluster1282,CAGL0K11066g,C_glabrata,pure_ortholog
Cluster1282,gene-YJL218W,S_cerevisiae,pure_ortholog
Cluster1283,orf19.1409,C_albicans,pure_ortholog
Cluster1283,gene-YNL054W,S_cerevisiae,pure_ortholog
Cluster1283,CAGL0G01342g,C_glabrata,pure_ortholog
Cluster1283,gene:KLLA0_F03575g,K_lactis,pure_ortholog
Cluster1284,gene:KLLA0_E24157g,K_lactis,pure_ortholog
Cluster1284,CAGL0H05731g,C_glabrata,pure_ortholog
Cluster1284,gene-YPL094C,S_cerevisiae,pure_ortholog
Cluster1284,orf19.3031,C_albicans,pure_ortholog
Cluster1285,gene-YOL137W,S_cerevisiae,pure_ortholog
Cluster1285,CAGL0E01507g,C_glabrata,pure_ortholog
Cluster1285,gene:KLLA0_E07063g,K_lactis,pure_ortholog
Cluster1285,orf19.7490,C_albicans,pure_ortholog
Cluster1287,gene-YOR365C,S_cerevisiae,pure_ortholog
Cluster1287,CAGL0M12320g,C_glabrata,pure_ortholog
Cluster1287,gene:KLLA0_A03355g,K_lactis,pure_ortholog
Cluster1287,orf19.2198,C_albicans,pure_ortholog
Cluster1289,orf19.7261,C_albicans,pure_ortholog
Cluster1289,gene:KLLA0_F09185g,K_lactis,pure_ortholog
Cluster1289,gene-YER136W,S_cerevisiae,pure_ortholog
Cluster1289,CAGL0K01925g,C_glabrata,pure_ortholog
Cluster1291,orf19.5342.1,C_albicans,pure_ortholog
Cluster1291,gene:KLLA0_B02629g,K_lactis,pure_ortholog
Cluster1291,gene-YKL186C,S_cerevisiae,pure_ortholog
Cluster1291,CAGL0D00440g,C_glabrata,pure_ortholog
Cluster1292,orf19.3951,C_albicans,pure_ortholog
Cluster1292,gene:KLLA0_F15015g,K_lactis,pure_ortholog
Cluster1292,gene-YGR172C,S_cerevisiae,pure_ortholog
Cluster1292,CAGL0I08701g,C_glabrata,pure_ortholog
Cluster1293,gene:KLLA0_A05324g,K_lactis,pure_ortholog
Cluster1293,CAGL0I02222g,C_glabrata,pure_ortholog
Cluster1293,gene-YHR164C,S_cerevisiae,pure_ortholog
Cluster1293,orf19.1192,C_albicans,pure_ortholog
Cluster1294,gene:KLLA0_A06259g,K_lactis,pure_ortholog
Cluster1294,gene-YJL180C,S_cerevisiae,pure_ortholog
Cluster1294,CAGL0G07513g,C_glabrata,pure_ortholog
Cluster1294,orf19.3686,C_albicans,pure_ortholog
Cluster1295,orf19.4464,C_albicans,pure_ortholog
Cluster1295,gene-YMR059W,S_cerevisiae,pure_ortholog
Cluster1295,CAGL0F06435g,C_glabrata,pure_ortholog
Cluster1295,gene:KLLA0_F26334g,K_lactis,pure_ortholog
Cluster1296,orf19.3228,C_albicans,pure_ortholog
Cluster1296,CAGL0G03487g,C_glabrata,pure_ortholog
Cluster1296,gene-YER113C,S_cerevisiae,pure_ortholog
Cluster1296,gene:KLLA0_E20835g,K_lactis,pure_ortholog
Cluster1297,orf19.4625,C_albicans,pure_ortholog
Cluster1297,gene:KLLA0_C12815g,K_lactis,pure_ortholog
Cluster1297,gene-YKL058W,S_cerevisiae,pure_ortholog
Cluster1297,CAGL0I05434g,C_glabrata,pure_ortholog
Cluster1298,orf19.2332,C_albicans,pure_ortholog
Cluster1298,gene-YDR446W,S_cerevisiae,pure_ortholog
Cluster1298,CAGL0K06127g,C_glabrata,pure_ortholog
Cluster1298,gene:KLLA0_B01452g,K_lactis,pure_ortholog
Cluster1299,orf19.5226,C_albicans,pure_ortholog
Cluster1299,gene:KLLA0_B07733g,K_lactis,pure_ortholog
Cluster1299,CAGL0I07579g,C_glabrata,pure_ortholog
Cluster1299,gene-YOL097C,S_cerevisiae,pure_ortholog
Cluster1300,gene:KLLA0_F21934g,K_lactis,pure_ortholog
Cluster1300,gene-YJR014W,S_cerevisiae,pure_ortholog
Cluster1300,CAGL0B03927g,C_glabrata,pure_ortholog
Cluster1300,orf19.4164,C_albicans,pure_ortholog
Cluster1324,gene-YNR053C,S_cerevisiae,pure_ortholog
Cluster1324,CAGL0C03369g,C_glabrata,pure_ortholog
Cluster1324,gene:KLLA0_C18843g,K_lactis,pure_ortholog
Cluster1324,orf19.5732,C_albicans,pure_ortholog
Cluster1325,orf19.3736,C_albicans,pure_ortholog
Cluster1325,gene-YCL055W,S_cerevisiae,pure_ortholog
Cluster1325,CAGL0B00462g,C_glabrata,pure_ortholog
Cluster1325,gene:KLLA0_C00693g,K_lactis,pure_ortholog
Cluster1332,CAGL0J08206g,C_glabrata,pure_ortholog
Cluster1332,gene-YNL271C,S_cerevisiae,pure_ortholog
Cluster1332,gene:KLLA0_C02321g,K_lactis,pure_ortholog
Cluster1332,orf19.4927,C_albicans,pure_ortholog
Cluster1335,orf19.4963,C_albicans,pure_ortholog
Cluster1335,CAGL0E01067g,C_glabrata,pure_ortholog
Cluster1335,gene-YDR161W,S_cerevisiae,pure_ortholog
Cluster1335,gene:KLLA0_D16852g,K_lactis,pure_ortholog
Cluster1337,gene-YER162C,S_cerevisiae,pure_ortholog
Cluster1337,CAGL0L11726g,C_glabrata,pure_ortholog
Cluster1337,gene:KLLA0_F14465g,K_lactis,pure_ortholog
Cluster1337,orf19.6722,C_albicans,pure_ortholog
Cluster1338,gene:KLLA0_D08349g,K_lactis,pure_ortholog
Cluster1338,CAGL0J11264g,C_glabrata,pure_ortholog
Cluster1338,gene-YNL181W,S_cerevisiae,pure_ortholog
Cluster1338,orf19.6233,C_albicans,pure_ortholog
Cluster1339,orf19.7537,C_albicans,pure_ortholog
Cluster1339,gene:KLLA0_F10912g,K_lactis,pure_ortholog
Cluster1339,gene-YIL159W,S_cerevisiae,pure_ortholog
Cluster1339,CAGL0H06765g,C_glabrata,pure_ortholog
Cluster1340,orf19.1386,C_albicans,pure_ortholog
Cluster1340,CAGL0J02090g,C_glabrata,pure_ortholog
Cluster1340,gene-YIL004C,S_cerevisiae,pure_ortholog
Cluster1340,gene:KLLA0_D13992g,K_lactis,pure_ortholog
Cluster1344,gene-YER077C,S_cerevisiae,pure_ortholog
Cluster1344,CAGL0J03278g,C_glabrata,pure_ortholog
Cluster1344,gene:KLLA0_C07689g,K_lactis,pure_ortholog
Cluster1344,orf19.1772,C_albicans,pure_ortholog
Cluster1345,gene-YGR278W,S_cerevisiae,pure_ortholog
Cluster1345,CAGL0G00330g,C_glabrata,pure_ortholog
Cluster1345,gene:KLLA0_C14025g,K_lactis,pure_ortholog
Cluster1345,orf19.1771,C_albicans,pure_ortholog
Cluster1347,gene:KLLA0_F06831g,K_lactis,pure_ortholog
Cluster1347,gene-YGL103W,S_cerevisiae,pure_ortholog
Cluster1347,CAGL0J10384g,C_glabrata,pure_ortholog
Cluster1347,orf19.2864.1,C_albicans,pure_ortholog
Cluster1348,gene:KLLA0_F12188g,K_lactis,pure_ortholog
Cluster1348,gene-YLR248W,S_cerevisiae,pure_ortholog
Cluster1348,CAGL0B03509g,C_glabrata,pure_ortholog
Cluster1348,orf19.2268,C_albicans,pure_ortholog
Cluster1349,orf19.3840,C_albicans,pure_ortholog
Cluster1349,gene:KLLA0_D09328g,K_lactis,pure_ortholog
Cluster1349,gene-YER129W,S_cerevisiae,pure_ortholog
Cluster1349,CAGL0K02167g,C_glabrata,pure_ortholog
Cluster1350,orf19.2510,C_albicans,pure_ortholog
