cluster_id,gene_id,species,homology_class,ortholog_partners
Cluster1024,gene:KLLA0_C14135g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.3831', 'C_glabrata': 'CAGL0G00264g', 'S_cerevisiae': 'gene-YGR280C'}"
Cluster1025,CAGL0K11022g,C_glabrata,pure_ortholog,"{'S_cerevisiae': 'gene-YDR236C', 'K_lactis': 'gene:KLLA0_C15213g', 'C_albicans': 'orf19.4373'}"
Cluster1025,gene-YDR236C,S_cerevisiae,pure_ortholog,"{'C_glabrata': 'CAGL0K11022g', 'K_lactis': 'gene:KLLA0_C15213g', 'C_albicans': 'orf19.4373'}"
Cluster1025,gene:KLLA0_C15213g,K_lactis,pure_ortholog,"{'C_glabrata': 'CAGL0K11022g', 'S_cerevisiae': 'gene-YDR236C', 'C_albicans': 'orf19.4373'}"
Cluster1025,orf19.4373,C_albicans,pure_ortholog,"{'C_glabrata': 'CAGL0K11022g', 'S_cerevisiae': 'gene-YDR236C', 'K_lactis': 'gene:KLLA0_C15213g'}"
Cluster1026,orf19.2707.1,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_F15325g', 'S_cerevisiae': 'gene-YGR183C', 'C_glabrata': 'CAGL0H09328g'}"
Cluster1026,gene:KLLA0_F15325g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.2707.1', 'S_cerevisiae': 'gene-YGR183C', 'C_glabrata': 'CAGL0H09328g'}"
Cluster1026,gene-YGR183C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.2707.1', 'K_lactis': 'gene:KLLA0_F15325g', 'C_glabrata': 'CAGL0H09328g'}"
Cluster1026,CAGL0H09328g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.2707.1', 'K_lactis': 'gene:KLLA0_F15325g', 'S_cerevisiae': 'gene-YGR183C'}"
Cluster1027,gene-YBR153W,S_cerevisiae,pure_ortholog,"{'C_glabrata': 'CAGL0F05203g', 'K_lactis': 'gene:KLLA0_F21120g', 'C_albicans': 'orf19.6341'}"
Cluster1027,CAGL0F05203g,C_glabrata,pure_ortholog,"{'S_cerevisiae': 'gene-YBR153W', 'K_lactis': 'gene:KLLA0_F21120g', 'C_albicans': 'orf19.6341'}"
Cluster1027,gene:KLLA0_F21120g,K_lactis,pure_ortholog,"{'S_cerevisiae': 'gene-YBR153W', 'C_glabrata': 'CAGL0F05203g', 'C_albicans': 'orf19.6341'}"
Cluster1027,orf19.6341,C_albicans,pure_ortholog,"{'S_cerevisiae': 'gene-YBR153W', 'C_glabrata': 'CAGL0F05203g', 'K_lactis': 'gene:KLLA0_F21120g'}"
Cluster1028,gene-YIL098C,S_cerevisiae,pure_ortholog,"{'C_glabrata': 'CAGL0G02695g', 'K_lactis': 'gene:KLLA0_F04081g', 'C_albicans': 'orf19.4825'}"
Cluster1028,CAGL0G02695g,C_glabrata,pure_ortholog,"{'S_cerevisiae': 'gene-YIL098C', 'K_lactis': 'gene:KLLA0_F04081g', 'C_albicans': 'orf19.4825'}"
Cluster1028,gene:KLLA0_F04081g,K_lactis,pure_ortholog,"{'S_cerevisiae': 'gene-YIL098C', 'C_glabrata': 'CAGL0G02695g', 'C_albicans': 'orf19.4825'}"
Cluster1028,orf19.4825,C_albicans,pure_ortholog,"{'S_cerevisiae': 'gene-YIL098C', 'C_glabrata': 'CAGL0G02695g', 'K_lactis': 'gene:KLLA0_F04081g'}"
Cluster1029,orf19.4718,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_E10649g', 'C_glabrata': 'CAGL0A01430g', 'S_cerevisiae': 'gene-YGL026C'}"
Cluster1029,gene:KLLA0_E10649g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.4718', 'C_glabrata': 'CAGL0A01430g', 'S_cerevisiae': 'gene-YGL026C'}"
Cluster1029,CAGL0A01430g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.4718', 'K_lactis': 'gene:KLLA0_E10649g', 'S_cerevisiae': 'gene-YGL026C'}"
Cluster1029,gene-YGL026C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.4718', 'K_lactis': 'gene:KLLA0_E10649g', 'C_glabrata': 'CAGL0A01430g'}"
Cluster1031,gene:KLLA0_F13178g,K_lactis,pure_ortholog,"{'S_cerevisiae': 'gene-YDR221W', 'C_glabrata': 'CAGL0E04796g', 'C_albicans': 'orf19.3286'}"
Cluster1031,gene-YDR221W,S_cerevisiae,pure_ortholog,"{'K_lactis': 'gene:KLLA0_F13178g', 'C_glabrata': 'CAGL0E04796g', 'C_albicans': 'orf19.3286'}"
Cluster1031,CAGL0E04796g,C_glabrata,pure_ortholog,"{'K_lactis': 'gene:KLLA0_F13178g', 'S_cerevisiae': 'gene-YDR221W', 'C_albicans': 'orf19.3286'}"
Cluster1031,orf19.3286,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_F13178g', 'S_cerevisiae': 'gene-YDR221W', 'C_glabrata': 'CAGL0E04796g'}"
Cluster1032,orf19.6061,C_albicans,pure_ortholog,"{'C_glabrata': 'CAGL0H05885g', 'S_cerevisiae': 'gene-YPL103C', 'K_lactis': 'gene:KLLA0_E24377g'}"
Cluster1032,CAGL0H05885g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.6061', 'S_cerevisiae': 'gene-YPL103C', 'K_lactis': 'gene:KLLA0_E24377g'}"
Cluster1032,gene-YPL103C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.6061', 'C_glabrata': 'CAGL0H05885g', 'K_lactis': 'gene:KLLA0_E24377g'}"
Cluster1032,gene:KLLA0_E24377g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.6061', 'C_glabrata': 'CAGL0H05885g', 'S_cerevisiae': 'gene-YPL103C'}"
Cluster1033,orf19.2443,C_albicans,pure_ortholog,"{'C_glabrata': 'CAGL0I09218g', 'S_cerevisiae': 'gene-YBR260C', 'K_lactis': 'gene:KLLA0_F02123g'}"
Cluster1033,CAGL0I09218g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.2443', 'S_cerevisiae': 'gene-YBR260C', 'K_lactis': 'gene:KLLA0_F02123g'}"
Cluster1033,gene-YBR260C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.2443', 'C_glabrata': 'CAGL0I09218g', 'K_lactis': 'gene:KLLA0_F02123g'}"
Cluster1033,gene:KLLA0_F02123g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.2443', 'C_glabrata': 'CAGL0I09218g', 'S_cerevisiae': 'gene-YBR260C'}"
Cluster1057,gene:KLLA0_F27621g,K_lactis,pure_ortholog,"{'C_glabrata': 'CAGL0L00847g', 'S_cerevisiae': 'gene-YIL043C', 'C_albicans': 'orf19.1801'}"
Cluster1057,CAGL0L00847g,C_glabrata,pure_ortholog,"{'K_lactis': 'gene:KLLA0_F27621g', 'S_cerevisiae': 'gene-YIL043C', 'C_albicans': 'orf19.1801'}"
Cluster1057,gene-YIL043C,S_cerevisiae,pure_ortholog,"{'K_lactis': 'gene:KLLA0_F27621g', 'C_glabrata': 'CAGL0L00847g', 'C_albicans': 'orf19.1801'}"
Cluster1057,orf19.1801,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_F27621g', 'C_glabrata': 'CAGL0L00847g', 'S_cerevisiae': 'gene-YIL043C'}"
Cluster1059,orf19.7238,C_albicans,pure_ortholog,"{'C_glabrata': 'CAGL0H04763g', 'S_cerevisiae': 'gene-YDR432W', 'K_lactis': 'gene:KLLA0_B00979g'}"
Cluster1059,CAGL0H04763g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.7238', 'S_cerevisiae': 'gene-YDR432W', 'K_lactis': 'gene:KLLA0_B00979g'}"
Cluster1059,gene-YDR432W,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.7238', 'C_glabrata': 'CAGL0H04763g', 'K_lactis': 'gene:KLLA0_B00979g'}"
Cluster1059,gene:KLLA0_B00979g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.7238', 'C_glabrata': 'CAGL0H04763g', 'S_cerevisiae': 'gene-YDR432W'}"
Cluster1060,orf19.6701,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_A08448g', 'S_cerevisiae': 'gene-YHR020W', 'C_glabrata': 'CAGL0A02090g'}"
Cluster1060,gene:KLLA0_A08448g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.6701', 'S_cerevisiae': 'gene-YHR020W', 'C_glabrata': 'CAGL0A02090g'}"
Cluster1060,gene-YHR020W,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.6701', 'K_lactis': 'gene:KLLA0_A08448g', 'C_glabrata': 'CAGL0A02090g'}"
Cluster1060,CAGL0A02090g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.6701', 'K_lactis': 'gene:KLLA0_A08448g', 'S_cerevisiae': 'gene-YHR020W'}"
Cluster1062,gene:KLLA0_D11792g,K_lactis,pure_ortholog,"{'C_glabrata': 'CAGL0L12672g', 'S_cerevisiae': 'gene-YPL043W', 'C_albicans': 'orf19.5198'}"
Cluster1062,CAGL0L12672g,C_glabrata,pure_ortholog,"{'K_lactis': 'gene:KLLA0_D11792g', 'S_cerevisiae': 'gene-YPL043W', 'C_albicans': 'orf19.5198'}"
Cluster1062,gene-YPL043W,S_cerevisiae,pure_ortholog,"{'K_lactis': 'gene:KLLA0_D11792g', 'C_glabrata': 'CAGL0L12672g', 'C_albicans': 'orf19.5198'}"
Cluster1062,orf19.5198,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_D11792g', 'C_glabrata': 'CAGL0L12672g', 'S_cerevisiae': 'gene-YPL043W'}"
Cluster1063,gene-YPL190C,S_cerevisiae,pure_ortholog,"{'C_glabrata': 'CAGL0H03267g', 'K_lactis': 'gene:KLLA0_E19229g', 'C_albicans': 'orf19.5530'}"
Cluster1063,CAGL0H03267g,C_glabrata,pure_ortholog,"{'S_cerevisiae': 'gene-YPL190C', 'K_lactis': 'gene:KLLA0_E19229g', 'C_albicans': 'orf19.5530'}"
Cluster1063,gene:KLLA0_E19229g,K_lactis,pure_ortholog,"{'S_cerevisiae': 'gene-YPL190C', 'C_glabrata': 'CAGL0H03267g', 'C_albicans': 'orf19.5530'}"
Cluster1063,orf19.5530,C_albicans,pure_ortholog,"{'S_cerevisiae': 'gene-YPL190C', 'C_glabrata': 'CAGL0H03267g', 'K_lactis': 'gene:KLLA0_E19229g'}"
Cluster1064,orf19.4297,C_albicans,pure_ortholog,"{'S_cerevisiae': 'gene-YOR039W', 'C_glabrata': 'CAGL0I00946g', 'K_lactis': 'gene:KLLA0_E21869g'}"
Cluster1064,gene-YOR039W,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.4297', 'C_glabrata': 'CAGL0I00946g', 'K_lactis': 'gene:KLLA0_E21869g'}"
Cluster1064,CAGL0I00946g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.4297', 'S_cerevisiae': 'gene-YOR039W', 'K_lactis': 'gene:KLLA0_E21869g'}"
Cluster1064,gene:KLLA0_E21869g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.4297', 'S_cerevisiae': 'gene-YOR039W', 'C_glabrata': 'CAGL0I00946g'}"
Cluster1065,CAGL0H05907g,C_glabrata,pure_ortholog,"{'S_cerevisiae': 'gene-YPL104W', 'K_lactis': 'gene:KLLA0_E24465g', 'C_albicans': 'orf19.4478'}"
Cluster1065,gene-YPL104W,S_cerevisiae,pure_ortholog,"{'C_glabrata': 'CAGL0H05907g', 'K_lactis': 'gene:KLLA0_E24465g', 'C_albicans': 'orf19.4478'}"
Cluster1065,gene:KLLA0_E24465g,K_lactis,pure_ortholog,"{'C_glabrata': 'CAGL0H05907g', 'S_cerevisiae': 'gene-YPL104W', 'C_albicans': 'orf19.4478'}"
Cluster1065,orf19.4478,C_albicans,pure_ortholog,"{'C_glabrata': 'CAGL0H05907g', 'S_cerevisiae': 'gene-YPL104W', 'K_lactis': 'gene:KLLA0_E24465g'}"
Cluster1084,orf19.5847,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_F01078g', 'C_glabrata': 'CAGL0L02849g', 'S_cerevisiae': 'gene-YOR207C'}"
Cluster1084,gene:KLLA0_F01078g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.5847', 'C_glabrata': 'CAGL0L02849g', 'S_cerevisiae': 'gene-YOR207C'}"
Cluster1084,CAGL0L02849g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.5847', 'K_lactis': 'gene:KLLA0_F01078g', 'S_cerevisiae': 'gene-YOR207C'}"
Cluster1084,gene-YOR207C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.5847', 'K_lactis': 'gene:KLLA0_F01078g', 'C_glabrata': 'CAGL0L02849g'}"
Cluster1110,orf19.754,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_D03608g', 'C_glabrata': 'CAGL0B04345g', 'S_cerevisiae': 'gene-YBR025C'}"
Cluster1110,gene:KLLA0_D03608g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.754', 'C_glabrata': 'CAGL0B04345g', 'S_cerevisiae': 'gene-YBR025C'}"
Cluster1110,CAGL0B04345g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.754', 'K_lactis': 'gene:KLLA0_D03608g', 'S_cerevisiae': 'gene-YBR025C'}"
Cluster1110,gene-YBR025C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.754', 'K_lactis': 'gene:KLLA0_D03608g', 'C_glabrata': 'CAGL0B04345g'}"
Cluster1112,orf19.7293,C_albicans,pure_ortholog,"{'S_cerevisiae': 'gene-YDL028C', 'C_glabrata': 'CAGL0K01617g', 'K_lactis': 'gene:KLLA0_C03828g'}"
Cluster1112,gene-YDL028C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.7293', 'C_glabrata': 'CAGL0K01617g', 'K_lactis': 'gene:KLLA0_C03828g'}"
Cluster1112,CAGL0K01617g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.7293', 'S_cerevisiae': 'gene-YDL028C', 'K_lactis': 'gene:KLLA0_C03828g'}"
Cluster1112,gene:KLLA0_C03828g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.7293', 'S_cerevisiae': 'gene-YDL028C', 'C_glabrata': 'CAGL0K01617g'}"
Cluster1117,CAGL0M11440g,C_glabrata,pure_ortholog,"{'S_cerevisiae': 'gene-YLR098C', 'K_lactis': 'gene:KLLA0_F19602g', 'C_albicans': 'orf19.6985'}"
Cluster1117,gene-YLR098C,S_cerevisiae,pure_ortholog,"{'C_glabrata': 'CAGL0M11440g', 'K_lactis': 'gene:KLLA0_F19602g', 'C_albicans': 'orf19.6985'}"
Cluster1117,gene:KLLA0_F19602g,K_lactis,pure_ortholog,"{'C_glabrata': 'CAGL0M11440g', 'S_cerevisiae': 'gene-YLR098C', 'C_albicans': 'orf19.6985'}"
Cluster1117,orf19.6985,C_albicans,pure_ortholog,"{'C_glabrata': 'CAGL0M11440g', 'S_cerevisiae': 'gene-YLR098C', 'K_lactis': 'gene:KLLA0_F19602g'}"
Cluster1121,orf19.4835,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_C09262g', 'C_glabrata': 'CAGL0J03344g', 'S_cerevisiae': 'gene-YER082C'}"
Cluster1121,gene:KLLA0_C09262g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.4835', 'C_glabrata': 'CAGL0J03344g', 'S_cerevisiae': 'gene-YER082C'}"
Cluster1121,CAGL0J03344g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.4835', 'K_lactis': 'gene:KLLA0_C09262g', 'S_cerevisiae': 'gene-YER082C'}"
Cluster1121,gene-YER082C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.4835', 'K_lactis': 'gene:KLLA0_C09262g', 'C_glabrata': 'CAGL0J03344g'}"
Cluster1131,orf19.3521,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_E02531g', 'C_glabrata': 'CAGL0A03014g', 'S_cerevisiae': 'gene-YDR376W'}"
Cluster1131,gene:KLLA0_E02531g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.3521', 'C_glabrata': 'CAGL0A03014g', 'S_cerevisiae': 'gene-YDR376W'}"
Cluster1131,CAGL0A03014g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.3521', 'K_lactis': 'gene:KLLA0_E02531g', 'S_cerevisiae': 'gene-YDR376W'}"
Cluster1131,gene-YDR376W,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.3521', 'K_lactis': 'gene:KLLA0_E02531g', 'C_glabrata': 'CAGL0A03014g'}"
Cluster1134,gene:KLLA0_E12607g,K_lactis,pure_ortholog,"{'C_glabrata': 'CAGL0E04686g', 'S_cerevisiae': 'gene-YDR057W', 'C_albicans': 'orf19.7578'}"
Cluster1134,CAGL0E04686g,C_glabrata,pure_ortholog,"{'K_lactis': 'gene:KLLA0_E12607g', 'S_cerevisiae': 'gene-YDR057W', 'C_albicans': 'orf19.7578'}"
Cluster1134,gene-YDR057W,S_cerevisiae,pure_ortholog,"{'K_lactis': 'gene:KLLA0_E12607g', 'C_glabrata': 'CAGL0E04686g', 'C_albicans': 'orf19.7578'}"
Cluster1134,orf19.7578,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_E12607g', 'C_glabrata': 'CAGL0E04686g', 'S_cerevisiae': 'gene-YDR057W'}"
Cluster1135,orf19.4519,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_D12034g', 'S_cerevisiae': 'gene-YPL029W', 'C_glabrata': 'CAGL0L12386g'}"
Cluster1135,gene:KLLA0_D12034g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.4519', 'S_cerevisiae': 'gene-YPL029W', 'C_glabrata': 'CAGL0L12386g'}"
Cluster1135,gene-YPL029W,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.4519', 'K_lactis': 'gene:KLLA0_D12034g', 'C_glabrata': 'CAGL0L12386g'}"
Cluster1135,CAGL0L12386g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.4519', 'K_lactis': 'gene:KLLA0_D12034g', 'S_cerevisiae': 'gene-YPL029W'}"
Cluster1136,orf19.5236,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_B12848g', 'C_glabrata': 'CAGL0K03355g', 'S_cerevisiae': 'gene-YMR101C'}"
Cluster1136,gene:KLLA0_B12848g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.5236', 'C_glabrata': 'CAGL0K03355g', 'S_cerevisiae': 'gene-YMR101C'}"
Cluster1136,CAGL0K03355g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.5236', 'K_lactis': 'gene:KLLA0_B12848g', 'S_cerevisiae': 'gene-YMR101C'}"
Cluster1136,gene-YMR101C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.5236', 'K_lactis': 'gene:KLLA0_B12848g', 'C_glabrata': 'CAGL0K03355g'}"
Cluster1137,orf19.747,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_E18987g', 'C_glabrata': 'CAGL0H03091g', 'S_cerevisiae': 'gene-YGL091C'}"
Cluster1137,gene:KLLA0_E18987g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.747', 'C_glabrata': 'CAGL0H03091g', 'S_cerevisiae': 'gene-YGL091C'}"
Cluster1137,CAGL0H03091g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.747', 'K_lactis': 'gene:KLLA0_E18987g', 'S_cerevisiae': 'gene-YGL091C'}"
Cluster1137,gene-YGL091C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.747', 'K_lactis': 'gene:KLLA0_E18987g', 'C_glabrata': 'CAGL0H03091g'}"
Cluster1138,orf19.5232,C_albicans,pure_ortholog,"{'C_glabrata': 'CAGL0I07975g', 'S_cerevisiae': 'gene-YOL077C', 'K_lactis': 'gene:KLLA0_E17799g'}"
Cluster1138,CAGL0I07975g,C_glabrata,pure_ortholog,"{'C_albicans': 'orf19.5232', 'S_cerevisiae': 'gene-YOL077C', 'K_lactis': 'gene:KLLA0_E17799g'}"
Cluster1138,gene-YOL077C,S_cerevisiae,pure_ortholog,"{'C_albicans': 'orf19.5232', 'C_glabrata': 'CAGL0I07975g', 'K_lactis': 'gene:KLLA0_E17799g'}"
Cluster1138,gene:KLLA0_E17799g,K_lactis,pure_ortholog,"{'C_albicans': 'orf19.5232', 'C_glabrata': 'CAGL0I07975g', 'S_cerevisiae': 'gene-YOL077C'}"
Cluster1140,CAGL0G04037g,C_glabrata,pure_ortholog,"{'S_cerevisiae': 'gene-YLL032C', 'K_lactis': 'gene:KLLA0_E00881g', 'C_albicans': 'orf19.6008'}"
Cluster1140,gene-YLL032C,S_cerevisiae,pure_ortholog,"{'C_glabrata': 'CAGL0G04037g', 'K_lactis': 'gene:KLLA0_E00881g', 'C_albicans': 'orf19.6008'}"
Cluster1140,gene:KLLA0_E00881g,K_lactis,pure_ortholog,"{'C_glabrata': 'CAGL0G04037g', 'S_cerevisiae': 'gene-YLL032C', 'C_albicans': 'orf19.6008'}"
Cluster1140,orf19.6008,C_albicans,pure_ortholog,"{'C_glabrata': 'CAGL0G04037g', 'S_cerevisiae': 'gene-YLL032C', 'K_lactis': 'gene:KLLA0_E00881g'}"
Cluster1141,orf19.3613,C_albicans,pure_ortholog,"{'K_lactis': 'gene:KLLA0_F01925g', 'S_cerevisiae': 'gene-YBR279W', 'C_glabrata': 'CAGL0B03333g'}"
