species1,gene1,species2,gene2,cluster_id
C. albicans,orf19.3281,S. cerevisiae,gene-YER051W,Cluster10134
C. albicans,orf19.5441,S. cerevisiae,gene-YIL031W,Cluster10137
C. albicans,orf19.4223,S. cerevisiae,gene-YER025W,Cluster10138
S. cerevisiae,gene-YDR486C,C. albicans,orf19.3401,Cluster10139
S. cerevisiae,gene-YGL157W,C. albicans,orf19.4309,Cluster1014
S. cerevisiae,gene-YNL294C,C. albicans,orf19.3176,Cluster10140
C. albicans,orf19.2775,S. cerevisiae,gene-YPL117C,Cluster10141
S. cerevisiae,gene-YGL077C,C. albicans,orf19.2003,Cluster10142
C. albicans,orf19.2587,S. cerevisiae,gene-YNR056C,Cluster10143
S. cerevisiae,gene-YPR138C,C. albicans,orf19.1614,Cluster10146
S. cerevisiae,gene-YGR121C,C. albicans,orf19.1614,Cluster10146
S. cerevisiae,gene-YAL005C,C. albicans,orf19.1065,Cluster10167
C. albicans,orf19.1065,S. cerevisiae,gene-YLL024C,Cluster10167
S. cerevisiae,gene-YER144C,C. albicans,orf19.7207,Cluster1017
C. albicans,orf19.7207,S. cerevisiae,gene-YDR069C,Cluster1017
S. cerevisiae,gene-YGL225W,C. albicans,orf19.1232,Cluster10170
C. albicans,orf19.1232,S. cerevisiae,gene-YER039C,Cluster10170
S. cerevisiae,gene-YLR369W,C. albicans,orf19.1896,Cluster10171
C. albicans,orf19.3001,S. cerevisiae,gene-YML064C,Cluster10174
C. albicans,orf19.390,S. cerevisiae,gene-YLR229C,Cluster10175
C. albicans,orf19.4632,S. cerevisiae,gene-YMR242C,Cluster10176
C. albicans,orf19.5009,S. cerevisiae,gene-YPL263C,Cluster10177
S. cerevisiae,gene-YIL108W,C. albicans,orf19.246,Cluster10178
C. albicans,orf19.5796,S. cerevisiae,gene-YDR393W,Cluster10179
S. cerevisiae,gene-YLL056C,C. albicans,orf19.1682,Cluster1018
C. albicans,orf19.5003,S. cerevisiae,gene-YGL164C,Cluster10180
C. albicans,orf19.501,S. cerevisiae,gene-YNL061W,Cluster10181
C. albicans,orf19.2622,S. cerevisiae,gene-YGL210W,Cluster10182
C. albicans,orf19.2622,S. cerevisiae,gene-YER031C,Cluster10182
S. cerevisiae,gene-YNL096C,C. albicans,orf19.1700,Cluster10183
S. cerevisiae,gene-YOR096W,C. albicans,orf19.1700,Cluster10183
S. cerevisiae,gene-YKL154W,C. albicans,orf19.6284,Cluster10184
S. cerevisiae,gene-YLR262C,C. albicans,orf19.714,Cluster10185
C. albicans,orf19.5465,S. cerevisiae,gene-YKL095W,Cluster1020
S. cerevisiae,gene-YCL059C,C. albicans,orf19.661,Cluster10206
C. albicans,orf19.4622,S. cerevisiae,gene-YKL054C,Cluster10207
C. albicans,orf19.491,S. cerevisiae,gene-YOR254C,Cluster10209
S. cerevisiae,gene-YDR394W,C. albicans,orf19.5793,Cluster1021
S. cerevisiae,gene-YNL064C,C. albicans,orf19.506,Cluster10212
C. albicans,orf19.7175,S. cerevisiae,gene-YMR161W,Cluster10213
S. cerevisiae,gene-YER169W,C. albicans,orf19.2730,Cluster10214
S. cerevisiae,gene-YMR035W,C. albicans,orf19.1981,Cluster10215
S. cerevisiae,gene-YGL148W,C. albicans,orf19.1986,Cluster10216
C. albicans,orf19.1988,S. cerevisiae,gene-YLR103C,Cluster10217
S. cerevisiae,gene-YER028C,C. albicans,orf19.6124,Cluster10218
S. cerevisiae,gene-YKL062W,C. albicans,orf19.6124,Cluster10218
S. cerevisiae,gene-YLR131C,C. albicans,orf19.6124,Cluster10218
S. cerevisiae,gene-YJR034W,C. albicans,orf19.5394.1,Cluster10219
S. cerevisiae,gene-YBR080C,C. albicans,orf19.4993,Cluster1022
C. albicans,orf19.1070,S. cerevisiae,gene-YMR010W,Cluster10220
S. cerevisiae,gene-YPR186C,C. albicans,orf19.4125,Cluster10221
S. cerevisiae,gene-YAL042W,C. albicans,orf19.586,Cluster10222
S. cerevisiae,gene-YJL153C,C. albicans,orf19.7585,Cluster10223
C. albicans,orf19.804.1,S. cerevisiae,gene-YPR010C-A,Cluster10225
S. cerevisiae,gene-YDR257C,C. albicans,orf19.2654,Cluster10227
C. albicans,orf19.1163,S. cerevisiae,gene-YDR336W,Cluster10228
C. albicans,orf19.3367,S. cerevisiae,gene-YNL177C,Cluster10229
S. cerevisiae,gene-YKL019W,C. albicans,orf19.4817,Cluster1023
S. cerevisiae,gene-YLR359W,C. albicans,orf19.3870,Cluster10230
C. albicans,orf19.6873,S. cerevisiae,gene-YBL072C,Cluster10231
S. cerevisiae,gene-YPL249C-A,C. albicans,orf19.827.1,Cluster10232
C. albicans,orf19.5685,S. cerevisiae,gene-YIL078W,Cluster10233
C. albicans,orf19.2402,S. cerevisiae,gene-YNL222W,Cluster10234
S. cerevisiae,gene-YHR049W,C. albicans,orf19.6717,Cluster10235
C. albicans,orf19.649,S. cerevisiae,gene-YGL228W,Cluster10236
C. albicans,orf19.5409,S. cerevisiae,gene-YNL265C,Cluster10237
S. cerevisiae,gene-YKR088C,C. albicans,orf19.5534,Cluster10239
C. albicans,orf19.437,S. cerevisiae,gene-YBR121C,Cluster1024
C. albicans,orf19.437,S. cerevisiae,gene-YPR081C,Cluster1024
S. cerevisiae,gene-YIL041W,C. albicans,orf19.1236,Cluster10240
C. albicans,orf19.6649,S. cerevisiae,gene-YGR246C,Cluster10242
C. albicans,orf19.1804,S. cerevisiae,gene-YDL119C,Cluster10243
S. cerevisiae,gene-YEL053C,C. albicans,orf19.1624,Cluster10244
C. albicans,orf19.1649,S. cerevisiae,gene-YMR235C,Cluster10245
C. albicans,orf19.5927,S. cerevisiae,gene-YOL040C,Cluster10246
C. albicans,orf19.4719,S. cerevisiae,gene-YGL027C,Cluster10247
S. cerevisiae,gene-YPR185W,C. albicans,orf19.2848,Cluster10248
S. cerevisiae,gene-YHR175W,C. albicans,orf19.4720,Cluster10249
S. cerevisiae,gene-YGL080W,C. albicans,orf19.252,Cluster1025
S. cerevisiae,gene-YPL104W,C. albicans,orf19.4478,Cluster10250
C. albicans,orf19.5610,S. cerevisiae,gene-YJL088W,Cluster10251
S. cerevisiae,gene-YBR187W,C. albicans,orf19.4496,Cluster10252
S. cerevisiae,gene-YGR175C,C. albicans,orf19.406,Cluster10253
S. cerevisiae,gene-YHR124W,C. albicans,orf19.513,Cluster10256
S. cerevisiae,gene-YHR124W,C. albicans,orf19.2119,Cluster10256
S. cerevisiae,gene-YOL114C,C. albicans,orf19.425,Cluster1026
S. cerevisiae,gene-YMR077C,C. albicans,orf19.897,Cluster1027
S. cerevisiae,gene-YDL222C,C. albicans,orf19.3414,Cluster10271
C. albicans,orf19.3414,S. cerevisiae,gene-YML052W,Cluster10271
S. cerevisiae,gene-YDL139C,C. albicans,orf19.1668,Cluster1028
C. albicans,orf19.1354,S. cerevisiae,gene-YER067W,Cluster10280
S. cerevisiae,gene-YDR428C,C. albicans,orf19.7237,Cluster10294
S. cerevisiae,gene-YJL006C,C. albicans,orf19.1041,Cluster10295
C. albicans,orf19.3618,S. cerevisiae,gene-YAL063C,Cluster10296
S. cerevisiae,gene-YNL070W,C. albicans,orf19.6531.1,Cluster10297
S. cerevisiae,gene-YPL242C,C. albicans,orf19.6536,Cluster10298
C. albicans,orf19.2307,S. cerevisiae,gene-YNL317W,Cluster10299
C. albicans,orf19.6861,S. cerevisiae,gene-YOR249C,Cluster10300
S. cerevisiae,gene-YBR243C,C. albicans,orf19.2187,Cluster10301
S. cerevisiae,gene-YOR149C,C. albicans,orf19.5792,Cluster10302
C. albicans,orf19.3915,S. cerevisiae,gene-YFR044C,Cluster10303
S. cerevisiae,gene-YGR260W,C. albicans,orf19.4335,Cluster10306
S. cerevisiae,gene-YOR075W,C. albicans,orf19.7141,Cluster10324
S. cerevisiae,gene-YKR059W,C. albicans,orf19.3324,Cluster10326
S. cerevisiae,gene-YJL138C,C. albicans,orf19.3324,Cluster10326
C. albicans,orf19.3061,S. cerevisiae,gene-YMR150C,Cluster10327
C. albicans,orf19.4199,S. cerevisiae,gene-YOR307C,Cluster10328
S. cerevisiae,gene-YGL060W,C. albicans,orf19.5034,Cluster10330
S. cerevisiae,gene-YOR340C,C. albicans,orf19.2594,Cluster10331
S. cerevisiae,gene-YDL055C,C. albicans,orf19.6190,Cluster10332
S. cerevisiae,gene-YER071C,C. albicans,orf19.5840,Cluster10334
S. cerevisiae,gene-YEL013W,C. albicans,orf19.745,Cluster10335
S. cerevisiae,gene-YDL111C,C. albicans,orf19.5039,Cluster10338
C. albicans,orf19.5429,S. cerevisiae,gene-YOR080W,Cluster10339
S. cerevisiae,gene-YLR393W,C. albicans,orf19.6374,Cluster10340
S. cerevisiae,gene-YHL015W,C. albicans,orf19.6375,Cluster10341
S. cerevisiae,gene-YLL035W,C. albicans,orf19.721,Cluster10342
S. cerevisiae,gene-YJL072C,C. albicans,orf19.57,Cluster10343
S. cerevisiae,gene-YCR015C,C. albicans,orf19.6732,Cluster10345
C. albicans,orf19.2262,S. cerevisiae,gene-YBR046C,Cluster10346
C. albicans,orf19.3294,S. cerevisiae,gene-YOR298C-A,Cluster10347
C. albicans,orf19.5143,S. cerevisiae,gene-YJL054W,Cluster10348
S. cerevisiae,gene-YLR074C,C. albicans,orf19.2934,Cluster10352
S. cerevisiae,gene-YGL066W,C. albicans,orf19.3473,Cluster10353
S. cerevisiae,gene-YPL065W,C. albicans,orf19.212,Cluster10355
C. albicans,orf19.2631,S. cerevisiae,gene-YLR384C,Cluster10356
C. albicans,orf19.5629,S. cerevisiae,gene-YDR529C,Cluster10357
C. albicans,orf19.5628,S. cerevisiae,gene-YLR348C,Cluster10358
C. albicans,orf19.5905,S. cerevisiae,gene-YBL028C,Cluster10360
C. albicans,orf19.760,S. cerevisiae,gene-YPL183W-A,Cluster10361
S. cerevisiae,gene-YMR244C-A,C. albicans,orf19.7603,Cluster10362
S. cerevisiae,gene-YIL105C,C. albicans,orf19.3505,Cluster10385
S. cerevisiae,gene-YNL047C,C. albicans,orf19.3505,Cluster10385
C. albicans,orf19.2335,S. cerevisiae,gene-YHR113W,Cluster10386
C. albicans,orf19.7081,S. cerevisiae,gene-YCL017C,Cluster10387
S. cerevisiae,gene-YPL037C,C. albicans,orf19.1154,Cluster10390
C. albicans,orf19.1154,S. cerevisiae,gene-YDR252W,Cluster10390
S. cerevisiae,gene-YKR069W,C. albicans,orf19.5811,Cluster10395
S. cerevisiae,gene-YBR213W,C. albicans,orf19.6780,Cluster10405
S. cerevisiae,gene-YBR213W,C. albicans,orf19.5842,Cluster10405
C. albicans,orf19.4956,S. cerevisiae,gene-YHR027C,Cluster10422
C. albicans,orf19.4865,S. cerevisiae,gene-YKL212W,Cluster10423
C. albicans,orf19.7335,S. cerevisiae,gene-YML092C,Cluster10427
S. cerevisiae,gene-YCR046C,C. albicans,orf19.1967,Cluster10432
S. cerevisiae,gene-YJL115W,C. albicans,orf19.3715,Cluster10433
S. cerevisiae,gene-YBL107C,C. albicans,orf19.1198,Cluster10434
S. cerevisiae,gene-YBR003W,C. albicans,orf19.7478,Cluster10436
C. albicans,orf19.397,S. cerevisiae,gene-YDR462W,Cluster10439
S. cerevisiae,gene-YAL044W-A,C. albicans,orf19.5016,Cluster1044
C. albicans,orf19.7438,S. cerevisiae,gene-YKL210W,Cluster10441
S. cerevisiae,gene-YKL060C,C. albicans,orf19.4618,Cluster10447
C. albicans,orf19.2694,S. cerevisiae,gene-YGR185C,Cluster10449
C. albicans,orf19.3273,S. cerevisiae,gene-YCR059C,Cluster10450
S. cerevisiae,gene-YBR235W,C. albicans,orf19.6832,Cluster10451
C. albicans,orf19.1007,S. cerevisiae,gene-YDR017C,Cluster10452
S. cerevisiae,gene-YOR260W,C. albicans,orf19.481,Cluster10453
S. cerevisiae,gene-YCL039W,C. albicans,orf19.5131,Cluster10457
S. cerevisiae,gene-YPL183C,C. albicans,orf19.2143,Cluster10463
C. albicans,orf19.850,S. cerevisiae,gene-YJR062C,Cluster10466
C. albicans,orf19.3920,S. cerevisiae,gene-YOR288C,Cluster10468
S. cerevisiae,gene-YJL091C,C. albicans,orf19.6884,Cluster10469
S. cerevisiae,gene-YGR194C,C. albicans,orf19.1290,Cluster10471
S. cerevisiae,gene-YJR089W,C. albicans,orf19.643,Cluster10474
C. albicans,orf19.6971,S. cerevisiae,gene-YGR227W,Cluster10475
S. cerevisiae,gene-YOR187W,C. albicans,orf19.6047,Cluster10479
S. cerevisiae,gene-YPL021W,C. albicans,orf19.4056,Cluster1048
S. cerevisiae,gene-YBL098W,C. albicans,orf19.5443,Cluster10485
S. cerevisiae,gene-YDR081C,C. albicans,orf19.4863,Cluster10488
C. albicans,orf19.6668,S. cerevisiae,gene-YMR264W,Cluster10492
S. cerevisiae,gene-YCR020C-A,C. albicans,orf19.1968.1,Cluster1050
C. albicans,orf19.5974,S. cerevisiae,gene-YDL149W,Cluster10520
S. cerevisiae,gene-YLR340W,C. albicans,orf19.7015,Cluster10522
S. cerevisiae,gene-YMR292W,C. albicans,orf19.3972,Cluster10528
S. cerevisiae,gene-YPL196W,C. albicans,orf19.243,Cluster10529
C. albicans,orf19.5960,S. cerevisiae,gene-YGR131W,Cluster10531
C. albicans,orf19.5960,S. cerevisiae,gene-YPR149W,Cluster10531
S. cerevisiae,gene-YGR053C,C. albicans,orf19.91,Cluster10535
C. albicans,orf19.5752,S. cerevisiae,gene-YBR280C,Cluster10538
S. cerevisiae,gene-YKL040C,C. albicans,orf19.6283,Cluster10540
S. cerevisiae,gene-YDR262W,C. albicans,orf19.3004,Cluster10544
S. cerevisiae,gene-YAL048C,C. albicans,orf19.6016,Cluster10545
S. cerevisiae,gene-YLR380W,C. albicans,orf19.5711,Cluster10546
C. albicans,orf19.779,S. cerevisiae,gene-YPL001W,Cluster10547
C. albicans,orf19.873.1,S. cerevisiae,gene-YHR051W,Cluster10548
C. albicans,orf19.910,S. cerevisiae,gene-YDR473C,Cluster10549
C. albicans,orf19.4426,S. cerevisiae,gene-YDR329C,Cluster10550
S. cerevisiae,gene-YFL025C,C. albicans,orf19.1053,Cluster10551
C. albicans,orf19.3812,S. cerevisiae,gene-YHR064C,Cluster10552
S. cerevisiae,gene-YJR014W,C. albicans,orf19.4164,Cluster10553
S. cerevisiae,gene-YLR050C,C. albicans,orf19.7043,Cluster10554
C. albicans,orf19.7321,S. cerevisiae,gene-YMR029C,Cluster10555
S. cerevisiae,gene-YKL080W,C. albicans,orf19.2166,Cluster10556
S. cerevisiae,gene-YER016W,C. albicans,orf19.676,Cluster10559
S. cerevisiae,gene-YKL206C,C. albicans,orf19.2278,Cluster10561
C. albicans,orf19.6950,S. cerevisiae,gene-YDR352W,Cluster10572
C. albicans,orf19.2650.1,S. cerevisiae,gene-YDL045W-A,Cluster10573
C. albicans,orf19.4016,S. cerevisiae,gene-YBL045C,Cluster10576
S. cerevisiae,gene-YCR044C,C. albicans,orf19.4240,Cluster10578
C. albicans,orf19.449,S. cerevisiae,gene-YKR070W,Cluster10581
C. albicans,orf19.4683,S. cerevisiae,gene-YKR095W,Cluster10591
C. albicans,orf19.5495,S. cerevisiae,gene-YML117W,Cluster10592
S. cerevisiae,gene-YGR273C,C. albicans,orf19.2887,Cluster10604
S. cerevisiae,gene-YMR295C,C. albicans,orf19.2887,Cluster10604
S. cerevisiae,gene-YMR065W,C. albicans,orf19.103,Cluster10615
C. albicans,orf19.1525,S. cerevisiae,gene-YLR363C,Cluster10616
S. cerevisiae,gene-YLR212C,C. albicans,orf19.1238,Cluster10618
C. albicans,orf19.3552,S. cerevisiae,gene-YKR082W,Cluster10632
C. albicans,orf19.5994,S. cerevisiae,gene-YCR027C,Cluster10633
S. cerevisiae,gene-YER022W,C. albicans,orf19.3055,Cluster10640
C. albicans,orf19.7057,S. cerevisiae,gene-YGL245W,Cluster10641
S. cerevisiae,gene-YIL147C,C. albicans,orf19.3256,Cluster10642
S. cerevisiae,gene-YKR068C,C. albicans,orf19.5817,Cluster10643
C. albicans,orf19.1772,S. cerevisiae,gene-YER077C,Cluster10644
S. cerevisiae,gene-YML121W,C. albicans,orf19.3617,Cluster10645
S. cerevisiae,gene-YAR035W,C. albicans,orf19.4551,Cluster10646
C. albicans,orf19.3106,S. cerevisiae,gene-YPR167C,Cluster10647
S. cerevisiae,gene-YHR075C,C. albicans,orf19.1459,Cluster10648
S. cerevisiae,gene-YOL133W,C. albicans,orf19.233.1,Cluster10649
C. albicans,orf19.4278,S. cerevisiae,gene-YKL005C,Cluster10650
S. cerevisiae,gene-YHR074W,C. albicans,orf19.1460,Cluster10652
S. cerevisiae,gene-YLR382C,C. albicans,orf19.5705,Cluster10655
S. cerevisiae,gene-YOR064C,C. albicans,orf19.3625,Cluster10660
S. cerevisiae,gene-YNL097C,C. albicans,orf19.1759,Cluster10661
S. cerevisiae,gene-YOR330C,C. albicans,orf19.3431,Cluster10664
C. albicans,orf19.5104,S. cerevisiae,gene-YPR073C,Cluster10666
S. cerevisiae,gene-YGR258C,C. albicans,orf19.1324,Cluster10667
C. albicans,orf19.2480.1,S. cerevisiae,gene-YBL078C,Cluster10670
C. albicans,orf19.4497,S. cerevisiae,gene-YBR193C,Cluster10671
S. cerevisiae,gene-YOR122C,C. albicans,orf19.5076,Cluster10680
C. albicans,orf19.5568,S. cerevisiae,gene-YKR020W,Cluster10681
C. albicans,orf19.2028,S. cerevisiae,gene-YER042W,Cluster10682
C. albicans,orf19.1959,S. cerevisiae,gene-YHL013C,Cluster10683
S. cerevisiae,gene-YMR193W,C. albicans,orf19.828,Cluster10684
S. cerevisiae,gene-YGR007W,C. albicans,orf19.2107,Cluster10685
S. cerevisiae,gene-YLR438W,C. albicans,orf19.5641,Cluster10686
S. cerevisiae,gene-YGR166W,C. albicans,orf19.433,Cluster10687
S. cerevisiae,gene-YMR296C,C. albicans,orf19.6438,Cluster10688
S. cerevisiae,gene-YEL042W,C. albicans,orf19.7394,Cluster10689
S. cerevisiae,gene-YBL011W,C. albicans,orf19.1289,Cluster10693
C. albicans,orf19.1446,S. cerevisiae,gene-YGR108W,Cluster10694
C. albicans,orf19.1446,S. cerevisiae,gene-YPR119W,Cluster10694
C. albicans,orf19.3442,S. cerevisiae,gene-YPL171C,Cluster10697
S. cerevisiae,gene-YDL091C,C. albicans,orf19.1595,Cluster10700
C. albicans,orf19.3135,S. cerevisiae,gene-YML013W,Cluster10701
C. albicans,orf19.4843,S. cerevisiae,gene-YLR047C,Cluster10702
S. cerevisiae,gene-YJL154C,C. albicans,orf19.6875,Cluster10703
S. cerevisiae,gene-YFR049W,C. albicans,orf19.4225.1,Cluster10704
S. cerevisiae,gene-YJL025W,C. albicans,orf19.1589,Cluster10708
S. cerevisiae,gene-YEL054C,C. albicans,orf19.1635,Cluster10709
S. cerevisiae,gene-YDR418W,C. albicans,orf19.1635,Cluster10709
C. albicans,orf19.6597,S. cerevisiae,gene-YLR287C,Cluster10711
C. albicans,orf19.6596,S. cerevisiae,gene-YJL068C,Cluster10712
S. cerevisiae,gene-YDR457W,C. albicans,orf19.5776,Cluster10713
S. cerevisiae,gene-YPL180W,C. albicans,orf19.761,Cluster10714
C. albicans,orf19.6602,S. cerevisiae,gene-YLR201C,Cluster10715
C. albicans,orf19.6601.1,S. cerevisiae,gene-YLR200W,Cluster10716
C. albicans,orf19.4427,S. cerevisiae,gene-YDR328C,Cluster10717
C. albicans,orf19.6598,S. cerevisiae,gene-YOR181W,Cluster10718
C. albicans,orf19.7448,S. cerevisiae,gene-YNR050C,Cluster10724
S. cerevisiae,gene-YDR047W,C. albicans,orf19.5369,Cluster10726
S. cerevisiae,gene-YCR054C,C. albicans,orf19.4234,Cluster10727
C. albicans,orf19.3356,S. cerevisiae,gene-YGR098C,Cluster10728
S. cerevisiae,gene-YDR129C,C. albicans,orf19.5544,Cluster10729
C. albicans,orf19.4096,S. cerevisiae,gene-YPR140W,Cluster10730
S. cerevisiae,gene-YGR177C,C. albicans,orf19.276,Cluster10731
S. cerevisiae,gene-YDL030W,C. albicans,orf19.3178,Cluster10732
S. cerevisiae,gene-YLL007C,C. albicans,orf19.5147,Cluster10733
C. albicans,orf19.5001,S. cerevisiae,gene-YGL166W,Cluster1074
S. cerevisiae,gene-YNR041C,C. albicans,orf19.7643,Cluster10744
S. cerevisiae,gene-YMR021C,C. albicans,orf19.7068,Cluster1075
C. albicans,orf19.1042,S. cerevisiae,gene-YNL055C,Cluster1076
C. albicans,orf19.2098,S. cerevisiae,gene-YGL202W,Cluster10765
S. cerevisiae,gene-YML057W,C. albicans,orf19.6033,Cluster1077
S. cerevisiae,gene-YLR433C,C. albicans,orf19.6033,Cluster1077
C. albicans,orf19.738,S. cerevisiae,gene-YKL129C,Cluster10777
C. albicans,orf19.738,S. cerevisiae,gene-YMR109W,Cluster10777
C. albicans,orf19.3929,S. cerevisiae,gene-YJR100C,Cluster10778
S. cerevisiae,gene-YJL139C,C. albicans,orf19.4494,Cluster1078
S. cerevisiae,gene-YKR061W,C. albicans,orf19.4494,Cluster1078
S. cerevisiae,gene-YBR140C,C. albicans,orf19.5219,Cluster10780
S. cerevisiae,gene-YOL081W,C. albicans,orf19.5219,Cluster10780
S. cerevisiae,gene-YLR067C,C. albicans,orf19.4929,Cluster10783
C. albicans,orf19.5237,S. cerevisiae,gene-YKL119C,Cluster10784
S. cerevisiae,gene-YMR220W,C. albicans,orf19.4606,Cluster10785
S. cerevisiae,gene-YML014W,C. albicans,orf19.6378,Cluster10786
C. albicans,orf19.2590,S. cerevisiae,gene-YNR057C,Cluster10787
S. cerevisiae,gene-YHR087W,C. albicans,orf19.1862,Cluster10788
C. albicans,orf19.1791,S. cerevisiae,gene-YKL021C,Cluster10791
S. cerevisiae,gene-YFL038C,C. albicans,orf19.3052,Cluster10793
C. albicans,orf19.6987,S. cerevisiae,gene-YLL001W,Cluster10795
S. cerevisiae,gene-YMR199W,C. albicans,orf19.6028,Cluster10797
S. cerevisiae,gene-YPL256C,C. albicans,orf19.6028,Cluster10797
S. cerevisiae,gene-YPL218W,C. albicans,orf19.3462,Cluster10798
C. albicans,orf19.1672,S. cerevisiae,gene-YDL145C,Cluster10799
S. cerevisiae,gene-YLR256W,C. albicans,orf19.6182,Cluster108
C. albicans,orf19.548,S. cerevisiae,gene-YCR002C,Cluster1080
C. albicans,orf19.1960,S. cerevisiae,gene-YAL040C,Cluster10803
C. albicans,orf19.7360,S. cerevisiae,gene-YPL047W,Cluster1081
C. albicans,orf19.6376,S. cerevisiae,gene-YOR090C,Cluster10815
S. cerevisiae,gene-YGL173C,C. albicans,orf19.4969,Cluster10816
S. cerevisiae,gene-YJR072C,C. albicans,orf19.6463,Cluster10818
S. cerevisiae,gene-YGR169C,C. albicans,orf19.2788,Cluster10819
S. cerevisiae,gene-YNL048W,C. albicans,orf19.3468,Cluster1082
C. albicans,orf19.3114,S. cerevisiae,gene-YLR165C,Cluster10820
C. albicans,orf19.6343,S. cerevisiae,gene-YCR034W,Cluster10821
C. albicans,orf19.908,S. cerevisiae,gene-YLR372W,Cluster10822
S. cerevisiae,gene-YML016C,C. albicans,orf19.726,Cluster10823
S. cerevisiae,gene-YDR436W,C. albicans,orf19.726,Cluster10823
S. cerevisiae,gene-YER133W,C. albicans,orf19.6285,Cluster10824
S. cerevisiae,gene-YJL198W,C. albicans,orf19.2454,Cluster10828
S. cerevisiae,gene-YCR037C,C. albicans,orf19.2454,Cluster10828
S. cerevisiae,gene-YHR107C,C. albicans,orf19.3013,Cluster1083
C. albicans,orf19.384,S. cerevisiae,gene-YPL247C,Cluster10830
S. cerevisiae,gene-YER125W,C. albicans,orf19.3628,Cluster10831
C. albicans,orf19.5050,S. cerevisiae,gene-YGL236C,Cluster10832
C. albicans,orf19.7245,S. cerevisiae,gene-YDL033C,Cluster10833
C. albicans,orf19.7243,S. cerevisiae,gene-YHR144C,Cluster10834
C. albicans,orf19.5963,S. cerevisiae,gene-YDL193W,Cluster10835
C. albicans,orf19.1092,S. cerevisiae,gene-YBL082C,Cluster10836
