species1,gene1,species2,gene2,cluster_id
K. lactis,gene:KLLA0_F15224g,S. cerevisiae,gene-YGR175C,Cluster10253
S. cerevisiae,gene-YHR124W,K. lactis,gene:KLLA0_F24420g,Cluster10256
S. cerevisiae,gene-YOL114C,K. lactis,gene:KLLA0_A07381g,Cluster1026
K. lactis,gene:KLLA0_F09295g,S. cerevisiae,gene-YMR077C,Cluster1027
S. cerevisiae,gene-YDL222C,K. lactis,gene:KLLA0_F20900g,Cluster10271
S. cerevisiae,gene-YDL222C,K. lactis,gene:KLLA0_A08184g,Cluster10271
K. lactis,gene:KLLA0_F20900g,S. cerevisiae,gene-YML052W,Cluster10271
S. cerevisiae,gene-YML052W,K. lactis,gene:KLLA0_A08184g,Cluster10271
K. lactis,gene:KLLA0_F05115g,S. cerevisiae,gene-YDL139C,Cluster1028
K. lactis,gene:KLLA0_D09482g,S. cerevisiae,gene-YJL006C,Cluster10295
S. cerevisiae,gene-YPL242C,K. lactis,gene:KLLA0_D12914g,Cluster10298
S. cerevisiae,gene-YNL317W,K. lactis,gene:KLLA0_E07085g,Cluster10299
K. lactis,gene:KLLA0_C10010g,S. cerevisiae,gene-YOR249C,Cluster10300
S. cerevisiae,gene-YBR243C,K. lactis,gene:KLLA0_F06776g,Cluster10301
K. lactis,gene:KLLA0_C06567g,S. cerevisiae,gene-YOR149C,Cluster10302
K. lactis,gene:KLLA0_A01001g,S. cerevisiae,gene-YFR044C,Cluster10303
S. cerevisiae,gene-YGR260W,K. lactis,gene:KLLA0_A09449g,Cluster10306
K. lactis,gene:KLLA0_A07821g,S. cerevisiae,gene-YOR075W,Cluster10324
K. lactis,gene:KLLA0_A05731g,S. cerevisiae,gene-YKR059W,Cluster10326
K. lactis,gene:KLLA0_A05731g,S. cerevisiae,gene-YJL138C,Cluster10326
S. cerevisiae,gene-YMR150C,K. lactis,gene:KLLA0_F07293g,Cluster10327
S. cerevisiae,gene-YOR307C,K. lactis,gene:KLLA0_F08569g,Cluster10328
K. lactis,gene:KLLA0_C05698g,S. cerevisiae,gene-YGL060W,Cluster10330
S. cerevisiae,gene-YOR340C,K. lactis,gene:KLLA0_F02321g,Cluster10331
S. cerevisiae,gene-YDL055C,K. lactis,gene:KLLA0_E05435g,Cluster10332
S. cerevisiae,gene-YER071C,K. lactis,gene:KLLA0_C07821g,Cluster10334
K. lactis,gene:KLLA0_A11286g,S. cerevisiae,gene-YEL013W,Cluster10335
S. cerevisiae,gene-YDL111C,K. lactis,gene:KLLA0_E09219g,Cluster10338
S. cerevisiae,gene-YOR080W,K. lactis,gene:KLLA0_A07579g,Cluster10339
K. lactis,gene:KLLA0_E04973g,S. cerevisiae,gene-YLR393W,Cluster10340
K. lactis,gene:KLLA0_F25542g,S. cerevisiae,gene-YHL015W,Cluster10341
K. lactis,gene:KLLA0_E00815g,S. cerevisiae,gene-YLL035W,Cluster10342
K. lactis,gene:KLLA0_D06501g,S. cerevisiae,gene-YJL072C,Cluster10343
K. lactis,gene:KLLA0_A11044g,S. cerevisiae,gene-YCR015C,Cluster10345
S. cerevisiae,gene-YBR046C,K. lactis,gene:KLLA0_A10549g,Cluster10346
K. lactis,gene:KLLA0_F25014g,S. cerevisiae,gene-YOR298C-A,Cluster10347
K. lactis,gene:KLLA0_F01441g,S. cerevisiae,gene-YJL054W,Cluster10348
K. lactis,gene:KLLA0_D05621g,S. cerevisiae,gene-YLR074C,Cluster10352
K. lactis,gene:KLLA0_B02442g,S. cerevisiae,gene-YGL066W,Cluster10353
S. cerevisiae,gene-YPL065W,K. lactis,gene:KLLA0_E23123g,Cluster10355
S. cerevisiae,gene-YLR384C,K. lactis,gene:KLLA0_E05237g,Cluster10356
S. cerevisiae,gene-YDR529C,K. lactis,gene:KLLA0_C00825g,Cluster10357
K. lactis,gene:KLLA0_E12431g,S. cerevisiae,gene-YBL028C,Cluster10360
K. lactis,gene:KLLA0_E18921g,S. cerevisiae,gene-YPL183W-A,Cluster10361
K. lactis,gene:KLLA0_F08767g,S. cerevisiae,gene-YMR244C-A,Cluster10362
S. cerevisiae,gene-YIL105C,K. lactis,gene:KLLA0_F03839g,Cluster10385
K. lactis,gene:KLLA0_F03839g,S. cerevisiae,gene-YNL047C,Cluster10385
K. lactis,gene:KLLA0_E21297g,S. cerevisiae,gene-YHR113W,Cluster10386
S. cerevisiae,gene-YCL017C,K. lactis,gene:KLLA0_D04928g,Cluster10387
S. cerevisiae,gene-YOR286W,K. lactis,gene:KLLA0_C06864g,Cluster10389
K. lactis,gene:KLLA0_D11924g,S. cerevisiae,gene-YPL037C,Cluster10390
K. lactis,gene:KLLA0_D11924g,S. cerevisiae,gene-YDR252W,Cluster10390
S. cerevisiae,gene-YKR069W,K. lactis,gene:KLLA0_F16170g,Cluster10395
K. lactis,gene:KLLA0_C05544g,S. cerevisiae,gene-YBR213W,Cluster10405
S. cerevisiae,gene-YHR027C,K. lactis,gene:KLLA0_E11507g,Cluster10422
S. cerevisiae,gene-YKL212W,K. lactis,gene:KLLA0_B14388g,Cluster10423
K. lactis,gene:KLLA0_D10373g,S. cerevisiae,gene-YML092C,Cluster10427
S. cerevisiae,gene-YCR046C,K. lactis,gene:KLLA0_F05984g,Cluster10432
K. lactis,gene:KLLA0_E14895g,S. cerevisiae,gene-YJL115W,Cluster10433
S. cerevisiae,gene-YBL107C,K. lactis,gene:KLLA0_E06403g,Cluster10434
K. lactis,gene:KLLA0_E17183g,S. cerevisiae,gene-YBR003W,Cluster10436
K. lactis,gene:KLLA0_C14927g,S. cerevisiae,gene-YDR462W,Cluster10439
S. cerevisiae,gene-YAL044W-A,K. lactis,gene:KLLA0_A03575g,Cluster1044
K. lactis,gene:KLLA0_B14278g,S. cerevisiae,gene-YKL210W,Cluster10441
S. cerevisiae,gene-YKL060C,K. lactis,gene:KLLA0_E07569g,Cluster10447
S. cerevisiae,gene-YGR185C,K. lactis,gene:KLLA0_F15389g,Cluster10449
S. cerevisiae,gene-YCR059C,K. lactis,gene:KLLA0_C08932g,Cluster10450
K. lactis,gene:KLLA0_F10549g,S. cerevisiae,gene-YBR235W,Cluster10451
K. lactis,gene:KLLA0_B06952g,S. cerevisiae,gene-YDR017C,Cluster10452
S. cerevisiae,gene-YOR260W,K. lactis,gene:KLLA0_C09570g,Cluster10453
S. cerevisiae,gene-YCL039W,K. lactis,gene:KLLA0_C01177g,Cluster10457
S. cerevisiae,gene-YPL183C,K. lactis,gene:KLLA0_E18899g,Cluster10463
K. lactis,gene:KLLA0_B13816g,S. cerevisiae,gene-YJR062C,Cluster10466
K. lactis,gene:KLLA0_D02486g,S. cerevisiae,gene-YOR288C,Cluster10468
K. lactis,gene:KLLA0_F14278g,S. cerevisiae,gene-YJL091C,Cluster10469
S. cerevisiae,gene-YGR194C,K. lactis,gene:KLLA0_E09769g,Cluster10471
K. lactis,gene:KLLA0_E06073g,S. cerevisiae,gene-YJR089W,Cluster10474
S. cerevisiae,gene-YGR227W,K. lactis,gene:KLLA0_E15797g,Cluster10475
S. cerevisiae,gene-YOR187W,K. lactis,gene:KLLA0_A04587g,Cluster10479
S. cerevisiae,gene-YOR187W,K. lactis,gene:KLLA0_C05214g,Cluster10479
S. cerevisiae,gene-YPL021W,K. lactis,gene:KLLA0_F09757g,Cluster1048
K. lactis,gene:KLLA0_C11781g,S. cerevisiae,gene-YDR081C,Cluster10488
K. lactis,gene:KLLA0_B03025g,S. cerevisiae,gene-YLR404W,Cluster10491
S. cerevisiae,gene-YMR264W,K. lactis,gene:KLLA0_E11199g,Cluster10492
S. cerevisiae,gene-YCR020C-A,K. lactis,gene:KLLA0_A11220g,Cluster1050
S. cerevisiae,gene-YMR298W,K. lactis,gene:KLLA0_A09999g,Cluster10500
S. cerevisiae,gene-YOR382W,K. lactis,gene:KLLA0_C05016g,Cluster10509
S. cerevisiae,gene-YAL028W,K. lactis,gene:KLLA0_A03938g,Cluster10512
K. lactis,gene:KLLA0_C16357g,S. cerevisiae,gene-YDL149W,Cluster10520
K. lactis,gene:KLLA0_B05918g,S. cerevisiae,gene-YLR340W,Cluster10522
S. cerevisiae,gene-YMR292W,K. lactis,gene:KLLA0_A09801g,Cluster10528
S. cerevisiae,gene-YPL196W,K. lactis,gene:KLLA0_E19449g,Cluster10529
K. lactis,gene:KLLA0_D16280g,S. cerevisiae,gene-YGR131W,Cluster10531
K. lactis,gene:KLLA0_D16280g,S. cerevisiae,gene-YPR149W,Cluster10531
S. cerevisiae,gene-YGR053C,K. lactis,gene:KLLA0_A02739g,Cluster10535
S. cerevisiae,gene-YBR280C,K. lactis,gene:KLLA0_F01969g,Cluster10538
K. lactis,gene:KLLA0_F25476g,S. cerevisiae,gene-YKL040C,Cluster10540
S. cerevisiae,gene-YAL048C,K. lactis,gene:KLLA0_A03465g,Cluster10545
K. lactis,gene:KLLA0_E05369g,S. cerevisiae,gene-YLR380W,Cluster10546
K. lactis,gene:KLLA0_E14301g,S. cerevisiae,gene-YPL001W,Cluster10547
S. cerevisiae,gene-YHR051W,K. lactis,gene:KLLA0_F21890g,Cluster10548
K. lactis,gene:KLLA0_E09285g,S. cerevisiae,gene-YDR473C,Cluster10549
S. cerevisiae,gene-YDR329C,K. lactis,gene:KLLA0_E16963g,Cluster10550
K. lactis,gene:KLLA0_F25124g,S. cerevisiae,gene-YFL025C,Cluster10551
K. lactis,gene:KLLA0_C14652g,S. cerevisiae,gene-YHR064C,Cluster10552
S. cerevisiae,gene-YJR014W,K. lactis,gene:KLLA0_F21934g,Cluster10553
K. lactis,gene:KLLA0_D07722g,S. cerevisiae,gene-YLR050C,Cluster10554
K. lactis,gene:KLLA0_C12749g,S. cerevisiae,gene-YMR029C,Cluster10555
K. lactis,gene:KLLA0_F26114g,S. cerevisiae,gene-YKL080W,Cluster10556
S. cerevisiae,gene-YER016W,K. lactis,gene:KLLA0_B11550g,Cluster10559
K. lactis,gene:KLLA0_B14102g,S. cerevisiae,gene-YKL206C,Cluster10561
S. cerevisiae,gene-YDR352W,K. lactis,gene:KLLA0_E21649g,Cluster10572
S. cerevisiae,gene-YDL045W-A,K. lactis,gene:KLLA0_E13355g,Cluster10573
K. lactis,gene:KLLA0_E05699g,S. cerevisiae,gene-YBL045C,Cluster10576
S. cerevisiae,gene-YCR044C,K. lactis,gene:KLLA0_C02101g,Cluster10578
K. lactis,gene:KLLA0_B04180g,S. cerevisiae,gene-YHR196W,Cluster10579
S. cerevisiae,gene-YOR066W,K. lactis,gene:KLLA0_F16599g,Cluster10580
K. lactis,gene:KLLA0_F16192g,S. cerevisiae,gene-YKR070W,Cluster10581
K. lactis,gene:KLLA0_F06138g,S. cerevisiae,gene-YNR014W,Cluster10590
K. lactis,gene:KLLA0_A00594g,S. cerevisiae,gene-YKR095W,Cluster10591
S. cerevisiae,gene-YML117W,K. lactis,gene:KLLA0_D01485g,Cluster10592
K. lactis,gene:KLLA0_A09933g,S. cerevisiae,gene-YGR273C,Cluster10604
K. lactis,gene:KLLA0_A09933g,S. cerevisiae,gene-YMR295C,Cluster10604
K. lactis,gene:KLLA0_D13948g,S. cerevisiae,gene-YEL005C,Cluster10610
K. lactis,gene:KLLA0_E19295g,S. cerevisiae,gene-YGL081W,Cluster10612
K. lactis,gene:KLLA0_F26180g,S. cerevisiae,gene-YMR065W,Cluster10615
S. cerevisiae,gene-YLR363C,K. lactis,gene:KLLA0_B08107g,Cluster10616
K. lactis,gene:KLLA0_C16247g,S. cerevisiae,gene-YLR212C,Cluster10618
K. lactis,gene:KLLA0_F06875g,S. cerevisiae,gene-YCR082W,Cluster10620
K. lactis,gene:KLLA0_A07909g,S. cerevisiae,gene-YKR082W,Cluster10632
S. cerevisiae,gene-YCR027C,K. lactis,gene:KLLA0_A11330g,Cluster10633
S. cerevisiae,gene-YFL004W,K. lactis,gene:KLLA0_E12101g,Cluster10635
K. lactis,gene:KLLA0_D02882g,S. cerevisiae,gene-YLR421C,Cluster10637
S. cerevisiae,gene-YHR066W,K. lactis,gene:KLLA0_C14586g,Cluster10638
K. lactis,gene:KLLA0_D10802g,S. cerevisiae,gene-YER022W,Cluster10640
S. cerevisiae,gene-YGL245W,K. lactis,gene:KLLA0_A00682g,Cluster10641
S. cerevisiae,gene-YIL147C,K. lactis,gene:KLLA0_A00638g,Cluster10642
K. lactis,gene:KLLA0_F16126g,S. cerevisiae,gene-YKR068C,Cluster10643
S. cerevisiae,gene-YER077C,K. lactis,gene:KLLA0_C07689g,Cluster10644
K. lactis,gene:KLLA0_C06358g,S. cerevisiae,gene-YML121W,Cluster10645
S. cerevisiae,gene-YAR035W,K. lactis,gene:KLLA0_C04169g,Cluster10646
K. lactis,gene:KLLA0_B10692g,S. cerevisiae,gene-YPR167C,Cluster10647
S. cerevisiae,gene-YHR075C,K. lactis,gene:KLLA0_D13046g,Cluster10648
S. cerevisiae,gene-YOL133W,K. lactis,gene:KLLA0_E07151g,Cluster10649
K. lactis,gene:KLLA0_D13024g,S. cerevisiae,gene-YHR074W,Cluster10652
S. cerevisiae,gene-YLR382C,K. lactis,gene:KLLA0_E05325g,Cluster10655
K. lactis,gene:KLLA0_F16533g,S. cerevisiae,gene-YOR064C,Cluster10660
K. lactis,gene:KLLA0_C13409g,S. cerevisiae,gene-YNL097C,Cluster10661
S. cerevisiae,gene-YGR162W,K. lactis,gene:KLLA0_A04730g,Cluster10663
K. lactis,gene:KLLA0_B09174g,S. cerevisiae,gene-YPR073C,Cluster10666
K. lactis,gene:KLLA0_A09427g,S. cerevisiae,gene-YGR258C,Cluster10667
S. cerevisiae,gene-YBL078C,K. lactis,gene:KLLA0_E20593g,Cluster10670
K. lactis,gene:KLLA0_E23607g,S. cerevisiae,gene-YBR193C,Cluster10671
S. cerevisiae,gene-YGL140C,K. lactis,gene:KLLA0_C02497g,Cluster10677
K. lactis,gene:KLLA0_E02289g,S. cerevisiae,gene-YOR122C,Cluster10680
S. cerevisiae,gene-YKR020W,K. lactis,gene:KLLA0_D02200g,Cluster10681
S. cerevisiae,gene-YER042W,K. lactis,gene:KLLA0_A01309g,Cluster10682
K. lactis,gene:KLLA0_F25586g,S. cerevisiae,gene-YHL013C,Cluster10683
K. lactis,gene:KLLA0_D12562g,S. cerevisiae,gene-YMR193W,Cluster10684
K. lactis,gene:KLLA0_C18139g,S. cerevisiae,gene-YGR007W,Cluster10685
S. cerevisiae,gene-YLR438W,K. lactis,gene:KLLA0_B05247g,Cluster10686
K. lactis,gene:KLLA0_F14641g,S. cerevisiae,gene-YGR166W,Cluster10687
K. lactis,gene:KLLA0_A09955g,S. cerevisiae,gene-YMR296C,Cluster10688
K. lactis,gene:KLLA0_F16863g,S. cerevisiae,gene-YEL042W,Cluster10689
S. cerevisiae,gene-YBL011W,K. lactis,gene:KLLA0_B10538g,Cluster10693
K. lactis,gene:KLLA0_D15543g,S. cerevisiae,gene-YGR108W,Cluster10694
K. lactis,gene:KLLA0_D15543g,S. cerevisiae,gene-YPR119W,Cluster10694
S. cerevisiae,gene-YDL091C,K. lactis,gene:KLLA0_F07139g,Cluster10700
S. cerevisiae,gene-YML013W,K. lactis,gene:KLLA0_B01001g,Cluster10701
S. cerevisiae,gene-YLR047C,K. lactis,gene:KLLA0_E16193g,Cluster10702
S. cerevisiae,gene-YJL154C,K. lactis,gene:KLLA0_B07535g,Cluster10703
K. lactis,gene:KLLA0_D11550g,S. cerevisiae,gene-YFR049W,Cluster10704
S. cerevisiae,gene-YJL025W,K. lactis,gene:KLLA0_F15180g,Cluster10708
S. cerevisiae,gene-YEL054C,K. lactis,gene:KLLA0_A01903g,Cluster10709
K. lactis,gene:KLLA0_A01903g,S. cerevisiae,gene-YDR418W,Cluster10709
K. lactis,gene:KLLA0_C04796g,S. cerevisiae,gene-YLR287C,Cluster10711
S. cerevisiae,gene-YJL068C,K. lactis,gene:KLLA0_F01947g,Cluster10712
