species1,gene1,species2,gene2,cluster_id
C. glabrata,CAGL0K02695g,S. cerevisiae,gene-YHL006C,Cluster11178
C. glabrata,CAGL0G01848g,S. cerevisiae,gene-YPR101W,Cluster11179
C. glabrata,CAGL0F02409r,S. cerevisiae,gene-YNCO0002W,Cluster1118
C. glabrata,CAGL0F02409r,S. cerevisiae,gene-YNCN0010C,Cluster1118
S. cerevisiae,gene-YDR168W,C. glabrata,CAGL0E00913g,Cluster11192
S. cerevisiae,gene-YBR288C,C. glabrata,CAGL0L02145g,Cluster11199
C. glabrata,CAGL0K03223g,S. cerevisiae,gene-YHL019C,Cluster11201
S. cerevisiae,gene-YBR146W,C. glabrata,CAGL0L06732g,Cluster11203
S. cerevisiae,gene-YPL051W,C. glabrata,CAGL0L12826g,Cluster11220
S. cerevisiae,gene-YDL047W,C. glabrata,CAGL0K01331g,Cluster11228
C. glabrata,CAGL0E06424g,S. cerevisiae,gene-YKL150W,Cluster11236
S. cerevisiae,gene-YIL107C,C. glabrata,CAGL0D01100g,Cluster11239
C. glabrata,CAGL0H02959g,S. cerevisiae,gene-YNCC0001C,Cluster1126
C. glabrata,CAGL0M13695g,S. cerevisiae,gene-YMR299C,Cluster11264
C. glabrata,CAGL0J07766g,S. cerevisiae,gene-YNL248C,Cluster11268
S. cerevisiae,gene-YMR038C,C. glabrata,CAGL0F06017g,Cluster11269
S. cerevisiae,gene-YOR256C,C. glabrata,CAGL0F03575g,Cluster11271
C. glabrata,CAGL0F03575g,S. cerevisiae,gene-YPL176C,Cluster11271
C. glabrata,CAGL0M13387g,S. cerevisiae,gene-YHR185C,Cluster11272
S. cerevisiae,gene-YGR169C-A,C. glabrata,CAGL0G06798g,Cluster11274
C. glabrata,CAGL0G06798g,S. cerevisiae,gene-YJR005C-A,Cluster11274
C. glabrata,CAGL0M13057g,S. cerevisiae,gene-YKL053C-A,Cluster11288
S. cerevisiae,gene-YMR158W,C. glabrata,CAGL0M09603g,Cluster11290
C. glabrata,CAGL0H05555g,S. cerevisiae,gene-YPL083C,Cluster11294
C. glabrata,CAGL0L09273g,S. cerevisiae,gene-YPR006C,Cluster11298
S. cerevisiae,gene-YJR082C,C. glabrata,CAGL0M09295g,Cluster11302
C. glabrata,CAGL0H09680g,S. cerevisiae,gene-YER008C,Cluster11331
S. cerevisiae,gene-YBL099W,C. glabrata,CAGL0M09581g,Cluster11332
S. cerevisiae,gene-YBR182C,C. glabrata,CAGL0H05621g,Cluster11334
C. glabrata,CAGL0H05621g,S. cerevisiae,gene-YPL089C,Cluster11334
S. cerevisiae,gene-YLR251W,C. glabrata,CAGL0B03465g,Cluster11336
C. glabrata,CAGL0J09152g,S. cerevisiae,gene-YDL135C,Cluster11340
S. cerevisiae,gene-YCL004W,C. glabrata,CAGL0B04741g,Cluster11358
C. glabrata,CAGL0H04191g,S. cerevisiae,gene-YML081C-A,Cluster11359
S. cerevisiae,gene-YKL002W,C. glabrata,CAGL0K02827g,Cluster11363
C. glabrata,CAGL0E05082g,S. cerevisiae,gene-YGL153W,Cluster11371
C. glabrata,CAGL0L09108g,S. cerevisiae,gene-YPR002W,Cluster11372
C. glabrata,CAGL0E04290g,S. cerevisiae,gene-YML038C,Cluster11379
C. glabrata,CAGL0J07260g,S. cerevisiae,gene-YOR370C,Cluster11380
C. glabrata,CAGL0A03256g,S. cerevisiae,gene-YDR386W,Cluster11383
S. cerevisiae,gene-YJL172W,C. glabrata,CAGL0C00319g,Cluster11397
S. cerevisiae,gene-YOL063C,C. glabrata,CAGL0C05225g,Cluster11416
C. glabrata,CAGL0F01617g,S. cerevisiae,gene-YLR065C,Cluster11419
S. cerevisiae,gene-YHR134W,C. glabrata,CAGL0G06116g,Cluster11420
S. cerevisiae,gene-YHR150W,C. glabrata,CAGL0I01870g,Cluster11421
S. cerevisiae,gene-YIL148W,C. glabrata,CAGL0G02475g,Cluster11425
C. glabrata,CAGL0G02475g,S. cerevisiae,gene-YKR094C,Cluster11425
C. glabrata,CAGL0L02255g,S. cerevisiae,gene-YKR004C,Cluster11427
C. glabrata,CAGL0J05522g,S. cerevisiae,gene-YNL083W,Cluster11440
S. cerevisiae,gene-YCR097W,C. glabrata,CAGL0E00341g,Cluster1146
S. cerevisiae,gene-YKL046C,C. glabrata,CAGL0L01727g,Cluster11466
C. glabrata,CAGL0L07953g,S. cerevisiae,gene-YCR020W-B,Cluster11468
C. glabrata,CAGL0L01331g,S. cerevisiae,gene-YEL036C,Cluster1147
S. cerevisiae,gene-YER093C,C. glabrata,CAGL0I04950g,Cluster11470
C. glabrata,CAGL0K11990g,S. cerevisiae,gene-YBR059C,Cluster11472
C. glabrata,CAGL0D00748g,S. cerevisiae,gene-YDL067C,Cluster11483
C. glabrata,CAGL0C02623g,S. cerevisiae,gene-YLR395C,Cluster11484
C. glabrata,CAGL0C02607g,S. cerevisiae,gene-YLR395C,Cluster11484
C. glabrata,CAGL0M05467g,S. cerevisiae,gene-YBR204C,Cluster11489
C. glabrata,CAGL0J03498g,S. cerevisiae,gene-YCR071C,Cluster1149
S. cerevisiae,gene-YOR344C,C. glabrata,CAGL0E05566g,Cluster11492
C. glabrata,CAGL0C05335g,S. cerevisiae,gene-YOL067C,Cluster11493
S. cerevisiae,gene-YIL002W-A,C. glabrata,CAGL0J02128g,Cluster11500
C. glabrata,CAGL0I02530g,S. cerevisiae,gene-YHR176W,Cluster1151
S. cerevisiae,gene-YPL050C,C. glabrata,CAGL0L12804g,Cluster1152
S. cerevisiae,gene-YDL012C,C. glabrata,CAGL0I04510g,Cluster11520
S. cerevisiae,gene-YDR279W,C. glabrata,CAGL0H01023g,Cluster11529
S. cerevisiae,gene-YDL029W,C. glabrata,CAGL0K01595g,Cluster11536
C. glabrata,CAGL0J04884g,S. cerevisiae,gene-YJL048C,Cluster11541
C. glabrata,CAGL0K03949g,S. cerevisiae,gene-YMR135C,Cluster11549
S. cerevisiae,gene-YHL010C,C. glabrata,CAGL0K02563g,Cluster1155
C. glabrata,CAGL0H08580g,S. cerevisiae,gene-YPR048W,Cluster11550
C. glabrata,CAGL0D05742g,S. cerevisiae,gene-YJL002C,Cluster11552
C. glabrata,CAGL0D03762g,S. cerevisiae,gene-YHR061C,Cluster1156
C. glabrata,CAGL0D03762g,S. cerevisiae,gene-YDR309C,Cluster1156
C. glabrata,CAGL0H08195g,S. cerevisiae,gene-YOR027W,Cluster11564
S. cerevisiae,gene-YNCM0033C,C. glabrata,CAGL0I03058r,Cluster11572
S. cerevisiae,gene-YMR144W,C. glabrata,CAGL0I00770g,Cluster11584
S. cerevisiae,gene-YGR230W,C. glabrata,CAGL0I01914g,Cluster11597
S. cerevisiae,gene-YHR152W,C. glabrata,CAGL0I01914g,Cluster11597
C. glabrata,CAGL0G05269g,S. cerevisiae,gene-YDR070C,Cluster11600
C. glabrata,CAGL0C03553g,S. cerevisiae,gene-YNR045W,Cluster11626
S. cerevisiae,gene-YNL325C,C. glabrata,CAGL0D02464g,Cluster11642
S. cerevisiae,gene-YKL039W,C. glabrata,CAGL0L01881g,Cluster11647
S. cerevisiae,gene-YMR256C,C. glabrata,CAGL0H02491g,Cluster11648
S. cerevisiae,gene-YNL002C,C. glabrata,CAGL0H03773g,Cluster11649
C. glabrata,CAGL0J09812g,S. cerevisiae,gene-YBR126C,Cluster11656
C. glabrata,CAGL0C02519g,S. cerevisiae,gene-YGL209W,Cluster11657
C. glabrata,CAGL0E06314g,S. cerevisiae,gene-YKL155C,Cluster1168
C. glabrata,CAGL0J01980g,S. cerevisiae,gene-YIR002C,Cluster11685
S. cerevisiae,gene-YGR276C,C. glabrata,CAGL0G00374g,Cluster11689
S. cerevisiae,gene-YOR274W,C. glabrata,CAGL0L10934g,Cluster11691
C. glabrata,CAGL0M07678g,S. cerevisiae,gene-YMR014W,Cluster11692
S. cerevisiae,gene-YMR120C,C. glabrata,CAGL0A03366g,Cluster11693
C. glabrata,CAGL0A03366g,S. cerevisiae,gene-YLR028C,Cluster11693
S. cerevisiae,gene-YNL122C,C. glabrata,CAGL0L04070g,Cluster11699
S. cerevisiae,gene-YGL096W,C. glabrata,CAGL0B00264g,Cluster11700
S. cerevisiae,gene-YGL096W,C. glabrata,CAGL0B01265g,Cluster11700
C. glabrata,CAGL0B00264g,S. cerevisiae,gene-YCR096C,Cluster11700
C. glabrata,CAGL0B00264g,S. cerevisiae,gene-YCR039C,Cluster11700
C. glabrata,CAGL0B00264g,S. cerevisiae,gene-YCL067C,Cluster11700
S. cerevisiae,gene-YCR096C,C. glabrata,CAGL0B01265g,Cluster11700
