species1,gene1,species2,gene2,cluster_id
C. albicans,orf19.4007,K. lactis,gene:KLLA0_D18755g,Cluster10113
K. lactis,gene:KLLA0_C12925g,C. albicans,orf19.5989,Cluster10118
K. lactis,gene:KLLA0_B04312g,C. albicans,orf19.5857,Cluster1012
C. albicans,orf19.3281,K. lactis,gene:KLLA0_F27643g,Cluster10134
C. albicans,orf19.5441,K. lactis,gene:KLLA0_F27665g,Cluster10137
C. albicans,orf19.4223,K. lactis,gene:KLLA0_D10571g,Cluster10138
K. lactis,gene:KLLA0_C03608g,C. albicans,orf19.3401,Cluster10139
K. lactis,gene:KLLA0_A07469g,C. albicans,orf19.3176,Cluster10140
C. albicans,orf19.2775,K. lactis,gene:KLLA0_F00924g,Cluster10141
K. lactis,gene:KLLA0_C15521g,C. albicans,orf19.2003,Cluster10142
C. albicans,orf19.2587,K. lactis,gene:KLLA0_B00385g,Cluster10143
K. lactis,gene:KLLA0_D07766g,C. albicans,orf19.5672,Cluster10145
K. lactis,gene:KLLA0_B11033g,C. albicans,orf19.1614,Cluster10146
K. lactis,gene:KLLA0_D11022g,C. albicans,orf19.2581,Cluster1015
C. albicans,orf19.2996,K. lactis,gene:KLLA0_B05445g,Cluster1016
C. albicans,orf19.1065,K. lactis,gene:KLLA0_D04224g,Cluster10167
C. albicans,orf19.7207,K. lactis,gene:KLLA0_E10275g,Cluster1017
K. lactis,gene:KLLA0_A01364g,C. albicans,orf19.1232,Cluster10170
K. lactis,gene:KLLA0_E22309g,C. albicans,orf19.1896,Cluster10171
C. albicans,orf19.3001,K. lactis,gene:KLLA0_B05038g,Cluster10174
C. albicans,orf19.390,K. lactis,gene:KLLA0_A04213g,Cluster10175
C. albicans,orf19.4632,K. lactis,gene:KLLA0_F08657g,Cluster10176
C. albicans,orf19.5009,K. lactis,gene:KLLA0_D00836g,Cluster10177
K. lactis,gene:KLLA0_F03751g,C. albicans,orf19.246,Cluster10178
C. albicans,orf19.5796,K. lactis,gene:KLLA0_C06512g,Cluster10179
C. albicans,orf19.501,K. lactis,gene:KLLA0_F03399g,Cluster10181
C. albicans,orf19.2622,K. lactis,gene:KLLA0_B00671g,Cluster10182
K. lactis,gene:KLLA0_C13519g,C. albicans,orf19.1700,Cluster10183
K. lactis,gene:KLLA0_E11705g,C. albicans,orf19.6284,Cluster10184
K. lactis,gene:KLLA0_F20471g,C. albicans,orf19.714,Cluster10185
K. lactis,gene:KLLA0_F18656g,C. albicans,orf19.4048,Cluster1019
C. albicans,orf19.5465,K. lactis,gene:KLLA0_B06369g,Cluster1020
K. lactis,gene:KLLA0_C00506g,C. albicans,orf19.661,Cluster10206
C. albicans,orf19.4622,K. lactis,gene:KLLA0_C12672g,Cluster10207
C. albicans,orf19.491,K. lactis,gene:KLLA0_C09823g,Cluster10209
K. lactis,gene:KLLA0_C06534g,C. albicans,orf19.5793,Cluster1021
K. lactis,gene:KLLA0_F03333g,C. albicans,orf19.506,Cluster10212
C. albicans,orf19.7175,K. lactis,gene:KLLA0_E01629g,Cluster10213
K. lactis,gene:KLLA0_C17710g,C. albicans,orf19.2730,Cluster10214
K. lactis,gene:KLLA0_F27027g,C. albicans,orf19.1981,Cluster10215
K. lactis,gene:KLLA0_E09065g,C. albicans,orf19.1986,Cluster10216
C. albicans,orf19.1988,K. lactis,gene:KLLA0_F19822g,Cluster10217
K. lactis,gene:KLLA0_F20636g,C. albicans,orf19.6124,Cluster10218
K. lactis,gene:KLLA0_E22661g,C. albicans,orf19.5394.1,Cluster10219
K. lactis,gene:KLLA0_C14520g,C. albicans,orf19.4993,Cluster1022
C. albicans,orf19.1070,K. lactis,gene:KLLA0_D14509g,Cluster10220
K. lactis,gene:KLLA0_B03454g,C. albicans,orf19.4125,Cluster10221
K. lactis,gene:KLLA0_C12947g,C. albicans,orf19.586,Cluster10222
K. lactis,gene:KLLA0_D16412g,C. albicans,orf19.7585,Cluster10223
C. albicans,orf19.804.1,K. lactis,gene:KLLA0_D04334g,Cluster10225
K. lactis,gene:KLLA0_A07084g,C. albicans,orf19.2654,Cluster10227
C. albicans,orf19.1163,K. lactis,gene:KLLA0_F21626g,Cluster10228
C. albicans,orf19.3367,K. lactis,gene:KLLA0_D08261g,Cluster10229
K. lactis,gene:KLLA0_E17975g,C. albicans,orf19.4817,Cluster1023
K. lactis,gene:KLLA0_B13189g,C. albicans,orf19.3870,Cluster10230
C. albicans,orf19.6873,K. lactis,gene:KLLA0_E20461g,Cluster10231
C. albicans,orf19.5685,K. lactis,gene:KLLA0_F05918g,Cluster10233
C. albicans,orf19.2402,K. lactis,gene:KLLA0_D19514g,Cluster10234
K. lactis,gene:KLLA0_C11011g,C. albicans,orf19.6717,Cluster10235
C. albicans,orf19.649,K. lactis,gene:KLLA0_A01177g,Cluster10236
C. albicans,orf19.5409,K. lactis,gene:KLLA0_C02431g,Cluster10237
K. lactis,gene:KLLA0_A07667g,C. albicans,orf19.5534,Cluster10239
C. albicans,orf19.437,K. lactis,gene:KLLA0_B08932g,Cluster1024
K. lactis,gene:KLLA0_E04511g,C. albicans,orf19.1236,Cluster10240
C. albicans,orf19.6649,K. lactis,gene:KLLA0_A05434g,Cluster10242
C. albicans,orf19.1804,K. lactis,gene:KLLA0_E08911g,Cluster10243
K. lactis,gene:KLLA0_A01925g,C. albicans,orf19.1624,Cluster10244
C. albicans,orf19.1649,K. lactis,gene:KLLA0_F25036g,Cluster10245
C. albicans,orf19.5927,K. lactis,gene:KLLA0_F07843g,Cluster10246
C. albicans,orf19.4719,K. lactis,gene:KLLA0_E10693g,Cluster10247
K. lactis,gene:KLLA0_B03432g,C. albicans,orf19.2848,Cluster10248
K. lactis,gene:KLLA0_A09207g,C. albicans,orf19.4720,Cluster10249
K. lactis,gene:KLLA0_E19361g,C. albicans,orf19.252,Cluster1025
K. lactis,gene:KLLA0_E24465g,C. albicans,orf19.4478,Cluster10250
C. albicans,orf19.5610,K. lactis,gene:KLLA0_F14366g,Cluster10251
K. lactis,gene:KLLA0_E23761g,C. albicans,orf19.4496,Cluster10252
K. lactis,gene:KLLA0_F15224g,C. albicans,orf19.406,Cluster10253
K. lactis,gene:KLLA0_F24420g,C. albicans,orf19.513,Cluster10256
K. lactis,gene:KLLA0_F24420g,C. albicans,orf19.2119,Cluster10256
K. lactis,gene:KLLA0_A07381g,C. albicans,orf19.425,Cluster1026
K. lactis,gene:KLLA0_F09295g,C. albicans,orf19.897,Cluster1027
K. lactis,gene:KLLA0_F20900g,C. albicans,orf19.3414,Cluster10271
C. albicans,orf19.3414,K. lactis,gene:KLLA0_A08184g,Cluster10271
K. lactis,gene:KLLA0_F05115g,C. albicans,orf19.1668,Cluster1028
K. lactis,gene:KLLA0_D09482g,C. albicans,orf19.1041,Cluster10295
K. lactis,gene:KLLA0_D12914g,C. albicans,orf19.6536,Cluster10298
C. albicans,orf19.2307,K. lactis,gene:KLLA0_E07085g,Cluster10299
C. albicans,orf19.6861,K. lactis,gene:KLLA0_C10010g,Cluster10300
K. lactis,gene:KLLA0_F06776g,C. albicans,orf19.2187,Cluster10301
K. lactis,gene:KLLA0_C06567g,C. albicans,orf19.5792,Cluster10302
C. albicans,orf19.3915,K. lactis,gene:KLLA0_A01001g,Cluster10303
K. lactis,gene:KLLA0_A09449g,C. albicans,orf19.4335,Cluster10306
K. lactis,gene:KLLA0_E18371g,C. albicans,orf19.3152,Cluster10321
K. lactis,gene:KLLA0_A07821g,C. albicans,orf19.7141,Cluster10324
K. lactis,gene:KLLA0_A05731g,C. albicans,orf19.3324,Cluster10326
C. albicans,orf19.3061,K. lactis,gene:KLLA0_F07293g,Cluster10327
C. albicans,orf19.4199,K. lactis,gene:KLLA0_F08569g,Cluster10328
K. lactis,gene:KLLA0_C05698g,C. albicans,orf19.5034,Cluster10330
K. lactis,gene:KLLA0_F02321g,C. albicans,orf19.2594,Cluster10331
K. lactis,gene:KLLA0_E05435g,C. albicans,orf19.6190,Cluster10332
C. albicans,orf19.3131,K. lactis,gene:KLLA0_C01672g,Cluster10333
K. lactis,gene:KLLA0_C07821g,C. albicans,orf19.5840,Cluster10334
K. lactis,gene:KLLA0_A11286g,C. albicans,orf19.745,Cluster10335
K. lactis,gene:KLLA0_E09219g,C. albicans,orf19.5039,Cluster10338
C. albicans,orf19.5429,K. lactis,gene:KLLA0_A07579g,Cluster10339
K. lactis,gene:KLLA0_E04973g,C. albicans,orf19.6374,Cluster10340
K. lactis,gene:KLLA0_F25542g,C. albicans,orf19.6375,Cluster10341
K. lactis,gene:KLLA0_E00815g,C. albicans,orf19.721,Cluster10342
K. lactis,gene:KLLA0_D06501g,C. albicans,orf19.57,Cluster10343
K. lactis,gene:KLLA0_A10945g,C. albicans,orf19.4316,Cluster10344
K. lactis,gene:KLLA0_A11044g,C. albicans,orf19.6732,Cluster10345
C. albicans,orf19.2262,K. lactis,gene:KLLA0_A10549g,Cluster10346
C. albicans,orf19.3294,K. lactis,gene:KLLA0_F25014g,Cluster10347
C. albicans,orf19.5143,K. lactis,gene:KLLA0_F01441g,Cluster10348
K. lactis,gene:KLLA0_F00638g,C. albicans,orf19.5978,Cluster10349
K. lactis,gene:KLLA0_D05621g,C. albicans,orf19.2934,Cluster10352
K. lactis,gene:KLLA0_B02442g,C. albicans,orf19.3473,Cluster10353
K. lactis,gene:KLLA0_E23123g,C. albicans,orf19.212,Cluster10355
C. albicans,orf19.2631,K. lactis,gene:KLLA0_E05237g,Cluster10356
C. albicans,orf19.5629,K. lactis,gene:KLLA0_C00825g,Cluster10357
C. albicans,orf19.5905,K. lactis,gene:KLLA0_E12431g,Cluster10360
C. albicans,orf19.760,K. lactis,gene:KLLA0_E18921g,Cluster10361
K. lactis,gene:KLLA0_F08767g,C. albicans,orf19.7603,Cluster10362
K. lactis,gene:KLLA0_F03839g,C. albicans,orf19.3505,Cluster10385
C. albicans,orf19.2335,K. lactis,gene:KLLA0_E21297g,Cluster10386
C. albicans,orf19.7081,K. lactis,gene:KLLA0_D04928g,Cluster10387
K. lactis,gene:KLLA0_D11924g,C. albicans,orf19.1154,Cluster10390
K. lactis,gene:KLLA0_F16170g,C. albicans,orf19.5811,Cluster10395
K. lactis,gene:KLLA0_C05544g,C. albicans,orf19.6780,Cluster10405
K. lactis,gene:KLLA0_C05544g,C. albicans,orf19.5842,Cluster10405
C. albicans,orf19.4956,K. lactis,gene:KLLA0_E11507g,Cluster10422
C. albicans,orf19.4865,K. lactis,gene:KLLA0_B14388g,Cluster10423
C. albicans,orf19.7335,K. lactis,gene:KLLA0_D10373g,Cluster10427
K. lactis,gene:KLLA0_B04818g,C. albicans,orf19.5250,Cluster10431
K. lactis,gene:KLLA0_F05984g,C. albicans,orf19.1967,Cluster10432
K. lactis,gene:KLLA0_E14895g,C. albicans,orf19.3715,Cluster10433
K. lactis,gene:KLLA0_E06403g,C. albicans,orf19.1198,Cluster10434
K. lactis,gene:KLLA0_E17183g,C. albicans,orf19.7478,Cluster10436
C. albicans,orf19.397,K. lactis,gene:KLLA0_C14927g,Cluster10439
K. lactis,gene:KLLA0_A03575g,C. albicans,orf19.5016,Cluster1044
C. albicans,orf19.7438,K. lactis,gene:KLLA0_B14278g,Cluster10441
K. lactis,gene:KLLA0_E07569g,C. albicans,orf19.4618,Cluster10447
C. albicans,orf19.2694,K. lactis,gene:KLLA0_F15389g,Cluster10449
C. albicans,orf19.3273,K. lactis,gene:KLLA0_C08932g,Cluster10450
K. lactis,gene:KLLA0_F10549g,C. albicans,orf19.6832,Cluster10451
C. albicans,orf19.1007,K. lactis,gene:KLLA0_B06952g,Cluster10452
K. lactis,gene:KLLA0_C09570g,C. albicans,orf19.481,Cluster10453
K. lactis,gene:KLLA0_C01177g,C. albicans,orf19.5131,Cluster10457
K. lactis,gene:KLLA0_E18899g,C. albicans,orf19.2143,Cluster10463
C. albicans,orf19.850,K. lactis,gene:KLLA0_B13816g,Cluster10466
C. albicans,orf19.3920,K. lactis,gene:KLLA0_D02486g,Cluster10468
K. lactis,gene:KLLA0_F14278g,C. albicans,orf19.6884,Cluster10469
K. lactis,gene:KLLA0_E09769g,C. albicans,orf19.1290,Cluster10471
K. lactis,gene:KLLA0_E06073g,C. albicans,orf19.643,Cluster10474
C. albicans,orf19.6971,K. lactis,gene:KLLA0_E15797g,Cluster10475
K. lactis,gene:KLLA0_A04587g,C. albicans,orf19.6047,Cluster10479
K. lactis,gene:KLLA0_C05214g,C. albicans,orf19.6047,Cluster10479
K. lactis,gene:KLLA0_F09757g,C. albicans,orf19.4056,Cluster1048
C. albicans,orf19.2479,K. lactis,gene:KLLA0_E14675g,Cluster10484
K. lactis,gene:KLLA0_C11781g,C. albicans,orf19.4863,Cluster10488
C. albicans,orf19.6668,K. lactis,gene:KLLA0_E11199g,Cluster10492
K. lactis,gene:KLLA0_A11220g,C. albicans,orf19.1968.1,Cluster1050
C. albicans,orf19.5974,K. lactis,gene:KLLA0_C16357g,Cluster10520
K. lactis,gene:KLLA0_B05918g,C. albicans,orf19.7015,Cluster10522
K. lactis,gene:KLLA0_A09801g,C. albicans,orf19.3972,Cluster10528
K. lactis,gene:KLLA0_E19449g,C. albicans,orf19.243,Cluster10529
C. albicans,orf19.5960,K. lactis,gene:KLLA0_D16280g,Cluster10531
K. lactis,gene:KLLA0_A02739g,C. albicans,orf19.91,Cluster10535
C. albicans,orf19.5752,K. lactis,gene:KLLA0_F01969g,Cluster10538
K. lactis,gene:KLLA0_F25476g,C. albicans,orf19.6283,Cluster10540
K. lactis,gene:KLLA0_A03465g,C. albicans,orf19.6016,Cluster10545
K. lactis,gene:KLLA0_E05369g,C. albicans,orf19.5711,Cluster10546
C. albicans,orf19.779,K. lactis,gene:KLLA0_E14301g,Cluster10547
C. albicans,orf19.873.1,K. lactis,gene:KLLA0_F21890g,Cluster10548
C. albicans,orf19.910,K. lactis,gene:KLLA0_E09285g,Cluster10549
C. albicans,orf19.4426,K. lactis,gene:KLLA0_E16963g,Cluster10550
K. lactis,gene:KLLA0_F25124g,C. albicans,orf19.1053,Cluster10551
C. albicans,orf19.3812,K. lactis,gene:KLLA0_C14652g,Cluster10552
K. lactis,gene:KLLA0_F21934g,C. albicans,orf19.4164,Cluster10553
K. lactis,gene:KLLA0_D07722g,C. albicans,orf19.7043,Cluster10554
C. albicans,orf19.7321,K. lactis,gene:KLLA0_C12749g,Cluster10555
K. lactis,gene:KLLA0_F26114g,C. albicans,orf19.2166,Cluster10556
K. lactis,gene:KLLA0_B11550g,C. albicans,orf19.676,Cluster10559
K. lactis,gene:KLLA0_B14102g,C. albicans,orf19.2278,Cluster10561
C. albicans,orf19.6950,K. lactis,gene:KLLA0_E21649g,Cluster10572
C. albicans,orf19.2650.1,K. lactis,gene:KLLA0_E13355g,Cluster10573
C. albicans,orf19.4016,K. lactis,gene:KLLA0_E05699g,Cluster10576
K. lactis,gene:KLLA0_C02101g,C. albicans,orf19.4240,Cluster10578
C. albicans,orf19.449,K. lactis,gene:KLLA0_F16192g,Cluster10581
C. albicans,orf19.4683,K. lactis,gene:KLLA0_A00594g,Cluster10591
C. albicans,orf19.5495,K. lactis,gene:KLLA0_D01485g,Cluster10592
K. lactis,gene:KLLA0_D02904g,C. albicans,orf19.1058,Cluster10603
K. lactis,gene:KLLA0_A09933g,C. albicans,orf19.2887,Cluster10604
K. lactis,gene:KLLA0_F26180g,C. albicans,orf19.103,Cluster10615
C. albicans,orf19.1525,K. lactis,gene:KLLA0_B08107g,Cluster10616
K. lactis,gene:KLLA0_C16247g,C. albicans,orf19.1238,Cluster10618
C. albicans,orf19.3552,K. lactis,gene:KLLA0_A07909g,Cluster10632
C. albicans,orf19.5994,K. lactis,gene:KLLA0_A11330g,Cluster10633
K. lactis,gene:KLLA0_D10802g,C. albicans,orf19.3055,Cluster10640
C. albicans,orf19.7057,K. lactis,gene:KLLA0_A00682g,Cluster10641
K. lactis,gene:KLLA0_A00638g,C. albicans,orf19.3256,Cluster10642
K. lactis,gene:KLLA0_F16126g,C. albicans,orf19.5817,Cluster10643
C. albicans,orf19.1772,K. lactis,gene:KLLA0_C07689g,Cluster10644
K. lactis,gene:KLLA0_C06358g,C. albicans,orf19.3617,Cluster10645
K. lactis,gene:KLLA0_C04169g,C. albicans,orf19.4551,Cluster10646
C. albicans,orf19.3106,K. lactis,gene:KLLA0_B10692g,Cluster10647
K. lactis,gene:KLLA0_D13046g,C. albicans,orf19.1459,Cluster10648
K. lactis,gene:KLLA0_E07151g,C. albicans,orf19.233.1,Cluster10649
K. lactis,gene:KLLA0_D13024g,C. albicans,orf19.1460,Cluster10652
K. lactis,gene:KLLA0_E22749g,C. albicans,orf19.1717,Cluster10653
C. albicans,orf19.2068,K. lactis,gene:KLLA0_F25410g,Cluster10654
K. lactis,gene:KLLA0_E05325g,C. albicans,orf19.5705,Cluster10655
K. lactis,gene:KLLA0_F16533g,C. albicans,orf19.3625,Cluster10660
K. lactis,gene:KLLA0_C13409g,C. albicans,orf19.1759,Cluster10661
C. albicans,orf19.5104,K. lactis,gene:KLLA0_B09174g,Cluster10666
K. lactis,gene:KLLA0_A09427g,C. albicans,orf19.1324,Cluster10667
C. albicans,orf19.2480.1,K. lactis,gene:KLLA0_E20593g,Cluster10670
C. albicans,orf19.4497,K. lactis,gene:KLLA0_E23607g,Cluster10671
K. lactis,gene:KLLA0_E02289g,C. albicans,orf19.5076,Cluster10680
C. albicans,orf19.5568,K. lactis,gene:KLLA0_D02200g,Cluster10681
C. albicans,orf19.2028,K. lactis,gene:KLLA0_A01309g,Cluster10682
C. albicans,orf19.1959,K. lactis,gene:KLLA0_F25586g,Cluster10683
K. lactis,gene:KLLA0_D12562g,C. albicans,orf19.828,Cluster10684
K. lactis,gene:KLLA0_C18139g,C. albicans,orf19.2107,Cluster10685
K. lactis,gene:KLLA0_B05247g,C. albicans,orf19.5641,Cluster10686
K. lactis,gene:KLLA0_F14641g,C. albicans,orf19.433,Cluster10687
K. lactis,gene:KLLA0_A09955g,C. albicans,orf19.6438,Cluster10688
K. lactis,gene:KLLA0_F16863g,C. albicans,orf19.7394,Cluster10689
K. lactis,gene:KLLA0_B10538g,C. albicans,orf19.1289,Cluster10693
C. albicans,orf19.1446,K. lactis,gene:KLLA0_D15543g,Cluster10694
C. albicans,orf19.1415,K. lactis,gene:KLLA0_E05897g,Cluster10695
C. albicans,orf19.7281,K. lactis,gene:KLLA0_F27423g,Cluster10699
K. lactis,gene:KLLA0_F07139g,C. albicans,orf19.1595,Cluster10700
C. albicans,orf19.3135,K. lactis,gene:KLLA0_B01001g,Cluster10701
C. albicans,orf19.4843,K. lactis,gene:KLLA0_E16193g,Cluster10702
K. lactis,gene:KLLA0_B07535g,C. albicans,orf19.6875,Cluster10703
K. lactis,gene:KLLA0_D11550g,C. albicans,orf19.4225.1,Cluster10704
K. lactis,gene:KLLA0_F15180g,C. albicans,orf19.1589,Cluster10708
K. lactis,gene:KLLA0_A01903g,C. albicans,orf19.1635,Cluster10709
C. albicans,orf19.6597,K. lactis,gene:KLLA0_C04796g,Cluster10711
C. albicans,orf19.6596,K. lactis,gene:KLLA0_F01947g,Cluster10712
K. lactis,gene:KLLA0_B01804g,C. albicans,orf19.5776,Cluster10713
K. lactis,gene:KLLA0_E18855g,C. albicans,orf19.761,Cluster10714
C. albicans,orf19.6602,K. lactis,gene:KLLA0_D12320g,Cluster10715
C. albicans,orf19.6601.1,K. lactis,gene:KLLA0_D12298g,Cluster10716
C. albicans,orf19.4427,K. lactis,gene:KLLA0_E16941g,Cluster10717
C. albicans,orf19.6598,K. lactis,gene:KLLA0_C04774g,Cluster10718
C. albicans,orf19.7448,K. lactis,gene:KLLA0_C18744g,Cluster10724
K. lactis,gene:KLLA0_F11770g,C. albicans,orf19.5369,Cluster10726
K. lactis,gene:KLLA0_C08998g,C. albicans,orf19.4234,Cluster10727
C. albicans,orf19.3356,K. lactis,gene:KLLA0_D15136g,Cluster10728
K. lactis,gene:KLLA0_F19778g,C. albicans,orf19.5544,Cluster10729
C. albicans,orf19.4096,K. lactis,gene:KLLA0_B10978g,Cluster10730
K. lactis,gene:KLLA0_F24662g,C. albicans,orf19.3178,Cluster10732
K. lactis,gene:KLLA0_F15774g,C. albicans,orf19.5147,Cluster10733
K. lactis,gene:KLLA0_F11385g,C. albicans,orf19.3676,Cluster10743
K. lactis,gene:KLLA0_F10307g,C. albicans,orf19.7643,Cluster10744
K. lactis,gene:KLLA0_E07767g,C. albicans,orf19.7068,Cluster1075
C. albicans,orf19.1042,K. lactis,gene:KLLA0_F03553g,Cluster1076
C. albicans,orf19.2098,K. lactis,gene:KLLA0_F10021g,Cluster10765
K. lactis,gene:KLLA0_B05489g,C. albicans,orf19.6033,Cluster1077
C. albicans,orf19.738,K. lactis,gene:KLLA0_B12562g,Cluster10777
C. albicans,orf19.3929,K. lactis,gene:KLLA0_E10033g,Cluster10778
K. lactis,gene:KLLA0_A05775g,C. albicans,orf19.4494,Cluster1078
K. lactis,gene:KLLA0_E17887g,C. albicans,orf19.5219,Cluster10780
K. lactis,gene:KLLA0_D05423g,C. albicans,orf19.4929,Cluster10783
C. albicans,orf19.5237,K. lactis,gene:KLLA0_B12870g,Cluster10784
K. lactis,gene:KLLA0_C07084g,C. albicans,orf19.4606,Cluster10785
K. lactis,gene:KLLA0_B01023g,C. albicans,orf19.6378,Cluster10786
C. albicans,orf19.2590,K. lactis,gene:KLLA0_B00407g,Cluster10787
K. lactis,gene:KLLA0_F21736g,C. albicans,orf19.1862,Cluster10788
C. albicans,orf19.1010,K. lactis,gene:KLLA0_E13861g,Cluster1079
C. albicans,orf19.1791,K. lactis,gene:KLLA0_E07965g,Cluster10791
K. lactis,gene:KLLA0_D05313g,C. albicans,orf19.3052,Cluster10793
C. albicans,orf19.6987,K. lactis,gene:KLLA0_F12892g,Cluster10795
K. lactis,gene:KLLA0_F06490g,C. albicans,orf19.6028,Cluster10797
K. lactis,gene:KLLA0_B02046g,C. albicans,orf19.3462,Cluster10798
C. albicans,orf19.1672,K. lactis,gene:KLLA0_F04884g,Cluster10799
K. lactis,gene:KLLA0_F22880g,C. albicans,orf19.6182,Cluster108
K. lactis,gene:KLLA0_F22990g,C. albicans,orf19.6182,Cluster108
C. albicans,orf19.548,K. lactis,gene:KLLA0_F12848g,Cluster1080
C. albicans,orf19.3207,K. lactis,gene:KLLA0_C02233g,Cluster10800
C. albicans,orf19.1960,K. lactis,gene:KLLA0_C13057g,Cluster10803
C. albicans,orf19.7360,K. lactis,gene:KLLA0_D11682g,Cluster1081
C. albicans,orf19.6376,K. lactis,gene:KLLA0_C13706g,Cluster10815
K. lactis,gene:KLLA0_F22385g,C. albicans,orf19.4969,Cluster10816
C. albicans,orf19.1798,K. lactis,gene:KLLA0_A11792g,Cluster10817
K. lactis,gene:KLLA0_B14124g,C. albicans,orf19.6463,Cluster10818
K. lactis,gene:KLLA0_F14553g,C. albicans,orf19.2788,Cluster10819
K. lactis,gene:KLLA0_F03817g,C. albicans,orf19.3468,Cluster1082
C. albicans,orf19.3114,K. lactis,gene:KLLA0_D18172g,Cluster10820
C. albicans,orf19.6343,K. lactis,gene:KLLA0_C03542g,Cluster10821
C. albicans,orf19.908,K. lactis,gene:KLLA0_B07777g,Cluster10822
K. lactis,gene:KLLA0_B01111g,C. albicans,orf19.726,Cluster10823
K. lactis,gene:KLLA0_F12496g,C. albicans,orf19.6285,Cluster10824
K. lactis,gene:KLLA0_C03454g,C. albicans,orf19.2454,Cluster10828
K. lactis,gene:KLLA0_E21583g,C. albicans,orf19.3013,Cluster1083
C. albicans,orf19.384,K. lactis,gene:KLLA0_D12760g,Cluster10830
K. lactis,gene:KLLA0_E13575g,C. albicans,orf19.3628,Cluster10831
C. albicans,orf19.5050,K. lactis,gene:KLLA0_A00935g,Cluster10832
C. albicans,orf19.7245,K. lactis,gene:KLLA0_F24706g,Cluster10833
C. albicans,orf19.7243,K. lactis,gene:KLLA0_D08074g,Cluster10834
C. albicans,orf19.5963,K. lactis,gene:KLLA0_F05203g,Cluster10835
C. albicans,orf19.1092,K. lactis,gene:KLLA0_E20747g,Cluster10836
C. albicans,orf19.4680,K. lactis,gene:KLLA0_A00550g,Cluster10837
C. albicans,orf19.5885,K. lactis,gene:KLLA0_E22529g,Cluster10838
C. albicans,orf19.4005,K. lactis,gene:KLLA0_D18711g,Cluster10839
C. albicans,orf19.3633,K. lactis,gene:KLLA0_C11803g,Cluster10840
K. lactis,gene:KLLA0_F16511g,C. albicans,orf19.1601,Cluster10843
