cgla_gene,scer_gene,cgla_cluster,scer_cluster
CAGL0H04609g,YBL088C,Cluster4048,Cluster5929
CAGL0H04609g,YBL088C,Cluster4048,Cluster5929
CAGL0H07161g,YDR317W,Cluster2921,Cluster3569
CAGL0H07161g,YDR317W,Cluster2921,Cluster3569
CAGL0H07139g,YDR318W,Cluster5631,Cluster10024
CAGL0H07139g,YDR318W,Cluster5631,Cluster10024
CAGL0H07095g,YDR320C,Cluster2922,Cluster3657
CAGL0H07095g,YDR320C,Cluster2922,Cluster3657
CAGL0H07051g,YDR321W,Cluster2925,Cluster4356
CAGL0H07051g,YDR321W,Cluster2925,Cluster4356
CAGL0G03575g,YBL087C,Cluster10570,Cluster8701
CAGL0G03575g,YBL087C,Cluster10570,Cluster8701
CAGL0H07023g,YDR322C-A,Cluster10562,Cluster11702
CAGL0H07023g,YDR322C-A,Cluster10562,Cluster11702
CAGL0M01430g,YDR324C,Cluster806,Cluster3413
CAGL0M01430g,YDR324C,Cluster806,Cluster3413
CAGL0M01386g,YDR326C,Cluster3034,Cluster7285
CAGL0M01386g,YDR326C,Cluster3034,Cluster7285
CAGL0M01364g,YDR328C,Cluster826,Cluster10717
CAGL0M01364g,YDR328C,Cluster826,Cluster10717
CAGL0M01342g,YDR329C,Cluster9706,Cluster10550
CAGL0M01342g,YDR329C,Cluster9706,Cluster10550
CAGL0M01320g,YDR330W,Cluster2595,Cluster3236
CAGL0M01320g,YDR330W,Cluster2595,Cluster3236
CAGL0M01276g,YDR332W,Cluster8155,Cluster750
CAGL0M01276g,YDR332W,Cluster8155,Cluster750
CAGL0M01188g,YDR334W,Cluster1431,Cluster2952
CAGL0M01188g,YDR334W,Cluster1431,Cluster2952
CAGL0M01144g,YDR335W,Cluster5851,Cluster1455
CAGL0M01144g,YDR335W,Cluster5851,Cluster1455
CAGL0M01100g,YDR337W,Cluster9887,Cluster11090
CAGL0M01100g,YDR337W,Cluster9887,Cluster11090
CAGL0M01078g,YDR338C,Cluster5715,Cluster12080
CAGL0M01078g,YDR338C,Cluster5715,Cluster12080
CAGL0M01056g,YDR339C,Cluster3827,Cluster11313
CAGL0M01056g,YDR339C,Cluster3827,Cluster11313
CAGL0A02189g,YDR341C,Cluster3069,Cluster10162
CAGL0A02189g,YDR341C,Cluster3069,Cluster10162
CAGL0A02211g,YDR342C,Cluster3277,Cluster4476
CAGL0A02211g,YDR342C,Cluster3277,Cluster4476
CAGL0C01881g,YBL085W,Cluster3674,Cluster752
CAGL0C01881g,YBL085W,Cluster3674,Cluster752
CAGL0A02387g,YDR347W,Cluster6577,Cluster56
CAGL0A02387g,YDR347W,Cluster6577,Cluster56
CAGL0A02431g,YDR349C,Cluster4949,Cluster7579
CAGL0A02431g,YDR349C,Cluster4949,Cluster7579
CAGL0L11572g,YDR351W,Cluster551,Cluster5068
CAGL0L11572g,YDR351W,Cluster551,Cluster5068
CAGL0I01166g,YDR353W,Cluster10063,Cluster12224
CAGL0I01166g,YDR353W,Cluster10063,Cluster12224
CAGL0C01903g,YBL084C,Cluster11803,Cluster3627
CAGL0C01903g,YBL084C,Cluster11803,Cluster3627
CAGL0A02618g,YDR357C,Cluster3546,Cluster5126
CAGL0A02618g,YDR357C,Cluster3546,Cluster5126
CAGL0A02629g,YDR358W,Cluster4367,Cluster11040
CAGL0A02629g,YDR358W,Cluster4367,Cluster11040
CAGL0A02651g,YDR359C,Cluster11318,Cluster4881
CAGL0A02651g,YDR359C,Cluster11318,Cluster4881
CAGL0A02673g,YDR361C,Cluster411,Cluster4885
CAGL0A02673g,YDR361C,Cluster411,Cluster4885
CAGL0A02695g,YDR362C,Cluster3823,Cluster11475
CAGL0A02695g,YDR362C,Cluster3823,Cluster11475
CAGL0A02728g,YDR363W-A,Cluster4072,Cluster5696
CAGL0A02728g,YDR363W-A,Cluster4072,Cluster5696
CAGL0L11638g,YDR365C,Cluster7923,Cluster1879
CAGL0L11638g,YDR365C,Cluster7923,Cluster1879
CAGL0I01100g,YDR368W,Cluster1212,Cluster114
CAGL0I01100g,YDR368W,Cluster1212,Cluster114
CAGL0A02838g,YDR369C,Cluster4828,Cluster8434
CAGL0A02838g,YDR369C,Cluster4828,Cluster8434
CAGL0A02860g,YDR370C,Cluster7716,Cluster5868
CAGL0A02860g,YDR370C,Cluster7716,Cluster5868
CAGL0A02926g,YDR372C,Cluster7089,Cluster182
CAGL0A02926g,YDR372C,Cluster7089,Cluster182
CAGL0A02948g,YDR373W,Cluster4113,Cluster12305
CAGL0A02948g,YDR373W,Cluster4113,Cluster12305
CAGL0A02970g,YDR374C,Cluster5246,Cluster4547
CAGL0A02970g,YDR374C,Cluster5246,Cluster4547
CAGL0A04587g,YBL082C,Cluster4454,Cluster10836
CAGL0A04587g,YBL082C,Cluster4454,Cluster10836
CAGL0A02992g,YDR375C,Cluster2616,Cluster10086
CAGL0A02992g,YDR375C,Cluster2616,Cluster10086
CAGL0A03051g,YDR378C,Cluster8862,Cluster601
CAGL0A03051g,YDR378C,Cluster8862,Cluster601
CAGL0A03058g,YDR379W,Cluster11995,Cluster1849
CAGL0A03058g,YDR379W,Cluster11995,Cluster1849
CAGL0A03080g,YDR379C-A,Cluster8987,Cluster2428
CAGL0A03080g,YDR379C-A,Cluster8987,Cluster2428
CAGL0A03102g,YDR380W,Cluster3746,Cluster9790
CAGL0A03102g,YDR380W,Cluster3746,Cluster9790
CAGL0A03117g,YDR381W,Cluster5001,Cluster11160
CAGL0A03117g,YDR381W,Cluster5001,Cluster11160
CAGL0A03146g,YDR381C-A,Cluster190,Cluster6786
CAGL0A03146g,YDR381C-A,Cluster190,Cluster6786
CAGL0A03168g,YDR382W,Cluster10542,Cluster6674
CAGL0A03168g,YDR382W,Cluster10542,Cluster6674
CAGL0J07282g,YAL056W,Cluster1523,Cluster3050
CAGL0J07282g,YAL056W,Cluster1523,Cluster3050
CAGL0A04631g,YBL081W,Cluster6639,Cluster9565
CAGL0A04631g,YBL081W,Cluster6639,Cluster9565
CAGL0M01672g,YDR387C,Cluster5445,Cluster9291
CAGL0M01672g,YDR387C,Cluster5445,Cluster9291
CAGL0M01628g,YDR389W,Cluster4262,Cluster1858
CAGL0M01628g,YDR389W,Cluster4262,Cluster1858
CAGL0M01606g,YDR390C,Cluster1985,Cluster6140
CAGL0M01606g,YDR390C,Cluster1985,Cluster6140
CAGL0M01540g,YDR392W,Cluster2393,Cluster11945
CAGL0M01540g,YDR392W,Cluster2393,Cluster11945
CAGL0A04653g,YBL080C,Cluster812,Cluster8397
CAGL0A04653g,YBL080C,Cluster812,Cluster8397
CAGL0M01518g,YDR393W,Cluster7375,Cluster10179
CAGL0M01518g,YDR393W,Cluster7375,Cluster10179
CAGL0K09526g,YDR394W,Cluster12010,Cluster1021
CAGL0K09526g,YDR394W,Cluster12010,Cluster1021
CAGL0M01496g,YDR395W,Cluster604,Cluster6547
CAGL0M01496g,YDR395W,Cluster604,Cluster6547
CAGL0M01474g,YDR397C,Cluster3790,Cluster1972
CAGL0M01474g,YDR397C,Cluster3790,Cluster1972
CAGL0F02541g,YDR398W,Cluster2178,Cluster7111
CAGL0F02541g,YDR398W,Cluster2178,Cluster7111
CAGL0F02563g,YDR399W,Cluster2177,Cluster9172
CAGL0F02563g,YDR399W,Cluster2177,Cluster9172
CAGL0F02607g,YDR402C,Cluster895,Cluster8681
CAGL0F02607g,YDR402C,Cluster895,Cluster8681
CAGL0F02651g,YDR403W,Cluster2175,Cluster3876
CAGL0F02651g,YDR403W,Cluster2175,Cluster3876
CAGL0F02673g,YDR404C,Cluster12511,Cluster1320
CAGL0F02673g,YDR404C,Cluster12511,Cluster1320
CAGL0G03355g,YBL079W,Cluster4462,Cluster2596
CAGL0G03355g,YBL079W,Cluster4462,Cluster2596
CAGL0F02739g,YDR407C,Cluster2176,Cluster5545
CAGL0F02739g,YDR407C,Cluster2176,Cluster5545
CAGL0F02761g,YDR408C,Cluster12073,Cluster9779
CAGL0F02761g,YDR408C,Cluster12073,Cluster9779
CAGL0L04290g,YDR409W,Cluster6640,Cluster8615
CAGL0L04290g,YDR409W,Cluster6640,Cluster8615
CAGL0F02827g,YDR411C,Cluster5898,Cluster8175
CAGL0F02827g,YDR411C,Cluster5898,Cluster8175
CAGL0F02849g,YDR412W,Cluster211,Cluster4175
CAGL0F02849g,YDR412W,Cluster211,Cluster4175
CAGL0F02871g,YDR414C,Cluster10496,Cluster7271
CAGL0F02871g,YDR414C,Cluster10496,Cluster7271
CAGL0A04675g,YBL078C,Cluster6730,Cluster10670
CAGL0A04675g,YBL078C,Cluster6730,Cluster10670
CAGL0F02937g,YDR418W,Cluster1032,Cluster10709
CAGL0F02937g,YDR418W,Cluster1032,Cluster10709
CAGL0F02959g,YDR419W,Cluster12444,Cluster1393
CAGL0F02959g,YDR419W,Cluster12444,Cluster1393
CAGL0F03025g,YDR421W,Cluster8963,Cluster5206
CAGL0F03025g,YDR421W,Cluster8963,Cluster5206
CAGL0F03047g,YDR422C,Cluster11133,Cluster11557
CAGL0F03047g,YDR422C,Cluster11133,Cluster11557
CAGL0F03091g,YDR424C,Cluster7252,Cluster5356
CAGL0F03091g,YDR424C,Cluster7252,Cluster5356
CAGL0G03311g,YBL076C,Cluster11137,Cluster6489
CAGL0G03311g,YBL076C,Cluster11137,Cluster6489
CAGL0F03135g,YDR427W,Cluster7250,Cluster6350
CAGL0F03135g,YDR427W,Cluster7250,Cluster6350
CAGL0H04675g,YDR429C,Cluster4084,Cluster11873
CAGL0H04675g,YDR429C,Cluster4084,Cluster11873
CAGL0F03157g,YDR430C,Cluster7247,Cluster11023
CAGL0F03157g,YDR430C,Cluster7247,Cluster11023
CAGL0H04763g,YDR432W,Cluster941,Cluster5714
CAGL0H04763g,YDR432W,Cluster941,Cluster5714
CAGL0G07018g,YDR438W,Cluster5860,Cluster6860
CAGL0G07018g,YDR438W,Cluster5860,Cluster6860
CAGL0G03289g,YBL075C,Cluster5566,Cluster5781
CAGL0G03289g,YBL075C,Cluster5566,Cluster5781
CAGL0J10560g,YDR439W,Cluster11304,Cluster11109
CAGL0J10560g,YDR439W,Cluster11304,Cluster11109
CAGL0J10516g,YDR440W,Cluster1384,Cluster1245
CAGL0J10516g,YDR440W,Cluster1384,Cluster1245
CAGL0G07106g,YDR441C,Cluster8848,Cluster5862
CAGL0G07106g,YDR441C,Cluster8848,Cluster5862
CAGL0J10472g,YDR443C,Cluster3036,Cluster5183
CAGL0J10472g,YDR443C,Cluster3036,Cluster5183
CAGL0M10043g,YDR444W,Cluster6717,Cluster8937
CAGL0M10043g,YDR444W,Cluster6717,Cluster8937
CAGL0K06149g,YDR447C,Cluster11915,Cluster11698
CAGL0K06149g,YDR447C,Cluster11915,Cluster11698
CAGL0G07227g,YDR450W,Cluster8295,Cluster175
CAGL0G07227g,YDR450W,Cluster8295,Cluster175
CAGL0A04543g,YBL074C,Cluster8975,Cluster1883
CAGL0A04543g,YBL074C,Cluster8975,Cluster1883
CAGL0K06237g,YDR452W,Cluster1819,Cluster2325
CAGL0K06237g,YDR452W,Cluster1819,Cluster2325
CAGL0G07271g,YDR453C,Cluster4698,Cluster12290
CAGL0G07271g,YDR453C,Cluster4698,Cluster12290
CAGL0G07337g,YDR456W,Cluster2897,Cluster11184
CAGL0G07337g,YDR456W,Cluster2897,Cluster11184
CAGL0K06303g,YDR457W,Cluster8990,Cluster10713
CAGL0K06303g,YDR457W,Cluster8990,Cluster10713
CAGL0G07403g,YDR458C,Cluster6408,Cluster3267
CAGL0G07403g,YDR458C,Cluster6408,Cluster3267
CAGL0K06413g,YDR463W,Cluster8059,Cluster6931
CAGL0K06413g,YDR463W,Cluster8059,Cluster6931
CAGL0K06435g,YDR464W,Cluster1550,Cluster5248
CAGL0K06435g,YDR464W,Cluster1550,Cluster5248
CAGL0K06457g,YDR465C,Cluster5133,Cluster1970
CAGL0K06457g,YDR465C,Cluster5133,Cluster1970
CAGL0K06501g,YDR468C,Cluster2137,Cluster12345
CAGL0K06501g,YDR468C,Cluster2137,Cluster12345
CAGL0K06523g,YDR469W,Cluster4796,Cluster2575
CAGL0K06523g,YDR469W,Cluster4796,Cluster2575
CAGL0K06545g,YDR470C,Cluster10033,Cluster12417
CAGL0K06545g,YDR470C,Cluster10033,Cluster12417
CAGL0K06589g,YDR472W,Cluster5543,Cluster7458
CAGL0K06589g,YDR472W,Cluster5543,Cluster7458
CAGL0M08976g,YDR473C,Cluster9953,Cluster10549
CAGL0M08976g,YDR473C,Cluster9953,Cluster10549
CAGL0M08910g,YDR477W,Cluster3522,Cluster6017
CAGL0M08910g,YDR477W,Cluster3522,Cluster6017
CAGL0M08866g,YDR479C,Cluster9955,Cluster7568
CAGL0M08866g,YDR479C,Cluster9955,Cluster7568
CAGL0L12782g,YDR480W,Cluster3367,Cluster12514
CAGL0L12782g,YDR480W,Cluster3367,Cluster12514
CAGL0H07359g,YDR481C,Cluster11251,Cluster6032
CAGL0H07359g,YDR481C,Cluster11251,Cluster6032
CAGL0H07403g,YDR483W,Cluster7683,Cluster11902
CAGL0H07403g,YDR483W,Cluster7683,Cluster11902
CAGL0A04499g,YBL071W-A,Cluster3882,Cluster4169
CAGL0A04499g,YBL071W-A,Cluster3882,Cluster4169
CAGL0F05181g,YDR484W,Cluster1265,Cluster11566
CAGL0F05181g,YDR484W,Cluster1265,Cluster11566
CAGL0F05159g,YDR485C,Cluster1273,Cluster4541
CAGL0F05159g,YDR485C,Cluster1273,Cluster4541
CAGL0G04543g,YDR486C,Cluster1949,Cluster10139
CAGL0G04543g,YDR486C,Cluster1949,Cluster10139
CAGL0I07557g,YDR487C,Cluster5817,Cluster6887
CAGL0I07557g,YDR487C,Cluster5817,Cluster6887
CAGL0I07513g,YDR490C,Cluster6026,Cluster436
CAGL0I07513g,YDR490C,Cluster6026,Cluster436
CAGL0G04631g,YDR492W,Cluster1676,Cluster7551
CAGL0G04631g,YDR492W,Cluster1676,Cluster7551
CAGL0I07447g,YDR497C,Cluster11635,Cluster2621
CAGL0I07447g,YDR497C,Cluster11635,Cluster2621
CAGL0J08393g,YDR499W,Cluster1312,Cluster11191
CAGL0J08393g,YDR499W,Cluster1312,Cluster11191
CAGL0B01203g,YDR500C,Cluster9507,Cluster3268
CAGL0B01203g,YDR500C,Cluster9507,Cluster3268
CAGL0B01188g,YDR501W,Cluster8789,Cluster8631
CAGL0B01188g,YDR501W,Cluster8789,Cluster8631
CAGL0J08415g,YDR502C,Cluster10065,Cluster7206
CAGL0J08415g,YDR502C,Cluster10065,Cluster7206
CAGL0M11176g,YMR222C,Cluster2210,Cluster9487
CAGL0M11176g,YMR222C,Cluster2210,Cluster9487
CAGL0J08437g,YDR503C,Cluster11531,Cluster8597
CAGL0J08437g,YDR503C,Cluster11531,Cluster8597
CAGL0J08459g,YDR505C,Cluster4428,Cluster1402
CAGL0J08459g,YDR505C,Cluster4428,Cluster1402
CAGL0G03267g,YBL069W,Cluster9039,Cluster6119
CAGL0G03267g,YBL069W,Cluster9039,Cluster6119
CAGL0J08481g,YDR506C,Cluster9198,Cluster2869
CAGL0J08481g,YDR506C,Cluster9198,Cluster2869
CAGL0K05731g,YDR510W,Cluster5290,Cluster1332
CAGL0K05731g,YDR510W,Cluster5290,Cluster1332
CAGL0K05775g,YDR511W,Cluster11051,Cluster265
CAGL0K05775g,YDR511W,Cluster11051,Cluster265
CAGL0H01705g,YDR519W,Cluster12018,Cluster8586
CAGL0H01705g,YDR519W,Cluster12018,Cluster8586
CAGL0H01683g,YDR520C,Cluster2672,Cluster6609
CAGL0H01683g,YDR520C,Cluster2672,Cluster6609
CAGL0H01617g,YDR524C,Cluster8668,Cluster8803
CAGL0H01617g,YDR524C,Cluster8668,Cluster8803
CAGL0H01595g,YDR527W,Cluster11310,Cluster4185
CAGL0H01595g,YDR527W,Cluster11310,Cluster4185
CAGL0G10153g,YDR529C,Cluster10934,Cluster10357
CAGL0G10153g,YDR529C,Cluster10934,Cluster10357
CAGL0H01551g,YDR531W,Cluster547,Cluster8814
CAGL0H01551g,YDR531W,Cluster547,Cluster8814
CAGL0H01573g,YDR532C,Cluster9395,Cluster9379
CAGL0H01573g,YDR532C,Cluster9395,Cluster9379
CAGL0A04477g,YBL067C,Cluster5223,Cluster2500
CAGL0A04477g,YBL067C,Cluster5223,Cluster2500
CAGL0I03212g,YEL025C,Cluster10772,Cluster9734
CAGL0I03212g,YEL025C,Cluster10772,Cluster9734
CAGL0A04433g,YBL064C,Cluster12052,Cluster7346
CAGL0A04433g,YBL064C,Cluster12052,Cluster7346
CAGL0L13288g,YEL062W,Cluster7669,Cluster9268
CAGL0L13288g,YEL062W,Cluster7669,Cluster9268
CAGL0B03619g,YEL060C,Cluster10859,Cluster1780
CAGL0B03619g,YEL060C,Cluster10859,Cluster1780
CAGL0B03553g,YEL055C,Cluster3658,Cluster1967
CAGL0B03553g,YEL055C,Cluster3658,Cluster1967
