cgla_gene,scer_gene,cluster
CAGL0M08712g,YDR264C,Cluster6230
CAGL0M08712g,YDR264C,Cluster6230
CAGL0M08690g,YDR265W,Cluster8321
CAGL0M08690g,YDR265W,Cluster8321
CAGL0G03663g,YBL091C-A,Cluster5689
CAGL0G03663g,YBL091C-A,Cluster5689
CAGL0M08646g,YDR267C,Cluster5454
CAGL0M08646g,YDR267C,Cluster5454
CAGL0I00924g,YDR272W,Cluster3711
CAGL0I00924g,YDR272W,Cluster3711
CAGL0M08552g,YDR276C,Cluster8655
CAGL0M08552g,YDR276C,Cluster8655
CAGL0H01023g,YDR279W,Cluster11529
CAGL0H01023g,YDR279W,Cluster11529
CAGL0J00275g,YDR280W,Cluster11743
CAGL0J00275g,YDR280W,Cluster11743
CAGL0G03641g,YBL091C,Cluster1775
CAGL0G03641g,YBL091C,Cluster1775
CAGL0H01045g,YDR282C,Cluster7125
CAGL0H01045g,YDR282C,Cluster7125
CAGL0H01199g,YDR283C,Cluster2806
CAGL0H01199g,YDR283C,Cluster2806
CAGL0H01144g,YDR285W,Cluster8436
CAGL0H01144g,YDR285W,Cluster8436
CAGL0H01089g,YDR287W,Cluster10966
CAGL0H01089g,YDR287W,Cluster10966
CAGL0H01287g,YDR293C,Cluster267
CAGL0H01287g,YDR293C,Cluster267
CAGL0H01331g,YDR295C,Cluster4299
CAGL0H01331g,YDR295C,Cluster4299
CAGL0H01375g,YDR297W,Cluster4609
CAGL0H01375g,YDR297W,Cluster4609
CAGL0H01485g,YDR302W,Cluster6552
CAGL0H01485g,YDR302W,Cluster6552
CAGL0H01507g,YDR303C,Cluster10969
CAGL0H01507g,YDR303C,Cluster10969
CAGL0G04147g,YDR305C,Cluster12245
CAGL0G04147g,YDR305C,Cluster12245
CAGL0J11044g,YDR307W,Cluster2873
CAGL0J11044g,YDR307W,Cluster2873
CAGL0D03762g,YDR309C,Cluster1156
CAGL0D03762g,YDR309C,Cluster1156
CAGL0H07315g,YDR313C,Cluster8726
CAGL0H07315g,YDR313C,Cluster8726
CAGL0H07271g,YDR315C,Cluster4163
CAGL0H07271g,YDR315C,Cluster4163
CAGL0H07227g,YDR316W,Cluster2543
CAGL0H07227g,YDR316W,Cluster2543
CAGL0H07117g,YDR319C,Cluster1835
CAGL0H07117g,YDR319C,Cluster1835
CAGL0H07073g,YDR320C-A,Cluster2224
CAGL0H07073g,YDR320C-A,Cluster2224
CAGL0H07029g,YDR322W,Cluster7381
CAGL0H07029g,YDR322W,Cluster7381
CAGL0M01452g,YDR323C,Cluster9617
CAGL0M01452g,YDR323C,Cluster9617
CAGL0M01408g,YDR325W,Cluster6506
CAGL0M01408g,YDR325W,Cluster6506
CAGL0M01298g,YDR331W,Cluster9081
CAGL0M01298g,YDR331W,Cluster9081
CAGL0C01815g,YBL086C,Cluster3628
CAGL0C01815g,YBL086C,Cluster3628
CAGL0M01232g,YDR333C,Cluster4147
CAGL0M01232g,YDR333C,Cluster4147
CAGL0M01122g,YDR336W,Cluster10228
CAGL0M01122g,YDR336W,Cluster10228
CAGL0A02233g,YDR343C,Cluster4476
CAGL0A02233g,YDR343C,Cluster4476
CAGL0A02365g,YDR346C,Cluster12458
CAGL0A02365g,YDR346C,Cluster12458
CAGL0A02409g,YDR348C,Cluster1458
CAGL0A02409g,YDR348C,Cluster1458
CAGL0A02475g,YDR350C,Cluster3450
CAGL0A02475g,YDR350C,Cluster3450
CAGL0A02508g,YDR352W,Cluster10572
CAGL0A02508g,YDR352W,Cluster10572
CAGL0A02574g,YDR354W,Cluster2167
CAGL0A02574g,YDR354W,Cluster2167
CAGL0A02596g,YDR356W,Cluster1181
CAGL0A02596g,YDR356W,Cluster1181
CAGL0A02706g,YDR363W,Cluster7823
CAGL0A02706g,YDR363W,Cluster7823
CAGL0A02772g,YDR364C,Cluster4682
CAGL0A02772g,YDR364C,Cluster4682
CAGL0A02794g,YDR367W,Cluster2881
CAGL0A02794g,YDR367W,Cluster2881
CAGL0A02904g,YDR371W,Cluster6412
CAGL0A02904g,YDR371W,Cluster6412
CAGL0A03014g,YDR376W,Cluster6679
CAGL0A03014g,YDR376W,Cluster6679
CAGL0A03036g,YDR377W,Cluster475
CAGL0A03036g,YDR377W,Cluster475
CAGL0A03190g,YDR383C,Cluster3185
CAGL0A03190g,YDR383C,Cluster3185
CAGL0A03212g,YDR384C,Cluster6669
CAGL0A03212g,YDR384C,Cluster6669
CAGL0A03234g,YDR385W,Cluster3481
CAGL0A03234g,YDR385W,Cluster3481
CAGL0A03256g,YDR386W,Cluster11383
CAGL0A03256g,YDR386W,Cluster11383
CAGL0M01650g,YDR388W,Cluster6360
CAGL0M01650g,YDR388W,Cluster6360
CAGL0F02585g,YDR400W,Cluster5637
CAGL0F02585g,YDR400W,Cluster5637
CAGL0F02695g,YDR405W,Cluster4717
CAGL0F02695g,YDR405W,Cluster4717
CAGL0F02805g,YDR410C,Cluster6121
CAGL0F02805g,YDR410C,Cluster6121
CAGL0F02893g,YDR415C,Cluster12396
CAGL0F02893g,YDR415C,Cluster12396
CAGL0F02915g,YDR416W,Cluster2077
CAGL0F02915g,YDR416W,Cluster2077
CAGL0F03003g,YDR420W,Cluster10163
CAGL0F03003g,YDR420W,Cluster10163
CAGL0F03113g,YDR425W,Cluster5784
CAGL0F03113g,YDR425W,Cluster5784
CAGL0F03179g,YDR434W,Cluster5641
CAGL0F03179g,YDR434W,Cluster5641
CAGL0F03201g,YDR435C,Cluster1632
CAGL0F03201g,YDR435C,Cluster1632
CAGL0F03223g,YDR436W,Cluster10823
CAGL0F03223g,YDR436W,Cluster10823
CAGL0J10604g,YDR437W,Cluster4884
CAGL0J10604g,YDR437W,Cluster4884
CAGL0K06127g,YDR446W,Cluster12172
CAGL0K06127g,YDR446W,Cluster12172
CAGL0K06193g,YDR448W,Cluster9250
CAGL0K06193g,YDR448W,Cluster9250
CAGL0K06215g,YDR449C,Cluster11733
CAGL0K06215g,YDR449C,Cluster11733
CAGL0G07249g,YDR451C,Cluster9550
CAGL0G07249g,YDR451C,Cluster9550
CAGL0K06281g,YDR454C,Cluster94
CAGL0K06281g,YDR454C,Cluster94
CAGL0K06347g,YDR459C,Cluster9509
CAGL0K06347g,YDR459C,Cluster9509
CAGL0K06369g,YDR460W,Cluster5837
CAGL0K06369g,YDR460W,Cluster5837
CAGL0K06391g,YDR462W,Cluster10439
CAGL0K06391g,YDR462W,Cluster10439
CAGL0K06479g,YDR466W,Cluster9026
CAGL0K06479g,YDR466W,Cluster9026
CAGL0K06567g,YDR471W,Cluster9429
CAGL0K06567g,YDR471W,Cluster9429
CAGL0A04521g,YBL072C,Cluster10231
CAGL0A04521g,YBL072C,Cluster10231
CAGL0H08261g,YDR475C,Cluster5211
CAGL0H08261g,YDR475C,Cluster5211
CAGL0M08932g,YDR476C,Cluster12032
CAGL0M08932g,YDR476C,Cluster12032
CAGL0M08888g,YDR478W,Cluster2366
CAGL0M08888g,YDR478W,Cluster2366
CAGL0H07381g,YDR482C,Cluster3327
CAGL0H07381g,YDR482C,Cluster3327
CAGL0G04565g,YDR488C,Cluster9614
CAGL0G04565g,YDR488C,Cluster9614
CAGL0G04587g,YDR489W,Cluster2777
CAGL0G04587g,YDR489W,Cluster2777
CAGL0G04653g,YDR493W,Cluster11956
CAGL0G04653g,YDR493W,Cluster11956
CAGL0G04675g,YDR494W,Cluster226
CAGL0G04675g,YDR494W,Cluster226
CAGL0J07194g,YAL055W,Cluster324
CAGL0J07194g,YAL055W,Cluster324
CAGL0G04697g,YDR495C,Cluster5496
CAGL0G04697g,YDR495C,Cluster5496
CAGL0I02926g,YDR496C,Cluster9245
CAGL0I02926g,YDR496C,Cluster9245
CAGL0I02948g,YDR498C,Cluster8691
CAGL0I02948g,YDR498C,Cluster8691
CAGL0K05797g,YDR512C,Cluster6899
CAGL0K05797g,YDR512C,Cluster6899
CAGL0F00583g,YDR517W,Cluster1789
CAGL0F00583g,YDR517W,Cluster1789
CAGL0H01639g,YDR523C,Cluster11827
CAGL0H01639g,YDR523C,Cluster11827
CAGL0I05500g,YBL068W,Cluster7151
CAGL0I05500g,YBL068W,Cluster7151
CAGL0A04455g,YBL066C,Cluster8741
CAGL0A04455g,YBL066C,Cluster8741
CAGL0B03597g,YEL058W,Cluster5586
CAGL0B03597g,YEL058W,Cluster5586
CAGL0B03575g,YEL056W,Cluster2761
CAGL0B03575g,YEL056W,Cluster2761
CAGL0J11858g,YEL050C,Cluster12330
CAGL0J11858g,YEL050C,Cluster12330
CAGL0I01320g,YEL047C,Cluster8205
CAGL0I01320g,YEL047C,Cluster8205
CAGL0L01221g,YEL043W,Cluster3975
CAGL0L01221g,YEL043W,Cluster3975
CAGL0L01243g,YEL042W,Cluster10689
CAGL0L01243g,YEL042W,Cluster10689
CAGL0A04411g,YBL061C,Cluster3338
CAGL0A04411g,YBL061C,Cluster3338
CAGL0L01331g,YEL036C,Cluster1147
CAGL0L01331g,YEL036C,Cluster1147
CAGL0I03080g,YEL021W,Cluster5773
CAGL0I03080g,YEL021W,Cluster5773
CAGL0H06127g,YEL020W-A,Cluster9741
CAGL0H06127g,YEL020W-A,Cluster9741
CAGL0A04389g,YBL059C-A,Cluster9446
CAGL0A04389g,YBL059C-A,Cluster9446
CAGL0L02475g,YEL009C,Cluster8628
CAGL0L02475g,YEL009C,Cluster8628
CAGL0L02387g,YEL003W,Cluster2388
CAGL0L02387g,YEL003W,Cluster2388
CAGL0L02365g,YEL002C,Cluster9668
CAGL0L02365g,YEL002C,Cluster9668
CAGL0L02343g,YEL001C,Cluster8675
CAGL0L02343g,YEL001C,Cluster8675
CAGL0J02222g,YER002W,Cluster11791
CAGL0J02222g,YER002W,Cluster11791
CAGL0H09746g,YER005W,Cluster11949
CAGL0H09746g,YER005W,Cluster11949
CAGL0H09702g,YER007W,Cluster9675
CAGL0H09702g,YER007W,Cluster9675
CAGL0H09680g,YER008C,Cluster11331
CAGL0H09680g,YER008C,Cluster11331
CAGL0H09658g,YER009W,Cluster4245
CAGL0H09658g,YER009W,Cluster4245
CAGL0H09636g,YER010C,Cluster2878
CAGL0H09636g,YER010C,Cluster2878
CAGL0H09548g,YER012W,Cluster9720
CAGL0H09548g,YER012W,Cluster9720
CAGL0H09504g,YER014W,Cluster5359
CAGL0H09504g,YER014W,Cluster5359
CAGL0H09460g,YER015W,Cluster3324
CAGL0H09460g,YER015W,Cluster3324
CAGL0E06556g,YER019W,Cluster3712
CAGL0E06556g,YER019W,Cluster3712
CAGL0I08239g,YER021W,Cluster2580
CAGL0I08239g,YER021W,Cluster2580
CAGL0I08283g,YER023W,Cluster6980
CAGL0I08283g,YER023W,Cluster6980
CAGL0I05038g,YBL056W,Cluster571
CAGL0I05038g,YBL056W,Cluster571
CAGL0I08327g,YER025W,Cluster10138
CAGL0I08327g,YER025W,Cluster10138
CAGL0C02453g,YER031C,Cluster10182
CAGL0C02453g,YER031C,Cluster10182
CAGL0C02431g,YER032W,Cluster7409
CAGL0C02431g,YER032W,Cluster7409
CAGL0A04279g,YBL055C,Cluster5538
CAGL0A04279g,YBL055C,Cluster5538
CAGL0C02387g,YER034W,Cluster516
CAGL0C02387g,YER034W,Cluster516
CAGL0C02343g,YER036C,Cluster4193
CAGL0C02343g,YER036C,Cluster4193
CAGL0H09196g,YER039C,Cluster10170
CAGL0H09196g,YER039C,Cluster10170
CAGL0C02277g,YER040W,Cluster11978
CAGL0C02277g,YER040W,Cluster11978
CAGL0C02255g,YER041W,Cluster907
CAGL0C02255g,YER041W,Cluster907
CAGL0C02233g,YER042W,Cluster10682
CAGL0C02233g,YER042W,Cluster10682
CAGL0I05060g,YBL054W,Cluster1210
CAGL0I05060g,YBL054W,Cluster1210
CAGL0J02728g,YER047C,Cluster170
CAGL0J02728g,YER047C,Cluster170
CAGL0J02750g,YER048C,Cluster5135
CAGL0J02750g,YER048C,Cluster5135
CAGL0J02838g,YER050C,Cluster12365
CAGL0J02838g,YER050C,Cluster12365
CAGL0J02860g,YER051W,Cluster10134
CAGL0J02860g,YER051W,Cluster10134
CAGL0J02904g,YER054C,Cluster2196
CAGL0J02904g,YER054C,Cluster2196
CAGL0M12408g,YER056C-A,Cluster460
CAGL0M12408g,YER056C-A,Cluster460
CAGL0J03058g,YER065C,Cluster5558
CAGL0J03058g,YER065C,Cluster5558
CAGL0A04213g,YBL051C,Cluster7812
CAGL0A04213g,YBL051C,Cluster7812
CAGL0J03190g,YER071C,Cluster10334
CAGL0J03190g,YER071C,Cluster10334
CAGL0M12705g,YER072W,Cluster2474
CAGL0M12705g,YER072W,Cluster2474
CAGL0J03212g,YER073W,Cluster2599
CAGL0J03212g,YER073W,Cluster2599
CAGL0J03234g,YER074W,Cluster9650
CAGL0J03234g,YER074W,Cluster9650
CAGL0J03245g,YER074W-A,Cluster6374
CAGL0J03245g,YER074W-A,Cluster6374
CAGL0J03278g,YER077C,Cluster10644
CAGL0J03278g,YER077C,Cluster10644
CAGL0J03322g,YER080W,Cluster6376
CAGL0J03322g,YER080W,Cluster6376
CAGL0M12837g,YER081W,Cluster5355
CAGL0M12837g,YER081W,Cluster5355
CAGL0J03344g,YER082C,Cluster2430
CAGL0J03344g,YER082C,Cluster2430
CAGL0I05126g,YER086W,Cluster6134
CAGL0I05126g,YER086W,Cluster6134
CAGL0I04950g,YER093C,Cluster11470
CAGL0I04950g,YER093C,Cluster11470
CAGL0I04906g,YER094C,Cluster5652
CAGL0I04906g,YER094C,Cluster5652
CAGL0G03333g,YER104W,Cluster9956
CAGL0G03333g,YER104W,Cluster9956
CAGL0G03377g,YER106W,Cluster9949
CAGL0G03377g,YER106W,Cluster9949
CAGL0G03399g,YER107C,Cluster6908
CAGL0G03399g,YER107C,Cluster6908
CAGL0A04565g,YER111C,Cluster4526
CAGL0A04565g,YER111C,Cluster4526
CAGL0G03553g,YER116C,Cluster8325
CAGL0G03553g,YER116C,Cluster8325
CAGL0F04587g,YBL046W,Cluster11970
CAGL0F04587g,YBL046W,Cluster11970
CAGL0K02233g,YER126C,Cluster9896
CAGL0K02233g,YER126C,Cluster9896
CAGL0K02211g,YER127W,Cluster3839
CAGL0K02211g,YER127W,Cluster3839
CAGL0K02189g,YER128W,Cluster11969
CAGL0K02189g,YER128W,Cluster11969
CAGL0K02167g,YER129W,Cluster4034
CAGL0K02167g,YER129W,Cluster4034
CAGL0B01875g,YDR119W-A,Cluster11060
CAGL0B01875g,YDR119W-A,Cluster11060
CAGL0I06743g,YER145C,Cluster4703
CAGL0I06743g,YER145C,Cluster4703
CAGL0I06721g,YER146W,Cluster595
CAGL0I06721g,YER146W,Cluster595
CAGL0F04521g,YBL043W,Cluster12496
CAGL0F04521g,YBL043W,Cluster12496
CAGL0I06710g,YER147C,Cluster2536
CAGL0I06710g,YER147C,Cluster2536
CAGL0I06688g,YER148W,Cluster6065
CAGL0I06688g,YER148W,Cluster6065
CAGL0I06578g,YER152C,Cluster6041
CAGL0I06578g,YER152C,Cluster6041
CAGL0I06512g,YER155C,Cluster1849
CAGL0I06512g,YER155C,Cluster1849
CAGL0I08547g,YER156C,Cluster10895
CAGL0I08547g,YER156C,Cluster10895
CAGL0I08569g,YER157W,Cluster1975
CAGL0I08569g,YER157W,Cluster1975
CAGL0I08635g,YER159C,Cluster11114
CAGL0I08635g,YER159C,Cluster11114
CAGL0L11704g,YER161C,Cluster11705
CAGL0L11704g,YER161C,Cluster11705
CAGL0L11902g,YER170W,Cluster948
CAGL0L11902g,YER170W,Cluster948
CAGL0L11968g,YER173W,Cluster7153
CAGL0L11968g,YER173W,Cluster7153
CAGL0F09163g,YER182W,Cluster6404
CAGL0F09163g,YER182W,Cluster6404
CAGL0F04433g,YBL039C,Cluster7541
CAGL0F04433g,YBL039C,Cluster7541
CAGL0K12936g,YFL049W,Cluster2561
CAGL0K12936g,YFL049W,Cluster2561
CAGL0L13244g,YFL048C,Cluster7058
CAGL0L13244g,YFL048C,Cluster7058
CAGL0K12870g,YFL046W,Cluster4707
CAGL0K12870g,YFL046W,Cluster4707
CAGL0K12848g,YFL045C,Cluster10093
CAGL0K12848g,YFL045C,Cluster10093
CAGL0K12782g,YFL044C,Cluster9433
CAGL0K12782g,YFL044C,Cluster9433
CAGL0K12738g,YFL041W,Cluster8836
CAGL0K12738g,YFL041W,Cluster8836
CAGL0K12694g,YFL039C,Cluster8362
CAGL0K12694g,YFL039C,Cluster8362
CAGL0K12650g,YFL037W,Cluster1338
CAGL0K12650g,YFL037W,Cluster1338
CAGL0F01683g,YFL034C-A,Cluster1715
CAGL0F01683g,YFL034C-A,Cluster1715
CAGL0F04367g,YBL036C,Cluster4374
CAGL0F04367g,YBL036C,Cluster4374
CAGL0K12540g,YFL031W,Cluster6503
CAGL0K12540g,YFL031W,Cluster6503
CAGL0K12518g,YFL030W,Cluster2277
CAGL0K12518g,YFL030W,Cluster2277
CAGL0K12496g,YFL029C,Cluster6494
CAGL0K12496g,YFL029C,Cluster6494
CAGL0K12430g,YFL026W,Cluster3752
CAGL0K12430g,YFL026W,Cluster3752
CAGL0K07700g,YFL023W,Cluster11719
CAGL0K07700g,YFL023W,Cluster11719
CAGL0K07634g,YFL021W,Cluster11976
CAGL0K07634g,YFL021W,Cluster11976
CAGL0D02150g,YFL017W-A,Cluster3685
CAGL0D02150g,YFL017W-A,Cluster3685
CAGL0D02156g,YFL017C,Cluster9659
CAGL0D02156g,YFL017C,Cluster9659
CAGL0F04301g,YBL034C,Cluster9504
CAGL0F04301g,YBL034C,Cluster9504
CAGL0F02167g,YFL003C,Cluster3714
CAGL0F02167g,YFL003C,Cluster3714
CAGL0L08976g,YFL002C,Cluster174
CAGL0L08976g,YFL002C,Cluster174
CAGL0F02299g,YFR001W,Cluster11708
CAGL0F02299g,YFR001W,Cluster11708
CAGL0F02365g,YFR008W,Cluster12132
CAGL0F02365g,YFR008W,Cluster12132
CAGL0K10626g,YFR015C,Cluster8146
CAGL0K10626g,YFR015C,Cluster8146
CAGL0K10406g,YFR018C,Cluster7406
CAGL0K10406g,YFR018C,Cluster7406
CAGL0K10692g,YFR021W,Cluster5610
CAGL0K10692g,YFR021W,Cluster5610
CAGL0I08965g,YFR024C-A,Cluster11731
CAGL0I08965g,YFR024C-A,Cluster11731
CAGL0I09064g,YFR028C,Cluster2808
CAGL0I09064g,YFR028C,Cluster2808
CAGL0D05280g,YFR030W,Cluster9778
CAGL0D05280g,YFR030W,Cluster9778
CAGL0D05258g,YFR031C,Cluster2120
CAGL0D05258g,YFR031C,Cluster2120
CAGL0D05214g,YFR032C-A,Cluster5522
CAGL0D05214g,YFR032C-A,Cluster5522
CAGL0F04191g,YBL029C-A,Cluster9463
CAGL0F04191g,YBL029C-A,Cluster9463
CAGL0C02167g,YFR039C,Cluster10025
CAGL0C02167g,YFR039C,Cluster10025
CAGL0C02013g,YFR045W,Cluster4060
CAGL0C02013g,YFR045W,Cluster4060
CAGL0F04125g,YBL029W,Cluster11833
CAGL0F04125g,YBL029W,Cluster11833
CAGL0A04719g,YFR050C,Cluster5647
CAGL0A04719g,YFR050C,Cluster5647
CAGL0A04741g,YFR051C,Cluster9347
CAGL0A04741g,YFR051C,Cluster9347
CAGL0J07128g,YAL049C,Cluster7157
CAGL0J07128g,YAL049C,Cluster7157
CAGL0A04785g,YGL252C,Cluster7895
CAGL0A04785g,YGL252C,Cluster7895
CAGL0H07645g,YGL249W,Cluster7929
CAGL0H07645g,YGL249W,Cluster7929
CAGL0H07689g,YGL247W,Cluster7269
CAGL0H07689g,YGL247W,Cluster7269
CAGL0C01947g,YGL245W,Cluster10641
CAGL0C01947g,YGL245W,Cluster10641
CAGL0H07821g,YGL238W,Cluster4630
CAGL0H07821g,YGL238W,Cluster4630
CAGL0H07953g,YGL231C,Cluster2804
CAGL0H07953g,YGL231C,Cluster2804
CAGL0I04114g,YGL227W,Cluster7180
CAGL0I04114g,YGL227W,Cluster7180
CAGL0I04125g,YGL226C-A,Cluster2975
CAGL0I04125g,YGL226C-A,Cluster2975
CAGL0I04136g,YGL226W,Cluster926
CAGL0I04136g,YGL226W,Cluster926
CAGL0K01969g,YBL025W,Cluster10884
CAGL0K01969g,YBL025W,Cluster10884
CAGL0I06963g,YGL221C,Cluster2356
CAGL0I06963g,YGL221C,Cluster2356
CAGL0I07007g,YGL219C,Cluster12301
CAGL0I07007g,YGL219C,Cluster12301
CAGL0I07029g,YGL216W,Cluster7439
CAGL0I07029g,YGL216W,Cluster7439
CAGL0K09416g,YGL211W,Cluster3322
CAGL0K09416g,YGL211W,Cluster3322
CAGL0C03047g,YGL207W,Cluster11912
CAGL0C03047g,YGL207W,Cluster11912
CAGL0A03740g,YGL205W,Cluster570
CAGL0A03740g,YGL205W,Cluster570
CAGL0G01232g,YGL203C,Cluster6295
CAGL0G01232g,YGL203C,Cluster6295
CAGL0G01254g,YGL202W,Cluster10765
CAGL0G01254g,YGL202W,Cluster10765
CAGL0D01760g,YGL198W,Cluster12221
CAGL0D01760g,YGL198W,Cluster12221
CAGL0D01826g,YGL195W,Cluster6415
CAGL0D01826g,YGL195W,Cluster6415
CAGL0L06028g,YGL181W,Cluster3325
CAGL0L06028g,YGL181W,Cluster3325
CAGL0J04422g,YBL022C,Cluster2453
CAGL0J04422g,YBL022C,Cluster2453
CAGL0L05940g,YGL176C,Cluster5304
CAGL0L05940g,YGL176C,Cluster5304
CAGL0L05896g,YGL174W,Cluster11920
CAGL0L05896g,YGL174W,Cluster11920
CAGL0L05874g,YGL173C,Cluster10816
CAGL0L05874g,YGL173C,Cluster10816
CAGL0L05852g,YGL172W,Cluster5665
CAGL0L05852g,YGL172W,Cluster5665
CAGL0K02387g,YGL171W,Cluster166
CAGL0K02387g,YGL171W,Cluster166
CAGL0I04312g,YGL167C,Cluster3561
CAGL0I04312g,YGL167C,Cluster3561
CAGL0I04224g,YGL163C,Cluster1976
CAGL0I04224g,YGL163C,Cluster1976
CAGL0K05863g,YGL160W,Cluster12165
CAGL0K05863g,YGL160W,Cluster12165
CAGL0J04378g,YBL020W,Cluster5961
CAGL0J04378g,YBL020W,Cluster5961
CAGL0E05148g,YGL156W,Cluster1327
CAGL0E05148g,YGL156W,Cluster1327
CAGL0E05082g,YGL153W,Cluster11371
CAGL0E05082g,YGL153W,Cluster11371
CAGL0E05016g,YGL148W,Cluster10216
CAGL0E05016g,YGL148W,Cluster10216
CAGL0E04972g,YGL145W,Cluster2079
CAGL0E04972g,YGL145W,Cluster2079
CAGL0E04928g,YGL143C,Cluster9343
CAGL0E04928g,YGL143C,Cluster9343
CAGL0E05940g,YGL139W,Cluster2220
CAGL0E05940g,YGL139W,Cluster2220
CAGL0M12276g,YAL048C,Cluster10545
CAGL0M12276g,YAL048C,Cluster10545
CAGL0J04334g,YBL018C,Cluster2359
CAGL0J04334g,YBL018C,Cluster2359
CAGL0H09020g,YGL133W,Cluster4125
CAGL0H09020g,YGL133W,Cluster4125
CAGL0I09548g,YGL129C,Cluster7899
CAGL0I09548g,YGL129C,Cluster7899
CAGL0I00330g,YGL126W,Cluster1836
CAGL0I00330g,YGL126W,Cluster1836
CAGL0F07073g,YGL123W,Cluster4616
CAGL0F07073g,YGL123W,Cluster4616
CAGL0F07315g,YGL115W,Cluster4569
CAGL0F07315g,YGL115W,Cluster4569
CAGL0F07249g,YGL112C,Cluster8867
CAGL0F07249g,YGL112C,Cluster8867
CAGL0F07425g,YGL110C,Cluster6470
CAGL0F07425g,YGL110C,Cluster6470
CAGL0F07447g,YGL108C,Cluster9129
CAGL0F07447g,YGL108C,Cluster9129
CAGL0J10384g,YGL103W,Cluster8282
CAGL0J10384g,YGL103W,Cluster8282
CAGL0J04268g,YBL015W,Cluster9681
CAGL0J04268g,YBL015W,Cluster9681
CAGL0H03157g,YGL087C,Cluster3448
CAGL0H03157g,YGL087C,Cluster3448
CAGL0H03179g,YGL086W,Cluster6536
CAGL0H03179g,YGL086W,Cluster6536
CAGL0H03201g,YGL085W,Cluster6477
CAGL0H03201g,YGL085W,Cluster6477
CAGL0H03223g,YGL084C,Cluster5179
CAGL0H03223g,YGL084C,Cluster5179
CAGL0H03333g,YGL080W,Cluster1025
CAGL0H03333g,YGL080W,Cluster1025
CAGL0E02871g,YBL013W,Cluster6950
CAGL0E02871g,YBL013W,Cluster6950
CAGL0H03377g,YGL078C,Cluster4276
CAGL0H03377g,YGL078C,Cluster4276
CAGL0H03421g,YGL075C,Cluster10070
CAGL0H03421g,YGL075C,Cluster10070
CAGL0H03531g,YGL068W,Cluster11036
