Cluster1	orf19.2123
Cluster162	orf19.7392
Cluster163	orf19.6197
Cluster163	gene:KLLA0_C16599g
Cluster163	CAGL0I03476g
Cluster163	gene-YDL160C
Cluster164	orf19.5991
Cluster164	gene:KLLA0_F24684g
Cluster164	gene-YDL031W
Cluster164	CAGL0K01551g
Cluster165	orf19.6902
Cluster165	gene:KLLA0_F13926g
Cluster165	gene-YKR024C
Cluster166	orf19.3756
Cluster166	gene:KLLA0_C17424g
Cluster166	CAGL0K02387g
Cluster166	gene-YGL171W
Cluster167	gene:KLLA0_E17337g
Cluster167	gene-YBL002W
Cluster167	orf19.1052
Cluster168	gene:KLLA0_F13310g
Cluster168	gene-YDR224C
Cluster168	orf19.6925
Cluster169	orf19.7620
Cluster169	gene-YOR148C
Cluster169	gene:KLLA0_C06490g
Cluster170	gene-YER047C
Cluster170	CAGL0J02728g
Cluster170	gene:KLLA0_E04379g
Cluster171	CAGL0B04213g
Cluster171	gene-YGR097W
Cluster171	gene:KLLA0_D15081g
Cluster171	gene-YPR115W
Cluster171	orf19.4043
Cluster172	orf19.6541
Cluster172	gene-YPL131W
Cluster172	gene:KLLA0_D06941g
Cluster173	orf19.6831
Cluster173	CAGL0K07029g
Cluster173	gene-YBR237W
Cluster173	gene:KLLA0_F10505g
Cluster174	orf19.6298
Cluster174	CAGL0L08976g
Cluster174	gene-YFL002C
Cluster174	gene:KLLA0_E14367g
Cluster175	gene-YDR450W
Cluster176	CAGL0I03410g
Cluster177	gene-YKL044W
Cluster178	gene-YMR142C
Cluster178	gene:KLLA0_E22001g
Cluster179	orf19.1143
Cluster180	gene-YMR286W
Cluster180	gene:KLLA0_C06270g
Cluster180	orf19.2511.1
Cluster181	gene:KLLA0_D04466g
Cluster181	gene-YKL149C
Cluster181	orf19.3506
Cluster182	orf19.1514
Cluster182	gene:KLLA0_E02355g
Cluster182	gene-YDR372C
Cluster183	gene:KLLA0_E18085g
Cluster183	gene-YKL017C
Cluster183	orf19.6199
Cluster184	gene-YPL207W
Cluster184	orf19.3470
Cluster185	CAGL0K04499g
Cluster186	orf19.811
Cluster186	gene:KLLA0_C04664g
Cluster186	gene-YLR283W
Cluster187	orf19.4534
Cluster187	gene-YBR273C
Cluster187	CAGL0I09482g
Cluster188	gene-YOR147W
Cluster188	gene:KLLA0_C06468g
Cluster188	orf19.7619
Cluster189	orf19.2232
Cluster189	gene-YGR085C
Cluster189	gene:KLLA0_F08261g
Cluster189	gene-YPR102C
Cluster190	CAGL0A03146g
Cluster191	orf19.1409.2
Cluster192	gene-YNCL0049C
Cluster193	CAGL0G02519g
Cluster194	orf19.5205
Cluster195	orf19.5203
Cluster196	orf19.1400
Cluster197	orf19.5717
Cluster198	orf19.5719
Cluster199	orf19.4824
Cluster200	CAGL0H08437g
Cluster201	gene:KLLA0_E07811g
Cluster201	gene-YNL074C
Cluster202	CAGL0E02475g
Cluster203	gene-YBR184W
Cluster204	gene:KLLA0_C06952g
Cluster204	gene-YOR281C
Cluster204	orf19.1769
Cluster205	CAGL0F08591g
Cluster206	CAGL0B02387g
Cluster207	CAGL0H06149g
Cluster208	CAGL0K00935g
Cluster209	gene-YOR235W
Cluster210	CAGL0E06006g
Cluster211	CAGL0F02849g
Cluster212	CAGL0J09570g
Cluster213	orf19.7182
Cluster213	gene:KLLA0_A01045g
Cluster213	gene-YGL232W
Cluster214	orf19.1935
Cluster215	gene-YDR013W
Cluster215	gene:KLLA0_B07095g
Cluster215	orf19.6910
Cluster216	CAGL0D04422g
Cluster217	orf19.4057
Cluster218	gene-YGL258W-A
Cluster219	CAGL0M07117g
Cluster220	gene:KLLA0_E08295g
Cluster220	CAGL0M06897g
Cluster220	gene-YNL024C
Cluster221	gene:KLLA0_F01925g
Cluster221	gene-YBR279W
Cluster221	orf19.3613
Cluster222	orf19.5953
Cluster222	gene:KLLA0_B03047g
Cluster222	gene-YLR403W
Cluster223	gene-YPR014C
Cluster224	gene-YMR236W
Cluster224	gene:KLLA0_F25003g
Cluster224	orf19.1111
Cluster225	orf19.1107
Cluster225	gene:KLLA0_E19647g
Cluster225	gene-YDL173W
Cluster226	gene-YDR494W
Cluster226	CAGL0G04675g
Cluster226	gene:KLLA0_C12375g
Cluster227	CAGL0I01474g
Cluster228	gene-YLR194C
Cluster228	CAGL0A04081g
Cluster228	gene:KLLA0_E19559g
Cluster229	CAGL0F04741g
Cluster230	CAGL0L04664g
Cluster231	CAGL0F03839g
Cluster232	gene-YHR219W
Cluster233	orf19.5710
Cluster234	CAGL0K02035g
Cluster235	CAGL0L03586g
Cluster236	gene:KLLA0_E11595g
Cluster236	gene-YHR023W
Cluster236	orf19.6294
Cluster237	CAGL0D03630g
Cluster238	CAGL0M01914g
Cluster239	gene:KLLA0_D00352g
Cluster240	CAGL0G01012g
Cluster241	CAGL0L12540g
Cluster242	gene:KLLA0_E04313g
Cluster243	CAGL0L03223g
Cluster243	gene-YKR037C
Cluster243	gene:KLLA0_F21428g
Cluster244	CAGL0L12606g
Cluster245	CAGL0M06413g
Cluster246	CAGL0F03729g
Cluster247	orf19.1782.1
Cluster248	gene:KLLA0_D18535g
Cluster248	gene-YDR191W
Cluster248	CAGL0F05621g
Cluster249	CAGL0F07997g
Cluster250	CAGL0H07425g
Cluster251	gene-YNCP0021W
Cluster252	CAGL0K04829g
Cluster253	gene-YBR013C
Cluster254	gene-YOR186W
Cluster255	gene-YMR105W-A
Cluster256	CAGL0M13453g
Cluster257	CAGL0H08019g
Cluster258	orf19.7140
Cluster259	orf19.5649
Cluster260	orf19.7223
Cluster260	gene:KLLA0_B07161g
Cluster260	gene-YBR030W
Cluster261	orf19.2645
Cluster262	CAGL0K05709g
Cluster262	gene-YCL024W
Cluster262	gene:KLLA0_C01650g
Cluster262	gene-YDR507C
Cluster262	orf19.663
Cluster263	orf19.409
Cluster263	gene-YNR018W
Cluster263	gene:KLLA0_F06006g
Cluster264	gene:KLLA0_C15235g
Cluster264	gene-YDL207W
Cluster264	orf19.2215
Cluster265	orf19.6328
Cluster265	gene-YDR511W
Cluster265	gene:KLLA0_C01430g
Cluster266	CAGL0L02959g
Cluster267	orf19.3959
Cluster267	gene:KLLA0_C10571g
Cluster267	CAGL0H01287g
Cluster267	gene-YDR293C
Cluster268	CAGL0L12914g
Cluster269	orf19.2412
Cluster269	gene:KLLA0_E22331g
Cluster269	CAGL0I01518g
Cluster269	gene-YJR044C
Cluster270	gene:KLLA0_A02541g
Cluster270	gene-YLR353W
Cluster271	gene-YKL101W
Cluster271	gene:KLLA0_F13552g
Cluster271	orf19.4308
Cluster272	gene:KLLA0_B08085g
Cluster272	CAGL0K04477g
Cluster272	gene-YGR060W
Cluster272	orf19.3732
Cluster273	gene:KLLA0_C15675g
Cluster273	gene-YPR094W
Cluster273	CAGL0K08074g
Cluster273	orf19.2230
Cluster274	orf19.7048.1
Cluster274	gene-YLR264W
Cluster274	gene:KLLA0_F20383g
Cluster275	orf19.102
Cluster276	CAGL0M13717g
Cluster277	CAGL0I07227g
Cluster278	CAGL0L07502g
Cluster279	orf19.2203.1
Cluster280	orf19.2212
Cluster281	gene-YDR014W-A
Cluster281	CAGL0D04400g
Cluster282	CAGL0G05764g
Cluster283	gene-YFL041W-A
Cluster284	CAGL0K05313g
Cluster285	gene-YOR171C
Cluster285	orf19.5257
Cluster286	orf19.6382
Cluster286	gene-YLL048C
Cluster286	CAGL0E03982g
Cluster286	gene-YHL035C
Cluster286	gene:KLLA0_E00529g
Cluster287	gene-YDR135C
Cluster287	CAGL0E03355g
Cluster287	orf19.6478
Cluster288	gene:KLLA0_A01408g
Cluster288	gene-YGL224C
Cluster288	orf19.3922
Cluster289	gene:KLLA0_E17579g
Cluster289	gene-YDR006C
Cluster289	orf19.451
Cluster290	gene:KLLA0_C06809g
Cluster290	gene-YMR225C
Cluster290	orf19.639.1
Cluster291	gene-YLL015W
Cluster291	gene:KLLA0_D04059g
Cluster291	orf19.5100
Cluster292	CAGL0G00242g
Cluster292	gene-YGR281W
Cluster292	gene:KLLA0_C14234g
Cluster292	orf19.1783
Cluster293	orf19.6885
Cluster293	gene-YAL009W
Cluster293	gene:KLLA0_F08063g
Cluster294	gene:KLLA0_F16038g
Cluster294	orf19.4325
Cluster295	orf19.6848
Cluster295	gene:KLLA0_D11748g
Cluster295	CAGL0L12694g
Cluster295	gene-YPL045W
Cluster296	orf19.1273
Cluster296	gene:KLLA0_D11132g
Cluster296	gene-YNL153C
Cluster297	CAGL0D05302g
Cluster298	CAGL0H02607g
Cluster299	gene-YKL093W
Cluster300	CAGL0J06710g
Cluster301	CAGL0I02134g
Cluster302	CAGL0J03806g
Cluster303	orf19.3087.2
Cluster304	gene-YNCL0017C
Cluster305	CAGL0E04180g
Cluster306	orf19.4814
Cluster307	gene:KLLA0_D04774g
Cluster308	gene-YNCM0002C
Cluster309	gene-YML100W-A
Cluster310	orf19.4193.1
Cluster310	gene:KLLA0_F18040g
Cluster310	CAGL0G05027g
Cluster310	gene-YDR064W
Cluster311	gene-YLR179C
Cluster311	gene:KLLA0_C01738g
Cluster311	orf19.1974
Cluster311	CAGL0B01100g
Cluster311	gene-YLR178C
Cluster312	gene:KLLA0_F04125g
Cluster312	orf19.278
Cluster313	gene-YNCL0023C
Cluster313	CAGL0L13431r
Cluster314	orf19.416
Cluster315	gene-YLR341W
Cluster316	CAGL0J02002g
Cluster317	CAGL0J02024g
Cluster318	CAGL0E05280g
Cluster319	CAGL0L02079g
Cluster320	CAGL0L01892r
Cluster321	orf19.6196
Cluster322	CAGL0G02882r
Cluster323	orf19.3936
Cluster323	gene-YPL110C
Cluster323	gene:KLLA0_F00660g
Cluster324	gene-YAL055W
Cluster324	CAGL0J07194g
Cluster324	gene:KLLA0_F00308g
Cluster325	orf19.3260
Cluster325	CAGL0L05302g
Cluster325	gene-YKL088W
Cluster325	gene:KLLA0_E18349g
Cluster326	orf19.3061.1
Cluster326	gene-YLR367W
Cluster326	gene:KLLA0_B07601g
Cluster326	CAGL0K04587g
Cluster326	gene-YJL190C
Cluster326	orf19.6265
Cluster327	orf19.2940
Cluster327	gene-YLR078C
Cluster327	gene:KLLA0_D05775g
Cluster328	orf19.5622
Cluster328	gene-YEL011W
Cluster328	gene:KLLA0_A11176g
Cluster329	gene-YCR060W
Cluster329	gene:KLLA0_C08910g
Cluster329	orf19.3272
Cluster330	orf19.1673
Cluster330	gene:KLLA0_B10912g
Cluster330	gene-YGR123C
Cluster331	gene-YBR112C
Cluster331	CAGL0D01364g
Cluster331	gene:KLLA0_B09262g
Cluster331	orf19.6798
Cluster332	CAGL0E02739g
Cluster332	gene-YOR007C
Cluster332	gene:KLLA0_D01155g
Cluster332	orf19.5823
Cluster333	gene-YKL035W
Cluster333	gene:KLLA0_F25652g
Cluster333	orf19.1738
Cluster334	orf19.4089
Cluster334	gene-YOR057W
Cluster334	gene:KLLA0_F16302g
Cluster335	orf19.6724
Cluster335	gene:KLLA0_D00902g
Cluster335	gene-YPL262W
Cluster335	orf19.543
Cluster336	orf19.2749
Cluster336	gene:KLLA0_F19965g
Cluster336	gene-YDR132C
Cluster336	CAGL0M11682g
Cluster337	CAGL0D05698g
Cluster338	gene-YNR072W
Cluster339	gene-YBR144C
Cluster340	gene-YJR154W
Cluster341	gene-YMR141C
Cluster342	gene-YLR262C-A
Cluster343	gene:KLLA0_A09361g
Cluster343	CAGL0M13365g
Cluster343	gene-YHR184W
Cluster344	gene-YML007C-A
Cluster345	orf19.7457
Cluster346	orf19.7192
Cluster347	orf19.7456
Cluster348	gene-YOR342C
Cluster348	CAGL0E05522g
Cluster348	gene-YAL037W
Cluster348	gene:KLLA0_F23309g
Cluster349	CAGL0F06787g
Cluster350	orf19.7495
Cluster351	CAGL0L13178g
Cluster352	CAGL0J04224g
Cluster353	CAGL0K02365g
Cluster354	CAGL0L13376r
Cluster355	CAGL0K05269g
Cluster356	CAGL0D03080g
Cluster357	CAGL0B02585g
Cluster358	gene-YIL134C-A
Cluster359	CAGL0F07931g
Cluster360	orf19.4104
Cluster361	gene:KLLA0_D12452g
Cluster362	CAGL0I03784g
Cluster363	CAGL0D03740g
Cluster364	orf19.4567
Cluster365	orf19.4571
Cluster366	orf19.4570
Cluster367	CAGL0L06204g
Cluster368	CAGL0M09636g
Cluster369	gene-YER121W
Cluster370	orf19.3102
Cluster371	orf19.3100
Cluster372	gene-YOR097C
Cluster372	gene:KLLA0_C13497g
Cluster373	CAGL0I02662g
Cluster374	CAGL0I02486g
Cluster375	gene-YLR042C
Cluster376	CAGL0J04312g
Cluster377	gene-YNL140C
Cluster378	gene-YBL048W
Cluster379	CAGL0C05357g
Cluster380	orf19.2846
Cluster381	CAGL0L09845g
Cluster382	orf19.7042
Cluster383	orf19.6263
Cluster383	gene:KLLA0_F03168g
Cluster384	gene:KLLA0_F08525g
Cluster384	gene-YOR306C
Cluster384	orf19.1584
Cluster385	orf19.5720
Cluster385	gene:KLLA0_A07249g
Cluster385	gene-YOL119C
Cluster386	gene-YIR038C
Cluster386	gene:KLLA0_A00264g
Cluster386	orf19.356
Cluster387	gene-YHR119W
Cluster387	gene:KLLA0_F24134g
Cluster387	orf19.6009
Cluster388	gene:KLLA0_A06600g
Cluster388	gene-YJL168C
Cluster388	orf19.1755
Cluster389	gene-YNL146W
Cluster390	CAGL0J04400g
Cluster391	CAGL0M10153g
Cluster392	CAGL0K03487g
Cluster393	CAGL0K03575g
Cluster394	CAGL0K03619g
Cluster395	gene:KLLA0_E24751g
Cluster395	gene-YBR165W
Cluster396	CAGL0K03443g
Cluster397	CAGL0G08778g
Cluster398	CAGL0I05720g
Cluster399	CAGL0I05522g
Cluster400	CAGL0K12980g
Cluster401	CAGL0C04191g
Cluster402	gene-YNCL0041C
Cluster403	orf19.5890
Cluster404	gene-YFR055W
Cluster405	CAGL0D05852g
Cluster406	gene-YLR296W
Cluster407	gene-YGR027W-A
Cluster408	gene-YBL100W-A
Cluster409	gene-YGR038C-A
Cluster410	gene-YML040W
Cluster411	CAGL0A02673g
Cluster412	gene-YOR142W-A
Cluster413	gene-YLR157C-B
Cluster414	gene-YDR098C-B
Cluster415	gene-YDL219W
Cluster415	gene:KLLA0_D08690g
Cluster415	orf19.297
Cluster416	orf19.1036
Cluster416	gene:KLLA0_B04356g
Cluster416	CAGL0M00528g
Cluster416	gene-YJR131W
Cluster417	gene:KLLA0_A09779g
Cluster417	orf19.3973
Cluster418	gene-YKR016W
Cluster418	CAGL0G07711g
Cluster418	gene:KLLA0_D02310g
Cluster418	orf19.4396
Cluster419	orf19.6187
Cluster419	gene:KLLA0_B04004g
Cluster420	gene-YMR231W
Cluster420	CAGL0M04895g
Cluster420	gene:KLLA0_B13090g
Cluster420	orf19.4403
Cluster421	orf19.2029
Cluster421	gene-YBR087W
Cluster421	gene:KLLA0_B12221g
Cluster422	gene-YCR092C
Cluster422	gene:KLLA0_C18590g
Cluster422	orf19.3608
Cluster423	orf19.7638
Cluster423	gene-YDR300C
Cluster423	gene-YHR033W
Cluster423	gene:KLLA0_C10296g
Cluster424	CAGL0C03421g
Cluster424	gene-YNR051C
Cluster424	gene:KLLA0_C18799g
Cluster424	orf19.1086
Cluster425	gene:KLLA0_C18711g
Cluster426	gene:KLLA0_C18755g
Cluster427	gene-YHR054C-B
Cluster428	gene-YNCH0008W
Cluster429	gene-YHR054C
Cluster430	gene-YHR053C
Cluster431	gene-YLR373C
Cluster432	CAGL0D06424g
Cluster433	gene:KLLA0_C16577g
Cluster433	gene-YDL159W
Cluster433	orf19.469
Cluster434	gene:KLLA0_B11946g
Cluster434	gene-YPR054W
Cluster434	orf19.7208
Cluster435	gene:KLLA0_E17073g
Cluster435	gene-YHR082C
Cluster435	orf19.4432
Cluster436	orf19.5224
Cluster436	gene:KLLA0_C12485g
Cluster436	CAGL0G04609g
Cluster436	gene-YOL100W
Cluster436	gene-YDR490C
Cluster437	orf19.868
Cluster437	gene:KLLA0_F23111g
Cluster438	orf19.2365
Cluster438	gene-YNL262W
Cluster438	gene:KLLA0_C02585g
Cluster439	gene-YDR366C
Cluster440	CAGL0J04906g
Cluster441	CAGL0A04532r
Cluster442	CAGL0I06457g
Cluster443	CAGL0H03311g
Cluster444	CAGL0H03355g
Cluster445	CAGL0D05390r
Cluster446	CAGL0I10604g
Cluster447	gene-YIL017C
Cluster447	gene:KLLA0_D15961g
Cluster448	orf19.6242
Cluster449	gene:KLLA0_B04862g
Cluster450	gene:KLLA0_F24486g
Cluster451	CAGL0B01815g
Cluster452	orf19.6008.3
Cluster453	CAGL0C00869g
Cluster454	orf19.5980
Cluster455	gene-YNCH0005W
Cluster456	CAGL0H03416r
Cluster457	CAGL0J08228g
Cluster458	orf19.2889
Cluster458	gene-YEL044W
Cluster458	gene:KLLA0_F16797g
Cluster459	gene:KLLA0_E16369g
Cluster459	gene-YGR208W
Cluster459	orf19.5838
Cluster460	gene-YER056C-A
Cluster460	gene-YIL052C
Cluster460	CAGL0M12408g
Cluster460	gene:KLLA0_C08371g
Cluster460	orf19.6220.4
Cluster461	gene-YJL191W
Cluster461	gene:KLLA0_B07623g
Cluster461	orf19.6265.1
Cluster462	gene:KLLA0_F24002g
Cluster462	gene-YNL119W
Cluster462	CAGL0L04026g
Cluster462	orf19.4399
Cluster463	CAGL0M08008g
Cluster463	gene-YJR033C
Cluster463	gene:KLLA0_E22683g
Cluster463	orf19.5395
Cluster464	orf19.6927
Cluster464	gene:KLLA0_F01419g
Cluster464	gene-YJL053W
Cluster465	gene-YDR124W
Cluster465	orf19.7567
Cluster466	orf19.5121
Cluster467	orf19.7517
Cluster468	orf19.3746
Cluster469	orf19.6829
Cluster469	gene-YMR282C
Cluster469	gene:KLLA0_D01408g
Cluster470	orf19.2376
Cluster471	gene-YIL057C
Cluster472	orf19.7586
Cluster473	gene:KLLA0_D02244g
Cluster473	gene-YKR018C
Cluster474	orf19.3569
Cluster474	gene-YLR407W
Cluster474	gene:KLLA0_B02893g
Cluster475	orf19.7509.1
Cluster475	gene:KLLA0_E02553g
Cluster475	CAGL0A03036g
Cluster475	gene-YDR377W
Cluster476	gene:KLLA0_F15015g
Cluster476	gene-YGR172C
Cluster476	orf19.3951
Cluster477	orf19.7059
Cluster477	gene-YOR166C
Cluster477	CAGL0L04488g
Cluster477	gene:KLLA0_F20361g
Cluster478	gene-YIL115C
Cluster478	gene:KLLA0_F03531g
Cluster478	orf19.6171
Cluster479	gene-YBR217W
Cluster479	gene:KLLA0_C05720g
Cluster479	orf19.5033
Cluster480	orf19.3185
Cluster480	gene:KLLA0_F08459g
Cluster480	CAGL0C05313g
Cluster480	gene-YDL040C
Cluster481	orf19.1153
Cluster481	gene:KLLA0_C14432g
Cluster481	gene-YMR250W
Cluster481	CAGL0H02585g
Cluster482	gene:KLLA0_C05676g
Cluster482	gene-YBR215W
Cluster482	orf19.5035
Cluster483	orf19.2786
Cluster483	gene:KLLA0_B12243g
Cluster483	gene-YBL037W
Cluster484	orf19.7501
Cluster484	gene-YKR048C
