qseqid,sseqid,pident,qcovs,evalue,bitscore
root_000002;694,orf19.5725,98.988,99,0.0,1382.0
root_000290;322,orf19.178,97.826,100,0.0,614.0
root_000291;413,orf19.1780,99.274,100,0.0,832.0
root_000291;413,orf19.1765,67.696,98,0.0,541.0
root_000291;413,orf19.1766,57.801,93,4.8600000000000004e-154,439.0
root_000292;105,orf19.1778,100.0,100,1.76e-73,211.0
root_000294;501,orf19.3813,97.804,100,0.0,1010.0
root_000295;544,orf19.6658,99.265,100,0.0,1116.0
root_000296;392,orf19.6661,97.704,100,0.0,781.0
root_000301;332,orf19.2661,98.193,100,0.0,660.0
root_000301;332,orf19.4054,79.845,78,2.15e-118,340.0
root_000301;332,orf19.7544,88.76,78,1.56e-114,330.0
root_000301;332,orf19.6112,78.682,78,2.01e-106,309.0
root_000301;332,orf19.7680,68.056,78,1.92e-86,259.0
root_000321;63,orf19.5342.2,100.0,100,7.82e-38,117.0
root_000323;411,orf19.4517,100.0,100,0.0,803.0
root_000324;291,orf19.5350,97.595,100,0.0,572.0
root_000325;325,orf19.5353,99.077,100,0.0,654.0
root_000326;862,orf19.3148,99.304,100,0.0,1686.0
root_000327;247,orf19.3147,99.595,100,1.03e-174,478.0
root_000329;110,orf19.3140,94.545,100,1.63e-71,206.0
root_000330;400,orf19.3142,99.5,100,0.0,805.0
root_000334;247,orf19.4758,99.595,100,0.0,502.0
root_000343;226,orf19.5549,98.673,100,5.01e-158,434.0
root_000349;108,orf19.3284,99.074,100,2.0600000000000003e-73,211.0
root_000350;462,orf19.3285,98.268,100,0.0,929.0
root_000369;104,orf19.4055,98.077,100,6.33e-73,209.0
root_000369;104,orf19.6113,94.231,100,2.07e-69,201.0
root_000369;104,orf19.5468,93.269,100,1.2199999999999999e-68,199.0
root_000369;104,orf19.5370,93.407,87,9.71e-55,172.0
root_000371;1132,orf19.5555,98.145,100,0.0,2268.0
root_000382;103,orf19.5556,99.029,100,3.53e-67,195.0
root_000384;585,orf19.2663,98.974,100,0.0,1173.0
root_000384;585,orf19.6690,54.306,97,0.0,586.0
root_000384;585,orf19.1326,50.086,98,1.54e-172,502.0
root_000384;585,orf19.2429,50.12,71,2.65e-139,410.0
root_000384;585,orf19.3878,55.556,60,5.899999999999999e-128,379.0
root_000390;103,orf19.7024,97.087,100,5.48e-71,204.0
root_000391;343,orf19.7022,98.542,100,0.0,677.0
root_000393;1004,orf19.7032,99.004,100,0.0,1943.0
root_000397;147,orf19.4057,98.639,100,9.170000000000001e-103,288.0
root_000398;154,orf19.4046,98.701,100,2.1200000000000002e-110,308.0
root_000416;109,orf19.6949,100.0,100,1.64e-71,206.0
root_000417;132,orf19.7608,100.0,100,9.87e-92,259.0
root_000418;463,orf19.2451,99.568,100,0.0,897.0
root_000419;416,orf19.2452,100.0,100,0.0,823.0
root_000420;591,orf19.2449,100.0,100,0.0,1144.0
root_000425;219,orf19.284,97.717,100,7.759999999999999e-159,436.0
root_000425;219,orf19.292,97.717,100,1.67e-158,435.0
root_000428;217,orf19.2392,98.618,100,4.96e-157,431.0
root_000428;217,orf19.2393,98.611,99,2.88e-152,429.0
root_000431;695,orf19.5019,97.986,100,0.0,1367.0
root_000432;199,orf19.5012,97.487,100,3.7099999999999997e-140,387.0
root_000433;341,orf19.5020,98.534,100,0.0,662.0
root_000436;122,orf19.5532,100.0,100,4.25e-87,246.0
root_000437;100,orf19.647.3,98.0,100,3.59e-69,199.0
root_000440;452,orf19.6465,97.788,100,0.0,894.0
root_000442;343,orf19.1529,98.834,100,0.0,687.0
root_000443;174,orf19.1530,99.425,100,2.85e-123,342.0
root_000444;185,orf19.1527,100.0,100,1.51e-137,379.0
root_000445;125,orf19.7609,100.0,100,7.89e-82,234.0
root_000446;342,orf19.7614,98.538,100,0.0,686.0
root_000451;158,orf19.398,99.359,99,1.47e-109,306.0
root_000452;247,orf19.5518,99.595,100,3.3699999999999998e-180,492.0
root_000454;288,orf19.2398,98.611,100,0.0,556.0
root_000475;495,orf19.5393,99.596,100,0.0,1017.0
root_000476;510,orf19.5392,99.804,100,0.0,1041.0
root_000482;704,orf19.3919,99.148,100,0.0,1421.0
root_000483;528,orf19.3916,98.485,100,0.0,1041.0
root_000484;90,orf19.3919.1,100.0,100,4.3300000000000005e-58,171.0
root_000499;157,orf19.2936,98.726,100,7.66e-114,317.0
root_000508;95,orf19.6072.1,95.789,100,1.44e-62,182.0
root_000509;448,orf19.6072,98.214,100,0.0,910.0
root_000510;300,orf19.6079,98.667,100,0.0,617.0
root_000511;386,orf19.2344,99.741,100,0.0,686.0
root_000512;1211,orf19.3694,99.67,100,0.0,2417.0
root_000513;293,orf19.5785,98.976,100,0.0,569.0
root_000516;98,orf19.69.2,98.98,100,1.1700000000000001e-65,191.0
root_000521;309,orf19.7194,98.058,100,0.0,601.0
root_000525;296,orf19.5797,100.0,100,0.0,611.0
root_000525;296,orf19.1586,98.986,100,0.0,606.0
root_000527;256,orf19.7443,99.219,100,0.0,513.0
root_000529;200,orf19.5462,80.319,94,5.640000000000001e-103,293.0
root_000531;209,orf19.5464,89.474,100,6.51e-130,362.0
root_000532;104,orf19.5468,98.077,100,2.5000000000000003e-72,208.0
root_000532;104,orf19.6113,97.115,100,1.9700000000000002e-71,206.0
root_000532;104,orf19.4055,93.269,100,1.68e-68,198.0
root_000532;104,orf19.5370,93.407,87,8.309999999999999e-54,170.0
root_000533;170,orf19.5467,98.824,100,1.47e-120,335.0
root_000533;170,orf19.7127,93.976,94,7.260000000000001e-110,308.0
root_000533;170,orf19.6191,95.294,100,9.83e-96,272.0
root_000533;170,orf19.5700,94.706,100,2.12e-93,266.0
root_000533;170,orf19.6337,88.136,100,6.16e-90,258.0
root_000533;170,orf19.1925,87.571,100,7.400000000000001e-88,253.0
root_000533;170,orf19.6112,96.522,67,8.86e-75,223.0
root_000533;170,orf19.3074,97.917,56,1.31e-63,193.0
root_000533;170,orf19.4054,94.949,58,4.23e-63,192.0
root_000533;170,orf19.7544,96.774,55,6.03e-61,187.0
root_000533;170,orf19.2661,97.849,55,8.49e-60,187.0
root_000537;189,orf19.5402,84.127,100,5.31e-94,270.0
root_000545;227,orf19.5144,98.678,100,8.66e-159,436.0
root_000546;668,orf19.6687,99.401,100,0.0,1318.0
root_000547;327,orf19.6688,98.777,100,0.0,645.0
root_000548;317,orf19.540,97.161,100,0.0,635.0
root_000553;119,orf19.1286,99.16,100,4.07e-85,241.0
root_000555;491,orf19.4495,99.796,100,0.0,1014.0
root_000556;236,orf19.4498,99.153,100,2.2500000000000002e-169,464.0
root_000557;78,orf19.450,98.718,100,3.86e-52,155.0
root_000559;307,orf19.6391,97.068,100,0.0,617.0
root_000560;101,orf19.6390,97.03,100,1.08e-63,186.0
root_000561;346,orf19.6392,97.977,100,0.0,695.0
root_000562;220,orf19.3074,99.091,100,9.58e-158,433.0
root_000562;220,orf19.4054,74.308,100,4.15e-120,339.0
root_000562;220,orf19.7544,73.705,100,4.5300000000000006e-117,332.0
root_000562;220,orf19.362,85.841,100,5.84e-101,290.0
root_000562;220,orf19.7680,62.774,100,5.32e-91,266.0
root_000562;220,orf19.5700,95.652,52,4.76e-76,224.0
root_000563;119,orf19.3073,95.798,100,2.09e-74,214.0
root_000563;119,orf19.5469,95.798,100,6.629999999999999e-68,218.0
root_000569;475,orf19.4783,98.947,100,0.0,974.0
root_000576;565,orf19.2285,98.23,100,0.0,1150.0
root_000580;340,orf19.2284,98.235,100,0.0,685.0
root_000601;326,orf19.955,98.16,100,0.0,627.0
root_000605;515,orf19.7071,99.612,100,0.0,1054.0
root_000605;515,orf19.6578,69.531,99,0.0,734.0
root_000606;134,orf19.3460,100.0,100,1.13e-94,267.0
root_000614;1095,orf19.7006,98.265,100,0.0,2170.0
root_000615;396,orf19.7002,97.98,100,0.0,807.0
root_000616;143,orf19.7007,97.902,100,1.02e-101,285.0
root_000650;210,orf19.2433,99.048,100,3.0099999999999998e-146,403.0
root_000651;1120,orf19.6277,98.839,100,0.0,2191.0
root_000652;118,orf19.6280,99.153,100,3.6800000000000003e-79,226.0
root_000653;874,orf19.6276,97.941,100,0.0,1684.0
root_000654;114,orf19.2431,100.0,100,1.44e-77,222.0
root_000655;862,orf19.6269,98.028,100,0.0,1682.0
root_000657;355,orf19.4080,99.155,100,0.0,688.0
root_000658;167,orf19.4081,97.605,100,1.7599999999999998e-119,332.0
root_000659;264,orf19.4079,99.621,100,0.0,521.0
root_000660;278,orf19.4070,98.561,100,0.0,569.0
root_000667;683,orf19.2210,97.95,100,0.0,1369.0
root_000671;591,orf19.1037,99.323,100,0.0,1214.0
root_000671;591,orf19.4482,91.356,99,0.0,1095.0
root_000672;285,orf19.104,98.947,100,0.0,564.0
root_000673;153,orf19.6487,100.0,100,4.58e-110,307.0
root_000673;153,orf19.6484,81.046,100,1.4e-91,260.0
root_000673;153,orf19.6486,79.085,100,5.099999999999999e-89,254.0
root_000673;153,orf19.1745,61.589,99,2.94e-55,169.0
root_000674;570,orf19.6488,97.895,100,0.0,1121.0
root_000675;153,orf19.6484,100.0,100,1.63e-110,308.0
root_000675;153,orf19.6486,96.078,100,9.64e-106,296.0
root_000675;153,orf19.6487,81.046,100,1.4e-91,260.0
root_000675;153,orf19.1745,58.94,99,7.17e-53,163.0
root_000676;153,orf19.6486,100.0,100,6.3e-110,307.0
root_000676;153,orf19.6484,96.078,100,9.64e-106,296.0
root_000676;153,orf19.6487,79.085,100,5.099999999999999e-89,254.0
root_000676;153,orf19.1745,57.616,99,6.45e-51,158.0
root_000677;131,orf19.6493,98.473,100,5e-88,249.0
root_000680;111,orf19.1257,97.297,100,2.24e-75,216.0
root_000681;238,orf19.1258,97.899,100,2.1e-161,444.0
root_000682;217,orf19.4280,97.235,100,3.88e-160,439.0
root_000683;336,orf19.4283,99.405,100,0.0,675.0
root_000685;325,orf19.4286,99.077,100,0.0,657.0
root_000690;735,orf19.4404,98.231,100,0.0,1441.0
root_000692;693,orf19.4407,97.98,100,0.0,1390.0
root_000694;174,orf19.2639,98.851,100,1.14e-124,346.0
root_000701;111,orf19.1873,99.099,100,7.03e-78,223.0
root_000705;496,orf19.7632,97.984,100,0.0,991.0
root_000708;267,orf19.6431,97.378,100,0.0,524.0
root_000709;341,orf19.3894,97.947,100,0.0,693.0
root_000710;421,orf19.3897,98.337,100,0.0,834.0
root_000711;124,orf19.389,96.774,100,2.05e-83,238.0
root_000712;96,orf19.3888.2,95.833,100,2.85e-64,187.0
root_000713;513,orf19.3490,98.246,100,0.0,1003.0
root_000713;513,orf19.6896,93.372,100,0.0,894.0
root_000713;513,orf19.4712,94.737,100,0.0,887.0
root_000713;513,orf19.1234,92.982,100,0.0,868.0
root_000713;513,orf19.727,93.177,100,0.0,848.0
root_000713;513,orf19.5775,92.398,100,0.0,843.0
root_000713;513,orf19.5191,90.253,100,0.0,825.0
root_000713;513,orf19.1208,94.915,69,0.0,640.0
root_000737;279,orf19.193,99.283,100,0.0,528.0
root_000738;177,orf19.1925,98.87,100,1.0099999999999999e-126,351.0
root_000738;177,orf19.6337,97.175,100,7.39e-123,342.0
root_000738;177,orf19.7127,96.386,94,9.379999999999999e-115,321.0
root_000738;177,orf19.6191,92.655,100,2.32e-92,264.0
root_000738;177,orf19.5700,87.571,100,3.1399999999999998e-89,256.0
root_000738;177,orf19.5467,88.701,100,5.1499999999999995e-89,256.0
root_000738;177,orf19.4054,93.939,56,7.229999999999999e-61,187.0
root_000738;177,orf19.3074,93.878,55,1.61e-60,185.0
root_000738;177,orf19.7544,95.699,53,1.31e-57,179.0
root_000738;177,orf19.2661,94.624,53,7.6e-56,177.0
root_000739;240,orf19.5259,99.583,100,2.59e-177,484.0
root_000741;144,orf19.5262,98.611,100,2.15e-100,282.0
root_000749;236,orf19.6864,98.729,100,3.7099999999999995e-172,471.0
root_000751;158,orf19.6859,99.367,100,1.22e-110,309.0
root_000772;310,orf19.6048,97.742,100,0.0,615.0
root_000773;434,orf19.1948,97.235,100,0.0,828.0
root_000774;446,orf19.6710,99.327,100,0.0,885.0
root_000775;614,orf19.6703,98.534,100,0.0,1234.0
root_000775;614,orf19.1330,93.914,99,0.0,1157.0
root_000776;226,orf19.6704,99.115,100,9.19e-164,449.0
root_000776;226,orf19.5508,86.161,99,9.55e-142,394.0
root_000776;226,orf19.6690,83.636,97,7.480000000000001e-124,364.0
root_000776;226,orf19.3878,66.818,97,1.93e-101,297.0
root_000776;226,orf19.2429,60.444,99,1.91e-87,263.0
root_000776;226,orf19.4511,56.25,99,1.22e-79,249.0
root_000776;226,orf19.4549,57.919,97,1.03e-77,245.0
root_000776;226,orf19.1596,57.143,99,1.1300000000000001e-72,229.0
root_000776;226,orf19.4507,50.893,99,2.47e-72,219.0
root_000776;226,orf19.2663,54.545,97,9.58e-72,227.0
root_000776;226,orf19.5177,53.571,99,3.2199999999999997e-69,221.0
root_000776;226,orf19.156,51.389,96,3.6099999999999997e-67,213.0
root_000776;226,orf19.1326,55.825,91,5.7799999999999994e-67,216.0
root_000776;226,orf19.5619,55.963,96,2.27e-66,215.0
root_000776;226,orf19.4510,51.339,99,6.730000000000001e-66,213.0
root_000776;226,orf19.6353,51.339,99,4.09e-65,211.0
root_000787;220,orf19.1708,98.636,100,1.49e-152,420.0
root_000788;128,orf19.1709,100.0,100,3.4400000000000002e-87,247.0
root_000788;128,orf19.3330.3,56.349,97,1.62e-44,140.0
root_000789;112,orf19.3186,95.536,100,7.2e-67,195.0
root_000791;304,orf19.4567,99.671,100,0.0,632.0
root_000792;550,orf19.4571,99.091,100,0.0,1121.0
root_000793;147,orf19.4570,99.32,100,1.42e-108,303.0
root_000797;214,orf19.3102,97.196,100,3.4e-154,424.0
root_000798;1039,orf19.3100,97.498,100,0.0,2009.0
root_000801;126,orf19.4803,99.206,100,1.87e-87,248.0
root_000803;467,orf19.4804,99.358,100,0.0,942.0
root_000803;467,orf19.4822,66.962,97,0.0,651.0
root_000803;467,orf19.4823,64.425,99,0.0,645.0
root_000803;467,orf19.4821,59.227,99,0.0,599.0
root_000803;467,orf19.4856,57.849,99,0.0,581.0
root_000803;467,orf19.1345,52.328,96,1.0299999999999998e-170,486.0
root_000803;467,orf19.5179,52.0,96,8.319999999999999e-170,484.0
root_000803;467,orf19.2133,50.889,96,3.9e-166,474.0
root_000803;467,orf19.5172,50.33,97,5.18e-165,471.0
root_000841;775,orf19.936,98.065,100,0.0,1590.0
root_000842;354,orf19.935,98.87,100,0.0,697.0
root_000843;482,orf19.938,98.333,99,0.0,947.0
root_000844;158,orf19.937,98.101,100,3.51e-108,303.0
root_000845;245,orf19.94,100.0,100,2.18e-179,490.0
root_000856;126,orf19.699,96.825,100,3.67e-85,242.0
root_000880;839,orf19.7380,97.259,100,0.0,1647.0
root_000881;321,orf19.4911,97.508,100,0.0,640.0
root_000887;105,orf19.5284,100.0,100,4.79e-73,210.0
root_000888;809,orf19.6249,98.888,100,0.0,1629.0
root_000891;157,orf19.3719,97.452,100,1.71e-111,311.0
root_000892;197,orf19.3713,100.0,100,1.1700000000000001e-133,370.0
root_000893;616,orf19.3714,97.727,100,0.0,1223.0
root_000895;997,orf19.3726,98.195,100,0.0,2022.0
root_000908;106,orf19.7395,100.0,98,7.739999999999999e-69,199.0
root_000914;142,orf19.3016,99.296,100,1.15e-103,290.0
root_000920;107,orf19.1009,98.131,100,3.2100000000000004e-73,210.0
root_000921;105,orf19.1008,100.0,100,1.11e-74,214.0
root_000922;603,orf19.1005,98.507,100,0.0,1189.0
root_000922;603,orf19.996,56.581,97,0.0,621.0
root_000923;641,orf19.6414,97.66,100,0.0,1262.0
root_000925;457,orf19.6420,99.781,100,0.0,829.0
root_000927;685,orf19.1189,97.956,100,0.0,1379.0
root_000930;170,orf19.6191,98.824,100,6.74e-122,338.0
root_000930;170,orf19.5700,95.882,100,5.35e-117,326.0
root_000930;170,orf19.7127,93.976,94,3.4e-111,311.0
root_000930;170,orf19.5467,95.294,100,2.16e-92,264.0
root_000930;170,orf19.6337,87.006,100,5.76e-89,255.0
root_000930;170,orf19.1925,86.441,100,5.32e-87,251.0
root_000930;170,orf19.6112,95.652,67,2.2400000000000002e-73,219.0
root_000930;170,orf19.4054,95.96,58,1.3e-64,196.0
root_000930;170,orf19.3074,95.918,58,3.53e-64,194.0
root_000930;170,orf19.7544,97.849,55,3.24e-61,188.0
root_000930;170,orf19.2661,96.774,55,1.11e-59,186.0
root_000932;72,orf19.787.1,100.0,100,2.09e-47,142.0
root_000945;33,orf19.3059.1,100.0,100,2.49e-16,61.6
root_000946;182,orf19.3053,100.0,100,2.12e-133,369.0
root_000948;75,orf19.5076.1,100.0,100,1.19e-49,148.0
root_000949;64,orf19.5064.1,100.0,100,4.759999999999999e-42,128.0
root_000950;432,orf19.5070,98.611,100,0.0,838.0
root_000953;120,orf19.873,98.333,100,3.76e-85,241.0
root_000958;59,orf19.2191.1,100.0,100,1.73e-39,122.0
root_000971;325,orf19.7104,98.462,100,0.0,597.0
root_000973;828,orf19.2805,98.671,100,0.0,1647.0
root_000986;103,orf19.3413,98.058,100,1.48e-71,206.0
root_000987;790,orf19.1893,97.848,100,0.0,1567.0
root_000988;110,orf19.1906,98.182,100,1.88e-72,209.0
root_000995;30,orf19.6922,96.667,100,2.34e-15,58.9
root_000997;483,orf19.6918,96.894,100,0.0,937.0
root_000998;376,orf19.6919,98.138,100,0.0,718.0
root_000999;447,orf19.692,99.553,100,0.0,914.0
root_001000;131,orf19.6920,100.0,100,1.21e-91,259.0
root_001021;627,orf19.6723,98.246,100,0.0,1256.0
root_001022;333,orf19.6726,97.297,100,0.0,641.0
root_001023;1196,orf19.6729,98.913,100,0.0,2367.0
root_001024;111,orf19.6731,100.0,100,1.1e-78,224.0
root_001025;90,orf19.6731.1,100.0,100,1.12e-55,165.0
root_001030;245,orf19.7589,99.592,100,0.0,498.0
root_001031;721,orf19.7590,99.861,100,0.0,1481.0
root_001036;165,orf19.1301,98.182,100,1.3200000000000001e-110,310.0
root_001037;484,orf19.2137,97.934,100,0.0,988.0
root_001038;349,orf19.6024,99.713,100,0.0,669.0
root_001039;152,orf19.2125,100.0,100,8.61e-113,314.0
root_001039;152,orf19.3113,53.608,64,2.63e-34,115.0
root_001041;209,orf19.6626,95.694,100,2.3599999999999998e-147,406.0
root_001043;503,orf19.6624,97.614,100,0.0,994.0
root_001045;481,orf19.5282,99.584,100,0.0,983.0
root_001046;706,orf19.5619,97.309,100,0.0,1385.0
root_001046;706,orf19.6690,52.142,95,0.0,631.0
root_001046;706,orf19.2429,51.044,61,5.96e-131,393.0
root_001046;706,orf19.3878,59.829,50,6.15e-129,385.0
root_001047;609,orf19.562,98.358,100,0.0,1241.0
root_001048;178,orf19.5625,98.315,100,1.7e-121,338.0
root_001049;410,orf19.5626,96.585,100,0.0,566.0
root_001053;118,orf19.6491,99.153,100,2.1299999999999998e-82,234.0
root_001056;427,orf19.872,98.361,100,0.0,847.0
root_001057;687,orf19.7406,97.962,100,0.0,1371.0
root_001058;716,orf19.3644,98.324,100,0.0,1462.0
root_001061;287,orf19.3565,96.167,100,0.0,545.0
root_001067;501,orf19.3563,97.006,100,0.0,932.0
root_001079;145,orf19.7151,95.862,100,5.77e-100,281.0
root_001107;1154,orf19.6968,98.44,100,0.0,2312.0
root_001108;1131,orf19.6967,99.293,100,0.0,2138.0
root_001109;103,orf19.6957,96.117,100,3.42e-71,205.0
root_001111;111,orf19.1179,99.099,100,1.82e-78,224.0
root_001115;371,orf19.1953,98.922,100,0.0,748.0
root_001119;231,orf19.1186,99.134,100,6.91e-165,452.0
root_001128;162,orf19.3998,98.765,100,9.529999999999999e-104,292.0
root_001129;246,orf19.400,99.593,100,1.4000000000000002e-179,491.0
root_001130;106,orf19.3637,98.113,100,1.4600000000000002e-73,211.0
root_001131;129,orf19.6235,93.333,93,6.78e-60,178.0
root_001132;331,orf19.6227,98.187,100,0.0,672.0
root_001135;392,orf19.3793,98.724,100,0.0,784.0
root_001136;248,orf19.3788,99.194,100,1.3e-179,491.0
root_001142;249,orf19.2274,95.984,100,4.22e-159,439.0
root_001143;170,orf19.1958,98.824,100,7.71e-121,336.0
root_001145;147,orf19.3134,98.639,100,2.39e-106,297.0
root_001146;227,orf19.5523,97.797,100,2.6599999999999997e-165,453.0
root_001155;149,orf19.5520,99.329,100,4.1800000000000004e-109,304.0
root_001157;718,orf19.6448,98.468,100,0.0,1440.0
root_001158;620,orf19.6449,98.065,100,0.0,1264.0
root_001159;404,orf19.4934,100.0,100,0.0,786.0
root_001160;679,orf19.7550,98.085,100,0.0,1355.0
root_001161;594,orf19.1590,96.296,100,0.0,1085.0
root_001162;599,orf19.1596,97.663,100,0.0,1181.0
root_001162;599,orf19.5177,64.322,99,0.0,741.0
root_001162;599,orf19.1326,61.977,99,0.0,677.0
root_001162;599,orf19.4510,51.591,99,0.0,566.0
root_001162;599,orf19.4511,51.443,98,0.0,556.0
root_001162;599,orf19.6690,50.515,97,0.0,537.0
root_001162;599,orf19.156,52.071,85,2.92e-159,463.0
root_001162;599,orf19.3878,54.328,56,2.08e-118,355.0
root_001164;354,orf19.1208,98.87,100,0.0,709.0
root_001164;354,orf19.3490,94.915,100,0.0,643.0
root_001164;354,orf19.6896,90.96,100,0.0,638.0
root_001164;354,orf19.4712,93.785,100,0.0,634.0
root_001164;354,orf19.1234,92.655,100,0.0,624.0
root_001164;354,orf19.727,91.808,100,0.0,617.0
root_001164;354,orf19.5775,90.113,100,0.0,610.0
root_001164;354,orf19.5191,90.0,96,0.0,601.0
root_001165;111,orf19.1207,96.396,100,4.01e-75,216.0
root_001166;332,orf19.1200,97.289,100,0.0,649.0
root_001167;445,orf19.1202,97.978,100,0.0,865.0
root_001180;112,orf19.4908,98.214,100,2.21e-79,226.0
root_001181;518,orf19.4905,99.807,100,0.0,1049.0
root_001182;769,orf19.4906,98.309,100,0.0,1407.0
root_001197;213,orf19.5092,97.653,100,2.37e-145,401.0
root_001199;503,orf19.4467,97.217,100,0.0,993.0
root_001211;532,orf19.4768,99.248,100,0.0,1063.0
root_001217;117,orf19.1678,98.291,100,1.91e-75,217.0
root_001220;380,orf19.4774,98.947,100,0.0,781.0
root_001220;380,orf19.4773,62.368,100,2e-171,481.0
root_001222;513,orf19.5775,98.246,100,0.0,1006.0
root_001222;513,orf19.6896,89.669,100,0.0,856.0
root_001222;513,orf19.1234,90.643,100,0.0,847.0
root_001222;513,orf19.4712,90.643,100,0.0,845.0
root_001222;513,orf19.3490,92.203,100,0.0,845.0
root_001222;513,orf19.5191,91.813,100,0.0,838.0
root_001222;513,orf19.727,90.058,100,0.0,822.0
root_001222;513,orf19.1208,90.113,69,0.0,609.0
root_001225;138,orf19.1309,99.275,100,2.63e-99,279.0
root_001228;212,orf19.1872,100.0,100,8.360000000000001e-160,438.0
root_001229;241,orf19.2691,98.34,100,1.35e-175,480.0
root_001230;365,orf19.4227,98.904,100,0.0,731.0
root_001233;381,orf19.6899,99.213,100,0.0,782.0
root_001245;475,orf19.3295,98.105,100,0.0,944.0
